Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;Comunidad de Madrid
Zonas Estadísticas;01;Municipio de Madrid ;Municipio de Madrid 
Zonas Estadísticas;02;Norte Metropolitano ;Norte Metropolitano 
Zonas Estadísticas;03;Este Metropolitano  ;Este Metropolitano  
Zonas Estadísticas;04;Sur Metropolitano   ;Sur Metropolitano   
Zonas Estadísticas;05;Oeste Metropolitano ;Oeste Metropolitano 
Zonas Estadísticas;06;Sierra Norte        ;Sierra Norte        
Zonas Estadísticas;07;Nordeste Comunidad  ;Nordeste Comunidad  
Zonas Estadísticas;08;Sudeste Comunidad   ;Sudeste Comunidad   
Zonas Estadísticas;09;Sudoeste Comunidad  ;Sudoeste Comunidad  
Zonas Estadísticas;10;Sierra Sur          ;Sierra Sur          
Zonas Estadísticas;11;Sierra Central      ;Sierra Central      
Municipios;0014;Acebeda (La);Acebeda (La)
Municipios;0029;Ajalvir;Ajalvir
Municipios;0035;Alameda del Valle;Alameda del Valle
Municipios;0040;Alamo (El);Alamo (El)
Municipios;0053;Alcalá de Henares;Alcalá de Henares
Municipios;0066;Alcobendas;Alcobendas
Municipios;0072;Alcorcón;Alcorcón
Municipios;0088;Aldea del Fresno;Aldea del Fresno
Municipios;0091;Algete;Algete
Municipios;0105;Alpedrete;Alpedrete
Municipios;0112;Ambite;Ambite
Municipios;0127;Anchuelo;Anchuelo
Municipios;0133;Aranjuez;Aranjuez
Municipios;0148;Arganda del Rey;Arganda del Rey
Municipios;0151;Arroyomolinos;Arroyomolinos
Municipios;0164;Atazar (El);Atazar (El)
Municipios;0170;Batres;Batres
Municipios;0186;Becerril de la Sierra;Becerril de la Sierra
Municipios;0199;Belmonte de Tajo;Belmonte de Tajo
Municipios;0210;Berrueco (El);Berrueco (El)
Municipios;0203;Berzosa del Lozoya;Berzosa del Lozoya
Municipios;0225;Boadilla del Monte;Boadilla del Monte
Municipios;0231;Boalo (El);Boalo (El)
Municipios;0246;Braojos;Braojos
Municipios;0259;Brea de Tajo;Brea de Tajo
Municipios;0262;Brunete;Brunete
Municipios;0278;Buitrago del Lozoya;Buitrago del Lozoya
Municipios;0284;Bustarviejo;Bustarviejo
Municipios;0297;Cabanillas de la Sierra;Cabanillas de la Sierra
Municipios;0301;Cabrera (La);Cabrera (La)
Municipios;0318;Cadalso de los Vidrios;Cadalso de los Vidrios
Municipios;0323;Camarma de Esteruelas;Camarma de Esteruelas
Municipios;0339;Campo Real;Campo Real
Municipios;0344;Canencia;Canencia
Municipios;0357;Carabaña;Carabaña
Municipios;0360;Casarrubuelos;Casarrubuelos
Municipios;0376;Cenicientos;Cenicientos
Municipios;0382;Cercedilla;Cercedilla
Municipios;0395;Cervera de Buitrago;Cervera de Buitrago
Municipios;0513;Chapinería;Chapinería
Municipios;0528;Chinchón;Chinchón
Municipios;0409;Ciempozuelos;Ciempozuelos
Municipios;0416;Cobeña;Cobeña
Municipios;0468;Collado Mediano;Collado Mediano
Municipios;0474;Collado Villalba;Collado Villalba
Municipios;0455;Colmenar Viejo;Colmenar Viejo
Municipios;0437;Colmenar de Oreja;Colmenar de Oreja
Municipios;0421;Colmenar del Arroyo;Colmenar del Arroyo
Municipios;0442;Colmenarejo;Colmenarejo
Municipios;0480;Corpa;Corpa
Municipios;0493;Coslada;Coslada
Municipios;0506;Cubas de la Sagra;Cubas de la Sagra
Municipios;0534;Daganzo de Arriba;Daganzo de Arriba
Municipios;0549;Escorial (El);Escorial (El)
Municipios;0552;Estremera;Estremera
Municipios;0565;Fresnedillas de la Oliva;Fresnedillas de la Oliva
Municipios;0571;Fresno de Torote;Fresno de Torote
Municipios;0587;Fuenlabrada;Fuenlabrada
Municipios;0590;Fuente el Saz de Jarama;Fuente el Saz de Jarama
Municipios;0604;Fuentidueña de Tajo;Fuentidueña de Tajo
Municipios;0611;Galapagar;Galapagar
Municipios;0626;Garganta de los Montes;Garganta de los Montes
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Gargantilla del Lozoya y Pinilla de Buitrago
Municipios;0647;Gascones;Gascones
Municipios;0650;Getafe;Getafe
Municipios;0663;Griñón;Griñón
Municipios;0679;Guadalix de la Sierra;Guadalix de la Sierra
Municipios;0685;Guadarrama;Guadarrama
Municipios;0698;Hiruela (La);Hiruela (La)
Municipios;0702;Horcajo de la Sierra-Aoslos;Horcajo de la Sierra-Aoslos
Municipios;0719;Horcajuelo de la Sierra;Horcajuelo de la Sierra
Municipios;0724;Hoyo de Manzanares;Hoyo de Manzanares
Municipios;0730;Humanes de Madrid;Humanes de Madrid
Municipios;0745;Leganés;Leganés
Municipios;0758;Loeches;Loeches
Municipios;0761;Lozoya;Lozoya
