Serie;Codigo_municipio;Nombre;poblacion_censada_total
Comunidad de Madrid;;Comunidad de Madrid;0
Zonas Estadísticas;01;Municipio de Madrid ;0
Zonas Estadísticas;02;Norte Metropolitano ;0
Zonas Estadísticas;03;Este Metropolitano  ;0
Zonas Estadísticas;04;Sur Metropolitano   ;0
Zonas Estadísticas;05;Oeste Metropolitano ;0
Zonas Estadísticas;06;Sierra Norte        ;0
Zonas Estadísticas;07;Nordeste Comunidad  ;0
Zonas Estadísticas;08;Sudeste Comunidad   ;0
Zonas Estadísticas;09;Sudoeste Comunidad  ;0
Zonas Estadísticas;10;Sierra Sur          ;0
Zonas Estadísticas;11;Sierra Central      ;0
Municipios;0014;Acebeda (La);68
Municipios;0029;Ajalvir;4.721
Municipios;0035;Alameda del Valle;204
Municipios;0040;Alamo (El);9.862
Municipios;0053;Alcalá de Henares;197.562
Municipios;0066;Alcobendas;118.417
Municipios;0072;Alcorcón;172.384
Municipios;0088;Aldea del Fresno;2.973
Municipios;0091;Algete;20.864
Municipios;0105;Alpedrete;14.839
Municipios;0112;Ambite;609
Municipios;0127;Anchuelo;1.286
Municipios;0133;Aranjuez;60.332
Municipios;0148;Arganda del Rey;56.678
Municipios;0151;Arroyomolinos;32.935
Municipios;0164;Atazar (El);90
Municipios;0170;Batres;1.750
Municipios;0186;Becerril de la Sierra;5.875
Municipios;0199;Belmonte de Tajo;1.683
Municipios;0210;Berrueco (El);777
Municipios;0203;Berzosa del Lozoya;222
Municipios;0225;Boadilla del Monte;56.734
Municipios;0231;Boalo (El);7.663
Municipios;0246;Braojos;206
Municipios;0259;Brea de Tajo;506
Municipios;0262;Brunete;10.760
Municipios;0278;Buitrago del Lozoya;1.959
Municipios;0284;Bustarviejo;2.522
Municipios;0297;Cabanillas de la Sierra;785
Municipios;0301;Cabrera (La);2.736
Municipios;0318;Cadalso de los Vidrios;3.047
Municipios;0323;Camarma de Esteruelas;7.437
Municipios;0339;Campo Real;6.420
Municipios;0344;Canencia;447
Municipios;0357;Carabaña;2.081
Municipios;0360;Casarrubuelos;3.845
Municipios;0376;Cenicientos;2.038
Municipios;0382;Cercedilla;7.205
Municipios;0395;Cervera de Buitrago;162
Municipios;0513;Chapinería;2.414
Municipios;0528;Chinchón;5.413
Municipios;0409;Ciempozuelos;25.104
Municipios;0416;Cobeña;7.486
Municipios;0468;Collado Mediano;7.105
Municipios;0474;Collado Villalba;64.378
Municipios;0455;Colmenar Viejo;51.938
Municipios;0437;Colmenar de Oreja;8.154
Municipios;0421;Colmenar del Arroyo;1.785
Municipios;0442;Colmenarejo;9.230
Municipios;0480;Corpa;723
Municipios;0493;Coslada;81.391
Municipios;0506;Cubas de la Sagra;6.539
Municipios;0534;Daganzo de Arriba;10.337
Municipios;0549;Escorial (El);16.365
Municipios;0552;Estremera;1.334
Municipios;0565;Fresnedillas de la Oliva;1.651
Municipios;0571;Fresno de Torote;2.299
Municipios;0587;Fuenlabrada;194.514
Municipios;0590;Fuente el Saz de Jarama;6.807
Municipios;0604;Fuentidueña de Tajo;2.136
Municipios;0611;Galapagar;34.497
Municipios;0626;Garganta de los Montes;377
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;309
Municipios;0647;Gascones;176
Municipios;0650;Getafe;185.180
Municipios;0663;Griñón;10.435
Municipios;0679;Guadalix de la Sierra;6.440
Municipios;0685;Guadarrama;16.560
Municipios;0698;Hiruela (La);65
Municipios;0702;Horcajo de la Sierra-Aoslos;152
Municipios;0719;Horcajuelo de la Sierra;89
Municipios;0724;Hoyo de Manzanares;8.529
Municipios;0730;Humanes de Madrid;19.701
Municipios;0745;Leganés;191.114
Municipios;0758;Loeches;8.897
Municipios;0761;Lozoya;580
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1.340
Municipios;0783;Madarcos;49
Municipios;0796;Madrid;3.334.730
Municipios;0800;Majadahonda;72.155
Municipios;0822;Manzanares el Real;8.936
Municipios;0838;Meco;14.670
Municipios;0843;Mejorada del Campo;23.639
Municipios;0856;Miraflores de la Sierra;6.362
Municipios;0869;Molar (El);9.287
Municipios;0875;Molinos (Los);4.433
Municipios;0881;Montejo de la Sierra;364
Municipios;0894;Moraleja de Enmedio;5.200
Municipios;0908;Moralzarzal;13.334
