Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;414824;
Zonas Estadísticas;01;Municipio de Madrid ;209042;
Zonas Estadísticas;02;Norte Metropolitano ;21146;
Zonas Estadísticas;03;Este Metropolitano  ;41358;
Zonas Estadísticas;04;Sur Metropolitano   ;75297;
Zonas Estadísticas;05;Oeste Metropolitano ;31832;
Zonas Estadísticas;06;Sierra Norte        ;2938;
Zonas Estadísticas;07;Nordeste Comunidad  ;3849;
Zonas Estadísticas;08;Sudeste Comunidad   ;7088;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7525;
Zonas Estadísticas;10;Sierra Sur          ;2584;
Zonas Estadísticas;11;Sierra Central      ;12165;
Municipios;0014;Acebeda (La);11;
Municipios;0029;Ajalvir;253;
Municipios;0035;Alameda del Valle;22;
Municipios;0040;Alamo (El);521;
Municipios;0053;Alcalá de Henares;12104;
Municipios;0066;Alcobendas;6452;
Municipios;0072;Alcorcón;8659;
Municipios;0088;Aldea del Fresno;190;
Municipios;0091;Algete;1448;
Municipios;0105;Alpedrete;919;
Municipios;0112;Ambite;47;
Municipios;0127;Anchuelo;93;
Municipios;0133;Aranjuez;3590;
Municipios;0148;Arganda del Rey;3262;
Municipios;0151;Arroyomolinos;1207;
Municipios;0164;Atazar (El);7;
Municipios;0170;Batres;114;
Municipios;0186;Becerril de la Sierra;437;
Municipios;0199;Belmonte de Tajo;123;
Municipios;0210;Berrueco (El);66;
Municipios;0203;Berzosa del Lozoya;19;
Municipios;0225;Boadilla del Monte;2987;
Municipios;0231;Boalo (El);470;
Municipios;0246;Braojos;18;
Municipios;0259;Brea de Tajo;40;
Municipios;0262;Brunete;618;
Municipios;0278;Buitrago del Lozoya;128;
Municipios;0284;Bustarviejo;177;
Municipios;0297;Cabanillas de la Sierra;64;
Municipios;0301;Cabrera (La);167;
Municipios;0318;Cadalso de los Vidrios;212;
Municipios;0323;Camarma de Esteruelas;421;
Municipios;0339;Campo Real;373;
Municipios;0344;Canencia;43;
Municipios;0357;Carabaña;136;
Municipios;0360;Casarrubuelos;210;
Municipios;0376;Cenicientos;172;
