Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;7716;
Zonas Estadísticas;01;Municipio de Madrid ;109;
Zonas Estadísticas;02;Norte Metropolitano ;0;
Zonas Estadísticas;03;Este Metropolitano  ;0;
Zonas Estadísticas;04;Sur Metropolitano   ;49;
Zonas Estadísticas;05;Oeste Metropolitano ;0;
Zonas Estadísticas;06;Sierra Norte        ;0;
Zonas Estadísticas;07;Nordeste Comunidad  ;30;
Zonas Estadísticas;08;Sudeste Comunidad   ;97;
Zonas Estadísticas;09;Sudoeste Comunidad  ;0;
Zonas Estadísticas;10;Sierra Sur          ;0;
Zonas Estadísticas;11;Sierra Central      ;23;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;19;
Municipios;0035;Alameda del Valle;15;
Municipios;0040;Alamo (El);72;
Municipios;0053;Alcalá de Henares;21;
Municipios;0066;Alcobendas;0;
Municipios;0072;Alcorcón;9;
Municipios;0088;Aldea del Fresno;30;
Municipios;0091;Algete;16;
Municipios;0105;Alpedrete;9;
Municipios;0112;Ambite;24;
Municipios;0127;Anchuelo;30;
Municipios;0133;Aranjuez;189;
Municipios;0148;Arganda del Rey;170;
Municipios;0151;Arroyomolinos;0;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;5;
Municipios;0186;Becerril de la Sierra;22;
Municipios;0199;Belmonte de Tajo;142;
Municipios;0210;Berrueco (El);8;
Municipios;0203;Berzosa del Lozoya;4;
Municipios;0225;Boadilla del Monte;4;
Municipios;0231;Boalo (El);27;
Municipios;0246;Braojos;13;
Municipios;0259;Brea de Tajo;85;
Municipios;0262;Brunete;15;
Municipios;0278;Buitrago del Lozoya;18;
Municipios;0284;Bustarviejo;16;
Municipios;0297;Cabanillas de la Sierra;7;
Municipios;0301;Cabrera (La);6;
Municipios;0318;Cadalso de los Vidrios;162;
Municipios;0323;Camarma de Esteruelas;30;
Municipios;0339;Campo Real;160;
Municipios;0344;Canencia;24;
Municipios;0357;Carabaña;102;
Municipios;0360;Casarrubuelos;0;
Municipios;0376;Cenicientos;248;
Municipios;0382;Cercedilla;30;
Municipios;0395;Cervera de Buitrago;0;
Municipios;0513;Chapinería;5;
Municipios;0528;Chinchón;383;
Municipios;0409;Ciempozuelos;108;
Municipios;0416;Cobeña;18;
Municipios;0468;Collado Mediano;18;
Municipios;0474;Collado Villalba;7;
Municipios;0455;Colmenar Viejo;165;
Municipios;0437;Colmenar de Oreja;501;
Municipios;0421;Colmenar del Arroyo;16;
Municipios;0442;Colmenarejo;7;
Municipios;0480;Corpa;34;
Municipios;0493;Coslada;0;
Municipios;0506;Cubas de la Sagra;9;
Municipios;0534;Daganzo de Arriba;30;
Municipios;0549;Escorial (El);37;
Municipios;0552;Estremera;126;
Municipios;0565;Fresnedillas de la Oliva;18;
Municipios;0571;Fresno de Torote;9;
Municipios;0587;Fuenlabrada;24;
Municipios;0590;Fuente el Saz de Jarama;21;
Municipios;0604;Fuentidueña de Tajo;57;
Municipios;0611;Galapagar;18;
Municipios;0626;Garganta de los Montes;23;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;
Municipios;0647;Gascones;10;
Municipios;0650;Getafe;29;
Municipios;0663;Griñón;13;
Municipios;0679;Guadalix de la Sierra;68;
Municipios;0685;Guadarrama;43;
Municipios;0698;Hiruela (La);0;
Municipios;0702;Horcajo de la Sierra-Aoslos;8;
Municipios;0719;Horcajuelo de la Sierra;4;
Municipios;0724;Hoyo de Manzanares;13;
Municipios;0730;Humanes de Madrid;21;
Municipios;0745;Leganés;9;
Municipios;0758;Loeches;7;
Municipios;0761;Lozoya;22;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;24;
Municipios;0783;Madarcos;5;
Municipios;0796;Madrid;109;
Municipios;0800;Majadahonda;8;
Municipios;0822;Manzanares el Real;19;
Municipios;0838;Meco;33;
Municipios;0843;Mejorada del Campo;17;
Municipios;0856;Miraflores de la Sierra;25;
Municipios;0869;Molar (El);99;
Municipios;0875;Molinos (Los);28;
Municipios;0881;Montejo de la Sierra;12;
Municipios;0894;Moraleja de Enmedio;25;
Municipios;0908;Moralzarzal;14;
Municipios;0915;Morata de Tajuña;121;
Municipios;0920;Móstoles;19;
Municipios;0936;Navacerrada;12;
Municipios;0941;Navalafuente;14;
Municipios;0954;Navalagamella;19;
Municipios;0967;Navalcarnero;223;
Municipios;0973;Navarredonda y San Mamés;10;
Municipios;0992;Navas del Rey;46;
Municipios;1006;Nuevo Baztán;9;
Municipios;1013;Olmeda de las Fuentes;9;
Municipios;1028;Orusco de Tajuña;35;
Municipios;1049;Paracuellos de Jarama;15;
Municipios;1065;Parla;17;
Municipios;1071;Patones;11;
Municipios;1087;Pedrezuela;15;
Municipios;1090;Pelayos de la Presa;4;
Municipios;1104;Perales de Tajuña;89;
Municipios;1111;Pezuela de las Torres;36;
Municipios;1126;Pinilla del Valle;6;
Municipios;1132;Pinto;26;
Municipios;1147;Piñuécar-Gandullas;15;
Municipios;1150;Pozuelo de Alarcón;11;
Municipios;1163;Pozuelo del Rey;24;
Municipios;1179;Prádena del Rincón;8;
Municipios;1185;Puebla de la Sierra;0;
Municipios;9020;Puentes Viejas;22;
Municipios;1198;Quijorna;9;
Municipios;1202;Rascafría;35;
Municipios;1219;Redueña;12;
Municipios;1224;Ribatejada;16;
Municipios;1230;Rivas-Vaciamadrid;18;
Municipios;1245;Robledillo de la Jara;0;
Municipios;1258;Robledo de Chavela;34;
Municipios;1261;Robregordo;5;
Municipios;1277;Rozas de Madrid (Las);5;
Municipios;1283;Rozas de Puerto Real;32;
Municipios;1296;San Agustín del Guadalix;21;
Municipios;1300;San Fernando de Henares;12;
Municipios;1317;San Lorenzo de El Escorial;20;
Municipios;1338;San Martín de Valdeiglesias;284;
Municipios;1322;San Martín de la Vega;116;
Municipios;1343;San Sebastián de los Reyes;19;
Municipios;1356;Santa María de la Alameda;38;
Municipios;1369;Santorcaz;43;
Municipios;1375;Santos de la Humosa (Los);22;
Municipios;1381;Serna del Monte (La);4;
Municipios;1408;Serranillos del Valle;10;
Municipios;1415;Sevilla la Nueva;8;
Municipios;1436;Somosierra;11;
Municipios;1441;Soto del Real;23;
Municipios;1454;Talamanca de Jarama;49;
Municipios;1467;Tielmes;74;
Municipios;1473;Titulcia;18;
