Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;303329.62
Zonas Estadísticas;01;Municipio de Madrid ;2030.10
Zonas Estadísticas;02;Norte Metropolitano ;0
Zonas Estadísticas;03;Este Metropolitano  ;0
Zonas Estadísticas;04;Sur Metropolitano   ;32953.70
Zonas Estadísticas;05;Oeste Metropolitano ;0
Zonas Estadísticas;06;Sierra Norte        ;0
Zonas Estadísticas;07;Nordeste Comunidad  ;27812.93
Zonas Estadísticas;08;Sudeste Comunidad   ;79912.79
Zonas Estadísticas;09;Sudoeste Comunidad  ;0
Zonas Estadísticas;10;Sierra Sur          ;0
Zonas Estadísticas;11;Sierra Central      ;31673.17
Municipios;0014;Acebeda (La);0
Municipios;0029;Ajalvir;1176.67
Municipios;0035;Alameda del Valle;871.83
Municipios;0040;Alamo (El);1751.80
Municipios;0053;Alcalá de Henares;2259.37
Municipios;0066;Alcobendas;0
Municipios;0072;Alcorcón;273.63
Municipios;0088;Aldea del Fresno;738.69
Municipios;0091;Algete;2623.16
Municipios;0105;Alpedrete;571.28
Municipios;0112;Ambite;1822.30
Municipios;0127;Anchuelo;1455.15
Municipios;0133;Aranjuez;10742.00
Municipios;0148;Arganda del Rey;2536.56
Municipios;0151;Arroyomolinos;0
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;190.99
Municipios;0186;Becerril de la Sierra;1358.10
Municipios;0199;Belmonte de Tajo;1400.13
Municipios;0210;Berrueco (El);195.56
Municipios;0203;Berzosa del Lozoya;271.94
Municipios;0225;Boadilla del Monte;730.35
Municipios;0231;Boalo (El);1795.42
Municipios;0246;Braojos;599.09
Municipios;0259;Brea de Tajo;2532.27
Municipios;0262;Brunete;3375.06
Municipios;0278;Buitrago del Lozoya;1331.05
Municipios;0284;Bustarviejo;924.62
Municipios;0297;Cabanillas de la Sierra;633.34
Municipios;0301;Cabrera (La);798.97
Municipios;0318;Cadalso de los Vidrios;1015.73
Municipios;0323;Camarma de Esteruelas;2505.40
Municipios;0339;Campo Real;4292.72
Municipios;0344;Canencia;1458.89
Municipios;0357;Carabaña;1868.15
Municipios;0360;Casarrubuelos;0
Municipios;0376;Cenicientos;1937.01
Municipios;0382;Cercedilla;798.29
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;306.70
Municipios;0528;Chinchón;4608.05
Municipios;0409;Ciempozuelos;2361.62
Municipios;0416;Cobeña;1343.35
Municipios;0468;Collado Mediano;573.58
Municipios;0474;Collado Villalba;605.48
Municipios;0455;Colmenar Viejo;13976.40
Municipios;0437;Colmenar de Oreja;7955.99
Municipios;0421;Colmenar del Arroyo;2519.57
Municipios;0442;Colmenarejo;1727.93
Municipios;0480;Corpa;1327.01
Municipios;0493;Coslada;0
Municipios;0506;Cubas de la Sagra;248.23
Municipios;0534;Daganzo de Arriba;4232.89
Municipios;0549;Escorial (El);3485.26
Municipios;0552;Estremera;5375.96
Municipios;0565;Fresnedillas de la Oliva;908.95
Municipios;0571;Fresno de Torote;2073.00
Municipios;0587;Fuenlabrada;1332.18
Municipios;0590;Fuente el Saz de Jarama;2054.80
Municipios;0604;Fuentidueña de Tajo;3681.86
Municipios;0611;Galapagar;718.95
Municipios;0626;Garganta de los Montes;1815.26
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;827.74
Municipios;0647;Gascones;529.46
Municipios;0650;Getafe;2713.24
Municipios;0663;Griñón;1458.62
Municipios;0679;Guadalix de la Sierra;3686.51
Municipios;0685;Guadarrama;1929.58
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;493.96
Municipios;0719;Horcajuelo de la Sierra;404.84
Municipios;0724;Hoyo de Manzanares;412.25
Municipios;0730;Humanes de Madrid;1110.61
Municipios;0745;Leganés;813.65
Municipios;0758;Loeches;2110.50
Municipios;0761;Lozoya;1509.12
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1513.26
Municipios;0783;Madarcos;945.25
Municipios;0796;Madrid;2030.10
Municipios;0800;Majadahonda;1546.76
Municipios;0822;Manzanares el Real;5824.04
Municipios;0838;Meco;3819.25
Municipios;0843;Mejorada del Campo;540.05
Municipios;0856;Miraflores de la Sierra;2539.95
Municipios;0869;Molar (El);1674.35
Municipios;0875;Molinos (Los);771.21
