Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;24105
Zonas Estadísticas;01;Municipio de Madrid ;7495
Zonas Estadísticas;02;Norte Metropolitano ;1420
Zonas Estadísticas;03;Este Metropolitano  ;1180
Zonas Estadísticas;04;Sur Metropolitano   ;2910
Zonas Estadísticas;05;Oeste Metropolitano ;1545
Zonas Estadísticas;06;Sierra Norte        ;1305
Zonas Estadísticas;07;Nordeste Comunidad  ;755
Zonas Estadísticas;08;Sudeste Comunidad   ;3320
Zonas Estadísticas;09;Sudoeste Comunidad  ;2080
Zonas Estadísticas;10;Sierra Sur          ;935
Zonas Estadísticas;11;Sierra Central      ;1160
Municipios;0014;Acebeda (La);0
Municipios;0029;Ajalvir;50
Municipios;0035;Alameda del Valle;25
Municipios;0040;Alamo (El);70
Municipios;0053;Alcalá de Henares;320
Municipios;0066;Alcobendas;255
Municipios;0072;Alcorcón;180
Municipios;0088;Aldea del Fresno;115
Municipios;0091;Algete;130
Municipios;0105;Alpedrete;30
Municipios;0112;Ambite;30
Municipios;0127;Anchuelo;40
Municipios;0133;Aranjuez;495
Municipios;0148;Arganda del Rey;195
Municipios;0151;Arroyomolinos;50
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;5
Municipios;0186;Becerril de la Sierra;45
Municipios;0199;Belmonte de Tajo;45
Municipios;0210;Berrueco (El);0
Municipios;0203;Berzosa del Lozoya;5
Municipios;0225;Boadilla del Monte;105
Municipios;0231;Boalo (El);120
Municipios;0246;Braojos;30
Municipios;0259;Brea de Tajo;75
Municipios;0262;Brunete;115
Municipios;0278;Buitrago del Lozoya;50
Municipios;0284;Bustarviejo;80
Municipios;0297;Cabanillas de la Sierra;25
Municipios;0301;Cabrera (La);10
Municipios;0318;Cadalso de los Vidrios;70
Municipios;0323;Camarma de Esteruelas;40
Municipios;0339;Campo Real;45
Municipios;0344;Canencia;40
Municipios;0357;Carabaña;55
Municipios;0360;Casarrubuelos;10
Municipios;0376;Cenicientos;130
Municipios;0382;Cercedilla;40
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;20
Municipios;0528;Chinchón;555
Municipios;0409;Ciempozuelos;220
Municipios;0416;Cobeña;90
Municipios;0468;Collado Mediano;15
Municipios;0474;Collado Villalba;190
Municipios;0455;Colmenar Viejo;560
Municipios;0437;Colmenar de Oreja;270
Municipios;0421;Colmenar del Arroyo;75
Municipios;0442;Colmenarejo;25
Municipios;0480;Corpa;10
Municipios;0493;Coslada;95
Municipios;0506;Cubas de la Sagra;45
Municipios;0534;Daganzo de Arriba;105
Municipios;0549;Escorial (El);155
Municipios;0552;Estremera;120
Municipios;0565;Fresnedillas de la Oliva;30
Municipios;0571;Fresno de Torote;25
Municipios;0587;Fuenlabrada;395
Municipios;0590;Fuente el Saz de Jarama;135
Municipios;0604;Fuentidueña de Tajo;130
Municipios;0611;Galapagar;180
Municipios;0626;Garganta de los Montes;30
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;25
Municipios;0647;Gascones;35
Municipios;0650;Getafe;315
Municipios;0663;Griñón;90
Municipios;0679;Guadalix de la Sierra;215
Municipios;0685;Guadarrama;85
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;35
Municipios;0719;Horcajuelo de la Sierra;15
Municipios;0724;Hoyo de Manzanares;50
Municipios;0730;Humanes de Madrid;105
Municipios;0745;Leganés;175
Municipios;0758;Loeches;35
Municipios;0761;Lozoya;25
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;25
Municipios;0783;Madarcos;5
Municipios;0796;Madrid;7495
Municipios;0800;Majadahonda;185
Municipios;0822;Manzanares el Real;60
Municipios;0838;Meco;50
Municipios;0843;Mejorada del Campo;45
Municipios;0856;Miraflores de la Sierra;85
Municipios;0869;Molar (El);100
Municipios;0875;Molinos (Los);50
Municipios;0881;Montejo de la Sierra;35
Municipios;0894;Moraleja de Enmedio;65
