Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;7404576
Zonas Estadísticas;01;Municipio de Madrid ;4202508
Zonas Estadísticas;02;Norte Metropolitano ;390362
Zonas Estadísticas;03;Este Metropolitano  ;577833
Zonas Estadísticas;04;Sur Metropolitano   ;1015572
Zonas Estadísticas;05;Oeste Metropolitano ;682289
Zonas Estadísticas;06;Sierra Norte        ;42755
Zonas Estadísticas;07;Nordeste Comunidad  ;61089
Zonas Estadísticas;08;Sudeste Comunidad   ;95802
Zonas Estadísticas;09;Sudoeste Comunidad  ;133765
Zonas Estadísticas;10;Sierra Sur          ;31312
Zonas Estadísticas;11;Sierra Central      ;171289
Municipios;0014;Acebeda (La);281
Municipios;0029;Ajalvir;9804
Municipios;0035;Alameda del Valle;303
Municipios;0040;Alamo (El);7467
Municipios;0053;Alcalá de Henares;156245
Municipios;0066;Alcobendas;149834
Municipios;0072;Alcorcón;138423
Municipios;0088;Aldea del Fresno;2207
Municipios;0091;Algete;24776
Municipios;0105;Alpedrete;15005
Municipios;0112;Ambite;433
Municipios;0127;Anchuelo;969
Municipios;0133;Aranjuez;43985
Municipios;0148;Arganda del Rey;61092
Municipios;0151;Arroyomolinos;29130
Municipios;0164;Atazar (El);94
Municipios;0170;Batres;1204
Municipios;0186;Becerril de la Sierra;6167
Municipios;0199;Belmonte de Tajo;1439
Municipios;0210;Berrueco (El);685
Municipios;0203;Berzosa del Lozoya;287
Municipios;0225;Boadilla del Monte;76988
Municipios;0231;Boalo (El);7248
Municipios;0246;Braojos;358
Municipios;0259;Brea de Tajo;446
Municipios;0262;Brunete;11138
Municipios;0278;Buitrago del Lozoya;2306
Municipios;0284;Bustarviejo;2496
Municipios;0297;Cabanillas de la Sierra;722
Municipios;0301;Cabrera (La);2828
Municipios;0318;Cadalso de los Vidrios;2330
Municipios;0323;Camarma de Esteruelas;7234
Municipios;0339;Campo Real;6809
Municipios;0344;Canencia;492
Municipios;0357;Carabaña;1612
Municipios;0360;Casarrubuelos;3472
Municipios;0376;Cenicientos;1347
Municipios;0382;Cercedilla;7184
Municipios;0395;Cervera de Buitrago;188
Municipios;0513;Chapinería;2030
Municipios;0528;Chinchón;6177
Municipios;0409;Ciempozuelos;17155
Municipios;0416;Cobeña;7048
Municipios;0468;Collado Mediano;6987
Municipios;0474;Collado Villalba;56881
Municipios;0455;Colmenar Viejo;44398
Municipios;0437;Colmenar de Oreja;6765
Municipios;0421;Colmenar del Arroyo;1596
Municipios;0442;Colmenarejo;7134
Municipios;0480;Corpa;403
Municipios;0493;Coslada;74464
Municipios;0506;Cubas de la Sagra;4929
Municipios;0534;Daganzo de Arriba;10466
Municipios;0549;Escorial (El);15000
Municipios;0552;Estremera;1340
Municipios;0565;Fresnedillas de la Oliva;1378
Municipios;0571;Fresno de Torote;1533
Municipios;0587;Fuenlabrada;165384
Municipios;0590;Fuente el Saz de Jarama;8784
Municipios;0604;Fuentidueña de Tajo;1607
Municipios;0611;Galapagar;32383
Municipios;0626;Garganta de los Montes;477
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;344
Municipios;0647;Gascones;285
Municipios;0650;Getafe;137066
Municipios;0663;Griñón;14190
Municipios;0679;Guadalix de la Sierra;5299
Municipios;0685;Guadarrama;14754
Municipios;0698;Hiruela (La);148
Municipios;0702;Horcajo de la Sierra-Aoslos;257
Municipios;0719;Horcajuelo de la Sierra;133
Municipios;0724;Hoyo de Manzanares;8845
Municipios;0730;Humanes de Madrid;37232
Municipios;0745;Leganés;144325
Municipios;0758;Loeches;10097
Municipios;0761;Lozoya;699
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1552
Municipios;0783;Madarcos;104
Municipios;0796;Madrid;4202508
Municipios;0800;Majadahonda;101349
Municipios;0822;Manzanares el Real;7402
Municipios;0838;Meco;12376
Municipios;0843;Mejorada del Campo;22840
Municipios;0856;Miraflores de la Sierra;5750
Municipios;0869;Molar (El);6716
Municipios;0875;Molinos (Los);3924
Municipios;0881;Montejo de la Sierra;430
Municipios;0894;Moraleja de Enmedio;8120
Municipios;0908;Moralzarzal;12355
Municipios;0915;Morata de Tajuña;5597
Municipios;0920;Móstoles;135539
Municipios;0936;Navacerrada;3741
Municipios;0941;Navalafuente;995
Municipios;0954;Navalagamella;1757
Municipios;0967;Navalcarnero;23115
Municipios;0973;Navarredonda y San Mamés;167
Municipios;0992;Navas del Rey;2641
Municipios;1006;Nuevo Baztán;5581
Municipios;1013;Olmeda de las Fuentes;565
Municipios;1028;Orusco de Tajuña;693
Municipios;1049;Paracuellos de Jarama;25963
Municipios;1065;Parla;69174
Municipios;1071;Patones;588
Municipios;1087;Pedrezuela;4457
Municipios;1090;Pelayos de la Presa;2549
Municipios;1104;Perales de Tajuña;2260
Municipios;1111;Pezuela de las Torres;743
Municipios;1126;Pinilla del Valle;131
Municipios;1132;Pinto;46124
Municipios;1147;Piñuécar-Gandullas;175
Municipios;1150;Pozuelo de Alarcón;154172
Municipios;1163;Pozuelo del Rey;811
Municipios;1179;Prádena del Rincón;152
Municipios;1185;Puebla de la Sierra;78
Municipios;9020;Puentes Viejas;620
Municipios;1198;Quijorna;2880
Municipios;1202;Rascafría;2450
Municipios;1219;Redueña;513
Municipios;1224;Ribatejada;594
Municipios;1230;Rivas-Vaciamadrid;83893
Municipios;1245;Robledillo de la Jara;88
Municipios;1258;Robledo de Chavela;3662
Municipios;1261;Robregordo;38
Municipios;1277;Rozas de Madrid (Las);142031
Municipios;1283;Rozas de Puerto Real;716
Municipios;1296;San Agustín del Guadalix;14029
Municipios;1300;San Fernando de Henares;39001
Municipios;1317;San Lorenzo de El Escorial;18430
Municipios;1338;San Martín de Valdeiglesias;7539
Municipios;1322;San Martín de la Vega;17058
Municipios;1343;San Sebastián de los Reyes;98177
Municipios;1356;Santa María de la Alameda;1443
Municipios;1369;Santorcaz;521
Municipios;1375;Santos de la Humosa (Los);1821
Municipios;1381;Serna del Monte (La);186
Municipios;1408;Serranillos del Valle;4588
Municipios;1415;Sevilla la Nueva;8733
Municipios;1436;Somosierra;173
Municipios;1441;Soto del Real;9412
Municipios;1454;Talamanca de Jarama;2929
Municipios;1467;Tielmes;1940
Municipios;1473;Titulcia;1092
Municipios;1489;Torrejón de Ardoz;93125
Municipios;1505;Torrejón de Velasco;4197
Municipios;1492;Torrejón de la Calzada;9427
Municipios;1512;Torrelaguna;4126
Municipios;1527;Torrelodones;33217
Municipios;1533;Torremocha de Jarama;1156
Municipios;1548;Torres de la Alameda;8288
Municipios;9036;Tres Cantos;52100
Municipios;1551;Valdaracete;410
Municipios;1564;Valdeavero;1674
Municipios;1570;Valdelaguna;588
Municipios;1586;Valdemanco;756
Municipios;1599;Valdemaqueda;816
Municipios;1603;Valdemorillo;13847
Municipios;1610;Valdemoro;64107
Municipios;1625;Valdeolmos-Alalpardo;4371
Municipios;1631;Valdepiélagos;621
Municipios;1646;Valdetorres de Jarama;3791
Municipios;1659;Valdilecha;2337
Municipios;1662;Valverde de Alcalá;306
Municipios;1678;Velilla de San Antonio;11406
Municipios;1684;Vellón (El);1393
Municipios;1697;Venturada;3433
Municipios;1718;Villa del Prado;5010
Municipios;1701;Villaconejos;3141
Municipios;1723;Villalbilla;11710
Municipios;1739;Villamanrique de Tajo;642
Municipios;1744;Villamanta;2480
Municipios;1757;Villamantilla;1073
Municipios;1782;Villanueva de Perales;1543
Municipios;1760;Villanueva de la Cañada;27365
Municipios;1776;Villanueva del Pardillo;16949
Municipios;1795;Villar del Olmo;2288
Municipios;1809;Villarejo de Salvanés;6371
Municipios;1816;Villaviciosa de Odón;37920
Municipios;1821;Villavieja del Lozoya;312
Municipios;1837;Zarzalejo;1508
