Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;764737;
Zonas Estadísticas;01;Municipio de Madrid ;429800;
Zonas Estadísticas;02;Norte Metropolitano ;40519;
Zonas Estadísticas;03;Este Metropolitano  ;59383;
Zonas Estadísticas;04;Sur Metropolitano   ;104811;
Zonas Estadísticas;05;Oeste Metropolitano ;71991;
Zonas Estadísticas;06;Sierra Norte        ;4662;
Zonas Estadísticas;07;Nordeste Comunidad  ;6506;
Zonas Estadísticas;08;Sudeste Comunidad   ;10315;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14653;
Zonas Estadísticas;10;Sierra Sur          ;3505;
Zonas Estadísticas;11;Sierra Central      ;18592;
Municipios;0014;Acebeda (La);22;
Municipios;0029;Ajalvir;965;
Municipios;0035;Alameda del Valle;37;
Municipios;0040;Alamo (El);850;
Municipios;0053;Alcalá de Henares;15869;
Municipios;0066;Alcobendas;15477;
Municipios;0072;Alcorcón;14352;
Municipios;0088;Aldea del Fresno;246;
Municipios;0091;Algete;2559;
Municipios;0105;Alpedrete;1611;
Municipios;0112;Ambite;62;
Municipios;0127;Anchuelo;109;
Municipios;0133;Aranjuez;4557;
Municipios;0148;Arganda del Rey;6265;
Municipios;0151;Arroyomolinos;3304;
Municipios;0164;Atazar (El);7;
Municipios;0170;Batres;165;
Municipios;0186;Becerril de la Sierra;670;
Municipios;0199;Belmonte de Tajo;142;
Municipios;0210;Berrueco (El);75;
Municipios;0203;Berzosa del Lozoya;31;
Municipios;0225;Boadilla del Monte;8745;
Municipios;0231;Boalo (El);824;
Municipios;0246;Braojos;31;
Municipios;0259;Brea de Tajo;55;
Municipios;0262;Brunete;1158;
Municipios;0278;Buitrago del Lozoya;242;
Municipios;0284;Bustarviejo;283;
Municipios;0297;Cabanillas de la Sierra;83;
Municipios;0301;Cabrera (La);307;
Municipios;0318;Cadalso de los Vidrios;283;
Municipios;0323;Camarma de Esteruelas;771;
Municipios;0339;Campo Real;717;
Municipios;0344;Canencia;51;
Municipios;0357;Carabaña;191;
Municipios;0360;Casarrubuelos;379;
Municipios;0376;Cenicientos;146;
Municipios;0382;Cercedilla;804;
Municipios;0395;Cervera de Buitrago;15;
Municipios;0513;Chapinería;232;
Municipios;0528;Chinchón;655;
Municipios;0409;Ciempozuelos;1815;
Municipios;0416;Cobeña;772;
Municipios;0468;Collado Mediano;772;
Municipios;0474;Collado Villalba;6010;
Municipios;0455;Colmenar Viejo;4813;
Municipios;0437;Colmenar de Oreja;729;
Municipios;0421;Colmenar del Arroyo;179;
Municipios;0442;Colmenarejo;778;
Municipios;0480;Corpa;38;
Municipios;0493;Coslada;7230;
Municipios;0506;Cubas de la Sagra;548;
Municipios;0534;Daganzo de Arriba;1057;
Municipios;0549;Escorial (El);1637;
Municipios;0552;Estremera;152;
Municipios;0565;Fresnedillas de la Oliva;138;
Municipios;0571;Fresno de Torote;156;
Municipios;0587;Fuenlabrada;16673;
Municipios;0590;Fuente el Saz de Jarama;918;
Municipios;0604;Fuentidueña de Tajo;190;
Municipios;0611;Galapagar;3486;
Municipios;0626;Garganta de los Montes;51;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;42;
Municipios;0647;Gascones;38;
Municipios;0650;Getafe;14522;
Municipios;0663;Griñón;1461;
Municipios;0679;Guadalix de la Sierra;616;
Municipios;0685;Guadarrama;1569;
