Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;65317;
Zonas Estadísticas;01;Municipio de Madrid ;37109;
Zonas Estadísticas;02;Norte Metropolitano ;3324;
Zonas Estadísticas;03;Este Metropolitano  ;4528;
Zonas Estadísticas;04;Sur Metropolitano   ;8287;
Zonas Estadísticas;05;Oeste Metropolitano ;7081;
Zonas Estadísticas;06;Sierra Norte        ;461;
Zonas Estadísticas;07;Nordeste Comunidad  ;501;
Zonas Estadísticas;08;Sudeste Comunidad   ;668;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1217;
Zonas Estadísticas;10;Sierra Sur          ;320;
Zonas Estadísticas;11;Sierra Central      ;1821;
Municipios;0014;Acebeda (La);5;
Municipios;0029;Ajalvir;36;
Municipios;0035;Alameda del Valle;4;
Municipios;0040;Alamo (El);54;
Municipios;0053;Alcalá de Henares;1360;
Municipios;0066;Alcobendas;1090;
Municipios;0072;Alcorcón;1191;
Municipios;0088;Aldea del Fresno;25;
Municipios;0091;Algete;179;
Municipios;0105;Alpedrete;156;
Municipios;0112;Ambite;6;
Municipios;0127;Anchuelo;10;
Municipios;0133;Aranjuez;514;
Municipios;0148;Arganda del Rey;411;
Municipios;0151;Arroyomolinos;255;
Municipios;0164;Atazar (El);2;
Municipios;0170;Batres;15;
Municipios;0186;Becerril de la Sierra;48;
Municipios;0199;Belmonte de Tajo;13;
Municipios;0210;Berrueco (El);6;
Municipios;0203;Berzosa del Lozoya;6;
Municipios;0225;Boadilla del Monte;986;
Municipios;0231;Boalo (El);92;
Municipios;0246;Braojos;3;
Municipios;0259;Brea de Tajo;7;
Municipios;0262;Brunete;111;
Municipios;0278;Buitrago del Lozoya;23;
Municipios;0284;Bustarviejo;25;
Municipios;0297;Cabanillas de la Sierra;12;
Municipios;0301;Cabrera (La);39;
Municipios;0318;Cadalso de los Vidrios;32;
Municipios;0323;Camarma de Esteruelas;52;
Municipios;0339;Campo Real;41;
Municipios;0344;Canencia;3;
Municipios;0357;Carabaña;13;
Municipios;0360;Casarrubuelos;29;
Municipios;0376;Cenicientos;8;
Municipios;0382;Cercedilla;78;
Municipios;0395;Cervera de Buitrago;4;
Municipios;0513;Chapinería;22;
Municipios;0528;Chinchón;41;
Municipios;0409;Ciempozuelos;139;
Municipios;0416;Cobeña;72;
Municipios;0468;Collado Mediano;75;
Municipios;0474;Collado Villalba;550;
Municipios;0455;Colmenar Viejo;457;
Municipios;0437;Colmenar de Oreja;38;
Municipios;0421;Colmenar del Arroyo;13;
Municipios;0442;Colmenarejo;76;
Municipios;0480;Corpa;5;
Municipios;0493;Coslada;485;
Municipios;0506;Cubas de la Sagra;47;
Municipios;0534;Daganzo de Arriba;80;
Municipios;0549;Escorial (El);154;
Municipios;0552;Estremera;9;
Municipios;0565;Fresnedillas de la Oliva;16;
Municipios;0571;Fresno de Torote;8;
Municipios;0587;Fuenlabrada;1077;
Municipios;0590;Fuente el Saz de Jarama;50;
Municipios;0604;Fuentidueña de Tajo;13;
Municipios;0611;Galapagar;341;
Municipios;0626;Garganta de los Montes;4;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10;
Municipios;0647;Gascones;2;
Municipios;0650;Getafe;1201;
Municipios;0663;Griñón;88;
Municipios;0679;Guadalix de la Sierra;50;
Municipios;0685;Guadarrama;157;
Municipios;0698;Hiruela (La);2;
Municipios;0702;Horcajo de la Sierra-Aoslos;6;
Municipios;0719;Horcajuelo de la Sierra;3;
Municipios;0724;Hoyo de Manzanares;107;
Municipios;0730;Humanes de Madrid;86;
Municipios;0745;Leganés;1131;
Municipios;0758;Loeches;39;
Municipios;0761;Lozoya;8;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;17;
Municipios;0783;Madarcos;3;
Municipios;0796;Madrid;37109;
Municipios;0800;Majadahonda;1072;
Municipios;0822;Manzanares el Real;91;
Municipios;0838;Meco;86;
Municipios;0843;Mejorada del Campo;117;
Municipios;0856;Miraflores de la Sierra;54;
Municipios;0869;Molar (El);46;
Municipios;0875;Molinos (Los);34;
Municipios;0881;Montejo de la Sierra;9;
Municipios;0894;Moraleja de Enmedio;47;
Municipios;0908;Moralzarzal;149;
Municipios;0915;Morata de Tajuña;38;
Municipios;0920;Móstoles;1169;
Municipios;0936;Navacerrada;23;
Municipios;0941;Navalafuente;8;
Municipios;0954;Navalagamella;17;
Municipios;0967;Navalcarnero;224;
Municipios;0973;Navarredonda y San Mamés;4;
Municipios;0992;Navas del Rey;25;
Municipios;1006;Nuevo Baztán;38;
Municipios;1013;Olmeda de las Fuentes;8;
Municipios;1028;Orusco de Tajuña;8;
Municipios;1049;Paracuellos de Jarama;282;
Municipios;1065;Parla;559;
Municipios;1071;Patones;5;
Municipios;1087;Pedrezuela;57;
Municipios;1090;Pelayos de la Presa;17;
Municipios;1104;Perales de Tajuña;19;
Municipios;1111;Pezuela de las Torres;5;
Municipios;1126;Pinilla del Valle;2;
Municipios;1132;Pinto;358;
Municipios;1147;Piñuécar-Gandullas;3;
Municipios;1150;Pozuelo de Alarcón;1375;
Municipios;1163;Pozuelo del Rey;6;
Municipios;1179;Prádena del Rincón;3;
Municipios;1185;Puebla de la Sierra;2;
Municipios;9020;Puentes Viejas;11;
Municipios;1198;Quijorna;31;
Municipios;1202;Rascafría;8;
Municipios;1219;Redueña;4;
Municipios;1224;Ribatejada;7;
Municipios;1230;Rivas-Vaciamadrid;833;
Municipios;1245;Robledillo de la Jara;3;
Municipios;1258;Robledo de Chavela;42;
Municipios;1261;Robregordo;3;
Municipios;1277;Rozas de Madrid (Las);1351;
Municipios;1283;Rozas de Puerto Real;11;
Municipios;1296;San Agustín del Guadalix;112;
Municipios;1300;San Fernando de Henares;180;
Municipios;1317;San Lorenzo de El Escorial;202;
Municipios;1338;San Martín de Valdeiglesias;69;
Municipios;1322;San Martín de la Vega;126;
Municipios;1343;San Sebastián de los Reyes;787;
Municipios;1356;Santa María de la Alameda;14;
Municipios;1369;Santorcaz;5;
Municipios;1375;Santos de la Humosa (Los);11;
Municipios;1381;Serna del Monte (La);2;
Municipios;1408;Serranillos del Valle;29;
Municipios;1415;Sevilla la Nueva;145;
Municipios;1436;Somosierra;3;
Municipios;1441;Soto del Real;105;
Municipios;1454;Talamanca de Jarama;19;
Municipios;1467;Tielmes;15;
Municipios;1473;Titulcia;6;
Municipios;1489;Torrejón de Ardoz;736;
Municipios;1505;Torrejón de Velasco;62;
Municipios;1492;Torrejón de la Calzada;94;
Municipios;1512;Torrelaguna;35;
Municipios;1527;Torrelodones;379;
Municipios;1533;Torremocha de Jarama;12;
Municipios;1548;Torres de la Alameda;50;
Municipios;9036;Tres Cantos;627;
Municipios;1551;Valdaracete;6;
Municipios;1564;Valdeavero;5;
Municipios;1570;Valdelaguna;4;
Municipios;1586;Valdemanco;7;
Municipios;1599;Valdemaqueda;5;
Municipios;1603;Valdemorillo;145;
Municipios;1610;Valdemoro;736;
Municipios;1625;Valdeolmos-Alalpardo;118;
Municipios;1631;Valdepiélagos;4;
Municipios;1646;Valdetorres de Jarama;26;
Municipios;1659;Valdilecha;15;
Municipios;1662;Valverde de Alcalá;4;
Municipios;1678;Velilla de San Antonio;88;
Municipios;1684;Vellón (El);9;
Municipios;1697;Venturada;28;
Municipios;1718;Villa del Prado;22;
Municipios;1701;Villaconejos;17;
Municipios;1723;Villalbilla;121;
Municipios;1739;Villamanrique de Tajo;4;
Municipios;1744;Villamanta;22;
Municipios;1757;Villamantilla;13;
Municipios;1782;Villanueva de Perales;15;
Municipios;1760;Villanueva de la Cañada;415;
Municipios;1776;Villanueva del Pardillo;182;
Municipios;1795;Villar del Olmo;18;
Municipios;1809;Villarejo de Salvanés;35;
Municipios;1816;Villaviciosa de Odón;394;
Municipios;1821;Villavieja del Lozoya;6;
Municipios;1837;Zarzalejo;29;
