Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;64619;
Zonas Estadísticas;01;Municipio de Madrid ;25375;
Zonas Estadísticas;02;Norte Metropolitano ;3020;
Zonas Estadísticas;03;Este Metropolitano  ;8163;
Zonas Estadísticas;04;Sur Metropolitano   ;14827;
Zonas Estadísticas;05;Oeste Metropolitano ;4288;
Zonas Estadísticas;06;Sierra Norte        ;694;
Zonas Estadísticas;07;Nordeste Comunidad  ;999;
Zonas Estadísticas;08;Sudeste Comunidad   ;1677;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2564;
Zonas Estadísticas;10;Sierra Sur          ;656;
Zonas Estadísticas;11;Sierra Central      ;2356;
Municipios;0014;Acebeda (La);1;
Municipios;0029;Ajalvir;92;
Municipios;0035;Alameda del Valle;1;
Municipios;0040;Alamo (El);171;
Municipios;0053;Alcalá de Henares;2032;
Municipios;0066;Alcobendas;878;
Municipios;0072;Alcorcón;1660;
Municipios;0088;Aldea del Fresno;57;
Municipios;0091;Algete;251;
Municipios;0105;Alpedrete;202;
Municipios;0112;Ambite;12;
Municipios;0127;Anchuelo;12;
Municipios;0133;Aranjuez;482;
Municipios;0148;Arganda del Rey;1001;
Municipios;0151;Arroyomolinos;553;
Municipios;0164;Atazar (El);2;
Municipios;0170;Batres;29;
Municipios;0186;Becerril de la Sierra;105;
Municipios;0199;Belmonte de Tajo;21;
Municipios;0210;Berrueco (El);14;
Municipios;0203;Berzosa del Lozoya;9;
Municipios;0225;Boadilla del Monte;464;
Municipios;0231;Boalo (El);132;
Municipios;0246;Braojos;3;
Municipios;0259;Brea de Tajo;5;
Municipios;0262;Brunete;156;
Municipios;0278;Buitrago del Lozoya;37;
Municipios;0284;Bustarviejo;37;
Municipios;0297;Cabanillas de la Sierra;10;
Municipios;0301;Cabrera (La);56;
Municipios;0318;Cadalso de los Vidrios;67;
Municipios;0323;Camarma de Esteruelas;151;
Municipios;0339;Campo Real;108;
Municipios;0344;Canencia;14;
Municipios;0357;Carabaña;43;
Municipios;0360;Casarrubuelos;83;
Municipios;0376;Cenicientos;22;
Municipios;0382;Cercedilla;130;
Municipios;0395;Cervera de Buitrago;2;
Municipios;0513;Chapinería;42;
Municipios;0528;Chinchón;54;
Municipios;0409;Ciempozuelos;279;
Municipios;0416;Cobeña;59;
Municipios;0468;Collado Mediano;102;
Municipios;0474;Collado Villalba;787;
Municipios;0455;Colmenar Viejo;593;
Municipios;0437;Colmenar de Oreja;186;
Municipios;0421;Colmenar del Arroyo;28;
Municipios;0442;Colmenarejo;130;
Municipios;0480;Corpa;4;
Municipios;0493;Coslada;1216;
Municipios;0506;Cubas de la Sagra;129;
Municipios;0534;Daganzo de Arriba;103;
Municipios;0549;Escorial (El);171;
Municipios;0552;Estremera;20;
Municipios;0565;Fresnedillas de la Oliva;19;
Municipios;0571;Fresno de Torote;33;
Municipios;0587;Fuenlabrada;2451;
Municipios;0590;Fuente el Saz de Jarama;122;
Municipios;0604;Fuentidueña de Tajo;33;
