Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;172530;
Zonas Estadísticas;01;Municipio de Madrid ;109313;
Zonas Estadísticas;02;Norte Metropolitano ;9757;
Zonas Estadísticas;03;Este Metropolitano  ;9426;
Zonas Estadísticas;04;Sur Metropolitano   ;15458;
Zonas Estadísticas;05;Oeste Metropolitano ;18596;
Zonas Estadísticas;06;Sierra Norte        ;709;
Zonas Estadísticas;07;Nordeste Comunidad  ;1078;
Zonas Estadísticas;08;Sudeste Comunidad   ;1293;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2179;
Zonas Estadísticas;10;Sierra Sur          ;501;
Zonas Estadísticas;11;Sierra Central      ;4220;
Municipios;0014;Acebeda (La);4;
Municipios;0029;Ajalvir;149;
Municipios;0035;Alameda del Valle;9;
Municipios;0040;Alamo (El);115;
Municipios;0053;Alcalá de Henares;2526;
Municipios;0066;Alcobendas;4069;
Municipios;0072;Alcorcón;2452;
Municipios;0088;Aldea del Fresno;27;
Municipios;0091;Algete;566;
Municipios;0105;Alpedrete;368;
Municipios;0112;Ambite;9;
Municipios;0127;Anchuelo;13;
Municipios;0133;Aranjuez;818;
Municipios;0148;Arganda del Rey;836;
Municipios;0151;Arroyomolinos;585;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;36;
Municipios;0186;Becerril de la Sierra;152;
Municipios;0199;Belmonte de Tajo;8;
Municipios;0210;Berrueco (El);9;
Municipios;0203;Berzosa del Lozoya;3;
Municipios;0225;Boadilla del Monte;2269;
Municipios;0231;Boalo (El);176;
Municipios;0246;Braojos;6;
Municipios;0259;Brea de Tajo;4;
Municipios;0262;Brunete;263;
Municipios;0278;Buitrago del Lozoya;29;
Municipios;0284;Bustarviejo;64;
Municipios;0297;Cabanillas de la Sierra;17;
Municipios;0301;Cabrera (La);40;
Municipios;0318;Cadalso de los Vidrios;29;
Municipios;0323;Camarma de Esteruelas;108;
Municipios;0339;Campo Real;92;
Municipios;0344;Canencia;7;
Municipios;0357;Carabaña;14;
Municipios;0360;Casarrubuelos;43;
Municipios;0376;Cenicientos;11;
Municipios;0382;Cercedilla;149;
Municipios;0395;Cervera de Buitrago;2;
Municipios;0513;Chapinería;35;
Municipios;0528;Chinchón;70;
Municipios;0409;Ciempozuelos;253;
Municipios;0416;Cobeña;162;
Municipios;0468;Collado Mediano;200;
Municipios;0474;Collado Villalba;1182;
Municipios;0455;Colmenar Viejo;874;
Municipios;0437;Colmenar de Oreja;68;
Municipios;0421;Colmenar del Arroyo;35;
Municipios;0442;Colmenarejo;205;
Municipios;0480;Corpa;6;
Municipios;0493;Coslada;1050;
Municipios;0506;Cubas de la Sagra;85;
Municipios;0534;Daganzo de Arriba;185;
Municipios;0549;Escorial (El);368;
Municipios;0552;Estremera;16;
Municipios;0565;Fresnedillas de la Oliva;22;
Municipios;0571;Fresno de Torote;27;
Municipios;0587;Fuenlabrada;1978;
Municipios;0590;Fuente el Saz de Jarama;161;
Municipios;0604;Fuentidueña de Tajo;14;
Municipios;0611;Galapagar;866;
Municipios;0626;Garganta de los Montes;7;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;
Municipios;0647;Gascones;1;
Municipios;0650;Getafe;2392;
Municipios;0663;Griñón;228;
Municipios;0679;Guadalix de la Sierra;96;
Municipios;0685;Guadarrama;284;
Municipios;0698;Hiruela (La);0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;
Municipios;0719;Horcajuelo de la Sierra;0;
Municipios;0724;Hoyo de Manzanares;246;
Municipios;0730;Humanes de Madrid;326;
Municipios;0745;Leganés;2188;
Municipios;0758;Loeches;127;
Municipios;0761;Lozoya;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;25;
Municipios;0783;Madarcos;0;
Municipios;0796;Madrid;109313;
Municipios;0800;Majadahonda;2504;
Municipios;0822;Manzanares el Real;176;
Municipios;0838;Meco;215;
Municipios;0843;Mejorada del Campo;268;
Municipios;0856;Miraflores de la Sierra;105;
Municipios;0869;Molar (El);115;
Municipios;0875;Molinos (Los);100;
Municipios;0881;Montejo de la Sierra;2;
Municipios;0894;Moraleja de Enmedio;70;
Municipios;0908;Moralzarzal;298;
Municipios;0915;Morata de Tajuña;62;
Municipios;0920;Móstoles;2061;
Municipios;0936;Navacerrada;91;
Municipios;0941;Navalafuente;22;
Municipios;0954;Navalagamella;34;
Municipios;0967;Navalcarnero;386;
Municipios;0973;Navarredonda y San Mamés;2;
Municipios;0992;Navas del Rey;42;
Municipios;1006;Nuevo Baztán;132;
Municipios;1013;Olmeda de las Fuentes;7;
Municipios;1028;Orusco de Tajuña;17;
Municipios;1049;Paracuellos de Jarama;523;
Municipios;1065;Parla;981;
Municipios;1071;Patones;6;
Municipios;1087;Pedrezuela;99;
Municipios;1090;Pelayos de la Presa;52;
Municipios;1104;Perales de Tajuña;32;
Municipios;1111;Pezuela de las Torres;6;
Municipios;1126;Pinilla del Valle;1;
Municipios;1132;Pinto;760;
Municipios;1147;Piñuécar-Gandullas;4;
Municipios;1150;Pozuelo de Alarcón;4278;
Municipios;1163;Pozuelo del Rey;14;
Municipios;1179;Prádena del Rincón;1;
Municipios;1185;Puebla de la Sierra;2;
Municipios;9020;Puentes Viejas;6;
Municipios;1198;Quijorna;54;
Municipios;1202;Rascafría;19;
Municipios;1219;Redueña;10;
Municipios;1224;Ribatejada;9;
Municipios;1230;Rivas-Vaciamadrid;1792;
Municipios;1245;Robledillo de la Jara;1;
Municipios;1258;Robledo de Chavela;77;
Municipios;1261;Robregordo;0;
Municipios;1277;Rozas de Madrid (Las);4349;
Municipios;1283;Rozas de Puerto Real;9;
Municipios;1296;San Agustín del Guadalix;366;
Municipios;1300;San Fernando de Henares;632;
Municipios;1317;San Lorenzo de El Escorial;464;
Municipios;1338;San Martín de Valdeiglesias;103;
Municipios;1322;San Martín de la Vega;241;
Municipios;1343;San Sebastián de los Reyes;2350;
Municipios;1356;Santa María de la Alameda;17;
Municipios;1369;Santorcaz;8;
Municipios;1375;Santos de la Humosa (Los);18;
Municipios;1381;Serna del Monte (La);1;
Municipios;1408;Serranillos del Valle;59;
Municipios;1415;Sevilla la Nueva;180;
Municipios;1436;Somosierra;2;
Municipios;1441;Soto del Real;179;
Municipios;1454;Talamanca de Jarama;60;
Municipios;1467;Tielmes;17;
Municipios;1473;Titulcia;11;
Municipios;1489;Torrejón de Ardoz;1472;
Municipios;1505;Torrejón de Velasco;37;
Municipios;1492;Torrejón de la Calzada;151;
Municipios;1512;Torrelaguna;62;
Municipios;1527;Torrelodones;942;
Municipios;1533;Torremocha de Jarama;20;
Municipios;1548;Torres de la Alameda;95;
Municipios;9036;Tres Cantos;1370;
Municipios;1551;Valdaracete;2;
Municipios;1564;Valdeavero;21;
Municipios;1570;Valdelaguna;12;
Municipios;1586;Valdemanco;9;
Municipios;1599;Valdemaqueda;9;
Municipios;1603;Valdemorillo;443;
Municipios;1610;Valdemoro;1008;
Municipios;1625;Valdeolmos-Alalpardo;95;
Municipios;1631;Valdepiélagos;9;
Municipios;1646;Valdetorres de Jarama;73;
Municipios;1659;Valdilecha;25;
Municipios;1662;Valverde de Alcalá;3;
Municipios;1678;Velilla de San Antonio;178;
Municipios;1684;Vellón (El);24;
Municipios;1697;Venturada;82;
Municipios;1718;Villa del Prado;48;
Municipios;1701;Villaconejos;21;
Municipios;1723;Villalbilla;254;
Municipios;1739;Villamanrique de Tajo;3;
Municipios;1744;Villamanta;28;
Municipios;1757;Villamantilla;24;
Municipios;1782;Villanueva de Perales;23;
Municipios;1760;Villanueva de la Cañada;751;
Municipios;1776;Villanueva del Pardillo;462;
Municipios;1795;Villar del Olmo;47;
Municipios;1809;Villarejo de Salvanés;66;
Municipios;1816;Villaviciosa de Odón;946;
Municipios;1821;Villavieja del Lozoya;3;
Municipios;1837;Zarzalejo;26;
