Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1678;
Zonas Estadísticas;01;Municipio de Madrid ;738;
Zonas Estadísticas;02;Norte Metropolitano ;118;
Zonas Estadísticas;03;Este Metropolitano  ;170;
Zonas Estadísticas;04;Sur Metropolitano   ;219;
Zonas Estadísticas;05;Oeste Metropolitano ;136;
Zonas Estadísticas;06;Sierra Norte        ;58;
Zonas Estadísticas;07;Nordeste Comunidad  ;24;
Zonas Estadísticas;08;Sudeste Comunidad   ;81;
Zonas Estadísticas;09;Sudoeste Comunidad  ;50;
Zonas Estadísticas;10;Sierra Sur          ;34;
Zonas Estadísticas;11;Sierra Central      ;50;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;3;
Municipios;0035;Alameda del Valle;0;
Municipios;0040;Alamo (El);2;
Municipios;0053;Alcalá de Henares;38;
Municipios;0066;Alcobendas;46;
Municipios;0072;Alcorcón;21;
Municipios;0088;Aldea del Fresno;1;
Municipios;0091;Algete;11;
Municipios;0105;Alpedrete;3;
Municipios;0112;Ambite;1;
Municipios;0127;Anchuelo;0;
Municipios;0133;Aranjuez;15;
Municipios;0148;Arganda del Rey;33;
Municipios;0151;Arroyomolinos;10;
Municipios;0164;Atazar (El);1;
Municipios;0170;Batres;1;
Municipios;0186;Becerril de la Sierra;0;
Municipios;0199;Belmonte de Tajo;2;
Municipios;0210;Berrueco (El);3;
Municipios;0203;Berzosa del Lozoya;1;
Municipios;0225;Boadilla del Monte;27;
Municipios;0231;Boalo (El);2;
Municipios;0246;Braojos;0;
Municipios;0259;Brea de Tajo;1;
Municipios;0262;Brunete;3;
Municipios;0278;Buitrago del Lozoya;1;
Municipios;0284;Bustarviejo;1;
Municipios;0297;Cabanillas de la Sierra;1;
Municipios;0301;Cabrera (La);3;
Municipios;0318;Cadalso de los Vidrios;3;
Municipios;0323;Camarma de Esteruelas;3;
Municipios;0339;Campo Real;6;
Municipios;0344;Canencia;0;
Municipios;0357;Carabaña;1;
Municipios;0360;Casarrubuelos;4;
Municipios;0376;Cenicientos;1;
Municipios;0382;Cercedilla;0;
Municipios;0395;Cervera de Buitrago;1;
Municipios;0513;Chapinería;2;
Municipios;0528;Chinchón;4;
Municipios;0409;Ciempozuelos;15;
Municipios;0416;Cobeña;3;
Municipios;0468;Collado Mediano;0;
Municipios;0474;Collado Villalba;12;
Municipios;0455;Colmenar Viejo;12;
Municipios;0437;Colmenar de Oreja;9;
Municipios;0421;Colmenar del Arroyo;2;
Municipios;0442;Colmenarejo;4;
Municipios;0480;Corpa;0;
Municipios;0493;Coslada;13;
Municipios;0506;Cubas de la Sagra;2;
Municipios;0534;Daganzo de Arriba;2;
