Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;194634;
Zonas Estadísticas;01;Municipio de Madrid ;127089;
Zonas Estadísticas;02;Norte Metropolitano ;10208;
Zonas Estadísticas;03;Este Metropolitano  ;9458;
Zonas Estadísticas;04;Sur Metropolitano   ;14919;
Zonas Estadísticas;05;Oeste Metropolitano ;23943;
Zonas Estadísticas;06;Sierra Norte        ;574;
Zonas Estadísticas;07;Nordeste Comunidad  ;870;
Zonas Estadísticas;08;Sudeste Comunidad   ;1174;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1911;
Zonas Estadísticas;10;Sierra Sur          ;478;
Zonas Estadísticas;11;Sierra Central      ;4010;
Municipios;0014;Acebeda (La);1;
Municipios;0029;Ajalvir;85;
Municipios;0035;Alameda del Valle;4;
Municipios;0040;Alamo (El);105;
Municipios;0053;Alcalá de Henares;2986;
Municipios;0066;Alcobendas;4344;
Municipios;0072;Alcorcón;2887;
Municipios;0088;Aldea del Fresno;40;
Municipios;0091;Algete;535;
Municipios;0105;Alpedrete;377;
Municipios;0112;Ambite;4;
Municipios;0127;Anchuelo;9;
Municipios;0133;Aranjuez;761;
Municipios;0148;Arganda del Rey;626;
Municipios;0151;Arroyomolinos;458;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;20;
Municipios;0186;Becerril de la Sierra;137;
Municipios;0199;Belmonte de Tajo;22;
Municipios;0210;Berrueco (El);14;
Municipios;0203;Berzosa del Lozoya;4;
Municipios;0225;Boadilla del Monte;3043;
Municipios;0231;Boalo (El);155;
Municipios;0246;Braojos;2;
Municipios;0259;Brea de Tajo;2;
Municipios;0262;Brunete;218;
Municipios;0278;Buitrago del Lozoya;25;
Municipios;0284;Bustarviejo;41;
Municipios;0297;Cabanillas de la Sierra;15;
Municipios;0301;Cabrera (La);36;
Municipios;0318;Cadalso de los Vidrios;33;
Municipios;0323;Camarma de Esteruelas;82;
Municipios;0339;Campo Real;60;
Municipios;0344;Canencia;4;
Municipios;0357;Carabaña;20;
Municipios;0360;Casarrubuelos;34;
Municipios;0376;Cenicientos;10;
Municipios;0382;Cercedilla;135;
Municipios;0395;Cervera de Buitrago;2;
Municipios;0513;Chapinería;29;
Municipios;0528;Chinchón;84;
Municipios;0409;Ciempozuelos;212;
Municipios;0416;Cobeña;198;
Municipios;0468;Collado Mediano;171;
Municipios;0474;Collado Villalba;1088;
Municipios;0455;Colmenar Viejo;1038;
Municipios;0437;Colmenar de Oreja;78;
Municipios;0421;Colmenar del Arroyo;28;
Municipios;0442;Colmenarejo;149;
Municipios;0480;Corpa;5;
Municipios;0493;Coslada;965;
Municipios;0506;Cubas de la Sagra;76;
Municipios;0534;Daganzo de Arriba;150;
Municipios;0549;Escorial (El);436;
Municipios;0552;Estremera;13;
Municipios;0565;Fresnedillas de la Oliva;33;
Municipios;0571;Fresno de Torote;18;
Municipios;0587;Fuenlabrada;1619;
Municipios;0590;Fuente el Saz de Jarama;129;
Municipios;0604;Fuentidueña de Tajo;24;
Municipios;0611;Galapagar;947;
Municipios;0626;Garganta de los Montes;3;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;
Municipios;0647;Gascones;1;
Municipios;0650;Getafe;2409;
Municipios;0663;Griñón;238;
Municipios;0679;Guadalix de la Sierra;88;
Municipios;0685;Guadarrama;298;
Municipios;0698;Hiruela (La);0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;
Municipios;0719;Horcajuelo de la Sierra;0;
Municipios;0724;Hoyo de Manzanares;293;
Municipios;0730;Humanes de Madrid;229;
Municipios;0745;Leganés;2178;
Municipios;0758;Loeches;109;
Municipios;0761;Lozoya;13;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;9;
Municipios;0783;Madarcos;1;
Municipios;0796;Madrid;127089;
Municipios;0800;Majadahonda;3957;
Municipios;0822;Manzanares el Real;147;
Municipios;0838;Meco;160;
Municipios;0843;Mejorada del Campo;224;
Municipios;0856;Miraflores de la Sierra;87;
Municipios;0869;Molar (El);92;
Municipios;0875;Molinos (Los);94;
Municipios;0881;Montejo de la Sierra;1;
Municipios;0894;Moraleja de Enmedio;73;
Municipios;0908;Moralzarzal;260;
Municipios;0915;Morata de Tajuña;66;
Municipios;0920;Móstoles;2192;
Municipios;0936;Navacerrada;81;
Municipios;0941;Navalafuente;13;
Municipios;0954;Navalagamella;25;
Municipios;0967;Navalcarnero;333;
Municipios;0973;Navarredonda y San Mamés;1;
Municipios;0992;Navas del Rey;35;
Municipios;1006;Nuevo Baztán;83;
Municipios;1013;Olmeda de las Fuentes;10;
Municipios;1028;Orusco de Tajuña;10;
Municipios;1049;Paracuellos de Jarama;625;
Municipios;1065;Parla;771;
Municipios;1071;Patones;6;
Municipios;1087;Pedrezuela;79;
Municipios;1090;Pelayos de la Presa;45;
Municipios;1104;Perales de Tajuña;31;
Municipios;1111;Pezuela de las Torres;13;
Municipios;1126;Pinilla del Valle;2;
Municipios;1132;Pinto;630;
Municipios;1147;Piñuécar-Gandullas;0;
Municipios;1150;Pozuelo de Alarcón;6647;
Municipios;1163;Pozuelo del Rey;8;
Municipios;1179;Prádena del Rincón;0;
Municipios;1185;Puebla de la Sierra;0;
Municipios;9020;Puentes Viejas;5;
Municipios;1198;Quijorna;60;
Municipios;1202;Rascafría;27;
Municipios;1219;Redueña;3;
Municipios;1224;Ribatejada;10;
Municipios;1230;Rivas-Vaciamadrid;1915;
Municipios;1245;Robledillo de la Jara;0;
Municipios;1258;Robledo de Chavela;76;
Municipios;1261;Robregordo;1;
Municipios;1277;Rozas de Madrid (Las);4609;
Municipios;1283;Rozas de Puerto Real;4;
Municipios;1296;San Agustín del Guadalix;341;
Municipios;1300;San Fernando de Henares;441;
Municipios;1317;San Lorenzo de El Escorial;479;
Municipios;1338;San Martín de Valdeiglesias;120;
Municipios;1322;San Martín de la Vega;169;
Municipios;1343;San Sebastián de los Reyes;2053;
Municipios;1356;Santa María de la Alameda;10;
Municipios;1369;Santorcaz;5;
Municipios;1375;Santos de la Humosa (Los);19;
Municipios;1381;Serna del Monte (La);3;
Municipios;1408;Serranillos del Valle;61;
Municipios;1415;Sevilla la Nueva;119;
Municipios;1436;Somosierra;1;
Municipios;1441;Soto del Real;274;
Municipios;1454;Talamanca de Jarama;54;
Municipios;1467;Tielmes;21;
Municipios;1473;Titulcia;12;
Municipios;1489;Torrejón de Ardoz;1418;
Municipios;1505;Torrejón de Velasco;57;
Municipios;1492;Torrejón de la Calzada;109;
Municipios;1512;Torrelaguna;48;
Municipios;1527;Torrelodones;1263;
Municipios;1533;Torremocha de Jarama;23;
