Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;9642.0
Zonas Estadísticas;01;Municipio de Madrid ;2998.0
Zonas Estadísticas;02;Norte Metropolitano ;568.0
Zonas Estadísticas;03;Este Metropolitano  ;472.0
Zonas Estadísticas;04;Sur Metropolitano   ;1164.0
Zonas Estadísticas;05;Oeste Metropolitano ;618.0
Zonas Estadísticas;06;Sierra Norte        ;522.0
Zonas Estadísticas;07;Nordeste Comunidad  ;302.0
Zonas Estadísticas;08;Sudeste Comunidad   ;1328.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;832.0
Zonas Estadísticas;10;Sierra Sur          ;374.0
Zonas Estadísticas;11;Sierra Central      ;464.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;20.0
Municipios;0035;Alameda del Valle;10.0
Municipios;0040;Alamo (El);28.0
Municipios;0053;Alcalá de Henares;128.0
Municipios;0066;Alcobendas;102.0
Municipios;0072;Alcorcón;72.0
Municipios;0088;Aldea del Fresno;46.0
Municipios;0091;Algete;52.0
Municipios;0105;Alpedrete;12.0
Municipios;0112;Ambite;12.0
Municipios;0127;Anchuelo;16.0
Municipios;0133;Aranjuez;198.0
Municipios;0148;Arganda del Rey;78.0
Municipios;0151;Arroyomolinos;20.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;2.0
Municipios;0186;Becerril de la Sierra;18.0
Municipios;0199;Belmonte de Tajo;18.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;2.0
Municipios;0225;Boadilla del Monte;42.0
Municipios;0231;Boalo (El);48.0
Municipios;0246;Braojos;12.0
Municipios;0259;Brea de Tajo;30.0
Municipios;0262;Brunete;46.0
Municipios;0278;Buitrago del Lozoya;20.0
Municipios;0284;Bustarviejo;32.0
Municipios;0297;Cabanillas de la Sierra;10.0
Municipios;0301;Cabrera (La);4.0
Municipios;0318;Cadalso de los Vidrios;28.0
Municipios;0323;Camarma de Esteruelas;16.0
Municipios;0339;Campo Real;18.0
Municipios;0344;Canencia;16.0
Municipios;0357;Carabaña;22.0
Municipios;0360;Casarrubuelos;4.0
Municipios;0376;Cenicientos;52.0
Municipios;0382;Cercedilla;16.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;8.0
Municipios;0528;Chinchón;222.0
Municipios;0409;Ciempozuelos;88.0
Municipios;0416;Cobeña;36.0
Municipios;0468;Collado Mediano;6.0
Municipios;0474;Collado Villalba;76.0
Municipios;0455;Colmenar Viejo;224.0
Municipios;0437;Colmenar de Oreja;108.0
Municipios;0421;Colmenar del Arroyo;30.0
Municipios;0442;Colmenarejo;10.0
Municipios;0480;Corpa;4.0
Municipios;0493;Coslada;38.0
Municipios;0506;Cubas de la Sagra;18.0
Municipios;0534;Daganzo de Arriba;42.0
Municipios;0549;Escorial (El);62.0
Municipios;0552;Estremera;48.0
Municipios;0565;Fresnedillas de la Oliva;12.0
Municipios;0571;Fresno de Torote;10.0
Municipios;0587;Fuenlabrada;158.0
Municipios;0590;Fuente el Saz de Jarama;54.0
Municipios;0604;Fuentidueña de Tajo;52.0
Municipios;0611;Galapagar;72.0
Municipios;0626;Garganta de los Montes;12.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10.0
Municipios;0647;Gascones;14.0
Municipios;0650;Getafe;126.0
Municipios;0663;Griñón;36.0
Municipios;0679;Guadalix de la Sierra;86.0
Municipios;0685;Guadarrama;34.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;14.0
Municipios;0719;Horcajuelo de la Sierra;6.0
Municipios;0724;Hoyo de Manzanares;20.0
Municipios;0730;Humanes de Madrid;42.0
Municipios;0745;Leganés;70.0
Municipios;0758;Loeches;14.0
Municipios;0761;Lozoya;10.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;10.0
Municipios;0783;Madarcos;2.0
Municipios;0796;Madrid;2998.0
Municipios;0800;Majadahonda;74.0
Municipios;0822;Manzanares el Real;24.0
Municipios;0838;Meco;20.0
Municipios;0843;Mejorada del Campo;18.0
Municipios;0856;Miraflores de la Sierra;34.0
Municipios;0869;Molar (El);40.0
Municipios;0875;Molinos (Los);20.0
Municipios;0881;Montejo de la Sierra;14.0
Municipios;0894;Moraleja de Enmedio;26.0
Municipios;0908;Moralzarzal;30.0
Municipios;0915;Morata de Tajuña;106.0
Municipios;0920;Móstoles;114.0
Municipios;0936;Navacerrada;2.0
Municipios;0941;Navalafuente;20.0
Municipios;0954;Navalagamella;26.0
Municipios;0967;Navalcarnero;80.0
Municipios;0973;Navarredonda y San Mamés;6.0
Municipios;0992;Navas del Rey;14.0
Municipios;1006;Nuevo Baztán;12.0
Municipios;1013;Olmeda de las Fuentes;8.0
Municipios;1028;Orusco de Tajuña;8.0
Municipios;1049;Paracuellos de Jarama;26.0
Municipios;1065;Parla;78.0
Municipios;1071;Patones;2.0
Municipios;1087;Pedrezuela;22.0
Municipios;1090;Pelayos de la Presa;8.0
Municipios;1104;Perales de Tajuña;22.0
Municipios;1111;Pezuela de las Torres;34.0
Municipios;1126;Pinilla del Valle;2.0
Municipios;1132;Pinto;50.0
Municipios;1147;Piñuécar-Gandullas;10.0
Municipios;1150;Pozuelo de Alarcón;126.0
Municipios;1163;Pozuelo del Rey;16.0
Municipios;1179;Prádena del Rincón;6.0
Municipios;1185;Puebla de la Sierra;4.0
Municipios;9020;Puentes Viejas;8.0
Municipios;1198;Quijorna;26.0
Municipios;1202;Rascafría;50.0
Municipios;1219;Redueña;8.0
Municipios;1224;Ribatejada;6.0
Municipios;1230;Rivas-Vaciamadrid;46.0
Municipios;1245;Robledillo de la Jara;0.0
Municipios;1258;Robledo de Chavela;64.0
Municipios;1261;Robregordo;0.0
Municipios;1277;Rozas de Madrid (Las);58.0
Municipios;1283;Rozas de Puerto Real;6.0
Municipios;1296;San Agustín del Guadalix;20.0
Municipios;1300;San Fernando de Henares;26.0
Municipios;1317;San Lorenzo de El Escorial;50.0
Municipios;1338;San Martín de Valdeiglesias;42.0
Municipios;1322;San Martín de la Vega;122.0
Municipios;1343;San Sebastián de los Reyes;96.0
Municipios;1356;Santa María de la Alameda;42.0
Municipios;1369;Santorcaz;12.0
Municipios;1375;Santos de la Humosa (Los);16.0
Municipios;1381;Serna del Monte (La);10.0
Municipios;1408;Serranillos del Valle;14.0
Municipios;1415;Sevilla la Nueva;16.0
Municipios;1436;Somosierra;2.0
Municipios;1441;Soto del Real;30.0
Municipios;1454;Talamanca de Jarama;22.0
Municipios;1467;Tielmes;28.0
Municipios;1473;Titulcia;14.0
Municipios;1489;Torrejón de Ardoz;80.0
Municipios;1505;Torrejón de Velasco;64.0
Municipios;1492;Torrejón de la Calzada;16.0
Municipios;1512;Torrelaguna;30.0
Municipios;1527;Torrelodones;16.0
Municipios;1533;Torremocha de Jarama;20.0
Municipios;1548;Torres de la Alameda;32.0
Municipios;9036;Tres Cantos;38.0
Municipios;1551;Valdaracete;24.0
Municipios;1564;Valdeavero;26.0
Municipios;1570;Valdelaguna;14.0
Municipios;1586;Valdemanco;2.0
Municipios;1599;Valdemaqueda;22.0
Municipios;1603;Valdemorillo;42.0
Municipios;1610;Valdemoro;46.0
Municipios;1625;Valdeolmos-Alalpardo;20.0
Municipios;1631;Valdepiélagos;16.0
Municipios;1646;Valdetorres de Jarama;30.0
Municipios;1659;Valdilecha;58.0
Municipios;1662;Valverde de Alcalá;8.0
Municipios;1678;Velilla de San Antonio;12.0
Municipios;1684;Vellón (El);22.0
Municipios;1697;Venturada;8.0
Municipios;1718;Villa del Prado;328.0
Municipios;1701;Villaconejos;168.0
Municipios;1723;Villalbilla;14.0
Municipios;1739;Villamanrique de Tajo;44.0
Municipios;1744;Villamanta;76.0
Municipios;1757;Villamantilla;12.0
Municipios;1782;Villanueva de Perales;20.0
Municipios;1760;Villanueva de la Cañada;38.0
Municipios;1776;Villanueva del Pardillo;26.0
Municipios;1795;Villar del Olmo;8.0
Municipios;1809;Villarejo de Salvanés;118.0
Municipios;1816;Villaviciosa de Odón;50.0
Municipios;1821;Villavieja del Lozoya;6.0
Municipios;1837;Zarzalejo;20.0
