Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;8278346.0
Zonas Estadísticas;01;Municipio de Madrid ;2997088.0
Zonas Estadísticas;02;Norte Metropolitano ;431357.0
Zonas Estadísticas;03;Este Metropolitano  ;1215158.0
Zonas Estadísticas;04;Sur Metropolitano   ;2026772.0
Zonas Estadísticas;05;Oeste Metropolitano ;472164.0
Zonas Estadísticas;06;Sierra Norte        ;73730.0
Zonas Estadísticas;07;Nordeste Comunidad  ;152789.0
Zonas Estadísticas;08;Sudeste Comunidad   ;265282.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;335070.0
Zonas Estadísticas;10;Sierra Sur          ;71467.0
Zonas Estadísticas;11;Sierra Central      ;237469.0
Municipios;0014;Acebeda (La);511.0
Municipios;0029;Ajalvir;40369.0
Municipios;0035;Alameda del Valle;73.0
Municipios;0040;Alamo (El);17812.0
Municipios;0053;Alcalá de Henares;258055.0
Municipios;0066;Alcobendas;127239.0
Municipios;0072;Alcorcón;205568.0
Municipios;0088;Aldea del Fresno;3577.0
Municipios;0091;Algete;45041.0
Municipios;0105;Alpedrete;20805.0
Municipios;0112;Ambite;803.0
Municipios;0127;Anchuelo;1679.0
Municipios;0133;Aranjuez;52195.0
Municipios;0148;Arganda del Rey;232067.0
Municipios;0151;Arroyomolinos;55480.0
Municipios;0164;Atazar (El);219.0
Municipios;0170;Batres;2044.0
Municipios;0186;Becerril de la Sierra;9417.0
Municipios;0199;Belmonte de Tajo;7884.0
Municipios;0210;Berrueco (El);1460.0
Municipios;0203;Berzosa del Lozoya;292.0
Municipios;0225;Boadilla del Monte;51538.0
Municipios;0231;Boalo (El);13578.0
Municipios;0246;Braojos;438.0
Municipios;0259;Brea de Tajo;876.0
Municipios;0262;Brunete;16133.0
Municipios;0278;Buitrago del Lozoya;2701.0
Municipios;0284;Bustarviejo;4161.0
Municipios;0297;Cabanillas de la Sierra;1022.0
Municipios;0301;Cabrera (La);5183.0
Municipios;0318;Cadalso de los Vidrios;8030.0
Municipios;0323;Camarma de Esteruelas;21754.0
Municipios;0339;Campo Real;23944.0
Municipios;0344;Canencia;1752.0
Municipios;0357;Carabaña;4672.0
Municipios;0360;Casarrubuelos;11242.0
Municipios;0376;Cenicientos;2482.0
Municipios;0382;Cercedilla;11534.0
Municipios;0395;Cervera de Buitrago;73.0
Municipios;0513;Chapinería;5840.0
Municipios;0528;Chinchón;11242.0
Municipios;0409;Ciempozuelos;42705.0
Municipios;0416;Cobeña;10293.0
Municipios;0468;Collado Mediano;9782.0
Municipios;0474;Collado Villalba;79351.0
Municipios;0455;Colmenar Viejo;71613.0
Municipios;0437;Colmenar de Oreja;22630.0
Municipios;0421;Colmenar del Arroyo;3431.0
Municipios;0442;Colmenarejo;11534.0
Municipios;0480;Corpa;803.0
Municipios;0493;Coslada;133809.0
Municipios;0506;Cubas de la Sagra;13724.0
Municipios;0534;Daganzo de Arriba;25331.0
Municipios;0549;Escorial (El);17520.0
Municipios;0552;Estremera;2555.0
Municipios;0565;Fresnedillas de la Oliva;2263.0
Municipios;0571;Fresno de Torote;4453.0
Municipios;0587;Fuenlabrada;360839.0
Municipios;0590;Fuente el Saz de Jarama;26499.0
Municipios;0604;Fuentidueña de Tajo;3212.0
Municipios;0611;Galapagar;40223.0
Municipios;0626;Garganta de los Montes;1752.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;584.0
Municipios;0647;Gascones;365.0
Municipios;0650;Getafe;228271.0
Municipios;0663;Griñón;39785.0
Municipios;0679;Guadalix de la Sierra;11534.0
Municipios;0685;Guadarrama;22484.0
Municipios;0698;Hiruela (La);73.0
Municipios;0702;Horcajo de la Sierra-Aoslos;292.0
Municipios;0719;Horcajuelo de la Sierra;438.0
Municipios;0724;Hoyo de Manzanares;7300.0
Municipios;0730;Humanes de Madrid;200312.0
Municipios;0745;Leganés;283240.0
Municipios;0758;Loeches;37522.0
Municipios;0761;Lozoya;1314.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3212.0
Municipios;0783;Madarcos;219.0
Municipios;0796;Madrid;2997088.0
Municipios;0800;Majadahonda;50954.0
Municipios;0822;Manzanares el Real;11972.0
Municipios;0838;Meco;34091.0
Municipios;0843;Mejorada del Campo;83220.0
Municipios;0856;Miraflores de la Sierra;12775.0
Municipios;0869;Molar (El);12921.0
Municipios;0875;Molinos (Los);8249.0
Municipios;0881;Montejo de la Sierra;730.0
Municipios;0894;Moraleja de Enmedio;37960.0
Municipios;0908;Moralzarzal;16425.0
Municipios;0915;Morata de Tajuña;12702.0
Municipios;0920;Móstoles;246959.0
Municipios;0936;Navacerrada;4891.0
Municipios;0941;Navalafuente;1825.0
Municipios;0954;Navalagamella;2482.0
Municipios;0967;Navalcarnero;55115.0
Municipios;0973;Navarredonda y San Mamés;292.0
Municipios;0992;Navas del Rey;6351.0
Municipios;1006;Nuevo Baztán;12191.0
Municipios;1013;Olmeda de las Fuentes;730.0
Municipios;1028;Orusco de Tajuña;1533.0
Municipios;1049;Paracuellos de Jarama;53728.0
Municipios;1065;Parla;134904.0
