Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;66405078.0
Zonas Estadísticas;01;Municipio de Madrid ;38345796.0
Zonas Estadísticas;02;Norte Metropolitano ;3502769.0
Zonas Estadísticas;03;Este Metropolitano  ;4962213.0
Zonas Estadísticas;04;Sur Metropolitano   ;8763432.0
Zonas Estadísticas;05;Oeste Metropolitano ;6231119.0
Zonas Estadísticas;06;Sierra Norte        ;373415.0
Zonas Estadísticas;07;Nordeste Comunidad  ;515214.0
Zonas Estadísticas;08;Sudeste Comunidad   ;798060.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;1127953.0
Zonas Estadísticas;10;Sierra Sur          ;266725.0
Zonas Estadísticas;11;Sierra Central      ;1518382.0
Municipios;0014;Acebeda (La);2444.0
Municipios;0029;Ajalvir;76563.0
Municipios;0035;Alameda del Valle;2820.0
Municipios;0040;Alamo (El);63309.0
Municipios;0053;Alcalá de Henares;1369016.0
Municipios;0066;Alcobendas;1359287.0
Municipios;0072;Alcorcón;1221765.0
Municipios;0088;Aldea del Fresno;19364.0
Municipios;0091;Algete;215495.0
Municipios;0105;Alpedrete;133010.0
Municipios;0112;Ambite;3760.0
Municipios;0127;Anchuelo;8460.0
Municipios;0133;Aranjuez;393296.0
Municipios;0148;Arganda del Rey;484617.0
Municipios;0151;Arroyomolinos;252390.0
Municipios;0164;Atazar (El);799.0
Municipios;0170;Batres;10528.0
Municipios;0186;Becerril de la Sierra;54332.0
Municipios;0199;Belmonte de Tajo;10481.0
Municipios;0210;Berrueco (El);5875.0
Municipios;0203;Berzosa del Lozoya;2585.0
Municipios;0225;Boadilla del Monte;703778.0
Municipios;0231;Boalo (El);62886.0
Municipios;0246;Braojos;3196.0
Municipios;0259;Brea de Tajo;3854.0
Municipios;0262;Brunete;98465.0
Municipios;0278;Buitrago del Lozoya;20633.0
Municipios;0284;Bustarviejo;21855.0
Municipios;0297;Cabanillas de la Sierra;6392.0
Municipios;0301;Cabrera (La);24581.0
Municipios;0318;Cadalso de los Vidrios;18800.0
Municipios;0323;Camarma de Esteruelas;59596.0
Municipios;0339;Campo Real;54755.0
Municipios;0344;Canencia;3948.0
Municipios;0357;Carabaña;13348.0
Municipios;0360;Casarrubuelos;28294.0
Municipios;0376;Cenicientos;11703.0
Municipios;0382;Cercedilla;63074.0
Municipios;0395;Cervera de Buitrago;1739.0
Municipios;0513;Chapinería;16826.0
Municipios;0528;Chinchón;53721.0
Municipios;0409;Ciempozuelos;144760.0
Municipios;0416;Cobeña;62275.0
Municipios;0468;Collado Mediano;61899.0
Municipios;0474;Collado Villalba;504028.0
Municipios;0455;Colmenar Viejo;389677.0
Municipios;0437;Colmenar de Oreja;54849.0
Municipios;0421;Colmenar del Arroyo;13677.0
Municipios;0442;Colmenarejo;62604.0
Municipios;0480;Corpa;3478.0
Municipios;0493;Coslada;648271.0
Municipios;0506;Cubas de la Sagra;41031.0
Municipios;0534;Daganzo de Arriba;88595.0
Municipios;0549;Escorial (El);134232.0
Municipios;0552;Estremera;11609.0
Municipios;0565;Fresnedillas de la Oliva;12079.0
Municipios;0571;Fresno de Torote;12690.0
Municipios;0587;Fuenlabrada;1415217.0
Municipios;0590;Fuente el Saz de Jarama;72333.0
Municipios;0604;Fuentidueña de Tajo;13865.0
Municipios;0611;Galapagar;288862.0
Municipios;0626;Garganta de los Montes;3807.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;3008.0
Municipios;0647;Gascones;2538.0
Municipios;0650;Getafe;1200239.0
Municipios;0663;Griñón;118017.0
Municipios;0679;Guadalix de la Sierra;45355.0
Municipios;0685;Guadarrama;130002.0
Municipios;0698;Hiruela (La);1363.0
Municipios;0702;Horcajo de la Sierra-Aoslos;2303.0
Municipios;0719;Horcajuelo de la Sierra;1081.0
Municipios;0724;Hoyo de Manzanares;80323.0
Municipios;0730;Humanes de Madrid;272600.0
Municipios;0745;Leganés;1247239.0
Municipios;0758;Loeches;80417.0
Municipios;0761;Lozoya;6063.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;13348.0
Municipios;0783;Madarcos;893.0
Municipios;0796;Madrid;38345796.0
Municipios;0800;Majadahonda;932997.0
Municipios;0822;Manzanares el Real;64954.0
Municipios;0838;Meco;103165.0
Municipios;0843;Mejorada del Campo;182548.0
Municipios;0856;Miraflores de la Sierra;49115.0
Municipios;0869;Molar (El);58139.0
Municipios;0875;Molinos (Los);33699.0
Municipios;0881;Montejo de la Sierra;3760.0
Municipios;0894;Moraleja de Enmedio;61664.0
Municipios;0908;Moralzarzal;109792.0
Municipios;0915;Morata de Tajuña;47705.0
Municipios;0920;Móstoles;1178666.0
Municipios;0936;Navacerrada;33276.0
Municipios;0941;Navalafuente;8648.0
Municipios;0954;Navalagamella;15557.0
Municipios;0967;Navalcarnero;195990.0
Municipios;0973;Navarredonda y San Mamés;1457.0
Municipios;0992;Navas del Rey;22372.0
Municipios;1006;Nuevo Baztán;47752.0
Municipios;1013;Olmeda de las Fuentes;5029.0
Municipios;1028;Orusco de Tajuña;5922.0
Municipios;1049;Paracuellos de Jarama;223297.0
Municipios;1065;Parla;598122.0
Municipios;1071;Patones;5217.0
Municipios;1087;Pedrezuela;39104.0
Municipios;1090;Pelayos de la Presa;21620.0
Municipios;1104;Perales de Tajuña;18706.0
Municipios;1111;Pezuela de las Torres;6392.0
Municipios;1126;Pinilla del Valle;1175.0
Municipios;1132;Pinto;397949.0
Municipios;1147;Piñuécar-Gandullas;1504.0
Municipios;1150;Pozuelo de Alarcón;1422173.0
Municipios;1163;Pozuelo del Rey;7003.0
Municipios;1179;Prádena del Rincón;1175.0
Municipios;1185;Puebla de la Sierra;705.0
Municipios;9020;Puentes Viejas;5405.0
Municipios;1198;Quijorna;25662.0
Municipios;1202;Rascafría;21479.0
Municipios;1219;Redueña;4653.0
Municipios;1224;Ribatejada;5076.0
Municipios;1230;Rivas-Vaciamadrid;744151.0
Municipios;1245;Robledillo de la Jara;799.0
Municipios;1258;Robledo de Chavela;32195.0
Municipios;1261;Robregordo;329.0
Municipios;1277;Rozas de Madrid (Las);1303592.0
Municipios;1283;Rozas de Puerto Real;6533.0
Municipios;1296;San Agustín del Guadalix;125020.0
Municipios;1300;San Fernando de Henares;332854.0
Municipios;1317;San Lorenzo de El Escorial;166474.0
Municipios;1338;San Martín de Valdeiglesias;64578.0
Municipios;1322;San Martín de la Vega;145089.0
Municipios;1343;San Sebastián de los Reyes;873683.0
Municipios;1356;Santa María de la Alameda;11844.0
Municipios;1369;Santorcaz;4277.0
Municipios;1375;Santos de la Humosa (Los);15792.0
Municipios;1381;Serna del Monte (La);1692.0
Municipios;1408;Serranillos del Valle;37741.0
Municipios;1415;Sevilla la Nueva;75576.0
Municipios;1436;Somosierra;1598.0
Municipios;1441;Soto del Real;84412.0
Municipios;1454;Talamanca de Jarama;25051.0
Municipios;1467;Tielmes;16121.0
Municipios;1473;Titulcia;9024.0
Municipios;1489;Torrejón de Ardoz;806849.0
Municipios;1505;Torrejón de Velasco;35250.0
Municipios;1492;Torrejón de la Calzada;76939.0
Municipios;1512;Torrelaguna;36331.0
Municipios;1527;Torrelodones;305500.0
Municipios;1533;Torremocha de Jarama;10105.0
Municipios;1548;Torres de la Alameda;66740.0
Municipios;9036;Tres Cantos;477332.0
Municipios;1551;Valdaracete;3431.0
Municipios;1564;Valdeavero;13677.0
Municipios;1570;Valdelaguna;4653.0
Municipios;1586;Valdemanco;6204.0
Municipios;1599;Valdemaqueda;6486.0
Municipios;1603;Valdemorillo;122717.0
Municipios;1610;Valdemoro;548490.0
Municipios;1625;Valdeolmos-Alalpardo;39480.0
Municipios;1631;Valdepiélagos;5217.0
Municipios;1646;Valdetorres de Jarama;32195.0
Municipios;1659;Valdilecha;19599.0
Municipios;1662;Valverde de Alcalá;2679.0
Municipios;1678;Velilla de San Antonio;94047.0
Municipios;1684;Vellón (El);11656.0
Municipios;1697;Venturada;31114.0
Municipios;1718;Villa del Prado;43428.0
Municipios;1701;Villaconejos;27072.0
Municipios;1723;Villalbilla;99640.0
Municipios;1739;Villamanrique de Tajo;5640.0
Municipios;1744;Villamanta;20210.0
Municipios;1757;Villamantilla;8930.0
Municipios;1782;Villanueva de Perales;13630.0
Municipios;1760;Villanueva de la Cañada;250604.0
Municipios;1776;Villanueva del Pardillo;151904.0
Municipios;1795;Villar del Olmo;19505.0
Municipios;1809;Villarejo de Salvanés;52781.0
Municipios;1816;Villaviciosa de Odón;340797.0
Municipios;1821;Villavieja del Lozoya;2679.0
Municipios;1837;Zarzalejo;12455.0
