Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;45462;
Zonas Estadísticas;01;Municipio de Madrid ;22901;
Zonas Estadísticas;02;Norte Metropolitano ;1721;
Zonas Estadísticas;03;Este Metropolitano  ;5663;
Zonas Estadísticas;04;Sur Metropolitano   ;9549;
Zonas Estadísticas;05;Oeste Metropolitano ;1714;
Zonas Estadísticas;06;Sierra Norte        ;247;
Zonas Estadísticas;07;Nordeste Comunidad  ;595;
Zonas Estadísticas;08;Sudeste Comunidad   ;988;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1295;
Zonas Estadísticas;10;Sierra Sur          ;134;
Zonas Estadísticas;11;Sierra Central      ;655;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;70;
Municipios;0035;Alameda del Valle;1;
Municipios;0040;Alamo (El);80;
Municipios;0053;Alcalá de Henares;1102;
Municipios;0066;Alcobendas;562;
Municipios;0072;Alcorcón;1083;
Municipios;0088;Aldea del Fresno;9;
Municipios;0091;Algete;144;
Municipios;0105;Alpedrete;63;
Municipios;0112;Ambite;6;
Municipios;0127;Anchuelo;16;
Municipios;0133;Aranjuez;211;
Municipios;0148;Arganda del Rey;495;
Municipios;0151;Arroyomolinos;338;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;21;
Municipios;0186;Becerril de la Sierra;25;
Municipios;0199;Belmonte de Tajo;9;
Municipios;0210;Berrueco (El);3;
Municipios;0203;Berzosa del Lozoya;0;
Municipios;0225;Boadilla del Monte;220;
Municipios;0231;Boalo (El);32;
Municipios;0246;Braojos;5;
Municipios;0259;Brea de Tajo;4;
Municipios;0262;Brunete;58;
Municipios;0278;Buitrago del Lozoya;8;
Municipios;0284;Bustarviejo;8;
Municipios;0297;Cabanillas de la Sierra;1;
Municipios;0301;Cabrera (La);10;
Municipios;0318;Cadalso de los Vidrios;12;
Municipios;0323;Camarma de Esteruelas;96;
Municipios;0339;Campo Real;74;
Municipios;0344;Canencia;2;
Municipios;0357;Carabaña;23;
Municipios;0360;Casarrubuelos;34;
Municipios;0376;Cenicientos;11;
Municipios;0382;Cercedilla;20;
Municipios;0395;Cervera de Buitrago;0;
Municipios;0513;Chapinería;5;
Municipios;0528;Chinchón;17;
Municipios;0409;Ciempozuelos;166;
Municipios;0416;Cobeña;54;
Municipios;0468;Collado Mediano;36;
Municipios;0474;Collado Villalba;300;
Municipios;0455;Colmenar Viejo;193;
Municipios;0437;Colmenar de Oreja;42;
Municipios;0421;Colmenar del Arroyo;7;
Municipios;0442;Colmenarejo;27;
Municipios;0480;Corpa;5;
Municipios;0493;Coslada;1052;
Municipios;0506;Cubas de la Sagra;50;
Municipios;0534;Daganzo de Arriba;121;
Municipios;0549;Escorial (El);43;
Municipios;0552;Estremera;13;
Municipios;0565;Fresnedillas de la Oliva;7;
Municipios;0571;Fresno de Torote;15;
Municipios;0587;Fuenlabrada;1491;
Municipios;0590;Fuente el Saz de Jarama;45;
Municipios;0604;Fuentidueña de Tajo;18;
Municipios;0611;Galapagar;114;
Municipios;0626;Garganta de los Montes;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;
Municipios;0647;Gascones;6;
Municipios;0650;Getafe;1511;
Municipios;0663;Griñón;86;
Municipios;0679;Guadalix de la Sierra;29;
Municipios;0685;Guadarrama;71;
Municipios;0698;Hiruela (La);0;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;
Municipios;0719;Horcajuelo de la Sierra;0;
Municipios;0724;Hoyo de Manzanares;17;
Municipios;0730;Humanes de Madrid;221;
Municipios;0745;Leganés;1478;
Municipios;0758;Loeches;133;
Municipios;0761;Lozoya;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;13;
Municipios;0783;Madarcos;1;
Municipios;0796;Madrid;22901;
Municipios;0800;Majadahonda;204;
Municipios;0822;Manzanares el Real;30;
Municipios;0838;Meco;163;
Municipios;0843;Mejorada del Campo;212;
Municipios;0856;Miraflores de la Sierra;27;
Municipios;0869;Molar (El);56;
Municipios;0875;Molinos (Los);12;
Municipios;0881;Montejo de la Sierra;1;
Municipios;0894;Moraleja de Enmedio;80;
Municipios;0908;Moralzarzal;53;
Municipios;0915;Morata de Tajuña;60;
Municipios;0920;Móstoles;1262;
Municipios;0936;Navacerrada;6;
Municipios;0941;Navalafuente;8;
Municipios;0954;Navalagamella;10;
Municipios;0967;Navalcarnero;223;
Municipios;0973;Navarredonda y San Mamés;1;
Municipios;0992;Navas del Rey;21;
Municipios;1006;Nuevo Baztán;66;
Municipios;1013;Olmeda de las Fuentes;3;
Municipios;1028;Orusco de Tajuña;6;
Municipios;1049;Paracuellos de Jarama;181;
Municipios;1065;Parla;819;
Municipios;1071;Patones;2;
Municipios;1087;Pedrezuela;29;
Municipios;1090;Pelayos de la Presa;10;
Municipios;1104;Perales de Tajuña;17;
Municipios;1111;Pezuela de las Torres;12;
Municipios;1126;Pinilla del Valle;0;
Municipios;1132;Pinto;475;
Municipios;1147;Piñuécar-Gandullas;0;
Municipios;1150;Pozuelo de Alarcón;243;
