Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;distancia_capital;Cluster estadistico
Acebeda (La);Sierra Norte;6.0;3.06;88.477;2
Ajalvir;Este Metropolitano;3.0;246.21;34.911;1
Alameda del Valle;Sierra Norte;6.0;10.68;92.242;2
Alamo (El);Sudoeste Comunidad;9.0;467.88;42.104;0
Alcalá de Henares;Este Metropolitano;3.0;2254.21;32.76;1
Alcobendas;Norte Metropolitano;2.0;2639.08;18.193;1
Alcorcón;Sur Metropolitano;4.0;5144.2;18.087;1
Aldea del Fresno;Sudoeste Comunidad;9.0;65.93;56.001;0
Algete;Norte Metropolitano;2.0;551.67;32.758;1
Alpedrete;Sierra Central;11.0;1219.57;43.979;0
Ambite;Sudeste Comunidad;8.0;26.72;54.784;0
Anchuelo;Sudeste Comunidad;8.0;63.81;42.201;0
Aranjuez;Sur Metropolitano;4.0;322.45;48.903;1
Arganda del Rey;Este Metropolitano;3.0;729.87;28.644;1
Arroyomolinos;Sudoeste Comunidad;9.0;1734.84;31.45;0
Atazar (El);Sierra Norte;6.0;3.66;84.846;2
Batres;Sudoeste Comunidad;9.0;87.98;37.802;0
Becerril de la Sierra;Sierra Central;11.0;211.29;50.448;0
Belmonte de Tajo;Sudeste Comunidad;8.0;76.46;57.499;0
Berrueco (El);Sierra Norte;6.0;28.88;66.347;2
Berzosa del Lozoya;Sierra Norte;6.0;14.97;82.228;2
Boadilla del Monte;Oeste Metropolitano;5.0;1361.02;24.652;2
Boalo (El);Sierra Central;11.0;210.04;55.387;0
Braojos;Sierra Norte;6.0;8.5;83.276;2
Brea de Tajo;Sudeste Comunidad;8.0;12.27;65.168;0
Brunete;Oeste Metropolitano;5.0;223.37;38.308;2
Buitrago del Lozoya;Sierra Norte;6.0;75.24;76.377;2
Bustarviejo;Sierra Norte;6.0;48.97;64.721;2
Cabanillas de la Sierra;Sierra Norte;6.0;67.8;55.486;2
Cabrera (La);Sierra Norte;6.0;130.78;60.42;2
Cadalso de los Vidrios;Sierra Sur;10.0;67.22;89.965;0
Camarma de Esteruelas;Nordeste Comunidad;7.0;221.02;37.479;2
