Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1502518
Zonas Estadísticas;01;Municipio de Madrid ;862118
Zonas Estadísticas;02;Norte Metropolitano ;88225
Zonas Estadísticas;03;Este Metropolitano  ;145047
Zonas Estadísticas;04;Sur Metropolitano   ;235640
Zonas Estadísticas;05;Oeste Metropolitano ;88854
Zonas Estadísticas;06;Sierra Norte        ;8212
Zonas Estadísticas;07;Nordeste Comunidad  ;14244
Zonas Estadísticas;08;Sudeste Comunidad   ;17471
Zonas Estadísticas;09;Sudoeste Comunidad  ;23870
Zonas Estadísticas;10;Sierra Sur          ;4323
Zonas Estadísticas;11;Sierra Central      ;14514
Municipios;0014;Acebeda (La);1181
Municipios;0029;Ajalvir;1422
Municipios;0035;Alameda del Valle;137
Municipios;0040;Alamo (El);1198
Municipios;0053;Alcalá de Henares;49817
Municipios;0066;Alcobendas;30997
Municipios;0072;Alcorcón;35909
Municipios;0088;Aldea del Fresno;390
Municipios;0091;Algete;3574
Municipios;0105;Alpedrete;1178
Municipios;0112;Ambite;63
Municipios;0127;Anchuelo;263
Municipios;0133;Aranjuez;15893
Municipios;0148;Arganda del Rey;10952
Municipios;0151;Arroyomolinos;5048
Municipios;0164;Atazar (El);83
Municipios;0170;Batres;1546
Municipios;0186;Becerril de la Sierra;317
Municipios;0199;Belmonte de Tajo;1587
Municipios;0210;Berrueco (El);366
Municipios;0203;Berzosa del Lozoya;209
Municipios;0225;Boadilla del Monte;9081
Municipios;0231;Boalo (El);536
Municipios;0246;Braojos;106
Municipios;0259;Brea de Tajo;193
Municipios;0262;Brunete;1074
Municipios;0278;Buitrago del Lozoya;893
Municipios;0284;Bustarviejo;314
Municipios;0297;Cabanillas de la Sierra;104
Municipios;0301;Cabrera (La);288
Municipios;0318;Cadalso de los Vidrios;610
Municipios;0323;Camarma de Esteruelas;2140
Municipios;0339;Campo Real;955
Municipios;0344;Canencia;264
Municipios;0357;Carabaña;152
Municipios;0360;Casarrubuelos;1916
Municipios;0376;Cenicientos;446
Municipios;0382;Cercedilla;1123
Municipios;0395;Cervera de Buitrago;74
Municipios;0513;Chapinería;244
Municipios;0528;Chinchón;1750
Municipios;0409;Ciempozuelos;7094
Municipios;0416;Cobeña;660
Municipios;0468;Collado Mediano;534
Municipios;0474;Collado Villalba;6173
Municipios;0455;Colmenar Viejo;7506
Municipios;0437;Colmenar de Oreja;776
Municipios;0421;Colmenar del Arroyo;360
Municipios;0442;Colmenarejo;722
Municipios;0480;Corpa;35
Municipios;0493;Coslada;25974
Municipios;0506;Cubas de la Sagra;534
Municipios;0534;Daganzo de Arriba;2630
Municipios;0549;Escorial (El);1204
Municipios;0552;Estremera;650
Municipios;0565;Fresnedillas de la Oliva;103
Municipios;0571;Fresno de Torote;86
Municipios;0587;Fuenlabrada;31104
Municipios;0590;Fuente el Saz de Jarama;532
Municipios;0604;Fuentidueña de Tajo;349
Municipios;0611;Galapagar;2069
Municipios;0626;Garganta de los Montes;24
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;28
Municipios;0647;Gascones;26
Municipios;0650;Getafe;57423
Municipios;0663;Griñón;1836
Municipios;0679;Guadalix de la Sierra;570
Municipios;0685;Guadarrama;1818
Municipios;0698;Hiruela (La);26
Municipios;0702;Horcajo de la Sierra-Aoslos;52
Municipios;0719;Horcajuelo de la Sierra;113
