Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Contratos temporales registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1165342;1242460;1294537;1208236;1253007;1369540;1581557;1716992;1862146;1969162;2069167;1281752;1699258;1244885;1010490;
Zonas Estadísticas;01;Municipio de Madrid ;774875;812378;844564;796483;811047;902829;1035384;1131647;1234115;1309993;1377303;768889;1024303;798088;657690;
Zonas Estadísticas;02;Norte Metropolitano ;63507;75566;77948;71336;74909;76773;87716;91974;97993;100588;106193;74256;100859;70602;53526;
Zonas Estadísticas;03;Este Metropolitano  ;76163;89922;92471;82321;89426;88762;102563;126286;132968;137801;138408;110499;142453;92363;68494;
Zonas Estadísticas;04;Sur Metropolitano   ;133600;138905;142675;129380;131159;144728;167794;174085;196669;208921;223729;187966;264200;169833;131144;
Zonas Estadísticas;05;Oeste Metropolitano ;59651;68998;76217;73381;86387;97601;120674;120342;123570;132077;141474;80055;94096;60961;53096;
Zonas Estadísticas;06;Sierra Norte        ;7035;6455;9299;8012;7321;6760;8801;9406;9890;9004;10335;7114;8696;6497;5534;
Zonas Estadísticas;07;Nordeste Comunidad  ;9113;10029;9444;10273;11335;10020;9542;8774;9326;9524;10172;9305;14196;10527;10698;
Zonas Estadísticas;08;Sudeste Comunidad   ;15465;12672;10555;9648;10657;8752;10525;10936;10153;11116;11399;9213;10970;8010;7065;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11271;12213;14523;12321;13997;14497;17807;22991;23512;24726;25692;18847;19524;12560;10712;
Zonas Estadísticas;10;Sierra Sur          ;2589;2909;3347;2791;3142;3008;3566;3579;4359;4387;4863;3318;3671;2959;2185;
Zonas Estadísticas;11;Sierra Central      ;12073;12413;13494;12290;13627;15810;17185;16972;19591;21025;19599;12290;16290;12485;10346;
Municipios;0014;Acebeda (La);458;384;410;383;295;823;748;650;758;1298;2035;1133;1590;1091;729;
Municipios;0029;Ajalvir;886;827;1220;645;776;978;1100;1065;1164;1091;1127;1068;1277;893;713;
Municipios;0035;Alameda del Valle;117;100;1351;1547;329;138;96;102;139;130;224;133;198;175;75;
Municipios;0040;Alamo (El);501;479;1473;449;1529;722;2652;2875;1773;1434;2101;996;1661;974;518;
Municipios;0053;Alcalá de Henares;28620;32867;30328;27698;33169;34065;38798;42211;45239;46949;49465;37841;49507;28213;23949;
Municipios;0066;Alcobendas;23634;27473;29940;29733;30030;34742;39227;40333;39975;40657;39818;26028;33245;23772;18817;
Municipios;0072;Alcorcón;19830;19730;20993;18859;19651;23323;28669;31075;35388;41598;41708;31802;31763;20928;16614;
Municipios;0088;Aldea del Fresno;164;131;178;207;154;250;186;257;315;1557;446;356;330;291;258;
Municipios;0091;Algete;2060;2518;2547;2582;1617;2074;2852;2765;5346;5977;3693;2747;4125;2126;1266;
Municipios;0105;Alpedrete;912;832;754;728;701;744;869;1086;1282;1077;1288;1044;1482;1056;998;
Municipios;0112;Ambite;82;143;72;65;75;54;89;94;119;105;82;61;93;189;65;
Municipios;0127;Anchuelo;124;75;66;92;156;58;51;140;140;296;275;99;173;153;336;
Municipios;0133;Aranjuez;7398;8077;8948;7385;6542;7738;9464;10237;12475;14287;14672;11516;30587;16914;10010;
Municipios;0148;Arganda del Rey;6926;8165;8488;7458;8598;6681;7392;7171;7938;7944;8619;6141;7622;4891;4633;
Municipios;0151;Arroyomolinos;3216;3597;3551;3143;3042;3912;3742;4056;5051;5395;5554;4054;5128;3590;2315;
Municipios;0164;Atazar (El);83;46;139;56;154;47;34;60;89;82;77;70;45;36;76;
Municipios;0170;Batres;71;101;61;42;61;199;207;479;308;549;1285;1527;1923;811;162;
Municipios;0186;Becerril de la Sierra;196;210;311;267;304;346;454;436;463;516;445;262;480;463;363;
Municipios;0199;Belmonte de Tajo;3940;1147;707;1330;945;371;376;280;249;453;256;1517;567;427;347;
Municipios;0210;Berrueco (El);426;110;180;83;100;160;286;280;256;157;293;314;183;233;220;
Municipios;0203;Berzosa del Lozoya;261;546;416;431;317;157;274;797;885;188;186;203;158;305;466;
Municipios;0225;Boadilla del Monte;4164;7111;8270;7127;8806;11820;12029;10815;12774;11272;16095;7523;8819;6065;6886;
Municipios;0231;Boalo (El);435;349;560;345;601;551;469;682;964;590;618;431;551;304;461;
Municipios;0246;Braojos;30;22;19;44;69;84;127;113;98;70;101;105;141;65;48;
Municipios;0259;Brea de Tajo;170;147;83;64;80;60;129;100;148;147;183;172;244;141;180;
Municipios;0262;Brunete;1279;1678;1388;1229;1372;1652;1678;1459;1732;1450;1615;924;1461;748;545;
Municipios;0278;Buitrago del Lozoya;299;304;330;286;367;362;723;647;782;1083;1241;692;905;563;523;
Municipios;0284;Bustarviejo;450;293;500;316;674;653;947;849;817;713;622;288;448;170;129;
Municipios;0297;Cabanillas de la Sierra;202;206;132;105;130;115;131;144;107;118;103;88;126;90;83;
Municipios;0301;Cabrera (La);301;268;307;217;203;272;352;290;400;452;330;270;413;294;190;
Municipios;0318;Cadalso de los Vidrios;159;192;171;144;104;100;160;177;213;237;245;344;400;276;141;
Municipios;0323;Camarma de Esteruelas;2848;2304;1641;1501;1420;1523;1081;1293;1450;1533;1259;912;1331;488;322;
Municipios;0339;Campo Real;482;418;359;385;383;563;515;499;418;488;654;500;467;407;390;
Municipios;0344;Canencia;107;167;233;65;78;71;132;140;161;151;186;179;233;98;120;
Municipios;0357;Carabaña;97;74;100;91;63;62;81;116;144;137;355;92;327;335;192;
Municipios;0360;Casarrubuelos;339;416;1065;452;426;632;2033;5318;5051;3307;3179;1651;1672;1018;1029;
Municipios;0376;Cenicientos;268;197;214;363;857;522;516;370;809;697;848;413;228;157;168;
Municipios;0382;Cercedilla;1335;1232;1262;1122;1235;918;1125;1212;1331;1245;1490;1053;1453;1069;709;
Municipios;0395;Cervera de Buitrago;86;74;45;29;35;37;42;43;227;152;72;67;73;172;76;
Municipios;0513;Chapinería;127;274;265;221;191;335;637;807;567;328;346;207;348;208;141;
Municipios;0528;Chinchón;877;841;942;1057;1155;1127;2220;2504;1997;2645;2559;1485;1839;1181;685;
Municipios;0409;Ciempozuelos;5688;4326;4668;3998;4516;5078;5402;4699;7163;7305;6984;6367;7142;5549;4343;
Municipios;0416;Cobeña;595;624;1572;1246;408;442;589;654;907;792;794;434;659;480;369;
Municipios;0468;Collado Mediano;349;341;1475;979;289;310;424;597;536;592;633;320;431;323;320;
Municipios;0474;Collado Villalba;4478;4621;4994;4902;4839;5311;6604;6699;7498;8187;9312;5211;7196;4333;3371;
Municipios;0455;Colmenar Viejo;4489;5283;4795;4953;4556;3589;4453;4498;5573;6521;7968;5978;5795;4194;3395;
Municipios;0437;Colmenar de Oreja;371;330;720;470;626;333;339;448;498;448;425;417;647;456;419;
Municipios;0421;Colmenar del Arroyo;437;496;657;554;607;412;405;375;404;340;644;313;377;582;276;
Municipios;0442;Colmenarejo;407;354;375;300;349;339;323;367;284;450;492;507;816;442;370;
