Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Comunidad de Madrid;;Comunidad de Madrid;0;0;0;0;509;8839;9348;38219;211927;250146;323492;284764;1281752;1566516;1502518;17.72;82.28;1826010;844.23;0;7790;574107;6436414;77.16;4.91;19.18;3033.3;0.15;1180.09;98.85;118.59;499.23;1627.75;2858;50537;287492;96.113;Terciario;4821;113402;1412874;752538
Zonas Estadísticas;01;Municipio de Madrid ;280796;01;Municipio de Madrid;604.66;134;4610;4744;17922;88619;106541;206214;188158;768889;957047;862118;19.30;80.70;1068332;5512.13;0;2505;206557;4004353;1.09;0.03;0.12;20.3;0.0;0.72;98.85;118.59;499.23;1627.75;1152;20347;139724;96.113;Terciario;1499;41056;815868;424848
Zonas Estadísticas;02;Norte Metropolitano ;0;0;0;0;40;277;317;2858;13692;16550;20633;17735;74256;91991;88225;18.95;81.05;108858;832.48;0;584;53490;412393;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;74;1936;12199;0;Terciario;284;5909;74527;39624
Zonas Estadísticas;03;Este Metropolitano  ;0;0;0;0;15;275;290;5328;34273;39601;22529;17186;110499;127685;145047;13.44;86.56;167576;1604.47;0;316;97033;473837;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;370;7394;30161;0;Terciario;236;16646;105579;59022
Zonas Estadísticas;04;Sur Metropolitano   ;0;0;0;0;56;776;832;7582;46898;54480;35364;27726;187966;215692;235640;13.05;86.95;271004;1779.38;0;789;142824;796908;0.49;0.37;0.68;329.54;0.01;31.72;0;0;0;0;666;13704;64238;0;Terciario;582;27764;186456;104038
Zonas Estadísticas;05;Oeste Metropolitano ;0;0;0;0;85;529;614;1745;8270;10015;24812;22982;80055;103037;88854;21.83;78.17;113666;1015.02;0;921;22022;466848;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;106;1959;15775;0;Terciario;309;6468;132577;69071
Zonas Estadísticas;06;Sierra Norte        ;0;0;0;0;24;233;257;180;865;1045;1949;1745;7114;8859;8212;19.18;80.82;10161;32.28;0;353;2012;21656;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;39;338;1825;0;Terciario;261;1010;7945;4531
Zonas Estadísticas;07;Nordeste Comunidad  ;0;0;0;0;16;61;77;523;4878;5401;1721;1182;9305;10487;14244;10.78;89.22;15965;167.98;0;219;11019;36869;0.3;0.16;0.53;278.13;0.01;29.2;0;0;0;0;31;640;2975;0;Terciario;151;2093;10962;6319
Zonas Estadísticas;08;Sudeste Comunidad   ;0;0;0;0;41;1501;1542;639;6757;7396;2250;1570;9213;10783;17471;11.41;88.59;19721;74.87;0;955;14448;46713;0.97;1.44;1.66;799.13;0.04;63.53;0;0;0;0;185;1498;5175;0;Terciario;664;3634;16980;10147
Zonas Estadísticas;09;Sudoeste Comunidad  ;0;0;0;0;63;325;388;806;4698;5504;4008;3139;18847;21986;23870;14.38;85.62;27878;242.87;0;562;15290;78504;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;102;1221;5860;0;Terciario;416;4590;23999;13962
