Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;poblacion_0a4_2022;poblacion_0a4_2023;poblacion_5a9_2022;poblacion_5a9_2023;poblacion_10a14_2022;poblacion_10a14_2023;poblacion_15a19_2022;poblacion_15a19_2023;poblacion_20a24_2022;poblacion_20a24_2023;poblacion_25a29_2022;poblacion_25a29_2023;poblacion_30a34_2022;poblacion_30a34_2023;poblacion_35a39_2022;poblacion_35a39_2023;poblacion_40a44_2022;poblacion_40a44_2023;poblacion_45a49_2022;poblacion_45a49_2023;poblacion_50a54_2022;poblacion_50a54_2023;poblacion_55a59_2022;poblacion_55a59_2023;poblacion_60a64_2022;poblacion_60a64_2023;poblacion_65a69_2022;poblacion_65a69_2023;poblacion_70a74_2022;poblacion_70a74_2023;poblacion_75a79_2022;poblacion_75a79_2023;poblacion_80a84_2022;poblacion_80a84_2023;poblacion_85a89_2022;poblacion_85a89_2023;poblacion_90a94_2022;poblacion_90a94_2023;poblacion_95a99_2022;poblacion_95a99_2023;poblacion_100_2022;poblacion_100_2023;poblacion_total_2022;poblacion_censada_2023;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023;distancia_capital;ocupados_primario_2022;ocupados_primario_2023;ocupados_secundario_2022;ocupados_secundario_2023;ocupados_terciario_2022;ocupados_terciario_2023;ocupados_total_2023;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023;paro_primario_2022;paro_primario_2023;paro_secundario_2022;paro_secundario_2023;paro_terciario_2022;paro_terciario_2023;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023;unidades_productivas_total_2022;unidades_productivas_total_2023
Comunidad de Madrid;;Comunidad de Madrid;0;0;0;0;276482;269120;332967;330560;363387;367599;351922;366978;350099;372574;386115;407555;419675;435389;469777;464923;557490;546275;589165;597127;530767;542877;475774;489564;404355;414824;329292;339376;294621;298329;242182;253085;163563;166755;126476;126154;60725;63574;16353;17054;2067;2211;6743254;6871903;3579;3500;4580;3335;8159;6835;144864;147188;124966;86823;269830;234011;1075628;1032501;927185;881813;1244885;1010490;2172070;1892303;1374431;1100648;43.90;48.40;56.10;51.60;2450059;2133149;0.25;1.91;839.67;855.68;43.02;43.10;47.98;48.18;31.37;31.59;18.32;18.43;9.07;9.15;3.05;3.04;14.43;14.08;24.84;24.84;36.79;37.10;52.02;51.82;0;9131;9160;584681;602497;6612360;6865218;3646529;77.16;4.91;19.18;3033.3;0.15;1180.09;98.85;118.59;499.23;1627.75;126654;113560;316216;291820;189562;178260;23007;23162;5.03;4.59;339223;314982;93.22;92.65;6.78;7.35;-23.19;-7.15;2828;2445;45192;40543;269385;249858;4770;4745;115462;116529;1426985;1433316;760967;764737
Zonas Estadísticas;01;Municipio de Madrid ;280796;01;Municipio de Madrid;604.66;126754;124448;140055;140109;148131;150484;148191;154206;168043;180665;211135;228310;225573;239794;230201;231133;251418;248990;263776;265700;248071;251449;237398;241670;203075;209042;159728;165765;142940;143320;129764;132034;98450;98336;82107;80430;40185;41780;10691;11079;1341;1432;;3340176;1534;1603;2602;1478;4136;3081;72326;74090;46660;32251;118986;106341;699901;666176;626041;590483;798088;657690;1424129;1248173;847350;691419;45.24;49.07;54.76;50.93;1547251;1357595;-0.32;2.24;5400.22;5521.13;44.48;44.35;49.51;49.16;33.84;33.68;20.36;20.18;11.10;10.93;4.11;4.03;12.70;12.43;22.38;22.45;35.75;36.47;50.49;50.84;0;3175;3177;210068;217858;4095186;4268525;2220038;1.09;0.03;0.12;20.3;0.0;0.72;98.85;118.59;499.23;1627.75;58938;54392;149239;138992;90301;84600;10172;10271;4.86;4.48;159411;149263;93.62;93.12;6.38;6.88;-25.66;-6.37;1192;955;18210;16552;129246;120703;1520;1539;41987;43033;818258;823488;426663;429800
Zonas Estadísticas;02;Norte Metropolitano ;0;0;0;0;15904;15539;20953;20773;21907;22549;20783;21647;19599;20516;19009;19588;20144;20609;24751;24291;30483;30049;32365;33132;28131;29135;25051;25743;20379;21146;16233;16503;14418;14808;10413;11337;5998;6277;4171;4257;1932;2112;594;612;71;65;;360688;92;123;101;162;193;285;9267;8901;10860;7264;20127;16165;60734;57355;51375;48331;70602;53526;121977;101857;81563;60952;42.68;48.48;57.32;51.52;142297;118307;0.71;2.09;836.19;853.70;40.91;41.12;45.22;45.78;28.10;28.52;15.24;15.52;6.56;6.84;1.92;1.95;16.63;16.32;28.06;28.01;39.15;39.15;54.78;54.22;0;628;623;54764;57037;421596;437806;237210;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5156;4440;13224;11985;8068;7545;767;772;3.96;3.53;13991;12757;94.52;93.95;5.48;6.05;-22.93;-8.82;70;62;1724;1519;11654;10595;300;287;6061;6086;75594;76139;40244;40519
Zonas Estadísticas;03;Este Metropolitano  ;0;0;0;0;29600;28669;36348;36120;39893;40063;37091;39153;34032;35815;34623;35264;40687;41094;50149;48876;61200;59875;62835;63880;53619;54978;45971;47674;41222;41358;34894;36231;28228;29523;19376;20816;11189;11757;7671;7870;3444;3671;905;974;108;114;;683775;79;144;150;79;229;223;17901;20173;21828;17607;39729;37780;73322;77781;55342;57464;92363;68494;147705;125958;114341;86180;39.07;47.44;60.93;52.56;187663;163961;0.99;1.59;1622.32;1648.09;41.52;41.77;45.98;46.63;28.68;29.25;15.72;16.23;6.34;6.61;1.80;1.85;15.72;15.33;26.29;26.30;37.48;37.47;54.02;53.37;0;397;390;98782;102131;495725;506396;285030;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;14486;12675;35481;32385;20995;19710;2917;2911;5.70;5.15;38398;35296;92.40;91.75;7.60;8.25;-20.32;-8.08;385;402;6803;5951;28919;26729;230;224;16871;16737;106675;106007;59749;59383
Zonas Estadísticas;04;Sur Metropolitano   ;0;0;0;0;56035;53278;71225;70105;78351;79217;72145;75490;65734;69437;65993;67417;75659;75393;93578;90545;121675;116947;124366;127502;103723;107246;84924;88531;75010;75297;70012;69942;67676;68221;51231;55281;28038;29610;17453;18172;7251;7748;1887;1970;260;286;;1347635;497;260;734;651;1231;911;27775;27154;28744;18126;56519;45280;122740;121260;94468;93846;169833;131144;264301;224990;199311;149921;38.11;44.72;61.89;55.28;322051;271181;0.00;1.16;1765.96;1786.39;42.48;42.74;47.43;48.22;30.31;30.80;18.30;18.64;7.97;8.39;2.02;2.09;15.43;15.03;25.78;25.79;36.42;36.39;52.57;51.78;0;1441;1745;145360;148465;826019;844354;471069;0.49;0.37;0.68;329.54;0.01;31.72;0;0;0;0;30546;26582;71998;65587;41452;39005;6067;6114;5.88;5.33;78065;71701;92.23;91.47;7.77;8.53;-21.81;-8.15;578;511;11974;10581;60038;55192;556;556;27893;27784;188376;187651;105173;104811
Zonas Estadísticas;05;Oeste Metropolitano ;0;0;0;0;21691;21287;29019;28698;34849;34812;36493;37473;31648;33439;27058;28091;25372;26005;30008;29630;38033;37023;46378;46165;44705;45868;38850;40097;30366;31832;22888;23882;20729;21051;15638;16842;9250;9902;6434;6659;3339;3450;977;1046;145;144;;523396;157;139;311;195;468;334;6316;5911;2863;1773;9179;7684;68204;61567;61731;55517;60961;53096;122692;108613;64135;55064;51.54;52.79;48.46;47.21;132339;116631;1.48;1.85;1033.88;1053.05;40.97;41.24;46.65;47.18;28.92;29.60;15.45;15.85;6.96;7.27;2.12;2.16;16.65;16.20;29.91;29.75;40.11;40.09;53.35;52.82;0;894;658;22094;23607;473927;494925;256846;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5736;5111;16564;15364;10828;10253;820;815;3.39;3.10;17384;16179;95.28;94.96;4.72;5.04;-21.22;-6.93;110;86;1742;1599;14770;13625;320;328;6753;6924;136339;137980;71093;71991
Zonas Estadísticas;06;Sierra Norte        ;0;0;0;0;1786;1793;2432;2372;2610;2684;2353;2482;2182;2235;2019;2139;2336;2358;2963;2909;3978;3926;4469;4554;4096;4177;3548;3705;2768;2938;2213;2331;1742;1855;1430;1481;1030;1027;859;888;482;498;161;165;21;24;;46541;49;37;53;15;102;52;788;890;2396;2031;3184;2921;5287;5560;4450;4633;6497;5534;10947;10167;8946;7580;37.15;42.31;62.85;57.69;14233;13140;1.64;2.34;33.80;34.59;43.32;43.56;50.18;50.80;31.34;32.04;17.45;17.77;8.76;8.77;3.35;3.38;15.01;14.72;24.99;24.85;34.56;34.51;49.82;49.20;0;298;286;2127;2185;24561;27844;15026;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;841;770;2157;2125;1316;1355;132;121;5.05;4.83;2289;2246;94.23;94.61;5.77;5.39;-19.49;-1.88;50;42;293;276;1822;1785;251;243;1051;1072;8215;8169;4679;4662
Zonas Estadísticas;07;Nordeste Comunidad  ;0;0;0;0;3054;3007;4170;4003;4957;4955;4491;4722;3694;3958;3330;3431;3889;4011;4897;4834;6566;6346;7244;7376;6305;6579;4834;5159;3585;3849;2546;2702;1979;2051;1447;1593;842;867;724;731;348;341;79;87;11;12;;70614;31;51;23;24;54;75;1898;1950;5143;3572;7041;5522;6119;5971;4190;3970;10527;10698;14717;14668;15693;14294;28.05;29.46;71.95;70.54;21812;20265;1.63;2.35;173.83;177.92;39.44;39.80;43.40;44.39;23.76;24.63;11.56;11.87;5.00;5.14;1.68;1.66;17.66;16.94;29.52;29.24;39.98;39.78;56.60;55.61;0;230;224;10828;10365;38633;40442;23456;0.3;0.16;0.53;278.13;0.01;29.2;0;0;0;0;1268;1120;3377;3090;2109;1970;234;271;5.24;4.77;3611;3361;93.52;91.94;6.48;8.06;-18.23;-6.92;26;30;595;551;2832;2607;153;147;2111;2175;11218;11266;6460;6506
Zonas Estadísticas;08;Sudeste Comunidad   ;0;0;0;0;5225;5068;6353;6428;6956;6972;6399;6793;5562;5760;5510;5595;6852;6891;8542;8497;10488;10516;10491;10831;9127;9417;7904;8231;6806;7088;5134;5429;3971;4146;2994;3209;2125;2092;1785;1811;921;951;261;269;23;22;;116016;710;715;400;483;1110;1198;2602;2197;3097;1992;5699;4189;8556;8463;5244;5551;8010;7065;13254;12616;11507;9540;42.65;47.01;57.35;52.99;20063;18003;1.94;2.28;78.05;79.83;41.37;41.61;45.44;46.11;28.14;28.66;15.18;15.45;7.15;7.20;2.64;2.63;16.34;15.92;26.88;26.74;37.78;37.50;54.56;53.89;0;943;933;15352;15431;51958;52349;31471;0.97;1.44;1.66;799.13;0.04;63.53;0;0;0;0;2743;2405;6620;6083;3877;3678;520;535;6.32;5.71;7140;6618;92.72;91.92;7.28;8.08;-16.09;-7.31;187;174;1330;1234;5164;4731;630;635;3593;3562;17536;17335;10423;10315
Zonas Estadísticas;09;Sudoeste Comunidad  ;0;0;0;0;8059;7792;10840;10659;11269;11623;9669;10269;7484;7938;6845;6891;8307;8146;11687;11407;15992;15685;15550;16395;12389;12945;9387;10065;7188;7525;5677;5948;4490;4710;3255;3469;2049;2157;1864;1873;1011;1105;309;324;28;37;;156963;296;317;101;70;397;387;3658;3666;2102;1348;5760;5014;16283;15492;12329;11509;12560;10712;24889;22221;14763;12130;52.45;56.09;47.55;43.91;31046;27622;2.40;2.36;253.93;259.91;38.81;39.17;41.21;42.40;22.99;23.71;12.18;12.50;5.55;5.71;2.09;2.13;19.67;19.16;30.86;30.76;40.74;40.34;58.79;57.60;0;522;535;15771;15889;83685;88489;50164;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3051;2645;7057;6378;4006;3733;657;640;5.04;4.49;7714;7018;91.48;90.88;8.52;9.12;-17.98;-9.02;97;75;1148;1039;5883;5383;394;382;4719;4726;25071;25254;14553;14653
