Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1048982;1109294;
Zonas Estadísticas;01;Municipio de Madrid ;498488;521269;
Zonas Estadísticas;02;Norte Metropolitano ;52042;55087;
Zonas Estadísticas;03;Este Metropolitano  ;90949;95669;
Zonas Estadísticas;04;Sur Metropolitano   ;172142;182923;
Zonas Estadísticas;05;Oeste Metropolitano ;80061;84791;
Zonas Estadísticas;06;Sierra Norte        ;6001;6338;
Zonas Estadísticas;07;Nordeste Comunidad  ;8631;9376;
Zonas Estadísticas;08;Sudeste Comunidad   ;13416;14330;
Zonas Estadísticas;09;Sudoeste Comunidad  ;17376;18881;
Zonas Estadísticas;10;Sierra Sur          ;4286;4566;
Zonas Estadísticas;11;Sierra Central      ;27890;29859;
Municipios;0014;Acebeda (La);20;22;
Municipios;0029;Ajalvir;628;701;
Municipios;0035;Alameda del Valle;36;34;
Municipios;0040;Alamo (El);1140;1225;
Municipios;0053;Alcalá de Henares;25955;27309;
Municipios;0066;Alcobendas;17449;18536;
Municipios;0072;Alcorcón;24260;26198;
Municipios;0088;Aldea del Fresno;288;303;
Municipios;0091;Algete;3385;3509;
Municipios;0105;Alpedrete;2434;2617;
Municipios;0112;Ambite;93;95;
Municipios;0127;Anchuelo;155;170;
Municipios;0133;Aranjuez;6772;7130;
Municipios;0148;Arganda del Rey;7055;7530;
Municipios;0151;Arroyomolinos;3337;3753;
Municipios;0164;Atazar (El);24;22;
Municipios;0170;Batres;253;267;
Municipios;0186;Becerril de la Sierra;861;957;
Municipios;0199;Belmonte de Tajo;231;225;
Municipios;0210;Berrueco (El);86;91;
Municipios;0203;Berzosa del Lozoya;28;27;
Municipios;0225;Boadilla del Monte;9081;9999;
Municipios;0231;Boalo (El);1191;1284;
Municipios;0246;Braojos;55;54;
Municipios;0259;Brea de Tajo;76;69;
Municipios;0262;Brunete;1573;1656;
Municipios;0278;Buitrago del Lozoya;304;300;
Municipios;0284;Bustarviejo;352;369;
Municipios;0297;Cabanillas de la Sierra;132;131;
Municipios;0301;Cabrera (La);386;421;
Municipios;0318;Cadalso de los Vidrios;332;343;
Municipios;0323;Camarma de Esteruelas;941;987;
Municipios;0339;Campo Real;778;845;
Municipios;0344;Canencia;73;69;
Municipios;0357;Carabaña;214;254;
Municipios;0360;Casarrubuelos;443;478;
Municipios;0376;Cenicientos;208;225;
Municipios;0382;Cercedilla;1184;1256;
Municipios;0395;Cervera de Buitrago;21;15;
Municipios;0513;Chapinería;301;313;
Municipios;0528;Chinchón;733;784;
Municipios;0409;Ciempozuelos;3037;3309;
Municipios;0416;Cobeña;1117;1163;
Municipios;0468;Collado Mediano;1188;1244;
Municipios;0474;Collado Villalba;9858;10457;
Municipios;0455;Colmenar Viejo;7640;8039;
Municipios;0437;Colmenar de Oreja;1011;1069;
Municipios;0421;Colmenar del Arroyo;201;211;
Municipios;0442;Colmenarejo;1433;1580;
Municipios;0480;Corpa;68;74;
Municipios;0493;Coslada;11994;12272;
Municipios;0506;Cubas de la Sagra;731;799;
Municipios;0534;Daganzo de Arriba;1673;1819;
Municipios;0549;Escorial (El);2505;2619;
Municipios;0552;Estremera;149;148;
Municipios;0565;Fresnedillas de la Oliva;217;231;
Municipios;0571;Fresno de Torote;230;291;
Municipios;0587;Fuenlabrada;28836;29641;
Municipios;0590;Fuente el Saz de Jarama;962;1040;
Municipios;0604;Fuentidueña de Tajo;220;233;
Municipios;0611;Galapagar;5923;6254;
Municipios;0626;Garganta de los Montes;57;52;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;44;50;
Municipios;0647;Gascones;42;44;
Municipios;0650;Getafe;23805;25574;
Municipios;0663;Griñón;1401;1483;
Municipios;0679;Guadalix de la Sierra;929;990;
Municipios;0685;Guadarrama;2549;2686;
Municipios;0698;Hiruela (La);3;4;
Municipios;0702;Horcajo de la Sierra0Aoslos;19;25;
Municipios;0719;Horcajuelo de la Sierra;11;14;
Municipios;0724;Hoyo de Manzanares;1392;1425;
Municipios;0730;Humanes de Madrid;2231;2430;
Municipios;0745;Leganés;24870;26496;
Municipios;0758;Loeches;1171;1275;
Municipios;0761;Lozoya;80;77;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;153;170;
Municipios;0783;Madarcos;13;15;
Municipios;0796;Madrid;498488;521269;
Municipios;0800;Majadahonda;11265;11844;
Municipios;0822;Manzanares el Real;1283;1382;
Municipios;0838;Meco;1902;2000;
Municipios;0843;Mejorada del Campo;3209;3341;
Municipios;0856;Miraflores de la Sierra;926;998;
Municipios;0869;Molar (El);1079;1182;
Municipios;0875;Molinos (Los);707;710;
Municipios;0881;Montejo de la Sierra;49;50;
Municipios;0894;Moraleja de Enmedio;727;769;
Municipios;0908;Moralzarzal;2043;2212;
Municipios;0915;Morata de Tajuña;876;967;
Municipios;0920;Móstoles;26296;27298;
Municipios;0936;Navacerrada;451;471;
Municipios;0941;Navalafuente;188;204;
Municipios;0954;Navalagamella;319;369;
Municipios;0967;Navalcarnero;3396;3664;
Municipios;0973;Navarredonda y San Mamés;22;19;
Municipios;0992;Navas del Rey;291;319;
Municipios;1006;Nuevo Baztán;945;1012;
Municipios;1013;Olmeda de las Fuentes;52;51;
Municipios;1028;Orusco de Tajuña;133;156;
Municipios;1049;Paracuellos de Jarama;3111;3487;
Municipios;1065;Parla;13730;14867;
Municipios;1071;Patones;58;62;
Municipios;1087;Pedrezuela;750;820;
Municipios;1090;Pelayos de la Presa;281;299;
