Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2450059;2133149;
Zonas Estadísticas;01;Municipio de Madrid ;1547251;1357595;
Zonas Estadísticas;02;Norte Metropolitano ;142297;118307;
Zonas Estadísticas;03;Este Metropolitano  ;187663;163961;
Zonas Estadísticas;04;Sur Metropolitano   ;322051;271181;
Zonas Estadísticas;05;Oeste Metropolitano ;132339;116631;
Zonas Estadísticas;06;Sierra Norte        ;14233;13140;
Zonas Estadísticas;07;Nordeste Comunidad  ;21812;20265;
Zonas Estadísticas;08;Sudeste Comunidad   ;20063;18003;
Zonas Estadísticas;09;Sudoeste Comunidad  ;31046;27622;
Zonas Estadísticas;10;Sierra Sur          ;6302;5157;
Zonas Estadísticas;11;Sierra Central      ;25002;21287;
Municipios;0014;Acebeda (La);3970;3673;
Municipios;0029;Ajalvir;2512;2225;
Municipios;0035;Alameda del Valle;339;249;
Municipios;0040;Alamo (El);1731;1258;
Municipios;0053;Alcalá de Henares;57072;54091;
Municipios;0066;Alcobendas;55019;48082;
Municipios;0072;Alcorcón;40559;34839;
Municipios;0088;Aldea del Fresno;793;734;
Municipios;0091;Algete;5004;4068;
Municipios;0105;Alpedrete;2224;2083;
Municipios;0112;Ambite;251;136;
Municipios;0127;Anchuelo;359;467;
Municipios;0133;Aranjuez;26240;19181;
Municipios;0148;Arganda del Rey;14855;14582;
Municipios;0151;Arroyomolinos;8803;6894;
Municipios;0164;Atazar (El);129;172;
Municipios;0170;Batres;1099;296;
Municipios;0186;Becerril de la Sierra;899;741;
Municipios;0199;Belmonte de Tajo;680;526;
Municipios;0210;Berrueco (El);444;369;
Municipios;0203;Berzosa del Lozoya;463;665;
Municipios;0225;Boadilla del Monte;14122;14457;
Municipios;0231;Boalo (El);859;945;
Municipios;0246;Braojos;163;159;
Municipios;0259;Brea de Tajo;300;274;
Municipios;0262;Brunete;1782;1254;
Municipios;0278;Buitrago del Lozoya;795;723;
Municipios;0284;Bustarviejo;491;458;
Municipios;0297;Cabanillas de la Sierra;245;237;
Municipios;0301;Cabrera (La);570;385;
Municipios;0318;Cadalso de los Vidrios;628;510;
Municipios;0323;Camarma de Esteruelas;1756;1556;
Municipios;0339;Campo Real;1274;1845;
Municipios;0344;Canencia;308;391;
Municipios;0357;Carabaña;521;309;
Municipios;0360;Casarrubuelos;1922;1794;
Municipios;0376;Cenicientos;478;298;
Municipios;0382;Cercedilla;1752;1457;
Municipios;0395;Cervera de Buitrago;253;146;
Municipios;0513;Chapinería;479;391;
Municipios;0528;Chinchón;2015;1344;
Municipios;0409;Ciempozuelos;8089;6714;
Municipios;0416;Cobeña;1199;964;
Municipios;0468;Collado Mediano;971;863;
Municipios;0474;Collado Villalba;9501;7862;
Municipios;0455;Colmenar Viejo;9193;7666;
Municipios;0437;Colmenar de Oreja;1071;966;
Municipios;0421;Colmenar del Arroyo;946;670;
Municipios;0442;Colmenarejo;1009;814;
Municipios;0480;Corpa;99;103;
Municipios;0493;Coslada;33680;23501;
Municipios;0506;Cubas de la Sagra;1153;3010;
Municipios;0534;Daganzo de Arriba;4075;3523;
Municipios;0549;Escorial (El);2116;1812;
Municipios;0552;Estremera;673;624;
Municipios;0565;Fresnedillas de la Oliva;131;128;
Municipios;0571;Fresno de Torote;124;78;
Municipios;0587;Fuenlabrada;40498;30799;
Municipios;0590;Fuente el Saz de Jarama;1707;888;
Municipios;0604;Fuentidueña de Tajo;291;190;
Municipios;0611;Galapagar;2952;3988;
Municipios;0626;Garganta de los Montes;36;41;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;111;66;
Municipios;0647;Gascones;50;48;
Municipios;0650;Getafe;78535;67618;
Municipios;0663;Griñón;3326;3089;
Municipios;0679;Guadalix de la Sierra;1114;770;
Municipios;0685;Guadarrama;3275;2883;
Municipios;0698;Hiruela (La);51;35;
Municipios;0702;Horcajo de la Sierra-Aoslos;75;72;
Municipios;0719;Horcajuelo de la Sierra;272;50;
Municipios;0724;Hoyo de Manzanares;1188;546;
Municipios;0730;Humanes de Madrid;6787;5416;
Municipios;0745;Leganés;35999;35354;
Municipios;0758;Loeches;2922;2149;
Municipios;0761;Lozoya;463;439;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;405;376;
Municipios;0783;Madarcos;495;512;
Municipios;0796;Madrid;1547251;1357595;
Municipios;0800;Majadahonda;17796;16304;
Municipios;0822;Manzanares el Real;646;648;
Municipios;0838;Meco;10215;11170;
Municipios;0843;Mejorada del Campo;3546;3141;
Municipios;0856;Miraflores de la Sierra;613;709;
Municipios;0869;Molar (El);760;935;
Municipios;0875;Molinos (Los);336;341;
Municipios;0881;Montejo de la Sierra;137;117;
Municipios;0894;Moraleja de Enmedio;1131;913;
Municipios;0908;Moralzarzal;1534;1287;
Municipios;0915;Morata de Tajuña;764;705;
Municipios;0920;Móstoles;23408;19529;
Municipios;0936;Navacerrada;543;391;
Municipios;0941;Navalafuente;131;122;
Municipios;0954;Navalagamella;174;231;
Municipios;0967;Navalcarnero;4793;4219;
Municipios;0973;Navarredonda y San Mamés;84;184;
Municipios;0992;Navas del Rey;273;303;
Municipios;1006;Nuevo Baztán;620;598;
Municipios;1013;Olmeda de las Fuentes;44;38;
Municipios;1028;Orusco de Tajuña;97;90;
Municipios;1049;Paracuellos de Jarama;4297;3087;
Municipios;1065;Parla;16151;11253;
Municipios;1071;Patones;116;110;
Municipios;1087;Pedrezuela;543;500;
Municipios;1090;Pelayos de la Presa;473;347;
Municipios;1104;Perales de Tajuña;393;310;
Municipios;1111;Pezuela de las Torres;109;137;
Municipios;1126;Pinilla del Valle;39;38;
Municipios;1132;Pinto;19262;15173;
Municipios;1147;Piñuécar-Gandullas;21;13;
Municipios;1150;Pozuelo de Alarcón;38640;33391;
Municipios;1163;Pozuelo del Rey;126;83;
Municipios;1179;Prádena del Rincón;27;25;
Municipios;1185;Puebla de la Sierra;9;17;
Municipios;9020;Puentes Viejas;95;27;
Municipios;1198;Quijorna;383;217;
Municipios;1202;Rascafría;301;309;
Municipios;1219;Redueña;42;42;
Municipios;1224;Ribatejada;123;136;
Municipios;1230;Rivas-Vaciamadrid;19608;16196;
Municipios;1245;Robledillo de la Jara;24;23;
Municipios;1258;Robledo de Chavela;604;610;
Municipios;1261;Robregordo;11;10;
Municipios;1277;Rozas de Madrid (Las);31717;25757;
Municipios;1283;Rozas de Puerto Real;146;96;
Municipios;1296;San Agustín del Guadalix;3989;2664;
Municipios;1300;San Fernando de Henares;16682;15198;
Municipios;1317;San Lorenzo de El Escorial;4341;2793;
Municipios;1338;San Martín de Valdeiglesias;1523;1255;
Municipios;1322;San Martín de la Vega;3956;3052;
Municipios;1343;San Sebastián de los Reyes;41805;32343;
Municipios;1356;Santa María de la Alameda;111;88;
Municipios;1369;Santorcaz;81;80;
Municipios;1375;Santos de la Humosa (Los);159;123;
Municipios;1381;Serna del Monte (La);7;17;
Municipios;1408;Serranillos del Valle;614;465;
Municipios;1415;Sevilla la Nueva;1241;1291;
Municipios;1436;Somosierra;37;31;
Municipios;1441;Soto del Real;864;700;
