Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1566516
Zonas Estadísticas;01;Municipio de Madrid ;957047
Zonas Estadísticas;02;Norte Metropolitano ;91991
Zonas Estadísticas;03;Este Metropolitano  ;127685
Zonas Estadísticas;04;Sur Metropolitano   ;215692
Zonas Estadísticas;05;Oeste Metropolitano ;103037
Zonas Estadísticas;06;Sierra Norte        ;8859
Zonas Estadísticas;07;Nordeste Comunidad  ;10487
Zonas Estadísticas;08;Sudeste Comunidad   ;10783
Zonas Estadísticas;09;Sudoeste Comunidad  ;21986
Zonas Estadísticas;10;Sierra Sur          ;3817
Zonas Estadísticas;11;Sierra Central      ;15132
Municipios;0014;Acebeda (La);1366
Municipios;0029;Ajalvir;1308
Municipios;0035;Alameda del Valle;159
Municipios;0040;Alamo (El);1212
Municipios;0053;Alcalá de Henares;42096
Municipios;0066;Alcobendas;35119
Municipios;0072;Alcorcón;35826
Municipios;0088;Aldea del Fresno;420
Municipios;0091;Algete;3327
Municipios;0105;Alpedrete;1286
Municipios;0112;Ambite;77
Municipios;0127;Anchuelo;143
Municipios;0133;Aranjuez;12471
Municipios;0148;Arganda del Rey;7360
Municipios;0151;Arroyomolinos;4876
Municipios;0164;Atazar (El);165
Municipios;0170;Batres;1555
Municipios;0186;Becerril de la Sierra;359
Municipios;0199;Belmonte de Tajo;1580
Municipios;0210;Berrueco (El);343
Municipios;0203;Berzosa del Lozoya;294
Municipios;0225;Boadilla del Monte;10571
Municipios;0231;Boalo (El);560
Municipios;0246;Braojos;170
Municipios;0259;Brea de Tajo;189
Municipios;0262;Brunete;1151
Municipios;0278;Buitrago del Lozoya;749
Municipios;0284;Bustarviejo;474
Municipios;0297;Cabanillas de la Sierra;100
Municipios;0301;Cabrera (La);349
Municipios;0318;Cadalso de los Vidrios;388
Municipios;0323;Camarma de Esteruelas;1017
Municipios;0339;Campo Real;598
Municipios;0344;Canencia;195
Municipios;0357;Carabaña;120
Municipios;0360;Casarrubuelos;1728
Municipios;0376;Cenicientos;445
Municipios;0382;Cercedilla;1176
Municipios;0395;Cervera de Buitrago;70
Municipios;0513;Chapinería;251
Municipios;0528;Chinchón;1598
Municipios;0409;Ciempozuelos;7033
Municipios;0416;Cobeña;571
Municipios;0468;Collado Mediano;494
Municipios;0474;Collado Villalba;6461
Municipios;0455;Colmenar Viejo;7015
Municipios;0437;Colmenar de Oreja;491
Municipios;0421;Colmenar del Arroyo;363
Municipios;0442;Colmenarejo;584
Municipios;0480;Corpa;40
Municipios;0493;Coslada;26850
Municipios;0506;Cubas de la Sagra;611
Municipios;0534;Daganzo de Arriba;1150
Municipios;0549;Escorial (El);1360
Municipios;0552;Estremera;237
Municipios;0565;Fresnedillas de la Oliva;73
Municipios;0571;Fresno de Torote;59
Municipios;0587;Fuenlabrada;27212
Municipios;0590;Fuente el Saz de Jarama;443
Municipios;0604;Fuentidueña de Tajo;138
Municipios;0611;Galapagar;2089
Municipios;0626;Garganta de los Montes;15
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;34
Municipios;0647;Gascones;34
Municipios;0650;Getafe;54238
Municipios;0663;Griñón;1383
Municipios;0679;Guadalix de la Sierra;790
Municipios;0685;Guadarrama;1979
Municipios;0698;Hiruela (La);21
Municipios;0702;Horcajo de la Sierra-Aoslos;44
Municipios;0719;Horcajuelo de la Sierra;22
Municipios;0724;Hoyo de Manzanares;464
Municipios;0730;Humanes de Madrid;2871
Municipios;0745;Leganés;25089
Municipios;0758;Loeches;851
Municipios;0761;Lozoya;643
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;221
Municipios;0783;Madarcos;471
Municipios;0796;Madrid;957047
Municipios;0800;Majadahonda;11555
Municipios;0822;Manzanares el Real;508
Municipios;0838;Meco;6557
Municipios;0843;Mejorada del Campo;2146
Municipios;0856;Miraflores de la Sierra;542
Municipios;0869;Molar (El);410
Municipios;0875;Molinos (Los);243
Municipios;0881;Montejo de la Sierra;95
Municipios;0894;Moraleja de Enmedio;3329
Municipios;0908;Moralzarzal;1004
Municipios;0915;Morata de Tajuña;418
Municipios;0920;Móstoles;12727
Municipios;0936;Navacerrada;280
Municipios;0941;Navalafuente;70
Municipios;0954;Navalagamella;105
Municipios;0967;Navalcarnero;3008
Municipios;0973;Navarredonda y San Mamés;55
Municipios;0992;Navas del Rey;258
Municipios;1006;Nuevo Baztán;456
Municipios;1013;Olmeda de las Fuentes;43
Municipios;1028;Orusco de Tajuña;79
Municipios;1049;Paracuellos de Jarama;2450
Municipios;1065;Parla;7518
Municipios;1071;Patones;146
Municipios;1087;Pedrezuela;518
Municipios;1090;Pelayos de la Presa;251
Municipios;1104;Perales de Tajuña;161
Municipios;1111;Pezuela de las Torres;58
Municipios;1126;Pinilla del Valle;19
Municipios;1132;Pinto;11949
Municipios;1147;Piñuécar-Gandullas;9
Municipios;1150;Pozuelo de Alarcón;31995
Municipios;1163;Pozuelo del Rey;48
Municipios;1179;Prádena del Rincón;20
Municipios;1185;Puebla de la Sierra;21
Municipios;9020;Puentes Viejas;51
Municipios;1198;Quijorna;306
Municipios;1202;Rascafría;218
Municipios;1219;Redueña;42
