Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Industria. Contratos temporales registrados en las oficinas de empleo en industria. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;56110;54899;57245;51297;51444;91148;105381;111373;118095;120392;124221;97586;124249;87515;66989;
Zonas Estadísticas;01;Municipio de Madrid ;27992;26315;28636;26937;26960;35601;35396;33348;30991;31325;33259;26924;36315;25806;20936;
Zonas Estadísticas;02;Norte Metropolitano ;2460;2980;3875;3233;3138;7782;8560;8791;10060;9328;9014;7582;10822;9078;6451;
Zonas Estadísticas;03;Este Metropolitano  ;7800;7280;7537;6448;6714;17287;22039;23380;27768;27102;29106;21630;24510;17782;15434;
Zonas Estadísticas;04;Sur Metropolitano   ;11891;11886;11196;8503;8507;19123;26094;29859;31229;34642;34772;27606;34213;22496;14933;
Zonas Estadísticas;05;Oeste Metropolitano ;1277;1533;1682;1398;1206;1823;2232;2504;2775;2708;2504;2061;2219;1209;907;
Zonas Estadísticas;06;Sierra Norte        ;373;214;174;178;149;199;286;386;353;295;262;316;449;2162;1938;
Zonas Estadísticas;07;Nordeste Comunidad  ;1404;1505;1173;1274;1151;2041;2898;4270;5124;5792;6377;4060;6638;4718;3356;
Zonas Estadísticas;08;Sudeste Comunidad   ;1307;1508;1312;1790;2086;4928;4964;5708;6530;5959;5866;5177;6461;2628;1654;
Zonas Estadísticas;09;Sudoeste Comunidad  ;992;1162;1174;985;968;1700;2071;2220;2025;2216;1967;1481;1931;1185;982;
Zonas Estadísticas;10;Sierra Sur          ;158;136;139;132;110;121;176;233;557;394;400;318;208;180;180;
Zonas Estadísticas;11;Sierra Central      ;456;380;347;419;455;543;665;674;683;631;694;431;483;271;218;
Municipios;0014;Acebeda (La);14;16;6;9;9;27;47;20;11;8;19;4;10;1865;1793;
Municipios;0029;Ajalvir;290;245;251;524;526;547;723;805;974;949;752;221;382;303;285;
Municipios;0035;Alameda del Valle;10;0;1;0;3;2;0;3;2;6;2;0;5;0;2;
Municipios;0040;Alamo (El);64;83;69;48;32;32;41;53;46;69;53;60;55;41;31;
Municipios;0053;Alcalá de Henares;1564;1657;1772;1540;1478;4171;6004;6241;7503;8199;9110;8677;9768;7955;8392;
Municipios;0066;Alcobendas;934;1296;1641;1196;1125;3252;3932;3463;3286;3863;4186;3042;3838;2708;2871;
Municipios;0072;Alcorcón;835;616;642;507;455;1450;1933;1900;2060;2449;2809;2082;2082;1676;1486;
Municipios;0088;Aldea del Fresno;1;1;1;0;3;1;10;18;6;6;5;1;1;7;7;
Municipios;0091;Algete;217;283;371;423;337;454;523;526;575;567;621;542;525;360;260;
Municipios;0105;Alpedrete;39;12;26;20;23;24;24;54;35;38;54;34;70;21;32;
Municipios;0112;Ambite;2;1;4;0;2;0;0;3;1;2;1;1;2;0;0;
Municipios;0127;Anchuelo;1;3;2;2;9;20;9;70;43;356;659;155;195;6;0;
Municipios;0133;Aranjuez;791;862;714;432;538;604;544;1638;2454;3076;4273;3270;4388;3692;1729;
Municipios;0148;Arganda del Rey;1938;2011;2092;1673;1893;4254;5139;5881;6113;4271;3911;2349;2379;1790;1170;
Municipios;0151;Arroyomolinos;94;151;111;76;140;155;136;166;165;166;170;140;196;67;43;
Municipios;0164;Atazar (El);15;7;2;10;0;7;20;21;2;18;4;1;0;2;0;
Municipios;0170;Batres;1;5;4;7;1;1;3;6;14;10;3;5;11;2;0;
Municipios;0186;Becerril de la Sierra;19;6;4;6;10;12;10;12;11;19;12;9;14;15;9;
Municipios;0199;Belmonte de Tajo;5;8;2;2;12;11;11;10;18;15;17;25;43;14;5;
Municipios;0210;Berrueco (El);5;3;2;6;2;1;1;3;88;59;1;0;1;0;2;
Municipios;0203;Berzosa del Lozoya;6;1;1;2;0;1;1;4;2;1;2;0;0;0;0;
Municipios;0225;Boadilla del Monte;172;143;184;148;145;152;103;142;308;227;229;196;260;76;50;
Municipios;0231;Boalo (El);12;5;14;5;15;17;23;27;49;19;48;37;25;7;2;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
Municipios;0259;Brea de Tajo;4;0;3;0;0;0;0;2;1;2;1;1;1;0;0;
Municipios;0262;Brunete;6;5;35;7;42;45;27;14;37;37;31;32;33;23;18;
Municipios;0278;Buitrago del Lozoya;92;13;5;8;1;5;6;4;3;5;2;1;6;2;1;
Municipios;0284;Bustarviejo;6;14;10;3;1;2;4;13;14;8;14;10;1;2;5;
Municipios;0297;Cabanillas de la Sierra;2;2;3;3;0;3;0;7;1;0;0;0;0;1;0;
Municipios;0301;Cabrera (La);13;14;3;6;7;8;10;13;2;5;7;1;2;5;5;
Municipios;0318;Cadalso de los Vidrios;20;19;13;13;24;25;29;33;36;65;78;73;26;3;40;
Municipios;0323;Camarma de Esteruelas;614;467;180;192;237;373;630;594;968;826;869;1116;1448;474;506;
Municipios;0339;Campo Real;144;188;115;135;170;187;232;422;473;307;249;307;235;208;101;
Municipios;0344;Canencia;2;1;5;3;1;1;2;2;2;0;0;67;48;1;0;
Municipios;0357;Carabaña;3;0;0;2;4;1;1;2;1;2;3;8;4;20;10;
Municipios;0360;Casarrubuelos;27;25;58;52;15;94;55;43;42;70;55;51;41;17;27;
Municipios;0376;Cenicientos;23;23;16;12;9;21;12;11;11;12;8;10;13;8;1;
Municipios;0382;Cercedilla;27;17;27;20;45;4;11;7;5;4;1;5;3;0;1;
Municipios;0395;Cervera de Buitrago;2;0;2;0;1;1;1;0;0;0;3;2;1;1;1;
Municipios;0513;Chapinería;8;15;16;20;8;7;3;28;23;21;12;9;4;1;2;
Municipios;0528;Chinchón;45;25;29;10;18;34;55;74;160;163;113;55;92;83;17;
Municipios;0409;Ciempozuelos;220;234;199;135;263;169;199;242;293;261;280;278;356;197;125;
Municipios;0416;Cobeña;51;59;72;68;54;147;231;273;355;173;94;173;252;129;44;
Municipios;0468;Collado Mediano;24;22;7;8;3;11;11;13;6;8;12;3;4;4;5;
Municipios;0474;Collado Villalba;256;461;469;323;211;291;377;426;426;403;252;324;338;103;71;
Municipios;0455;Colmenar Viejo;160;267;335;247;290;291;339;362;335;368;399;460;656;372;170;
Municipios;0437;Colmenar de Oreja;64;43;70;47;72;76;67;80;80;87;71;64;61;36;43;
Municipios;0421;Colmenar del Arroyo;7;8;12;16;8;7;5;8;66;37;47;35;54;40;29;
Municipios;0442;Colmenarejo;29;28;17;19;15;18;18;23;32;31;28;19;26;19;7;
Municipios;0480;Corpa;4;8;7;4;1;4;1;0;0;3;2;0;1;0;0;
Municipios;0493;Coslada;424;407;497;421;323;923;926;1173;1292;1188;1161;641;875;1075;1078;
Municipios;0506;Cubas de la Sagra;73;48;44;54;30;52;77;60;66;84;126;145;151;86;102;
Municipios;0534;Daganzo de Arriba;274;281;223;200;212;700;944;1648;1471;2343;2404;1552;2780;1797;1648;
Municipios;0549;Escorial (El);12;15;18;11;12;11;17;7;25;12;14;8;18;12;6;
Municipios;0552;Estremera;0;0;0;1;1;3;3;4;9;4;8;8;9;4;6;
Municipios;0565;Fresnedillas de la Oliva;3;5;6;6;8;7;9;12;18;21;8;4;2;0;1;
Municipios;0571;Fresno de Torote;7;4;1;1;1;5;3;1;0;18;22;6;16;3;2;
Municipios;0587;Fuenlabrada;2574;2599;2356;1799;1656;4354;6712;6778;7194;6778;6355;5619;5955;3758;2658;
Municipios;0590;Fuente el Saz de Jarama;96;124;114;99;155;183;311;261;259;224;198;94;168;67;46;
Municipios;0604;Fuentidueña de Tajo;20;22;22;22;19;18;14;13;30;29;46;45;28;21;17;
Municipios;0611;Galapagar;34;43;29;37;10;26;24;31;20;30;47;58;40;25;35;
Municipios;0626;Garganta de los Montes;11;11;7;2;12;3;3;14;5;5;0;4;1;2;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2;2;1;0;0;0;0;0;0;0;0;1;0;0;1;
Municipios;0647;Gascones;0;0;0;0;1;0;0;0;0;0;1;0;1;1;2;
Municipios;0650;Getafe;1471;1462;1542;1300;1316;3208;5673;6439;6484;7499;6809;4804;8922;5923;3795;
Municipios;0663;Griñón;207;281;279;232;185;649;796;901;877;928;654;411;653;447;419;
Municipios;0679;Guadalix de la Sierra;9;10;11;15;22;33;27;32;33;49;37;37;52;62;56;
Municipios;0685;Guadarrama;31;24;27;25;18;21;27;11;19;23;38;57;32;15;15;
Municipios;0698;Hiruela (La);0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;4;2;0;2;6;0;1;0;4;3;2;4;0;0;
Municipios;0719;Horcajuelo de la Sierra;1;0;1;0;1;0;0;0;0;0;0;96;149;128;0;
Municipios;0724;Hoyo de Manzanares;5;3;16;20;22;21;0;2;2;3;1;8;7;4;3;
Municipios;0730;Humanes de Madrid;963;946;747;661;700;1574;1371;1286;1378;1558;1640;1360;1425;735;509;
Municipios;0745;Leganés;1095;1265;1392;1078;949;1421;1821;2278;2539;2722;2005;1484;1877;1369;857;
Municipios;0758;Loeches;196;312;508;1078;1342;2241;1918;1690;2050;1753;1680;1373;2065;1013;421;
Municipios;0761;Lozoya;6;5;7;7;10;27;70;106;67;23;37;11;7;9;17;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3;10;2;1;3;3;1;2;3;0;7;1;13;8;1;
Municipios;0783;Madarcos;10;2;16;14;5;9;20;9;10;6;7;4;8;3;5;
Municipios;0796;Madrid;27992;26315;28636;26937;26960;35601;35396;33348;30991;31325;33259;26924;36315;25806;20936;
Municipios;0800;Majadahonda;141;168;183;227;265;322;344;395;421;413;341;354;402;266;214;
Municipios;0822;Manzanares el Real;9;10;7;12;10;23;12;18;10;18;17;16;14;9;4;
Municipios;0838;Meco;334;532;586;710;486;706;877;1182;1444;1369;1259;769;1124;1518;812;
Municipios;0843;Mejorada del Campo;798;665;596;407;386;536;484;515;702;855;910;558;574;302;147;
Municipios;0856;Miraflores de la Sierra;8;4;10;7;31;69;118;116;146;112;108;35;11;10;3;
Municipios;0869;Molar (El);6;9;4;5;5;15;9;9;24;12;18;41;16;7;8;
Municipios;0875;Molinos (Los);0;7;4;94;65;25;51;32;74;64;22;6;1;5;3;
Municipios;0881;Montejo de la Sierra;0;1;1;1;0;0;0;0;1;1;2;4;7;2;1;
Municipios;0894;Moraleja de Enmedio;160;179;210;166;165;214;270;245;258;310;313;279;257;178;121;
Municipios;0908;Moralzarzal;20;18;12;46;45;108;107;114;52;33;46;33;44;19;12;
Municipios;0915;Morata de Tajuña;53;47;43;23;10;28;64;40;56;66;138;127;170;74;43;
Municipios;0920;Móstoles;1781;1852;1355;1037;947;3054;4031;4650;3917;3909;3156;2486;3206;1926;1313;
Municipios;0936;Navacerrada;8;11;8;1;7;6;14;6;7;12;13;5;7;4;16;
Municipios;0941;Navalafuente;0;0;6;3;2;0;0;0;0;0;3;1;1;0;1;
Municipios;0954;Navalagamella;2;3;3;2;1;1;0;0;3;3;10;13;7;7;7;
Municipios;0967;Navalcarnero;173;154;139;115;116;171;246;280;221;202;194;164;267;176;138;
Municipios;0973;Navarredonda y San Mamés;0;0;0;7;7;8;2;2;1;1;0;1;0;4;0;
Municipios;0992;Navas del Rey;19;9;7;3;2;2;7;6;4;5;4;4;3;2;5;
Municipios;1006;Nuevo Baztán;237;94;10;5;13;3;3;5;6;9;5;4;2;5;10;
Municipios;1013;Olmeda de las Fuentes;0;0;0;0;0;0;0;9;1;5;8;1;0;2;3;
Municipios;1028;Orusco de Tajuña;4;4;1;1;1;2;2;4;2;3;1;4;1;3;1;
Municipios;1049;Paracuellos de Jarama;184;237;226;201;259;1639;2678;2805;3662;3647;3697;1287;1984;987;157;
Municipios;1065;Parla;581;470;567;274;214;406;337;700;374;680;663;457;651;417;420;
Municipios;1071;Patones;0;20;0;0;0;0;2;0;0;0;1;0;0;0;0;
Municipios;1087;Pedrezuela;38;20;10;8;8;8;15;77;47;30;28;8;7;1;6;
Municipios;1090;Pelayos de la Presa;2;3;6;3;9;6;22;17;15;27;22;26;17;39;22;
Municipios;1104;Perales de Tajuña;9;13;6;2;3;8;3;11;16;14;10;9;4;3;8;
Municipios;1111;Pezuela de las Torres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
Municipios;1126;Pinilla del Valle;2;1;2;3;3;1;1;2;1;5;1;2;1;2;5;
Municipios;1132;Pinto;734;691;781;559;640;1763;1965;2256;2253;3247;5032;4398;4122;2056;1359;
Municipios;1147;Piñuécar-Gandullas;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;
Municipios;1150;Pozuelo de Alarcón;328;282;266;213;130;251;332;523;490;485;603;360;466;227;189;
Municipios;1163;Pozuelo del Rey;12;2;1;3;1;1;1;0;1;3;0;1;0;2;0;
Municipios;1179;Prádena del Rincón;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
Municipios;1185;Puebla de la Sierra;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;67;0;3;2;1;1;3;2;5;6;0;1;2;1;0;
Municipios;1198;Quijorna;1;1;2;1;1;1;6;11;7;0;2;0;0;2;1;
Municipios;1202;Rascafría;2;1;4;7;2;3;7;11;11;11;32;13;14;7;3;
Municipios;1219;Redueña;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;
Municipios;1224;Ribatejada;0;1;1;0;2;0;0;0;0;1;0;1;9;2;2;
Municipios;1230;Rivas-Vaciamadrid;169;185;307;213;292;419;438;683;570;552;592;372;485;597;186;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;12;4;3;1;1;0;2;6;6;4;31;9;3;0;1;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);245;278;343;270;239;498;689;718;891;794;693;426;374;218;185;
Municipios;1283;Rozas de Puerto Real;5;4;4;8;1;5;4;5;5;3;3;4;2;3;3;
Municipios;1296;San Agustín del Guadalix;69;96;107;58;117;326;351;511;591;499;718;721;1001;1645;820;
