Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados de la industria manufacturera. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;167310;168335;166385;176648;179991;182307;175036;178422;183817;
Zonas Estadísticas;01;Municipio de Madrid ;51422;50183;48718;49738;51458;50923;47065;47891;49484;
Zonas Estadísticas;02;Norte Metropolitano ;17034;17278;17783;18348;19546;19677;19396;19876;21046;
Zonas Estadísticas;03;Este Metropolitano  ;33860;34041;35340;37250;36572;37224;36486;37316;38857;
Zonas Estadísticas;04;Sur Metropolitano   ;47832;48189;44597;50751;51042;51857;50133;51530;52426;
Zonas Estadísticas;05;Oeste Metropolitano ;4507;4699;5188;4962;5019;5353;5323;5065;5498;
Zonas Estadísticas;06;Sierra Norte        ;212;214;234;257;262;291;290;254;263;
Zonas Estadísticas;07;Nordeste Comunidad  ;3232;3467;3676;3852;4243;4551;4351;4353;4119;
Zonas Estadísticas;08;Sudeste Comunidad   ;4111;4920;5093;5358;5626;5604;5584;5705;5771;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3788;4063;4394;4615;4621;4744;4680;4612;4585;
Zonas Estadísticas;10;Sierra Sur          ;320;323;378;448;465;511;482;506;504;
Zonas Estadísticas;11;Sierra Central      ;992;958;984;1069;1137;1572;1246;1314;1264;
Municipios;0014;Acebeda (La);0;0;0;0;9;10;5;1;0;
Municipios;0029;Ajalvir;1763;1956;2027;2028;2012;2049;1877;2023;1941;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);97;98;96;96;112;85;78;92;90;
Municipios;0053;Alcalá de Henares;7872;8147;8481;8748;9047;9366;9413;9219;9856;
Municipios;0066;Alcobendas;5479;5350;5463;5341;5535;5488;5220;5583;5791;
Municipios;0072;Alcorcón;2818;2927;2815;3038;3366;3394;3270;3363;3440;
Municipios;0088;Aldea del Fresno;2;2;3;6;4;3;3;4;2;
Municipios;0091;Algete;1712;1746;1794;1818;1902;1948;1963;1972;2025;
Municipios;0105;Alpedrete;94;98;101;112;127;113;116;111;117;
Municipios;0112;Ambite;0;0;0;0;1;1;1;1;2;
Municipios;0127;Anchuelo;12;11;10;11;11;7;16;19;21;
Municipios;0133;Aranjuez;3575;3674;3427;3627;2722;2672;2551;2661;2687;
Municipios;0148;Arganda del Rey;6954;7146;7636;8059;8170;8063;7469;7457;7423;
Municipios;0151;Arroyomolinos;237;227;281;314;305;300;391;310;303;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;6;5;4;3;3;8;9;12;11;
Municipios;0186;Becerril de la Sierra;65;17;13;12;14;22;26;19;18;
Municipios;0199;Belmonte de Tajo;58;58;72;69;57;44;46;41;41;
Municipios;0210;Berrueco (El);4;4;1;2;1;1;2;3;3;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;313;326;362;375;366;422;350;352;382;
Municipios;0231;Boalo (El);99;98;85;100;84;78;74;100;99;
Municipios;0246;Braojos;4;4;3;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;4;3;5;7;5;4;4;5;
Municipios;0262;Brunete;65;58;55;37;44;55;59;79;85;
Municipios;0278;Buitrago del Lozoya;9;10;9;7;8;6;1;0;2;
Municipios;0284;Bustarviejo;9;9;9;18;18;18;20;18;17;
Municipios;0297;Cabanillas de la Sierra;1;1;1;1;1;1;1;2;2;
Municipios;0301;Cabrera (La);17;16;20;19;17;16;17;10;11;
Municipios;0318;Cadalso de los Vidrios;36;34;35;32;39;47;27;28;25;
Municipios;0323;Camarma de Esteruelas;503;542;524;536;563;620;643;701;734;
Municipios;0339;Campo Real;358;390;371;437;451;537;543;548;588;
Municipios;0344;Canencia;1;1;2;1;2;2;2;3;3;
Municipios;0357;Carabaña;10;17;27;31;19;17;23;23;36;
Municipios;0360;Casarrubuelos;50;64;78;136;146;176;161;184;198;
Municipios;0376;Cenicientos;10;9;11;14;12;7;5;9;10;
Municipios;0382;Cercedilla;22;30;33;41;32;27;48;130;128;
Municipios;0395;Cervera de Buitrago;0;0;0;0;0;0;0;0;0;
Municipios;0513;Chapinería;28;27;33;46;42;42;40;48;48;
Municipios;0528;Chinchón;115;111;130;136;173;167;180;208;223;
Municipios;0409;Ciempozuelos;645;665;704;785;747;821;777;873;899;
Municipios;0416;Cobeña;138;129;132;140;145;172;164;161;158;
Municipios;0468;Collado Mediano;39;40;44;51;50;50;50;46;46;
Municipios;0474;Collado Villalba;564;630;694;710;705;665;640;641;625;
Municipios;0455;Colmenar Viejo;934;875;932;996;1544;1528;1384;1502;1694;
Municipios;0437;Colmenar de Oreja;102;107;108;128;137;125;115;115;107;
Municipios;0421;Colmenar del Arroyo;4;4;6;51;45;104;97;112;121;
Municipios;0442;Colmenarejo;13;12;14;15;19;125;54;51;12;
Municipios;0480;Corpa;3;3;3;3;6;5;2;2;2;
Municipios;0493;Coslada;2302;2241;2306;2263;2257;2320;2231;2251;2270;
Municipios;0506;Cubas de la Sagra;200;234;242;281;262;317;311;239;245;
