Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;339223;314982;
Zonas Estadísticas;01;Municipio de Madrid ;159411;149263;
Zonas Estadísticas;02;Norte Metropolitano ;13991;12757;
Zonas Estadísticas;03;Este Metropolitano  ;38398;35296;
Zonas Estadísticas;04;Sur Metropolitano   ;78065;71701;
Zonas Estadísticas;05;Oeste Metropolitano ;17384;16179;
Zonas Estadísticas;06;Sierra Norte        ;2289;2246;
Zonas Estadísticas;07;Nordeste Comunidad  ;3611;3361;
Zonas Estadísticas;08;Sudeste Comunidad   ;7140;6618;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7714;7018;
Zonas Estadísticas;10;Sierra Sur          ;2805;2581;
Zonas Estadísticas;11;Sierra Central      ;8415;7962;
Municipios;0014;Acebeda (La);4;6;
Municipios;0029;Ajalvir;213;207;
Municipios;0035;Alameda del Valle;11;19;
Municipios;0040;Alamo (El);591;530;
Municipios;0053;Alcalá de Henares;12002;10944;
Municipios;0066;Alcobendas;4560;4144;
Municipios;0072;Alcorcón;8749;8041;
Municipios;0088;Aldea del Fresno;222;222;
Municipios;0091;Algete;912;810;
Municipios;0105;Alpedrete;683;678;
Municipios;0112;Ambite;48;57;
Municipios;0127;Anchuelo;70;59;
Municipios;0133;Aranjuez;4008;3676;
Municipios;0148;Arganda del Rey;4027;3662;
Municipios;0151;Arroyomolinos;1422;1321;
Municipios;0164;Atazar (El);13;13;
Municipios;0170;Batres;91;77;
Municipios;0186;Becerril de la Sierra;289;322;
Municipios;0199;Belmonte de Tajo;116;108;
Municipios;0210;Berrueco (El);33;36;
Municipios;0203;Berzosa del Lozoya;6;7;
Municipios;0225;Boadilla del Monte;1499;1430;
Municipios;0231;Boalo (El);396;353;
Municipios;0246;Braojos;8;6;
Municipios;0259;Brea de Tajo;50;42;
Municipios;0262;Brunete;472;444;
Municipios;0278;Buitrago del Lozoya;84;92;
Municipios;0284;Bustarviejo;158;154;
Municipios;0297;Cabanillas de la Sierra;39;36;
Municipios;0301;Cabrera (La);166;168;
Municipios;0318;Cadalso de los Vidrios;299;245;
Municipios;0323;Camarma de Esteruelas;459;428;
Municipios;0339;Campo Real;461;385;
Municipios;0344;Canencia;24;23;
Municipios;0357;Carabaña;153;141;
Municipios;0360;Casarrubuelos;231;197;
Municipios;0376;Cenicientos;184;160;
Municipios;0382;Cercedilla;375;355;
Municipios;0395;Cervera de Buitrago;11;13;
Municipios;0513;Chapinería;145;147;
Municipios;0528;Chinchón;352;341;
Municipios;0409;Ciempozuelos;1613;1482;
Municipios;0416;Cobeña;247;246;
Municipios;0468;Collado Mediano;421;380;
Municipios;0474;Collado Villalba;3814;3570;
Municipios;0455;Colmenar Viejo;2354;2182;
Municipios;0437;Colmenar de Oreja;577;537;
Municipios;0421;Colmenar del Arroyo;116;107;
Municipios;0442;Colmenarejo;481;444;
Municipios;0480;Corpa;55;42;
Municipios;0493;Coslada;4323;3934;
Municipios;0506;Cubas de la Sagra;264;274;
Municipios;0534;Daganzo de Arriba;487;456;
Municipios;0549;Escorial (El);747;760;
Municipios;0552;Estremera;90;94;
Municipios;0565;Fresnedillas de la Oliva;129;121;
Municipios;0571;Fresno de Torote;155;125;
Municipios;0587;Fuenlabrada;12138;11191;
Municipios;0590;Fuente el Saz de Jarama;387;352;
Municipios;0604;Fuentidueña de Tajo;192;156;
Municipios;0611;Galapagar;1683;1617;
Municipios;0626;Garganta de los Montes;20;22;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;27;22;
Municipios;0647;Gascones;13;10;
Municipios;0650;Getafe;9801;9166;
Municipios;0663;Griñón;455;405;
Municipios;0679;Guadalix de la Sierra;374;350;
Municipios;0685;Guadarrama;779;727;
Municipios;0698;Hiruela (La);2;2;
Municipios;0702;Horcajo de la Sierra-Aoslos;9;8;
Municipios;0719;Horcajuelo de la Sierra;3;3;
Municipios;0724;Hoyo de Manzanares;319;303;
Municipios;0730;Humanes de Madrid;1269;1169;
Municipios;0745;Leganés;10528;9591;
Municipios;0758;Loeches;518;478;
Municipios;0761;Lozoya;28;32;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;67;77;
Municipios;0783;Madarcos;1;1;
Municipios;0796;Madrid;159411;149263;
Municipios;0800;Majadahonda;2157;1977;
Municipios;0822;Manzanares el Real;434;433;
Municipios;0838;Meco;796;743;
Municipios;0843;Mejorada del Campo;1460;1326;
Municipios;0856;Miraflores de la Sierra;381;356;
Municipios;0869;Molar (El);492;485;
Municipios;0875;Molinos (Los);224;203;
Municipios;0881;Montejo de la Sierra;11;11;
Municipios;0894;Moraleja de Enmedio;264;244;
Municipios;0908;Moralzarzal;580;536;
Municipios;0915;Morata de Tajuña;543;480;
Municipios;0920;Móstoles;11971;10860;
Municipios;0936;Navacerrada;131;133;
Municipios;0941;Navalafuente;100;106;
Municipios;0954;Navalagamella;174;179;
Municipios;0967;Navalcarnero;1836;1551;
