Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por actividad.Total. Parados registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1888;2770;3188;4028;4528;5033;4802;4326;3855;3495;3034;2858;3495;2828;2445;
Zonas Estadísticas;01;Municipio de Madrid ;819;1105;1340;1660;1803;2003;1881;1706;1514;1347;1214;1152;1422;1192;955;
Zonas Estadísticas;02;Norte Metropolitano ;57;95;96;128;129;139;142;121;111;88;82;74;93;70;62;
Zonas Estadísticas;03;Este Metropolitano  ;198;255;300;378;582;768;716;602;511;476;345;370;449;385;402;
Zonas Estadísticas;04;Sur Metropolitano   ;444;756;766;949;989;1063;1004;909;830;758;730;666;809;578;511;
Zonas Estadísticas;05;Oeste Metropolitano ;91;122;168;194;164;157;153;152;130;120;114;106;141;110;86;
Zonas Estadísticas;06;Sierra Norte        ;44;49;47;60;69;60;64;51;45;59;44;39;51;50;42;
Zonas Estadísticas;07;Nordeste Comunidad  ;15;30;40;45;55;53;65;54;44;38;32;31;35;26;30;
Zonas Estadísticas;08;Sudeste Comunidad   ;76;151;186;276;351;391;367;326;297;293;203;185;221;187;174;
Zonas Estadísticas;09;Sudoeste Comunidad  ;35;69;75;128;163;185;183;191;173;152;128;102;121;97;75;
Zonas Estadísticas;10;Sierra Sur          ;41;54;73;89;90;87;98;107;105;84;67;73;74;71;47;
Zonas Estadísticas;11;Sierra Central      ;68;84;97;121;133;127;129;107;95;80;75;60;79;62;61;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;2;2;3;3;4;10;6;4;4;5;3;5;5;6;8;
Municipios;0035;Alameda del Valle;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;
Municipios;0040;Alamo (El);1;11;8;9;15;14;11;14;11;14;9;4;4;6;5;
Municipios;0053;Alcalá de Henares;66;82;107;123;138;182;142;114;86;79;71;69;81;61;50;
Municipios;0066;Alcobendas;15;26;36;42;43;42;46;39;34;30;21;22;33;14;15;
Municipios;0072;Alcorcón;49;79;65;101;103;111;94;97;76;58;54;61;78;54;49;
Municipios;0088;Aldea del Fresno;2;5;6;10;14;16;21;15;15;9;11;12;11;5;7;
Municipios;0091;Algete;1;6;7;6;8;6;11;10;11;4;4;4;4;3;6;
Municipios;0105;Alpedrete;1;2;0;5;4;6;4;3;2;0;2;3;3;2;5;
Municipios;0112;Ambite;0;0;0;1;1;2;2;1;3;1;1;0;2;1;0;
Municipios;0127;Anchuelo;1;0;1;1;3;9;6;4;1;1;1;1;2;1;0;
Municipios;0133;Aranjuez;32;42;63;69;84;96;100;89;85;93;92;77;92;64;67;
Municipios;0148;Arganda del Rey;20;46;54;79;73;100;86;77;61;53;45;47;55;27;25;
Municipios;0151;Arroyomolinos;1;3;2;9;10;10;12;11;10;10;8;6;10;10;6;
Municipios;0164;Atazar (El);0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;
Municipios;0170;Batres;0;1;0;0;0;2;0;0;0;0;0;0;1;1;1;
Municipios;0186;Becerril de la Sierra;2;2;4;8;6;6;5;7;3;4;2;1;1;4;5;
Municipios;0199;Belmonte de Tajo;0;4;6;6;9;14;6;5;8;4;2;4;4;3;5;
Municipios;0210;Berrueco (El);1;1;2;1;4;2;0;1;0;0;1;1;1;1;0;
Municipios;0203;Berzosa del Lozoya;1;0;1;1;1;0;1;0;0;0;0;0;3;1;0;
Municipios;0225;Boadilla del Monte;4;6;10;11;6;5;3;2;6;6;1;4;6;2;5;
Municipios;0231;Boalo (El);1;1;2;5;5;4;4;2;2;4;6;3;2;3;1;
Municipios;0246;Braojos;0;0;1;1;2;0;1;0;0;4;0;0;0;0;0;
Municipios;0259;Brea de Tajo;2;1;0;1;3;2;2;1;5;7;4;4;2;1;1;
Municipios;0262;Brunete;6;5;8;15;8;6;9;9;6;5;5;5;7;4;3;
