Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;45192;40543
Zonas Estadísticas;01;Municipio de Madrid ;18210;16552
Zonas Estadísticas;02;Norte Metropolitano ;1724;1519
Zonas Estadísticas;03;Este Metropolitano  ;6803;5951
Zonas Estadísticas;04;Sur Metropolitano   ;11974;10581
Zonas Estadísticas;05;Oeste Metropolitano ;1742;1599
Zonas Estadísticas;06;Sierra Norte        ;293;276
Zonas Estadísticas;07;Nordeste Comunidad  ;595;551
Zonas Estadísticas;08;Sudeste Comunidad   ;1330;1234
Zonas Estadísticas;09;Sudoeste Comunidad  ;1148;1039
Zonas Estadísticas;10;Sierra Sur          ;414;353
Zonas Estadísticas;11;Sierra Central      ;959;888
Municipios;0014;Acebeda (La);1;0
Municipios;0029;Ajalvir;24;23
Municipios;0035;Alameda del Valle;0;1
Municipios;0040;Alamo (El);86;90
Municipios;0053;Alcalá de Henares;2131;1941
Municipios;0066;Alcobendas;514;478
Municipios;0072;Alcorcón;1191;1054
Municipios;0088;Aldea del Fresno;37;32
Municipios;0091;Algete;142;111
Municipios;0105;Alpedrete;81;78
Municipios;0112;Ambite;4;8
Municipios;0127;Anchuelo;9;4
Municipios;0133;Aranjuez;531;486
Municipios;0148;Arganda del Rey;1123;949
Municipios;0151;Arroyomolinos;195;180
Municipios;0164;Atazar (El);3;2
Municipios;0170;Batres;11;15
Municipios;0186;Becerril de la Sierra;37;49
Municipios;0199;Belmonte de Tajo;15;17
Municipios;0210;Berrueco (El);5;4
Municipios;0203;Berzosa del Lozoya;0;0
Municipios;0225;Boadilla del Monte;135;133
Municipios;0231;Boalo (El);40;32
Municipios;0246;Braojos;1;0
Municipios;0259;Brea de Tajo;4;4
Municipios;0262;Brunete;49;48
Municipios;0278;Buitrago del Lozoya;12;11
Municipios;0284;Bustarviejo;10;9
Municipios;0297;Cabanillas de la Sierra;5;5
Municipios;0301;Cabrera (La);27;29
Municipios;0318;Cadalso de los Vidrios;46;28
Municipios;0323;Camarma de Esteruelas;81;71
Municipios;0339;Campo Real;92;81
Municipios;0344;Canencia;3;2
Municipios;0357;Carabaña;24;25
Municipios;0360;Casarrubuelos;44;47
Municipios;0376;Cenicientos;31;15
Municipios;0382;Cercedilla;48;42
Municipios;0395;Cervera de Buitrago;1;1
Municipios;0513;Chapinería;22;23
