Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;60725;63574;
Zonas Estadísticas;01;Municipio de Madrid ;40185;41780;
Zonas Estadísticas;02;Norte Metropolitano ;1932;2112;
Zonas Estadísticas;03;Este Metropolitano  ;3444;3671;
Zonas Estadísticas;04;Sur Metropolitano   ;7251;7748;
Zonas Estadísticas;05;Oeste Metropolitano ;3339;3450;
Zonas Estadísticas;06;Sierra Norte        ;482;498;
Zonas Estadísticas;07;Nordeste Comunidad  ;348;341;
Zonas Estadísticas;08;Sudeste Comunidad   ;921;951;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1011;1105;
Zonas Estadísticas;10;Sierra Sur          ;439;475;
Zonas Estadísticas;11;Sierra Central      ;1373;1443;
Municipios;0014;Acebeda (La);2;1;
Municipios;0029;Ajalvir;25;23;
Municipios;0035;Alameda del Valle;3;2;
Municipios;0040;Alamo (El);168;181;
Municipios;0053;Alcalá de Henares;1314;1374;
Municipios;0066;Alcobendas;658;721;
Municipios;0072;Alcorcón;1197;1282;
Municipios;0088;Aldea del Fresno;32;43;
Municipios;0091;Algete;99;115;
Municipios;0105;Alpedrete;108;122;
Municipios;0112;Ambite;9;8;
Municipios;0127;Anchuelo;15;12;
Municipios;0133;Aranjuez;484;526;
Municipios;0148;Arganda del Rey;286;290;
Municipios;0151;Arroyomolinos;54;60;
Municipios;0164;Atazar (El);1;1;
Municipios;0170;Batres;6;8;
Municipios;0186;Becerril de la Sierra;55;59;
Municipios;0199;Belmonte de Tajo;24;19;
Municipios;0210;Berrueco (El);13;11;
Municipios;0203;Berzosa del Lozoya;6;6;
Municipios;0225;Boadilla del Monte;290;325;
Municipios;0231;Boalo (El);37;47;
Municipios;0246;Braojos;4;3;
Municipios;0259;Brea de Tajo;9;9;
Municipios;0262;Brunete;65;65;
Municipios;0278;Buitrago del Lozoya;30;30;
Municipios;0284;Bustarviejo;29;33;
Municipios;0297;Cabanillas de la Sierra;8;9;
Municipios;0301;Cabrera (La);22;22;
Municipios;0318;Cadalso de los Vidrios;52;45;
Municipios;0323;Camarma de Esteruelas;29;26;
Municipios;0339;Campo Real;67;65;
Municipios;0344;Canencia;10;14;
Municipios;0357;Carabaña;25;26;
Municipios;0360;Casarrubuelos;18;18;
Municipios;0376;Cenicientos;33;38;
Municipios;0382;Cercedilla;72;79;
Municipios;0395;Cervera de Buitrago;0;1;
Municipios;0513;Chapinería;26;34;
Municipios;0528;Chinchón;72;62;
Municipios;0409;Ciempozuelos;188;210;
Municipios;0416;Cobeña;36;49;
Municipios;0468;Collado Mediano;49;40;
Municipios;0474;Collado Villalba;413;416;
Municipios;0455;Colmenar Viejo;388;418;
Municipios;0437;Colmenar de Oreja;75;100;
Municipios;0421;Colmenar del Arroyo;29;32;
Municipios;0442;Colmenarejo;45;43;
Municipios;0480;Corpa;7;10;
Municipios;0493;Coslada;431;452;
Municipios;0506;Cubas de la Sagra;57;68;
Municipios;0534;Daganzo de Arriba;30;35;
Municipios;0549;Escorial (El);151;167;
Municipios;0552;Estremera;34;34;
Municipios;0565;Fresnedillas de la Oliva;15;17;
Municipios;0571;Fresno de Torote;11;12;
Municipios;0587;Fuenlabrada;754;767;
Municipios;0590;Fuente el Saz de Jarama;54;43;
Municipios;0604;Fuentidueña de Tajo;28;26;
Municipios;0611;Galapagar;225;224;
Municipios;0626;Garganta de los Montes;4;4;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;6;
Municipios;0647;Gascones;2;2;
Municipios;0650;Getafe;1072;1149;
Municipios;0663;Griñón;101;104;
Municipios;0679;Guadalix de la Sierra;42;40;
Municipios;0685;Guadarrama;170;171;
Municipios;0698;Hiruela (La);1;1;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;1;
Municipios;0719;Horcajuelo de la Sierra;1;1;
Municipios;0724;Hoyo de Manzanares;71;78;
