Nombre;2020
Acebeda, La;68
Ajalvir;4.721
Alameda del Valle;204
Álamo, El;9.862
Alcalá de Henares;197.562
Alcobendas;118.417
Alcorcón;172.384
Aldea del Fresno;2.973
Algete;20.864
Alpedrete;14.839
Ambite;609
Anchuelo;1.286
Aranjuez;60.332
Arganda del Rey;56.678
Arroyomolinos;32.935
Atazar, El;90
Batres;1.750
Becerril de la Sierra;5.875
Belmonte de Tajo;1.683
Berrueco, El;777
Berzosa del Lozoya;222
Boadilla del Monte;56.734
Boalo, El;7.663
Braojos;206
Brea de Tajo;506
Brunete;10.760
Buitrago del Lozoya;1.959
Bustarviejo;2.522
Cabanillas de la Sierra;785
Cabrera, La;2.736
Cadalso de los Vidrios;3.047
Camarma de Esteruelas;7.437
Campo Real;6.420
Canencia;447
Carabaña;2.081
Casarrubuelos;3.845
Cenicientos;2.038
Cercedilla;7.205
Cervera de Buitrago;162
Chapinería;2.414
Chinchón;5.413
Ciempozuelos;25.104
Cobeña;7.486
Collado Mediano;7.105
Collado Villalba;64.378
Colmenar de Oreja;8.154
Colmenar del Arroyo;1.785
Colmenar Viejo;51.938
Colmenarejo;9.230
Corpa;723
Coslada;81.391
Cubas de la Sagra;6.539
Daganzo de Arriba;10.337
Escorial, El;16.365
Estremera;1.334
Fresnedillas de la Oliva;1.651
Fresno de Torote;2.299
Fuenlabrada;194.514
Fuente el Saz de Jarama;6.807
Fuentidueña de Tajo;2.136
Galapagar;34.497
Garganta de los Montes;377
Gargantilla del Lozoya y Pinilla de Buitrago;309
Gascones;176
Getafe;185.180
Griñón;10.435
Guadalix de la Sierra;6.440
Guadarrama;16.560
Hiruela, La;65
Horcajo de la Sierra-Aoslos;152
Horcajuelo de la Sierra;89
Hoyo de Manzanares;8.529
Humanes de Madrid;19.701
Leganés;191.114
Loeches;8.897
Lozoya;580
Lozoyuela-Navas-Sieteiglesias;1.340
Madarcos;49
Madrid;3.334.730
Madrid;6.779.888
Majadahonda;72.155
Manzanares el Real;8.936
Meco;14.670
Mejorada del Campo;23.639
Miraflores de la Sierra;6.362
Molar, El;9.287
Molinos, Los;4.433
Montejo de la Sierra;364
Moraleja de Enmedio;5.200
Moralzarzal;13.334
Morata de Tajuña;7.847
Móstoles;210.309
Navacerrada;3.091
Navalafuente;1.511
Navalagamella;2.637
Navalcarnero;29.985
Navarredonda y San Mamés;129
Navas del Rey;2.966
Nuevo Baztán;6.454
Olmeda de las Fuentes;346
Orusco de Tajuña;1.295
Paracuellos de Jarama;25.917
Parla;133.482
Patones;539
Pedrezuela;6.150
Pelayos de la Presa;2.676
Perales de Tajuña;2.990
Pezuela de las Torres;867
Pinilla del Valle;190
Pinto;53.325
Piñuécar-Gandullas;179
Pozuelo de Alarcón;87.165
Pozuelo del Rey;1.172
Prádena del Rincón;125
Puebla de la Sierra;73
Puentes Viejas;699
Quijorna;3.541
Rascafría;1.725
Redueña;270
Ribatejada;801
Rivas-Vaciamadrid;90.973
Robledillo de la Jara;95
Robledo de Chavela;4.364
Robregordo;65
Rozas de Madrid, Las;96.113
Rozas de Puerto Real;555
San Agustín del Guadalix;13.466
San Fernando de Henares;39.566
San Lorenzo de El Escorial;18.532
San Martín de la Vega;19.633
San Martín de Valdeiglesias;8.679
San Sebastián de los Reyes;91.224
Santa María de la Alameda;1.321
Santorcaz;899
Santos de la Humosa, Los;2.694
Serna del Monte, La;87
Serranillos del Valle;4.291
Sevilla la Nueva;9.393
Somosierra;87
Soto del Real;8.981
Talamanca de Jarama;4.012
Tielmes;2.736
Titulcia;1.341
Torrejón de Ardoz;132.853
Torrejón de la Calzada;9.194
Torrejón de Velasco;4.386
Torrelaguna;4.854
Torrelodones;23.902
Torremocha de Jarama;1.075
Torres de la Alameda;7.833
Tres Cantos;48.326
Valdaracete;605
Valdeavero;1.591
Valdelaguna;979
Valdemanco;963
Valdemaqueda;775
Valdemorillo;12.772
Valdemoro;77.270
Valdeolmos-Alalpardo;4.232
Valdepiélagos;614
Valdetorres de Jarama;4.581
Valdilecha;2.982
Valverde de Alcalá;498
Velilla de San Antonio;12.380
Vellón, El;2.004
Venturada;2.241
Villa del Prado;6.661
Villaconejos;3.422
Villalbilla;14.392
Villamanrique de Tajo;707
Villamanta;2.605
Villamantilla;1.482
Villanueva de la Cañada;22.115
Villanueva de Perales;1.592
Villanueva del Pardillo;17.396
Villar del Olmo;2.079
Villarejo de Salvanés;7.433
Villaviciosa de Odón;28.148
Villavieja del Lozoya;262
Zarzalejo;1.734
