Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1412874
Zonas Estadísticas;01;Municipio de Madrid ;815868
Zonas Estadísticas;02;Norte Metropolitano ;74527
Zonas Estadísticas;03;Este Metropolitano  ;105579
Zonas Estadísticas;04;Sur Metropolitano   ;186456
Zonas Estadísticas;05;Oeste Metropolitano ;132577
Zonas Estadísticas;06;Sierra Norte        ;7945
Zonas Estadísticas;07;Nordeste Comunidad  ;10962
Zonas Estadísticas;08;Sudeste Comunidad   ;16980
Zonas Estadísticas;09;Sudoeste Comunidad  ;23999
Zonas Estadísticas;10;Sierra Sur          ;5675
Zonas Estadísticas;11;Sierra Central      ;32306
Municipios;0014;Acebeda (La);52
Municipios;0029;Ajalvir;1629
Municipios;0035;Alameda del Valle;60
Municipios;0040;Alamo (El);1347
Municipios;0053;Alcalá de Henares;29128
Municipios;0066;Alcobendas;28921
Municipios;0072;Alcorcón;25995
Municipios;0088;Aldea del Fresno;412
Municipios;0091;Algete;4585
Municipios;0105;Alpedrete;2830
Municipios;0112;Ambite;80
Municipios;0127;Anchuelo;180
Municipios;0133;Aranjuez;8368
Municipios;0148;Arganda del Rey;10311
Municipios;0151;Arroyomolinos;5370
Municipios;0164;Atazar (El);17
Municipios;0170;Batres;224
Municipios;0186;Becerril de la Sierra;1156
Municipios;0199;Belmonte de Tajo;223
Municipios;0210;Berrueco (El);125
Municipios;0203;Berzosa del Lozoya;55
Municipios;0225;Boadilla del Monte;14974
Municipios;0231;Boalo (El);1338
Municipios;0246;Braojos;68
Municipios;0259;Brea de Tajo;82
Municipios;0262;Brunete;2095
Municipios;0278;Buitrago del Lozoya;439
Municipios;0284;Bustarviejo;465
Municipios;0297;Cabanillas de la Sierra;136
Municipios;0301;Cabrera (La);523
Municipios;0318;Cadalso de los Vidrios;400
Municipios;0323;Camarma de Esteruelas;1268
Municipios;0339;Campo Real;1165
Municipios;0344;Canencia;84
Municipios;0357;Carabaña;284
Municipios;0360;Casarrubuelos;602
Municipios;0376;Cenicientos;249
Municipios;0382;Cercedilla;1342
Municipios;0395;Cervera de Buitrago;37
Municipios;0513;Chapinería;358
Municipios;0528;Chinchón;1143
Municipios;0409;Ciempozuelos;3080
Municipios;0416;Cobeña;1325
