Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;3513875;3646529;
Zonas Estadísticas;01;Municipio de Madrid ;2130269;2220038;
Zonas Estadísticas;02;Norte Metropolitano ;228556;237210;
Zonas Estadísticas;03;Este Metropolitano  ;278794;285030;
Zonas Estadísticas;04;Sur Metropolitano   ;460645;471069;
Zonas Estadísticas;05;Oeste Metropolitano ;245925;256846;
Zonas Estadísticas;06;Sierra Norte        ;13366;15026;
Zonas Estadísticas;07;Nordeste Comunidad  ;22669;23456;
Zonas Estadísticas;08;Sudeste Comunidad   ;31274;31471;
Zonas Estadísticas;09;Sudoeste Comunidad  ;47683;50164;
Zonas Estadísticas;10;Sierra Sur          ;10222;10453;
Zonas Estadísticas;11;Sierra Central      ;44472;45766;
Municipios;0014;Acebeda (La);54;75;
Municipios;0029;Ajalvir;5772;5938;
Municipios;0035;Alameda del Valle;85;141;
Municipios;0040;Alamo (El);2216;2360;
Municipios;0053;Alcalá de Henares;82154;84334;
Municipios;0066;Alcobendas;106328;111011;
Municipios;0072;Alcorcón;65587;67446;
Municipios;0088;Aldea del Fresno;701;700;
Municipios;0091;Algete;9104;9584;
Municipios;0105;Alpedrete;3355;3394;
Municipios;0112;Ambite;128;175;
Municipios;0127;Anchuelo;316;332;
Municipios;0133;Aranjuez;20587;20453;
Municipios;0148;Arganda del Rey;30043;30375;
Municipios;0151;Arroyomolinos;11625;12222;
Municipios;0164;Atazar (El);84;99;
Municipios;0170;Batres;330;378;
Municipios;0186;Becerril de la Sierra;1238;1229;
Municipios;0199;Belmonte de Tajo;336;372;
Municipios;0210;Berrueco (El);207;217;
Municipios;0203;Berzosa del Lozoya;97;148;
Municipios;0225;Boadilla del Monte;24169;25961;
Municipios;0231;Boalo (El);1802;1909;
Municipios;0246;Braojos;363;291;
Municipios;0259;Brea de Tajo;246;240;
Municipios;0262;Brunete;2762;2816;
Municipios;0278;Buitrago del Lozoya;1218;1311;
Municipios;0284;Bustarviejo;553;605;
Municipios;0297;Cabanillas de la Sierra;201;252;
Municipios;0301;Cabrera (La);788;833;
Municipios;0318;Cadalso de los Vidrios;814;796;
Municipios;0323;Camarma de Esteruelas;2595;2607;
Municipios;0339;Campo Real;2002;2143;
Municipios;0344;Canencia;127;156;
Municipios;0357;Carabaña;1154;433;
Municipios;0360;Casarrubuelos;990;1127;
Municipios;0376;Cenicientos;384;386;
Municipios;0382;Cercedilla;2352;2381;
Municipios;0395;Cervera de Buitrago;54;86;
Municipios;0513;Chapinería;583;612;
Municipios;0528;Chinchón;1647;1747;
Municipios;0409;Ciempozuelos;8884;8878;
Municipios;0416;Cobeña;1787;1864;
Municipios;0468;Collado Mediano;1699;1789;
Municipios;0474;Collado Villalba;18020;18403;
Municipios;0455;Colmenar Viejo;18291;18846;
Municipios;0437;Colmenar de Oreja;1660;1635;
Municipios;0421;Colmenar del Arroyo;1145;1017;
Municipios;0442;Colmenarejo;2867;2866;
Municipios;0480;Corpa;86;101;
Municipios;0493;Coslada;39299;39876;
Municipios;0506;Cubas de la Sagra;1526;1537;
Municipios;0534;Daganzo de Arriba;4555;4645;
Municipios;0549;Escorial (El);4039;3915;
Municipios;0552;Estremera;1307;1326;
