Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;24517;26441;26750;28108;29040;29994;28890;29343;29964;
Zonas Estadísticas;01;Municipio de Madrid ;10010;10342;10068;10819;11014;10972;10694;10704;11215;
Zonas Estadísticas;02;Norte Metropolitano ;1682;1780;1897;2170;2216;2049;1929;1935;2039;
Zonas Estadísticas;03;Este Metropolitano  ;3506;3700;3853;4103;4281;4458;4232;4372;4394;
Zonas Estadísticas;04;Sur Metropolitano   ;6246;6725;6760;6577;6753;7215;6879;7063;7030;
Zonas Estadísticas;05;Oeste Metropolitano ;700;719;731;821;889;929;936;913;1102;
Zonas Estadísticas;06;Sierra Norte        ;67;65;71;101;89;86;84;77;81;
Zonas Estadísticas;07;Nordeste Comunidad  ;571;797;876;858;1063;1452;1334;1421;1238;
Zonas Estadísticas;08;Sudeste Comunidad   ;710;1205;1267;1335;1403;1391;1404;1473;1460;
Zonas Estadísticas;09;Sudoeste Comunidad  ;641;711;760;767;731;782;751;709;750;
Zonas Estadísticas;10;Sierra Sur          ;160;155;192;281;284;334;310;332;333;
Zonas Estadísticas;11;Sierra Central      ;224;242;275;276;317;326;337;344;322;
Municipios;0014;Acebeda (La);0;0;0;0;3;5;0;0;0;
Municipios;0029;Ajalvir;28;32;35;32;40;41;49;38;47;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);9;13;12;9;6;8;9;9;12;
Municipios;0053;Alcalá de Henares;901;961;1031;1132;1264;1314;1300;1312;1355;
Municipios;0066;Alcobendas;555;504;529;582;638;480;412;442;464;
Municipios;0072;Alcorcón;847;892;820;851;940;881;772;865;870;
Municipios;0088;Aldea del Fresno;0;0;0;1;1;0;0;0;1;
Municipios;0091;Algete;105;140;149;132;130;134;138;145;163;
Municipios;0105;Alpedrete;31;28;24;19;32;17;18;25;25;
Municipios;0112;Ambite;0;0;0;0;0;0;0;0;0;
Municipios;0127;Anchuelo;2;1;0;0;1;0;0;0;0;
Municipios;0133;Aranjuez;136;131;118;133;113;112;116;120;110;
Municipios;0148;Arganda del Rey;1058;1118;1130;1213;1210;1225;1157;1306;1272;
Municipios;0151;Arroyomolinos;26;33;36;35;21;18;18;29;31;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;0;0;0;0;0;0;0;0;0;
Municipios;0186;Becerril de la Sierra;3;5;3;2;2;10;14;8;6;
Municipios;0199;Belmonte de Tajo;50;49;61;66;53;40;45;38;40;
Municipios;0210;Berrueco (El);1;1;1;1;1;1;1;2;2;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;94;98;88;94;109;121;103;91;120;
Municipios;0231;Boalo (El);4;3;7;11;9;6;7;8;5;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;4;3;2;4;4;3;3;3;
Municipios;0262;Brunete;30;27;30;19;15;21;24;20;10;
Municipios;0278;Buitrago del Lozoya;4;6;7;5;5;5;0;0;1;
