Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Total ocupados en unidades productivas. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;2892185;2992816;3087552;3205157;3334303;3418002;3345487;3513875;3646529;
Zonas Estadísticas;01;Municipio de Madrid ;1765221;1824307;1868894;1936886;2024110;2081246;2031007;2130269;2220038;
Zonas Estadísticas;02;Norte Metropolitano ;196382;200666;207603;215046;217362;223395;216789;228556;237210;
Zonas Estadísticas;03;Este Metropolitano  ;218914;228344;239921;249649;258651;266981;267558;278794;285030;
Zonas Estadísticas;04;Sur Metropolitano   ;368107;382497;398205;418104;433782;444332;436559;460645;471069;
Zonas Estadísticas;05;Oeste Metropolitano ;210719;219482;229491;235634;243225;242219;235415;245925;256846;
Zonas Estadísticas;06;Sierra Norte        ;10050;9942;10427;10994;11549;11865;11837;13366;15026;
Zonas Estadísticas;07;Nordeste Comunidad  ;18244;18670;19188;20177;21228;21778;21776;22669;23456;
Zonas Estadísticas;08;Sudeste Comunidad   ;25133;25606;27051;27697;28373;28256;28651;31274;31471;
Zonas Estadísticas;09;Sudoeste Comunidad  ;34845;37515;39355;41688;44187;44806;43689;47683;50164;
Zonas Estadísticas;10;Sierra Sur          ;7485;7309;7811;8400;8887;9166;9192;10222;10453;
Zonas Estadísticas;11;Sierra Central      ;37085;38478;39606;40882;42949;43958;43014;44472;45766;
Municipios;0014;Acebeda (La);51;57;61;53;69;65;65;54;75;
Municipios;0029;Ajalvir;4542;4806;4871;4769;5075;5272;5173;5772;5938;
Municipios;0035;Alameda del Valle;55;53;49;58;71;91;63;85;141;
Municipios;0040;Alamo (El);1971;1891;1896;1923;1969;1929;1945;2216;2360;
Municipios;0053;Alcalá de Henares;67668;69298;72871;75500;78048;80142;80391;82154;84334;
Municipios;0066;Alcobendas;94791;96460;100138;102390;102431;104331;101005;106328;111011;
Municipios;0072;Alcorcón;49997;51995;54557;56570;59472;61289;61648;65587;67446;
Municipios;0088;Aldea del Fresno;505;528;581;588;620;637;616;701;700;
Municipios;0091;Algete;7878;7981;8381;8696;8779;9020;8636;9104;9584;
Municipios;0105;Alpedrete;2656;2769;2924;2984;3155;3125;3204;3355;3394;
Municipios;0112;Ambite;124;146;158;114;108;109;106;128;175;
Municipios;0127;Anchuelo;228;217;234;222;221;226;234;316;332;
Municipios;0133;Aranjuez;17121;18356;18603;20120;20508;20700;20154;20587;20453;
Municipios;0148;Arganda del Rey;24239;25237;26247;28574;31100;31398;31150;30043;30375;
Municipios;0151;Arroyomolinos;7215;8574;9161;9823;10225;10669;10049;11625;12222;
Municipios;0164;Atazar (El);29;35;33;26;29;26;48;84;99;
Municipios;0170;Batres;212;207;225;231;263;264;290;330;378;
Municipios;0186;Becerril de la Sierra;1030;1029;1050;1068;1126;1184;1178;1238;1229;
Municipios;0199;Belmonte de Tajo;343;335;363;305;304;303;333;336;372;
Municipios;0210;Berrueco (El);231;215;242;238;256;278;291;207;217;
Municipios;0203;Berzosa del Lozoya;82;105;103;115;121;110;77;97;148;
Municipios;0225;Boadilla del Monte;17715;18987;19422;20690;21434;22749;21555;24169;25961;
