Codigo_Valor,Nombre,Valor,Year,Indicador,lau_id
2.9-2023-28001,Acebeda (La),88.477,2023,2.9,28001
2.9-2023-28002,Ajalvir,34.911,2023,2.9,28002
2.9-2023-28003,Alameda del Valle,92.242,2023,2.9,28003
2.9-2023-28004,Alamo (El),42.104,2023,2.9,28004
2.9-2023-28005,Alcalá de Henares,32.76,2023,2.9,28005
2.9-2023-28006,Alcobendas,18.193,2023,2.9,28006
2.9-2023-28007,Alcorcón,18.087,2023,2.9,28007
2.9-2023-28008,Aldea del Fresno,56.001,2023,2.9,28008
2.9-2023-28009,Algete,32.758,2023,2.9,28009
2.9-2023-28010,Alpedrete,43.979,2023,2.9,28010
2.9-2023-28011,Ambite,54.784,2023,2.9,28011
2.9-2023-28012,Anchuelo,42.201,2023,2.9,28012
2.9-2023-28013,Aranjuez,48.903,2023,2.9,28013
2.9-2023-28014,Arganda del Rey,28.644,2023,2.9,28014
2.9-2023-28015,Arroyomolinos,31.45,2023,2.9,28015
2.9-2023-28016,Atazar (El),84.846,2023,2.9,28016
2.9-2023-28017,Batres,37.802,2023,2.9,28017
2.9-2023-28018,Becerril de la Sierra,50.448,2023,2.9,28018
2.9-2023-28019,Belmonte de Tajo,57.499,2023,2.9,28019
2.9-2023-28021,Berrueco (El),66.347,2023,2.9,28021
2.9-2023-28020,Berzosa del Lozoya,82.228,2023,2.9,28020
2.9-2023-28022,Boadilla del Monte,24.652,2023,2.9,28022
2.9-2023-28023,Boalo (El),55.387,2023,2.9,28023
2.9-2023-28024,Braojos,83.276,2023,2.9,28024
2.9-2023-28025,Brea de Tajo,65.168,2023,2.9,28025
2.9-2023-28026,Brunete,38.308,2023,2.9,28026
2.9-2023-28027,Buitrago del Lozoya,76.377,2023,2.9,28027
2.9-2023-28028,Bustarviejo,64.721,2023,2.9,28028
2.9-2023-28029,Cabanillas de la Sierra,55.486,2023,2.9,28029
2.9-2023-28030,Cabrera (La),60.42,2023,2.9,28030
2.9-2023-28031,Cadalso de los Vidrios,89.965,2023,2.9,28031
2.9-2023-28032,Camarma de Esteruelas,37.479,2023,2.9,28032
2.9-2023-28033,Campo Real,34.635,2023,2.9,28033
2.9-2023-28034,Canencia,82.184,2023,2.9,28034
2.9-2023-28035,Carabaña,53.449,2023,2.9,28035
2.9-2023-28036,Casarrubuelos,33.936,2023,2.9,28036
2.9-2023-28037,Cenicientos,95.124,2023,2.9,28037
2.9-2023-28038,Cercedilla,57.007,2023,2.9,28038
2.9-2023-28039,Cervera de Buitrago,82.105,2023,2.9,28039
2.9-2023-28051,Chapinería,57.258,2023,2.9,28051
2.9-2023-28052,Chinchón,45.592,2023,2.9,28052
2.9-2023-28040,Ciempozuelos,35.54,2023,2.9,28040
2.9-2023-28041,Cobeña,34.59,2023,2.9,28041
2.9-2023-28046,Collado Mediano,47.487,2023,2.9,28046
2.9-2023-28047,Collado Villalba,42.565,2023,2.9,28047
2.9-2023-28045,Colmenar Viejo,32.965,2023,2.9,28045
2.9-2023-28043,Colmenar de Oreja,57.211,2023,2.9,28043
2.9-2023-28042,Colmenar del Arroyo,61.175,2023,2.9,28042
2.9-2023-28044,Colmenarejo,37.111,2023,2.9,28044
2.9-2023-28048,Corpa,46.516,2023,2.9,28048
2.9-2023-28049,Coslada,12.887,2023,2.9,28049
2.9-2023-28050,Cubas de la Sagra,36.177,2023,2.9,28050
2.9-2023-28053,Daganzo de Arriba,36.597,2023,2.9,28053
2.9-2023-28054,Escorial (El),51.323,2023,2.9,28054
2.9-2023-28055,Estremera,72.696,2023,2.9,28055
2.9-2023-28056,Fresnedillas de la Oliva,69.753,2023,2.9,28056
2.9-2023-28057,Fresno de Torote,46.99,2023,2.9,28057
2.9-2023-28058,Fuenlabrada,25.824,2023,2.9,28058
2.9-2023-28059,Fuente el Saz de Jarama,36.187,2023,2.9,28059
2.9-2023-28060,Fuentidueña de Tajo,63.685,2023,2.9,28060
2.9-2023-28061,Galapagar,35.516,2023,2.9,28061
2.9-2023-28062,Garganta de los Montes,79.318,2023,2.9,28062
2.9-2023-28063,Gargantilla del Lozoya y Pinilla de Buitrago,81.426,2023,2.9,28063
2.9-2023-28064,Gascones,80.024,2023,2.9,28064
2.9-2023-28065,Getafe,17.416,2023,2.9,28065
2.9-2023-28066,Griñón,33.337,2023,2.9,28066
2.9-2023-28067,Guadalix de la Sierra,58.847,2023,2.9,28067
2.9-2023-28068,Guadarrama,50.794,2023,2.9,28068
2.9-2023-28069,Hiruela (La),97.734,2023,2.9,28069
2.9-2023-28070,Horcajo de la Sierra-Aoslos,89.479,2023,2.9,28070
2.9-2023-28071,Horcajuelo de la Sierra,94.536,2023,2.9,28071
2.9-2023-28072,Hoyo de Manzanares,36.584,2023,2.9,28072
2.9-2023-28073,Humanes de Madrid,31.246,2023,2.9,28073
2.9-2023-28074,Leganés,16.847,2023,2.9,28074
2.9-2023-28075,Loeches,28.433,2023,2.9,28075
2.9-2023-28076,Lozoya,85.605,2023,2.9,28076
2.9-2023-28901,Lozoyuela-Navas-Sieteiglesias,68.104,2023,2.9,28901
2.9-2023-28078,Madarcos,92.498,2023,2.9,28078
2.9-2023-28080,Majadahonda,19.7,2023,2.9,28080
2.9-2023-28082,Manzanares el Real,51.894,2023,2.9,28082
2.9-2023-28083,Meco,48.983,2023,2.9,28083
2.9-2023-28084,Mejorada del Campo,21.041,2023,2.9,28084
2.9-2023-28085,Miraflores de la Sierra,55.446,2023,2.9,28085
2.9-2023-28086,Molar (El),43.648,2023,2.9,28086
2.9-2023-28087,Molinos (Los),55.681,2023,2.9,28087
2.9-2023-28088,Montejo de la Sierra,87.651,2023,2.9,28088
2.9-2023-28089,Moraleja de Enmedio,27.17,2023,2.9,28089
2.9-2023-28090,Moralzarzal,46.641,2023,2.9,28090
2.9-2023-28091,Morata de Tajuña,34.745,2023,2.9,28091
2.9-2023-28092,Móstoles,24.488,2023,2.9,28092
2.9-2023-28093,Navacerrada,52.561,2023,2.9,28093
2.9-2023-28094,Navalafuente,59.831,2023,2.9,28094
2.9-2023-28095,Navalagamella,56.822,2023,2.9,28095
2.9-2023-28096,Navalcarnero,36.609,2023,2.9,28096
2.9-2023-28097,Navarredonda y San Mamés,85.319,2023,2.9,28097
2.9-2023-28099,Navas del Rey,60.506,2023,2.9,28099
2.9-2023-28100,Nuevo Baztán,48.3,2023,2.9,28100
2.9-2023-28101,Olmeda de las Fuentes,53.406,2023,2.9,28101
2.9-2023-28102,Orusco de Tajuña,57.456,2023,2.9,28102
2.9-2023-28104,Paracuellos de Jarama,24.676,2023,2.9,28104
2.9-2023-28106,Parla,23.672,2023,2.9,28106
2.9-2023-28107,Patones,65.895,2023,2.9,28107
2.9-2023-28108,Pedrezuela,45.794,2023,2.9,28108
2.9-2023-28109,Pelayos de la Presa,71.93,2023,2.9,28109
2.9-2023-28110,Perales de Tajuña,40.166,2023,2.9,28110
2.9-2023-28111,Pezuela de las Torres,51.574,2023,2.9,28111
2.9-2023-28112,Pinilla del Valle,91.312,2023,2.9,28112
2.9-2023-28113,Pinto,23.546,2023,2.9,28113
2.9-2023-28114,Piñuécar-Gandullas,83.028,2023,2.9,28114
2.9-2023-28115,Pozuelo de Alarcón,18.056,2023,2.9,28115
2.9-2023-28116,Pozuelo del Rey,41.51,2023,2.9,28116
2.9-2023-28117,Prádena del Rincón,85.383,2023,2.9,28117
2.9-2023-28118,Puebla de la Sierra,103.62,2023,2.9,28118
2.9-2023-28902,Puentes Viejas,75.189,2023,2.9,28902
2.9-2023-28119,Quijorna,45.968,2023,2.9,28119
2.9-2023-28120,Rascafría,95.391,2023,2.9,28120
2.9-2023-28121,Redueña,56.05,2023,2.9,28121
2.9-2023-28122,Ribatejada,51.73,2023,2.9,28122
