Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por estrato de edad. Porcentaje de afiliados a la Seguridad Social de menos de 30 años residentes. Unidad: Porcentaje. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;14.75;14.85;15.24;15.34;15.76;16.15;16.42;15.22;16.38;16.90;
Zonas Estadísticas;01;Municipio de Madrid ;12.70;12.64;12.85;12.91;13.35;13.71;13.97;12.84;13.86;14.36;
Zonas Estadísticas;02;Norte Metropolitano ;14.40;14.20;14.34;14.07;14.49;14.67;14.75;13.56;14.50;14.81;
Zonas Estadísticas;03;Este Metropolitano  ;15.48;15.15;14.98;14.58;14.51;14.29;14.15;13.06;14.02;14.24;
Zonas Estadísticas;04;Sur Metropolitano   ;15.00;14.52;14.36;13.98;14.09;14.13;14.12;12.97;13.93;14.28;
Zonas Estadísticas;05;Oeste Metropolitano ;13.00;13.06;13.45;13.40;13.77;14.01;14.18;13.25;14.39;14.85;
Zonas Estadísticas;06;Sierra Norte        ;12.46;12.48;12.75;12.65;13.22;13.14;13.49;12.61;13.58;14.08;
Zonas Estadísticas;07;Nordeste Comunidad  ;13.77;13.62;14.03;14.01;14.05;14.29;14.07;13.13;14.54;14.90;
Zonas Estadísticas;08;Sudeste Comunidad   ;15.76;15.44;15.70;15.40;15.45;15.21;14.92;13.94;14.42;14.67;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.59;14.15;14.47;14.03;14.28;14.37;14.34;13.55;14.54;14.80;
Zonas Estadísticas;10;Sierra Sur          ;14.57;14.67;15.16;14.48;14.66;15.13;15.01;13.34;14.57;14.79;
Zonas Estadísticas;11;Sierra Central      ;12.06;12.10;12.51;12.71;13.11;13.49;13.55;12.63;13.65;14.14;
Zonas Estadísticas;99;Sin Zona asignada   ;24.91;26.43;28.10;28.90;29.41;30.35;31.03;28.82;30.10;30.32;
Municipios;0014;Acebeda (La);0.00;1.28;0.00;0.00;1.75;1.92;2.44;0.00;2.86;3.03;
Municipios;0029;Ajalvir;10.52;10.70;11.12;11.26;10.64;10.73;11.99;11.12;13.07;12.97;
Municipios;0035;Alameda del Valle;10.96;11.11;14.47;12.00;13.04;10.67;8.97;10.39;12.20;15.19;
Municipios;0040;Alamo (El);15.10;14.78;16.66;15.92;16.09;15.64;15.52;15.48;15.89;16.42;
Municipios;0053;Alcalá de Henares;14.97;14.60;14.63;14.35;14.37;14.35;14.28;13.41;14.07;14.48;
Municipios;0066;Alcobendas;14.11;13.98;14.40;13.91;14.30;14.61;14.67;13.56;14.37;14.71;
Municipios;0072;Alcorcón;12.19;11.88;11.95;11.80;11.84;12.19;12.46;11.52;12.76;13.48;
Municipios;0088;Aldea del Fresno;14.67;15.22;14.61;15.86;13.38;15.27;13.19;12.59;13.06;14.39;
Municipios;0091;Algete;15.06;15.11;14.94;14.80;15.94;16.02;16.12;14.75;16.60;16.92;
Municipios;0105;Alpedrete;11.68;12.08;12.35;12.91;13.31;13.51;13.69;13.39;14.47;14.34;
Municipios;0112;Ambite;4.98;4.95;8.21;7.61;9.91;6.94;8.37;7.65;8.13;9.62;
Municipios;0127;Anchuelo;16.21;11.43;12.65;13.59;12.50;10.99;11.38;8.31;8.32;11.75;
Municipios;0133;Aranjuez;14.56;14.29;14.30;14.31;14.76;14.83;14.53;13.89;14.90;15.26;
Municipios;0148;Arganda del Rey;16.47;15.86;15.42;15.14;14.87;14.58;14.45;13.28;14.10;14.49;
Municipios;0151;Arroyomolinos;13.01;12.23;12.67;12.17;12.67;12.68;12.52;11.38;12.90;13.35;
Municipios;0164;Atazar (El);4.35;6.52;6.67;9.30;6.82;6.25;2.22;6.82;4.76;2.94;
Municipios;0170;Batres;12.38;11.38;13.10;12.26;14.29;13.66;12.36;13.55;14.08;16.22;
Municipios;0186;Becerril de la Sierra;12.38;13.60;12.63;12.98;14.26;13.82;13.93;12.46;14.26;14.05;
Municipios;0199;Belmonte de Tajo;15.89;14.13;16.46;14.76;13.55;14.99;13.87;15.22;12.80;13.20;
Municipios;0210;Berrueco (El);13.04;12.88;11.04;10.00;13.54;10.55;12.79;11.98;12.45;14.10;
Municipios;0203;Berzosa del Lozoya;5.81;4.00;8.11;4.11;4.69;6.45;8.62;11.86;14.04;11.86;
Municipios;0225;Boadilla del Monte;10.87;11.05;11.43;11.02;11.63;12.12;12.60;11.82;13.20;13.49;
Municipios;0231;Boalo (El);10.81;10.46;11.49;11.06;10.50;10.31;10.52;9.44;10.67;10.72;
Municipios;0246;Braojos;8.26;9.17;11.61;10.19;9.71;12.38;12.62;12.75;17.43;13.33;
Municipios;0259;Brea de Tajo;14.72;16.40;16.08;14.52;14.74;14.44;16.15;13.89;15.82;17.71;
Municipios;0262;Brunete;12.44;12.57;13.24;13.15;13.67;14.14;14.02;13.72;14.02;15.91;
Municipios;0278;Buitrago del Lozoya;13.84;13.74;15.20;15.27;15.88;15.04;15.75;15.66;16.11;15.70;
Municipios;0284;Bustarviejo;12.20;9.69;10.94;10.79;10.51;10.41;10.21;9.88;8.70;9.68;
Municipios;0297;Cabanillas de la Sierra;9.06;6.69;11.43;10.56;8.92;11.15;11.00;9.36;10.00;12.17;
Municipios;0301;Cabrera (La);16.31;15.45;15.36;15.98;16.63;16.49;14.46;13.93;15.07;14.22;
Municipios;0318;Cadalso de los Vidrios;16.41;15.54;18.61;17.58;17.19;17.28;16.58;14.45;16.31;16.47;
Municipios;0323;Camarma de Esteruelas;12.40;13.06;13.41;13.07;12.29;12.78;12.61;11.93;13.67;13.45;
Municipios;0339;Campo Real;15.73;15.58;15.74;15.83;14.65;14.60;14.14;13.02;13.17;13.63;
Municipios;0344;Canencia;6.59;7.36;8.18;5.81;6.80;7.52;8.76;9.70;16.90;16.54;
Municipios;0357;Carabaña;14.61;14.86;12.09;13.21;14.94;13.56;14.02;13.29;13.23;14.64;
Municipios;0360;Casarrubuelos;14.08;12.50;14.42;13.51;13.06;12.70;14.29;14.90;14.49;15.09;
Municipios;0376;Cenicientos;15.29;18.00;18.67;17.94;19.31;19.61;18.01;17.53;18.17;16.64;
Municipios;0382;Cercedilla;11.06;11.03;11.16;12.39;12.94;12.67;12.70;12.24;13.34;14.43;
Municipios;0395;Cervera de Buitrago;3.28;0.00;3.85;7.27;7.41;3.85;3.92;8.70;13.64;18.18;
Municipios;0513;Chapinería;13.97;16.83;15.75;17.06;16.64;14.32;15.93;14.01;14.97;13.59;
Municipios;0528;Chinchón;16.32;16.27;16.86;17.00;17.65;17.02;16.67;15.86;14.66;15.46;
Municipios;0409;Ciempozuelos;14.05;13.59;14.08;14.01;15.47;15.62;15.42;14.62;15.02;15.00;
Municipios;0416;Cobeña;12.32;12.92;12.62;13.48;13.05;13.63;14.24;12.66;13.94;14.85;
Municipios;0468;Collado Mediano;11.18;12.00;11.32;12.20;12.42;11.96;12.08;11.86;12.48;13.89;
Municipios;0474;Collado Villalba;14.74;14.62;14.81;14.69;14.79;15.07;15.31;14.30;15.19;15.53;
Municipios;0455;Colmenar Viejo;14.50;14.13;14.54;14.48;14.88;15.02;15.13;14.07;14.70;15.00;
Municipios;0437;Colmenar de Oreja;18.89;17.70;18.55;17.29;18.13;17.28;16.68;16.08;16.61;16.68;
Municipios;0421;Colmenar del Arroyo;14.71;14.42;12.64;12.80;13.37;14.07;13.25;10.79;13.28;13.40;
Municipios;0442;Colmenarejo;11.98;12.59;12.66;13.07;14.17;15.00;14.81;13.96;14.95;16.38;
Municipios;0480;Corpa;15.50;20.19;18.60;15.63;12.84;10.88;8.73;7.23;10.04;9.59;
Municipios;0493;Coslada;16.72;16.51;16.21;15.20;14.43;14.06;13.30;11.99;12.74;12.83;
Municipios;0506;Cubas de la Sagra;11.85;12.51;13.08;12.20;13.13;13.85;14.34;12.86;13.22;13.07;
Municipios;0534;Daganzo de Arriba;10.70;11.17;11.61;12.22;13.23;13.96;13.03;12.46;14.79;15.45;
Municipios;0549;Escorial (El);12.86;12.30;12.91;12.80;12.93;14.01;14.02;12.93;13.65;13.77;
Municipios;0552;Estremera;17.53;16.67;17.07;16.14;15.24;15.59;17.42;18.48;18.20;18.92;
Municipios;0565;Fresnedillas de la Oliva;17.60;15.09;17.10;14.91;14.20;14.89;16.35;13.51;12.91;14.31;
Municipios;0571;Fresno de Torote;10.00;10.69;11.99;10.95;9.94;9.94;10.96;11.59;11.82;11.94;
Municipios;0587;Fuenlabrada;17.98;17.13;16.62;15.88;15.70;15.61;15.40;14.08;15.12;15.18;
Municipios;0590;Fuente el Saz de Jarama;16.66;15.58;15.64;16.48;15.72;15.68;15.86;14.40;15.97;15.88;
Municipios;0604;Fuentidueña de Tajo;16.44;15.16;18.60;16.32;17.38;17.55;18.22;18.15;17.64;16.12;
Municipios;0611;Galapagar;13.19;13.13;13.74;14.13;14.69;14.93;14.93;13.57;15.08;15.51;
Municipios;0626;Garganta de los Montes;24.07;22.12;22.31;20.66;21.54;24.59;18.33;18.25;15.28;15.00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10.13;12.00;7.14;4.44;4.00;3.23;3.09;5.38;9.18;8.18;
Municipios;0647;Gascones;23.44;22.73;24.62;18.57;18.67;17.81;22.62;13.79;14.74;14.85;
Municipios;0650;Getafe;14.01;13.66;13.72;13.45;13.74;13.75;13.86;12.80;13.73;14.00;
Municipios;0663;Griñón;15.79;15.34;15.55;15.02;15.35;15.13;15.40;14.58;15.68;15.72;
Municipios;0679;Guadalix de la Sierra;11.67;13.18;12.68;14.10;14.91;15.13;15.63;13.80;14.65;15.30;
Municipios;0685;Guadarrama;13.51;13.18;13.72;13.14;13.57;14.15;14.09;13.18;13.59;14.60;
Municipios;0698;Hiruela (La);0.00;0.00;14.29;12.50;25.00;25.00;16.67;20.00;0.00;0.00;
Municipios;0702;Horcajo de la Sierra-Aoslos;12.24;9.62;10.20;7.69;6.00;12.73;16.07;14.00;15.38;13.33;
Municipios;0719;Horcajuelo de la Sierra;23.33;16.00;22.22;20.83;24.14;22.22;24.00;22.86;15.79;17.14;
Municipios;0724;Hoyo de Manzanares;12.86;12.57;12.79;12.84;14.17;14.00;14.55;13.42;14.81;15.54;
Municipios;0730;Humanes de Madrid;15.19;14.73;14.67;14.36;15.00;14.09;13.58;12.11;12.51;13.12;
Municipios;0745;Leganés;14.17;13.93;13.75;13.43;13.67;13.74;13.83;12.77;13.45;13.98;
Municipios;0758;Loeches;13.01;13.49;12.97;13.30;13.61;14.06;13.60;12.33;14.21;14.34;
Municipios;0761;Lozoya;10.99;8.95;9.84;10.05;9.18;11.17;12.32;6.77;9.39;7.46;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;11.71;13.98;13.87;14.01;12.75;10.47;13.58;12.63;14.57;15.37;
Municipios;0783;Madarcos;8.51;8.70;2.56;2.50;2.94;0.00;7.14;7.41;14.81;10.34;
