Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;87515;66989;
Zonas Estadísticas;01;Municipio de Madrid ;25806;20936;
Zonas Estadísticas;02;Norte Metropolitano ;9078;6451;
Zonas Estadísticas;03;Este Metropolitano  ;17782;15434;
Zonas Estadísticas;04;Sur Metropolitano   ;22496;14933;
Zonas Estadísticas;05;Oeste Metropolitano ;1209;907;
Zonas Estadísticas;06;Sierra Norte        ;2162;1938;
Zonas Estadísticas;07;Nordeste Comunidad  ;4718;3356;
Zonas Estadísticas;08;Sudeste Comunidad   ;2628;1654;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1185;982;
Zonas Estadísticas;10;Sierra Sur          ;180;180;
Zonas Estadísticas;11;Sierra Central      ;271;218;
Municipios;0014;Acebeda (La);1865;1793;
Municipios;0029;Ajalvir;303;285;
Municipios;0035;Alameda del Valle;0;2;
Municipios;0040;Alamo (El);41;31;
Municipios;0053;Alcalá de Henares;7955;8392;
Municipios;0066;Alcobendas;2708;2871;
Municipios;0072;Alcorcón;1676;1486;
Municipios;0088;Aldea del Fresno;7;7;
Municipios;0091;Algete;360;260;
Municipios;0105;Alpedrete;21;32;
Municipios;0112;Ambite;0;0;
Municipios;0127;Anchuelo;6;0;
Municipios;0133;Aranjuez;3692;1729;
Municipios;0148;Arganda del Rey;1790;1170;
Municipios;0151;Arroyomolinos;67;43;
Municipios;0164;Atazar (El);2;0;
Municipios;0170;Batres;2;0;
Municipios;0186;Becerril de la Sierra;15;9;
Municipios;0199;Belmonte de Tajo;14;5;
Municipios;0210;Berrueco (El);0;2;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;76;50;
Municipios;0231;Boalo (El);7;2;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;0;0;
Municipios;0262;Brunete;23;18;
Municipios;0278;Buitrago del Lozoya;2;1;
Municipios;0284;Bustarviejo;2;5;
Municipios;0297;Cabanillas de la Sierra;1;0;
Municipios;0301;Cabrera (La);5;5;
Municipios;0318;Cadalso de los Vidrios;3;40;
Municipios;0323;Camarma de Esteruelas;474;506;
Municipios;0339;Campo Real;208;101;
Municipios;0344;Canencia;1;0;
Municipios;0357;Carabaña;20;10;
Municipios;0360;Casarrubuelos;17;27;
Municipios;0376;Cenicientos;8;1;
Municipios;0382;Cercedilla;0;1;
Municipios;0395;Cervera de Buitrago;1;1;
Municipios;0513;Chapinería;1;2;
Municipios;0528;Chinchón;83;17;
Municipios;0409;Ciempozuelos;197;125;
Municipios;0416;Cobeña;129;44;
Municipios;0468;Collado Mediano;4;5;
Municipios;0474;Collado Villalba;103;71;
Municipios;0455;Colmenar Viejo;372;170;
Municipios;0437;Colmenar de Oreja;36;43;
Municipios;0421;Colmenar del Arroyo;40;29;
Municipios;0442;Colmenarejo;19;7;
Municipios;0480;Corpa;0;0;
Municipios;0493;Coslada;1075;1078;
Municipios;0506;Cubas de la Sagra;86;102;
Municipios;0534;Daganzo de Arriba;1797;1648;
Municipios;0549;Escorial (El);12;6;
Municipios;0552;Estremera;4;6;
Municipios;0565;Fresnedillas de la Oliva;0;1;
Municipios;0571;Fresno de Torote;3;2;
Municipios;0587;Fuenlabrada;3758;2658;
Municipios;0590;Fuente el Saz de Jarama;67;46;
Municipios;0604;Fuentidueña de Tajo;21;17;
Municipios;0611;Galapagar;25;35;
Municipios;0626;Garganta de los Montes;2;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;1;
Municipios;0647;Gascones;1;2;
Municipios;0650;Getafe;5923;3795;
Municipios;0663;Griñón;447;419;
Municipios;0679;Guadalix de la Sierra;62;56;
Municipios;0685;Guadarrama;15;15;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;
Municipios;0719;Horcajuelo de la Sierra;128;0;
Municipios;0724;Hoyo de Manzanares;4;3;
Municipios;0730;Humanes de Madrid;735;509;
Municipios;0745;Leganés;1369;857;
Municipios;0758;Loeches;1013;421;
Municipios;0761;Lozoya;9;17;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;8;1;
Municipios;0783;Madarcos;3;5;
Municipios;0796;Madrid;25806;20936;
Municipios;0800;Majadahonda;266;214;
Municipios;0822;Manzanares el Real;9;4;
Municipios;0838;Meco;1518;812;
Municipios;0843;Mejorada del Campo;302;147;
