Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;323492
Zonas Estadísticas;01;Municipio de Madrid ;206214
Zonas Estadísticas;02;Norte Metropolitano ;20633
Zonas Estadísticas;03;Este Metropolitano  ;22529
Zonas Estadísticas;04;Sur Metropolitano   ;35364
Zonas Estadísticas;05;Oeste Metropolitano ;24812
Zonas Estadísticas;06;Sierra Norte        ;1949
Zonas Estadísticas;07;Nordeste Comunidad  ;1721
Zonas Estadísticas;08;Sudeste Comunidad   ;2250
Zonas Estadísticas;09;Sudoeste Comunidad  ;4008
Zonas Estadísticas;10;Sierra Sur          ;668
Zonas Estadísticas;11;Sierra Central      ;3344
Municipios;0014;Acebeda (La);241
Municipios;0029;Ajalvir;380
Municipios;0035;Alameda del Valle;29
Municipios;0040;Alamo (El);230
Municipios;0053;Alcalá de Henares;5549
Municipios;0066;Alcobendas;10131
Municipios;0072;Alcorcón;4820
Municipios;0088;Aldea del Fresno;71
Municipios;0091;Algete;771
Municipios;0105;Alpedrete;292
Municipios;0112;Ambite;16
Municipios;0127;Anchuelo;47
Municipios;0133;Aranjuez;1131
Municipios;0148;Arganda del Rey;1999
Municipios;0151;Arroyomolinos;961
Municipios;0164;Atazar (El);101
Municipios;0170;Batres;34
Municipios;0186;Becerril de la Sierra;106
Municipios;0199;Belmonte de Tajo;67
Municipios;0210;Berrueco (El);56
Municipios;0203;Berzosa del Lozoya;92
Municipios;0225;Boadilla del Monte;3281
Municipios;0231;Boalo (El);157
Municipios;0246;Braojos;65
Municipios;0259;Brea de Tajo;20
Municipios;0262;Brunete;254
Municipios;0278;Buitrago del Lozoya;70
Municipios;0284;Bustarviejo;203
Municipios;0297;Cabanillas de la Sierra;12
Municipios;0301;Cabrera (La);86
Municipios;0318;Cadalso de los Vidrios;114
Municipios;0323;Camarma de Esteruelas;204
Municipios;0339;Campo Real;182
Municipios;0344;Canencia;23
Municipios;0357;Carabaña;38
Municipios;0360;Casarrubuelos;117
Municipios;0376;Cenicientos;36
Municipios;0382;Cercedilla;147
Municipios;0395;Cervera de Buitrago;10
Municipios;0513;Chapinería;49
Municipios;0528;Chinchón;140
Municipios;0409;Ciempozuelos;797
Municipios;0416;Cobeña;178
Municipios;0468;Collado Mediano;202
Municipios;0474;Collado Villalba;1473
Municipios;0455;Colmenar Viejo;1276
Municipios;0437;Colmenar de Oreja;103
Municipios;0421;Colmenar del Arroyo;67
Municipios;0442;Colmenarejo;99
Municipios;0480;Corpa;7
Municipios;0493;Coslada;3236
Municipios;0506;Cubas de la Sagra;391
