Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Agricultura. Total contratos registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;7841;9486;8519;6761;7005;8757;7994;9748;10625;11608;12184;9348;10644;8159;6835;
Zonas Estadísticas;01;Municipio de Madrid ;4479;5398;4893;3615;3840;4541;4061;5698;6288;7158;7400;4744;5145;4136;3081;
Zonas Estadísticas;02;Norte Metropolitano ;111;99;249;234;169;226;214;199;311;289;327;317;347;193;285;
Zonas Estadísticas;03;Este Metropolitano  ;277;310;310;231;214;268;223;201;207;285;242;290;286;229;223;
Zonas Estadísticas;04;Sur Metropolitano   ;669;938;853;798;753;798;795;804;876;879;1081;832;943;1231;911;
Zonas Estadísticas;05;Oeste Metropolitano ;610;582;682;571;674;734;765;789;739;868;750;614;1171;468;334;
Zonas Estadísticas;06;Sierra Norte        ;213;203;149;103;72;186;207;262;276;296;278;257;261;102;52;
Zonas Estadísticas;07;Nordeste Comunidad  ;61;61;87;78;66;76;85;92;106;78;101;77;76;54;75;
Zonas Estadísticas;08;Sudeste Comunidad   ;762;906;759;635;696;1241;916;914;1151;1118;1340;1542;1687;1110;1198;
Zonas Estadísticas;09;Sudoeste Comunidad  ;324;696;305;313;293;427;496;506;442;415;423;388;413;397;387;
Zonas Estadísticas;10;Sierra Sur          ;73;59;64;65;135;123;131;166;110;118;139;183;164;154;191;
Zonas Estadísticas;11;Sierra Central      ;262;234;168;118;93;137;101;117;119;104;103;104;151;85;98;
Municipios;0014;Acebeda (La);1;3;0;0;0;6;17;3;6;1;26;3;18;38;4;
Municipios;0029;Ajalvir;1;7;1;2;1;2;0;0;0;2;0;1;0;0;1;
Municipios;0035;Alameda del Valle;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);22;21;29;1;5;6;21;14;9;15;44;0;3;7;10;
Municipios;0053;Alcalá de Henares;104;31;110;61;45;46;52;47;71;73;122;116;100;114;73;
Municipios;0066;Alcobendas;40;28;37;102;39;93;97;67;103;90;119;92;120;85;81;
Municipios;0072;Alcorcón;120;141;113;189;54;78;94;143;155;193;298;121;96;116;108;
Municipios;0088;Aldea del Fresno;19;9;14;8;8;35;80;69;65;56;54;18;23;32;39;
Municipios;0091;Algete;5;8;138;51;50;26;17;24;14;11;18;21;12;8;10;
Municipios;0105;Alpedrete;12;27;8;2;3;6;2;1;2;1;1;1;1;1;1;
Municipios;0112;Ambite;1;0;0;0;0;0;0;0;2;0;0;0;3;1;1;
Municipios;0127;Anchuelo;1;1;1;1;1;1;1;2;1;1;1;1;1;1;0;
Municipios;0133;Aranjuez;185;280;301;301;348;267;302;253;255;214;243;217;213;179;131;
Municipios;0148;Arganda del Rey;71;140;130;72;105;114;90;95;52;65;51;58;33;18;27;
Municipios;0151;Arroyomolinos;1;1;0;0;0;0;5;5;9;3;3;3;1;0;0;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;
Municipios;0170;Batres;4;1;1;1;0;0;0;1;1;0;0;0;0;0;0;
Municipios;0186;Becerril de la Sierra;6;1;0;0;0;1;0;1;4;5;6;3;9;7;4;
Municipios;0199;Belmonte de Tajo;31;29;1;13;18;16;28;46;43;35;24;20;15;12;9;
Municipios;0210;Berrueco (El);0;0;1;3;0;0;0;0;0;1;0;0;0;2;0;
Municipios;0203;Berzosa del Lozoya;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;292;298;280;220;223;208;223;223;243;334;293;230;664;55;56;
Municipios;0231;Boalo (El);16;8;8;14;9;7;3;6;1;7;3;2;2;3;0;
Municipios;0246;Braojos;0;1;1;0;2;0;1;1;5;1;0;0;0;0;3;
Municipios;0259;Brea de Tajo;18;5;7;5;16;16;14;16;39;22;26;14;27;9;11;
Municipios;0262;Brunete;4;4;6;7;2;2;4;5;5;4;7;2;11;11;1;
Municipios;0278;Buitrago del Lozoya;125;119;88;27;14;92;116;164;179;186;161;181;173;9;0;
Municipios;0284;Bustarviejo;1;2;3;13;6;4;5;6;3;4;6;3;1;2;1;
Municipios;0297;Cabanillas de la Sierra;2;1;0;0;3;0;2;2;6;0;2;2;2;1;1;
Municipios;0301;Cabrera (La);0;6;0;0;1;0;0;0;1;0;1;2;0;0;2;
Municipios;0318;Cadalso de los Vidrios;0;1;1;1;6;8;19;26;20;23;43;78;49;36;35;
Municipios;0323;Camarma de Esteruelas;4;4;4;4;5;9;2;5;7;3;0;1;2;2;0;
Municipios;0339;Campo Real;17;13;10;7;18;19;17;22;35;25;25;24;31;19;28;
Municipios;0344;Canencia;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;
Municipios;0357;Carabaña;22;4;10;8;4;20;15;27;8;6;6;17;138;13;15;
Municipios;0360;Casarrubuelos;0;0;0;0;0;10;3;3;0;1;0;3;1;2;0;
Municipios;0376;Cenicientos;0;1;1;2;8;14;12;6;7;10;19;16;22;10;14;
Municipios;0382;Cercedilla;62;26;22;33;8;22;8;10;10;2;5;6;6;5;3;
Municipios;0395;Cervera de Buitrago;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
Municipios;0513;Chapinería;0;1;1;2;3;1;2;3;4;9;3;0;0;3;11;
