Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Total contratos registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;189335;176098;148052;123578;115518;135509;147202;150432;163827;167897;151723;135558;145198;134031;119721;
Zonas Estadísticas;01;Municipio de Madrid ;109606;99646;80476;69177;66066;81019;86728;87847;96078;97316;83236;73633;81080;75276;67757;
Zonas Estadísticas;02;Norte Metropolitano ;8144;7933;6628;6772;6341;7373;7700;7334;7819;7840;7391;7083;7348;6754;5798;
Zonas Estadísticas;03;Este Metropolitano  ;17094;17602;15025;11566;10270;12061;13226;13891;14802;15847;16561;14901;15308;13647;12861;
Zonas Estadísticas;04;Sur Metropolitano   ;32332;30510;27987;20988;18955;19962;22329;24058;25010;26481;25502;22844;23260;22429;19980;
Zonas Estadísticas;05;Oeste Metropolitano ;8180;7353;6830;6042;5482;6222;7763;7532;8911;9124;8362;7281;7363;6170;5121;
Zonas Estadísticas;06;Sierra Norte        ;1165;969;884;677;719;597;830;732;843;787;675;658;756;760;641;
Zonas Estadísticas;07;Nordeste Comunidad  ;1772;1449;1348;1387;1181;1375;1310;1652;1685;1486;1330;1010;1251;1369;1049;
Zonas Estadísticas;08;Sudeste Comunidad   ;3052;3203;2816;1929;1931;2075;2022;1947;2113;1987;1941;1794;1868;1571;1390;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3923;3645;2858;2432;2238;2498;2763;3004;3631;3800;3811;3668;3870;3395;2870;
Zonas Estadísticas;10;Sierra Sur          ;905;779;577;572;522;553;504;427;524;712;636;636;704;660;622;
Zonas Estadísticas;11;Sierra Central      ;3162;3009;2623;2036;1813;1774;2027;2008;2411;2517;2278;2050;2390;2000;1632;
Municipios;0014;Acebeda (La);89;59;45;34;62;47;43;75;144;158;82;44;62;56;103;
Municipios;0029;Ajalvir;174;155;111;143;175;208;148;172;142;217;198;160;210;219;206;
Municipios;0035;Alameda del Valle;15;26;24;4;24;6;8;11;12;4;7;5;5;13;5;
Municipios;0040;Alamo (El);129;180;145;98;70;99;85;100;132;230;187;149;126;94;111;
Municipios;0053;Alcalá de Henares;4741;5209;4420;3276;2826;3164;3176;3237;3842;4364;4721;3706;3858;3543;3464;
Municipios;0066;Alcobendas;2158;1950;2045;2008;2093;2583;2733;2265;2504;2551;2500;2198;2540;2318;2030;
Municipios;0072;Alcorcón;5866;4177;2948;2382;2132;2307;2887;2514;2877;2931;3017;2362;2364;2398;2099;
Municipios;0088;Aldea del Fresno;33;27;81;97;50;43;71;28;51;38;32;22;122;201;171;
Municipios;0091;Algete;545;696;669;664;656;618;534;676;694;452;463;319;541;480;380;
Municipios;0105;Alpedrete;331;209;147;162;126;141;138;164;181;187;183;133;151;163;145;
Municipios;0112;Ambite;16;6;11;15;8;4;7;6;3;6;1;1;8;7;14;
Municipios;0127;Anchuelo;30;22;20;24;37;84;29;52;41;11;28;10;10;8;2;
Municipios;0133;Aranjuez;1065;1433;806;612;599;813;994;888;1033;1070;1139;968;765;922;580;
Municipios;0148;Arganda del Rey;1992;1798;1831;1335;1634;1718;2052;1789;2272;2391;2746;2722;2742;2497;2701;
Municipios;0151;Arroyomolinos;1073;1045;730;555;654;772;768;992;1135;1005;964;959;894;818;663;
Municipios;0164;Atazar (El);14;14;9;8;28;24;23;26;14;21;13;13;6;9;2;
Municipios;0170;Batres;29;23;30;13;60;6;19;50;23;49;67;18;14;21;26;
Municipios;0186;Becerril de la Sierra;131;95;136;133;96;69;73;56;82;110;48;49;67;53;60;
Municipios;0199;Belmonte de Tajo;17;42;47;33;56;56;52;20;17;24;36;26;23;25;9;
Municipios;0210;Berrueco (El);70;49;32;20;18;20;30;36;16;17;49;78;90;33;24;
Municipios;0203;Berzosa del Lozoya;37;15;30;15;8;10;11;3;8;9;7;7;15;23;11;
Municipios;0225;Boadilla del Monte;951;995;856;745;1046;996;1269;1385;2034;1970;2140;1317;1327;1011;998;
Municipios;0231;Boalo (El);182;100;66;35;55;55;88;93;91;66;92;87;127;111;87;
Municipios;0246;Braojos;7;7;15;6;4;2;2;5;0;3;5;1;3;9;6;
Municipios;0259;Brea de Tajo;17;19;45;13;8;4;3;6;7;13;4;9;5;4;9;
Municipios;0262;Brunete;115;129;157;103;91;83;120;93;101;121;210;136;133;127;99;
