Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Total contratos registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2316201;2570084;2551764;2167243;1660387;1714722;1727207;1712231;1671052;1887055;2168697;2350621;2559591;2730741;2801261;1826010;2395619;2450059;2133149;
Zonas Estadísticas;01;Municipio de Madrid ;1473948;1644144;1631425;1410336;1076224;1097308;1103251;1112370;1070457;1210117;1378483;1500396;1634630;1749978;1794514;1068332;1421726;1547251;1357595;
Zonas Estadísticas;02;Norte Metropolitano ;128819;130620;131588;120707;87834;100577;102409;101069;99163;110094;124151;130517;141044;147161;152382;108858;146487;142297;118307;
Zonas Estadísticas;03;Este Metropolitano  ;209435;217209;208574;157644;116950;130198;129599;117522;120862;135154;157453;185276;201112;209801;211478;167576;207901;187663;163961;
Zonas Estadísticas;04;Sur Metropolitano   ;310316;342934;338296;267095;205736;206783;205636;186975;183384;212887;249256;265258;295431;318780;328523;271004;363184;322051;271181;
Zonas Estadísticas;05;Oeste Metropolitano ;92565;112101;114642;105790;85521;93619;100549;112905;113611;128995;157370;158619;167521;179609;186872;113666;136221;132339;116631;
Zonas Estadísticas;06;Sierra Norte        ;16923;15282;17804;14556;9916;8852;11366;9901;9170;8794;11493;12152;12967;12247;14248;10161;12077;14233;13140;
Zonas Estadísticas;07;Nordeste Comunidad  ;14044;15909;17551;16648;13583;14340;13137;14352;14792;14864;15444;16476;18223;19173;20116;15965;24161;21812;20265;
Zonas Estadísticas;08;Sudeste Comunidad   ;23841;35526;35560;26790;22828;20097;16790;15503;16841;18622;20163;21368;22146;22944;23130;19721;23810;20063;18003;
Zonas Estadísticas;09;Sudoeste Comunidad  ;20569;24128;26317;21887;19125;20513;21470;18789;20039;22112;26960;32436;33748;36207;36725;27878;31363;31046;27622;
Zonas Estadísticas;10;Sierra Sur          ;4505;5784;5881;5633;4182;4255;4475;4050;4272;4214;4788;4903;6146;6412;6716;4991;5431;6302;5157;
Zonas Estadísticas;11;Sierra Central      ;21236;26447;24126;20157;18488;18180;18525;18795;18461;21202;23136;23220;26623;28429;26557;17858;23258;25002;21287;
Municipios;0014;Acebeda (La);2654;1928;1328;906;666;599;588;525;441;1023;1106;893;1230;1737;2564;1422;1920;3970;3673;
Municipios;0029;Ajalvir;1795;2222;2329;2325;1638;1500;1802;1661;1757;2064;2297;2436;2665;2778;2555;1802;2346;2512;2225;
Municipios;0035;Alameda del Valle;286;306;408;198;171;149;1393;1570;377;160;125;131;184;186;274;166;255;339;249;
Municipios;0040;Alamo (El);1348;1422;1357;938;867;879;1801;697;1765;987;3007;3201;2148;2020;2664;1428;2119;1731;1258;
Municipios;0053;Alcalá de Henares;66599;68150;66716;50808;39561;44040;40536;37258;41607;45905;52929;57478;63286;67321;70514;55366;69689;57072;54091;
Municipios;0066;Alcobendas;48589;48307;49338;44738;32478;37143;40288;42240;40481;49740;55817;57272;57847;61684;61790;41128;53559;55019;48082;
