Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;200200;206149;
Zonas Estadísticas;01;Municipio de Madrid ;98500;101963;
Zonas Estadísticas;02;Norte Metropolitano ;12159;12293;
Zonas Estadísticas;03;Este Metropolitano  ;22190;22459;
Zonas Estadísticas;04;Sur Metropolitano   ;39216;40341;
Zonas Estadísticas;05;Oeste Metropolitano ;10493;11072;
Zonas Estadísticas;06;Sierra Norte        ;1084;1110;
Zonas Estadísticas;07;Nordeste Comunidad  ;1923;1949;
Zonas Estadísticas;08;Sudeste Comunidad   ;3104;3093;
Zonas Estadísticas;09;Sudoeste Comunidad  ;6101;6326;
Zonas Estadísticas;10;Sierra Sur          ;1309;1307;
Zonas Estadísticas;11;Sierra Central      ;4121;4236;
Municipios;0014;Acebeda (La);1;1;
Municipios;0029;Ajalvir;371;368;
Municipios;0035;Alameda del Valle;1;1;
Municipios;0040;Alamo (El);247;277;
Municipios;0053;Alcalá de Henares;5813;5895;
Municipios;0066;Alcobendas;4995;5100;
Municipios;0072;Alcorcón;5040;5094;
Municipios;0088;Aldea del Fresno;107;124;
Municipios;0091;Algete;762;835;
Municipios;0105;Alpedrete;357;370;
Municipios;0112;Ambite;12;13;
Municipios;0127;Anchuelo;21;16;
Municipios;0133;Aranjuez;886;931;
Municipios;0148;Arganda del Rey;2767;2921;
Municipios;0151;Arroyomolinos;1599;1661;
Municipios;0164;Atazar (El);3;2;
Municipios;0170;Batres;22;67;
Municipios;0186;Becerril de la Sierra;190;169;
Municipios;0199;Belmonte de Tajo;27;26;
Municipios;0210;Berrueco (El);25;25;
Municipios;0203;Berzosa del Lozoya;7;12;
Municipios;0225;Boadilla del Monte;1285;1620;
Municipios;0231;Boalo (El);253;252;
Municipios;0246;Braojos;6;6;
Municipios;0259;Brea de Tajo;7;6;
Municipios;0262;Brunete;207;221;
Municipios;0278;Buitrago del Lozoya;87;79;
Municipios;0284;Bustarviejo;43;40;
Municipios;0297;Cabanillas de la Sierra;35;38;
Municipios;0301;Cabrera (La);65;70;
Municipios;0318;Cadalso de los Vidrios;124;115;
Municipios;0323;Camarma de Esteruelas;352;367;
