Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;182307
Zonas Estadísticas;01;Municipio de Madrid ;50923
Zonas Estadísticas;02;Norte Metropolitano ;19677
Zonas Estadísticas;03;Este Metropolitano  ;37224
Zonas Estadísticas;04;Sur Metropolitano   ;51857
Zonas Estadísticas;05;Oeste Metropolitano ;5353
Zonas Estadísticas;06;Sierra Norte        ;291
Zonas Estadísticas;07;Nordeste Comunidad  ;4551
Zonas Estadísticas;08;Sudeste Comunidad   ;5604
Zonas Estadísticas;09;Sudoeste Comunidad  ;4744
Zonas Estadísticas;10;Sierra Sur          ;511
Zonas Estadísticas;11;Sierra Central      ;1572
Municipios;0014;Acebeda (La);10
Municipios;0029;Ajalvir;2049
Municipios;0035;Alameda del Valle;0
Municipios;0040;Alamo (El);85
Municipios;0053;Alcalá de Henares;9366
Municipios;0066;Alcobendas;5488
Municipios;0072;Alcorcón;3394
Municipios;0088;Aldea del Fresno;3
Municipios;0091;Algete;1948
Municipios;0105;Alpedrete;113
Municipios;0112;Ambite;1
Municipios;0127;Anchuelo;7
Municipios;0133;Aranjuez;2672
Municipios;0148;Arganda del Rey;8063
Municipios;0151;Arroyomolinos;300
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;8
Municipios;0186;Becerril de la Sierra;22
Municipios;0199;Belmonte de Tajo;44
Municipios;0210;Berrueco (El);1
Municipios;0203;Berzosa del Lozoya;0
Municipios;0225;Boadilla del Monte;422
Municipios;0231;Boalo (El);78
Municipios;0246;Braojos;0
Municipios;0259;Brea de Tajo;5
Municipios;0262;Brunete;55
Municipios;0278;Buitrago del Lozoya;6
Municipios;0284;Bustarviejo;18
Municipios;0297;Cabanillas de la Sierra;1
Municipios;0301;Cabrera (La);16
Municipios;0318;Cadalso de los Vidrios;47
Municipios;0323;Camarma de Esteruelas;620
Municipios;0339;Campo Real;537
Municipios;0344;Canencia;2
Municipios;0357;Carabaña;17
Municipios;0360;Casarrubuelos;176
Municipios;0376;Cenicientos;7
