Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;3418002
Zonas Estadísticas;01;Municipio de Madrid ;2081246
Zonas Estadísticas;02;Norte Metropolitano ;223395
Zonas Estadísticas;03;Este Metropolitano  ;266981
Zonas Estadísticas;04;Sur Metropolitano   ;444332
Zonas Estadísticas;05;Oeste Metropolitano ;242219
Zonas Estadísticas;06;Sierra Norte        ;11865
Zonas Estadísticas;07;Nordeste Comunidad  ;21778
Zonas Estadísticas;08;Sudeste Comunidad   ;28256
Zonas Estadísticas;09;Sudoeste Comunidad  ;44806
Zonas Estadísticas;10;Sierra Sur          ;9166
Zonas Estadísticas;11;Sierra Central      ;43958
Municipios;0014;Acebeda (La);65
Municipios;0029;Ajalvir;5272
Municipios;0035;Alameda del Valle;91
Municipios;0040;Alamo (El);1929
Municipios;0053;Alcalá de Henares;80142
Municipios;0066;Alcobendas;104331
Municipios;0072;Alcorcón;61289
Municipios;0088;Aldea del Fresno;637
Municipios;0091;Algete;9020
Municipios;0105;Alpedrete;3125
Municipios;0112;Ambite;109
Municipios;0127;Anchuelo;226
Municipios;0133;Aranjuez;20700
Municipios;0148;Arganda del Rey;31398
Municipios;0151;Arroyomolinos;10669
Municipios;0164;Atazar (El);26
Municipios;0170;Batres;264
Municipios;0186;Becerril de la Sierra;1184
Municipios;0199;Belmonte de Tajo;303
Municipios;0210;Berrueco (El);278
Municipios;0203;Berzosa del Lozoya;110
Municipios;0225;Boadilla del Monte;22749
Municipios;0231;Boalo (El);1616
Municipios;0246;Braojos;311
Municipios;0259;Brea de Tajo;203
Municipios;0262;Brunete;2593
Municipios;0278;Buitrago del Lozoya;888
Municipios;0284;Bustarviejo;488
Municipios;0297;Cabanillas de la Sierra;167
Municipios;0301;Cabrera (La);782
Municipios;0318;Cadalso de los Vidrios;725
Municipios;0323;Camarma de Esteruelas;2390
Municipios;0339;Campo Real;1894
Municipios;0344;Canencia;122
Municipios;0357;Carabaña;365
Municipios;0360;Casarrubuelos;947
Municipios;0376;Cenicientos;397
Municipios;0382;Cercedilla;2168
Municipios;0395;Cervera de Buitrago;35
Municipios;0513;Chapinería;483
Municipios;0528;Chinchón;1614
Municipios;0409;Ciempozuelos;11526
Municipios;0416;Cobeña;1815
Municipios;0468;Collado Mediano;1535
Municipios;0474;Collado Villalba;17759
Municipios;0455;Colmenar Viejo;18311
Municipios;0437;Colmenar de Oreja;1536
Municipios;0421;Colmenar del Arroyo;1029
Municipios;0442;Colmenarejo;3409
Municipios;0480;Corpa;90
Municipios;0493;Coslada;35659
Municipios;0506;Cubas de la Sagra;1488
Municipios;0534;Daganzo de Arriba;4595
Municipios;0549;Escorial (El);3925
Municipios;0552;Estremera;1148
Municipios;0565;Fresnedillas de la Oliva;273
Municipios;0571;Fresno de Torote;295
Municipios;0587;Fuenlabrada;59588
Municipios;0590;Fuente el Saz de Jarama;2165
Municipios;0604;Fuentidueña de Tajo;413
Municipios;0611;Galapagar;6446
Municipios;0626;Garganta de los Montes;104
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;125
Municipios;0647;Gascones;78
Municipios;0650;Getafe;84848
Municipios;0663;Griñón;6264
Municipios;0679;Guadalix de la Sierra;1244
Municipios;0685;Guadarrama;4093
Municipios;0698;Hiruela (La);48
Municipios;0702;Horcajo de la Sierra-Aoslos;69
Municipios;0719;Horcajuelo de la Sierra;60
Municipios;0724;Hoyo de Manzanares;1799
Municipios;0730;Humanes de Madrid;12959
Municipios;0745;Leganés;65155
Municipios;0758;Loeches;4394
Municipios;0761;Lozoya;185
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;502
Municipios;0783;Madarcos;30
Municipios;0796;Madrid;2081246
Municipios;0800;Majadahonda;32252
Municipios;0822;Manzanares el Real;1447
Municipios;0838;Meco;7470
Municipios;0843;Mejorada del Campo;7013
Municipios;0856;Miraflores de la Sierra;1139
Municipios;0869;Molar (El);1467
Municipios;0875;Molinos (Los);1108
Municipios;0881;Montejo de la Sierra;187
Municipios;0894;Moraleja de Enmedio;2580
Municipios;0908;Moralzarzal;2894
Municipios;0915;Morata de Tajuña;1555
Municipios;0920;Móstoles;50248
Municipios;0936;Navacerrada;754
Municipios;0941;Navalafuente;200
Municipios;0954;Navalagamella;375
Municipios;0967;Navalcarnero;9026
Municipios;0973;Navarredonda y San Mamés;40
Municipios;0992;Navas del Rey;676
Municipios;1006;Nuevo Baztán;1160
Municipios;1013;Olmeda de las Fuentes;129
Municipios;1028;Orusco de Tajuña;284
Municipios;1049;Paracuellos de Jarama;7281
Municipios;1065;Parla;21443
Municipios;1071;Patones;158
Municipios;1087;Pedrezuela;1051
Municipios;1090;Pelayos de la Presa;584
Municipios;1104;Perales de Tajuña;569
Municipios;1111;Pezuela de las Torres;180
Municipios;1126;Pinilla del Valle;37
Municipios;1132;Pinto;22276
Municipios;1147;Piñuécar-Gandullas;48
Municipios;1150;Pozuelo de Alarcón;77110
Municipios;1163;Pozuelo del Rey;190
Municipios;1179;Prádena del Rincón;57
Municipios;1185;Puebla de la Sierra;18
Municipios;9020;Puentes Viejas;182
Municipios;1198;Quijorna;529
Municipios;1202;Rascafría;593
Municipios;1219;Redueña;232
Municipios;1224;Ribatejada;178
Municipios;1230;Rivas-Vaciamadrid;28310
Municipios;1245;Robledillo de la Jara;26
Municipios;1258;Robledo de Chavela;963
Municipios;1261;Robregordo;26
Municipios;1277;Rozas de Madrid (Las);56163
Municipios;1283;Rozas de Puerto Real;588
Municipios;1296;San Agustín del Guadalix;4379
