Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;6.78;7.35;
Zonas Estadísticas;01;Municipio de Madrid ;6.38;6.88;
Zonas Estadísticas;02;Norte Metropolitano ;5.48;6.05;
Zonas Estadísticas;03;Este Metropolitano  ;7.60;8.25;
Zonas Estadísticas;04;Sur Metropolitano   ;7.77;8.53;
Zonas Estadísticas;05;Oeste Metropolitano ;4.72;5.04;
Zonas Estadísticas;06;Sierra Norte        ;5.77;5.39;
Zonas Estadísticas;07;Nordeste Comunidad  ;6.48;8.06;
Zonas Estadísticas;08;Sudeste Comunidad   ;7.28;8.08;
Zonas Estadísticas;09;Sudoeste Comunidad  ;8.52;9.12;
Zonas Estadísticas;10;Sierra Sur          ;8.16;8.33;
Zonas Estadísticas;11;Sierra Central      ;5.85;6.24;
Municipios;0014;Acebeda (La);0.00;0.00;
Municipios;0029;Ajalvir;5.16;5.31;
Municipios;0035;Alameda del Valle;0.00;0.00;
Municipios;0040;Alamo (El);10.32;10.00;
Municipios;0053;Alcalá de Henares;7.55;7.94;
Municipios;0066;Alcobendas;5.22;5.96;
Municipios;0072;Alcorcón;6.97;8.15;
Municipios;0088;Aldea del Fresno;7.66;5.86;
Municipios;0091;Algete;6.80;7.28;
Municipios;0105;Alpedrete;6.00;7.37;
Municipios;0112;Ambite;4.17;3.51;
Municipios;0127;Anchuelo;12.86;15.25;
Municipios;0133;Aranjuez;8.33;8.41;
Municipios;0148;Arganda del Rey;7.30;7.70;
Municipios;0151;Arroyomolinos;8.72;9.01;
Municipios;0164;Atazar (El);7.69;0.00;
Municipios;0170;Batres;7.69;5.19;
Municipios;0186;Becerril de la Sierra;6.23;4.66;
Municipios;0199;Belmonte de Tajo;5.17;11.11;
Municipios;0210;Berrueco (El);0.00;0.00;
Municipios;0203;Berzosa del Lozoya;0.00;0.00;
Municipios;0225;Boadilla del Monte;4.14;3.99;
Municipios;0231;Boalo (El);3.03;4.53;
Municipios;0246;Braojos;25.00;16.67;
Municipios;0259;Brea de Tajo;14.00;14.29;
Municipios;0262;Brunete;6.14;5.18;
Municipios;0278;Buitrago del Lozoya;9.52;5.43;
Municipios;0284;Bustarviejo;6.33;4.55;
Municipios;0297;Cabanillas de la Sierra;0.00;2.78;
Municipios;0301;Cabrera (La);6.02;2.98;
Municipios;0318;Cadalso de los Vidrios;10.70;9.80;
Municipios;0323;Camarma de Esteruelas;8.28;7.71;
Municipios;0339;Campo Real;7.81;5.19;
Municipios;0344;Canencia;4.17;8.70;
Municipios;0357;Carabaña;10.46;9.93;
Municipios;0360;Casarrubuelos;7.36;9.64;
Municipios;0376;Cenicientos;9.78;11.25;
Municipios;0382;Cercedilla;7.20;9.30;
Municipios;0395;Cervera de Buitrago;0.00;15.38;
Municipios;0513;Chapinería;5.52;6.80;
Municipios;0528;Chinchón;6.82;6.74;
Municipios;0409;Ciempozuelos;9.61;11.27;
Municipios;0416;Cobeña;3.64;4.88;
Municipios;0468;Collado Mediano;4.99;6.84;
Municipios;0474;Collado Villalba;6.84;7.59;
Municipios;0455;Colmenar Viejo;6.24;6.28;
Municipios;0437;Colmenar de Oreja;6.41;7.82;
Municipios;0421;Colmenar del Arroyo;2.59;6.54;
Municipios;0442;Colmenarejo;5.41;5.41;
Municipios;0480;Corpa;7.27;0.00;
Municipios;0493;Coslada;7.22;6.46;
Municipios;0506;Cubas de la Sagra;7.95;12.41;
Municipios;0534;Daganzo de Arriba;6.16;9.21;
Municipios;0549;Escorial (El);6.56;5.66;
Municipios;0552;Estremera;5.56;3.19;
Municipios;0565;Fresnedillas de la Oliva;5.43;5.79;
Municipios;0571;Fresno de Torote;7.10;9.60;
Municipios;0587;Fuenlabrada;8.05;9.90;
Municipios;0590;Fuente el Saz de Jarama;6.72;8.24;
Municipios;0604;Fuentidueña de Tajo;7.81;5.77;
Municipios;0611;Galapagar;5.17;6.62;
Municipios;0626;Garganta de los Montes;5.00;4.55;
