Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Paro registrado en las oficinas de empleo de personas de 45 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;79102;81894;91404;128520;154834;167067;195372;223303;232428;227393;218501;202132;190960;181084;187190;220684;189562;178260;
Zonas Estadísticas;01;Municipio de Madrid ;41758;42781;46786;62253;74088;79775;92384;105192;109714;108220;103561;97018;91997;87404;89948;107244;90301;84600;
Zonas Estadísticas;02;Norte Metropolitano ;2997;3196;3604;5269;6602;7201;8509;9670;10044;9708;9323;8473;8053;7651;7931;9420;8068;7545;
Zonas Estadísticas;03;Este Metropolitano  ;7834;8548;9279;14367;17620;19106;21999;25211;26976;26044;24770;22441;20992;19914;20430;23968;20995;19710;
Zonas Estadísticas;04;Sur Metropolitano   ;18002;18315;20941;30548;36436;38884;45282;51622;53201;51563;49624;45339;42396;39618;41008;47970;41452;39005;
Zonas Estadísticas;05;Oeste Metropolitano ;4187;4389;5085;7053;8549;9105;10838;12225;12757;12230;11716;11058;10402;10077;10618;12153;10828;10253;
Zonas Estadísticas;06;Sierra Norte        ;299;343;418;640;860;954;1208;1420;1422;1463;1520;1400;1292;1213;1285;1517;1316;1355;
Zonas Estadísticas;07;Nordeste Comunidad  ;458;519;603;1012;1294;1442;1794;2183;2289;2285;2170;1985;1914;1809;1932;2307;2109;1970;
Zonas Estadísticas;08;Sudeste Comunidad   ;850;966;1193;2068;2741;3007;3706;4421;4551;4503;4309;3837;3743;3611;3729;4264;3877;3678;
Zonas Estadísticas;09;Sudoeste Comunidad  ;841;922;1182;1860;2354;2779;3554;4284;4416;4394;4370;3977;3773;3606;3812;4431;4006;3733;
Zonas Estadísticas;10;Sierra Sur          ;481;491;580;838;1059;1240;1537;1748;1639;1630;1721;1549;1511;1420;1451;1655;1540;1448;
Zonas Estadísticas;11;Sierra Central      ;1395;1424;1733;2612;3231;3574;4561;5327;5419;5353;5417;5055;4887;4761;5046;5755;5070;4963;
Municipios;0014;Acebeda (La);0;0;0;0;0;2;2;3;2;2;2;4;4;3;5;3;3;4;
Municipios;0029;Ajalvir;32;28;35;48;79;91;94;123;128;136;117;102;95;101;118;140;133;107;
Municipios;0035;Alameda del Valle;4;3;2;3;8;3;5;5;4;4;5;5;4;5;3;5;5;10;
Municipios;0040;Alamo (El);56;76;94;135;179;218;297;369;369;370;408;385;364;324;299;364;310;261;
Municipios;0053;Alcalá de Henares;3023;3059;3302;5126;6140;6496;7483;8469;8990;8534;8130;7274;6755;6488;6551;7518;6618;6174;
Municipios;0066;Alcobendas;1049;1150;1300;1847;2324;2491;2936;3237;3257;3114;2993;2742;2597;2459;2591;3153;2621;2457;
Municipios;0072;Alcorcón;2632;2570;2913;3826;4346;4505;5222;5898;6114;5933;5796;5348;5020;4754;4847;5778;5072;4706;
Municipios;0088;Aldea del Fresno;34;35;41;68;83;104;124;133;135;131;126;120;121;113;130;143;127;134;
Municipios;0091;Algete;184;201;207;296;385;465;607;711;689;657;631;575;552;508;552;623;558;501;
Municipios;0105;Alpedrete;111;134;166;228;259;280;356;432;438;462;436;422;399;392;427;479;433;433;
Municipios;0112;Ambite;5;2;3;12;16;21;25;25;32;33;50;35;50;42;39;38;29;38;
Municipios;0127;Anchuelo;10;12;13;22;32;27;44;56;56;53;53;40;40;41;40;44;29;26;
Municipios;0133;Aranjuez;605;698;775;1168;1429;1541;1839;2112;2139;2107;2264;2135;2069;2037;2073;2367;2049;1947;
Municipios;0148;Arganda del Rey;438;479;593;1123;1419;1545;1936;2210;2507;2436;2265;2133;2076;2014;2149;2483;2178;2012;
Municipios;0151;Arroyomolinos;87;89;112;167;243;314;407;501;541;572;628;599;573;570;610;749;717;698;
Municipios;0164;Atazar (El);1;1;2;1;3;1;6;7;7;5;7;4;6;2;6;10;10;12;
Municipios;0170;Batres;15;14;17;25;29;35;44;67;62;64;64;57;53;56;54;49;51;50;
Municipios;0186;Becerril de la Sierra;64;60;68;112;132;143;196;233;222;225;217;206;183;206;202;209;178;202;
Municipios;0199;Belmonte de Tajo;16;11;19;39;47;47;48;70;56;57;59;45;43;47;55;49;48;54;
Municipios;0210;Berrueco (El);10;4;5;7;13;17;12;22;20;23;29;20;20;17;17;17;19;24;
Municipios;0203;Berzosa del Lozoya;2;1;2;2;4;5;5;6;6;8;9;6;5;6;4;3;1;4;
Municipios;0225;Boadilla del Monte;284;286;351;489;581;615;728;914;992;925;877;914;880;845;950;1104;988;981;
Municipios;0231;Boalo (El);36;46;60;99;121;130;161;211;213;221;273;242;216;212;205;253;234;231;
Municipios;0246;Braojos;1;2;4;3;4;5;4;4;6;5;7;5;6;6;3;3;4;5;
Municipios;0259;Brea de Tajo;3;3;3;8;20;19;28;25;24;25;26;30;30;27;25;28;32;29;
Municipios;0262;Brunete;71;88;129;170;194;225;266;302;327;318;307;265;253;251;263;315;281;272;
Municipios;0278;Buitrago del Lozoya;22;21;16;26;32;42;47;63;54;52;57;54;51;47;44;49;34;54;
Municipios;0284;Bustarviejo;17;23;28;46;58;70;73;84;90;81;86;79;90;80;89;106;95;87;
Municipios;0297;Cabanillas de la Sierra;6;12;8;6;14;14;14;32;32;28;21;17;16;20;19;32;28;26;
Municipios;0301;Cabrera (La);19;13;25;41;55;71;93;110;98;113;107;102;89;77;97;109;98;112;
Municipios;0318;Cadalso de los Vidrios;58;59;73;91;111;130;171;184;156;164;180;170;162;156;148;173;136;132;
Municipios;0323;Camarma de Esteruelas;63;70;66;128;154;189;217;279;293;301;271;260;234;229;261;282;262;259;
Municipios;0339;Campo Real;22;26;49;92;143;147;181;222;253;271;235;229;220;219;209;231;236;220;
Municipios;0344;Canencia;3;8;5;6;7;7;15;18;15;17;23;24;24;20;21;21;18;17;
Municipios;0357;Carabaña;18;22;22;40;51;55;87;91;101;108;105;87;95;85;81;87;83;82;
Municipios;0360;Casarrubuelos;21;26;29;56;74;90;101;139;138;144;144;111;114;122;124;131;121;118;
Municipios;0376;Cenicientos;54;52;48;59;68;94;109;136;120;103;111;111;102;102;93;99;88;74;
Municipios;0382;Cercedilla;65;52;67;103;136;154;176;227;223;235;204;211;193;160;182;209;193;191;
Municipios;0395;Cervera de Buitrago;0;0;0;1;4;2;3;5;9;2;6;4;6;4;5;7;7;10;
Municipios;0513;Chapinería;27;30;50;59;80;83;96;126;107;117;110;96;98;88;106;103;91;82;
Municipios;0528;Chinchón;68;83;84;137;174;170;221;273;268;279;269;225;218;215;200;218;191;196;
Municipios;0409;Ciempozuelos;190;170;216;407;488;564;703;824;798;800;790;748;704;694;784;888;780;724;
Municipios;0416;Cobeña;38;36;42;56;84;106;141;161;195;164;160;149;149;148;148;178;158;157;
Municipios;0468;Collado Mediano;82;65;80;118;164;169;216;239;261;258;253;240;252;251;251;293;263;245;
Municipios;0474;Collado Villalba;673;699;892;1340;1703;1801;2262;2481;2602;2497;2434;2322;2160;2099;2207;2433;2147;1991;
Municipios;0455;Colmenar Viejo;386;400;485;801;993;1088;1278;1490;1601;1575;1517;1363;1334;1288;1254;1484;1287;1216;
Municipios;0437;Colmenar de Oreja;58;80;104;229;267;305;356;413;436;442;403;314;325;302;319;363;325;300;
Municipios;0421;Colmenar del Arroyo;12;14;21;30;33;37;62;68;64;66;65;54;63;69;62;56;75;66;
Municipios;0442;Colmenarejo;80;75;89;134;175;192;236;286;287;283;288;286;265;224;256;306;283;268;
Municipios;0480;Corpa;8;7;8;13;16;17;22;20;16;19;21;17;15;13;17;25;27;24;
Municipios;0493;Coslada;1371;1648;1603;2282;2722;2873;3109;3487;3622;3490;3136;2895;2609;2416;2462;2844;2432;2285;
Municipios;0506;Cubas de la Sagra;22;26;29;54;65;99;134;170;165;171;183;142;134;130;147;158;141;144;
Municipios;0534;Daganzo de Arriba;68;67;72;117;164;172;226;295;311;293;283;297;293;263;279;351;345;309;
Municipios;0549;Escorial (El);147;162;196;262;321;349;438;518;476;443;470;439;452;451;500;525;451;474;
Municipios;0552;Estremera;12;9;9;30;36;35;38;53;53;57;52;50;45;52;53;61;50;50;
Municipios;0565;Fresnedillas de la Oliva;20;26;28;40;48;65;77;86;82;76;84;76;79;69;59;78;78;69;
Municipios;0571;Fresno de Torote;18;23;34;33;44;46;64;78;78;89;83;78;85;73;73;93;85;65;
Municipios;0587;Fuenlabrada;2568;2623;3214;5195;6398;6784;7923;9393;9752;9295;8724;7839;7177;6667;6738;7730;6495;6086;
Municipios;0590;Fuente el Saz de Jarama;46;57;66;111;153;164;188;217;244;234;221;216;228;217;214;242;219;200;
Municipios;0604;Fuentidueña de Tajo;35;33;40;57;84;92;124;133;131;125;121;120;97;92;96;110;100;84;
Municipios;0611;Galapagar;371;363;441;614;791;842;1026;1186;1238;1138;1151;1035;954;899;991;1142;977;965;
Municipios;0626;Garganta de los Montes;6;5;8;13;12;16;16;17;15;19;15;15;11;15;17;15;17;17;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2;3;7;10;10;11;19;15;18;20;16;10;10;14;15;19;20;14;
Municipios;0647;Gascones;1;2;1;2;4;6;9;5;4;6;5;7;6;7;3;4;5;4;
