Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado por 100 habitantes. Unidad: Ratio. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;3.73;3.66;4.05;6.35;7.43;7.43;8.17;8.80;8.47;7.82;7.09;6.30;5.78;5.31;5.37;6.54;5.03;4.59;
Zonas Estadísticas;01;Municipio de Madrid ;3.56;3.50;3.79;5.72;6.76;6.76;7.46;8.03;7.81;7.34;6.67;6.01;5.57;5.13;5.18;6.49;4.86;4.48;
Zonas Estadísticas;02;Norte Metropolitano ;2.97;3.00;3.29;5.42;6.47;6.41;7.07;7.62;7.21;6.49;5.82;5.07;4.58;4.14;4.24;5.18;3.96;3.53;
Zonas Estadísticas;03;Este Metropolitano  ;3.99;4.05;4.40;7.60;8.70;8.71;9.37;10.05;9.91;8.99;8.09;7.13;6.52;6.02;6.05;7.24;5.70;5.15;
Zonas Estadísticas;04;Sur Metropolitano   ;4.58;4.47;5.11;8.17;9.35;9.31;10.13;11.01;10.45;9.51;8.60;7.52;6.81;6.24;6.28;7.50;5.88;5.33;
Zonas Estadísticas;05;Oeste Metropolitano ;2.79;2.71;2.97;4.43;5.25;5.18;5.73;6.01;5.73;5.20;4.66;4.18;3.83;3.52;3.67;4.36;3.39;3.10;
Zonas Estadísticas;06;Sierra Norte        ;3.34;3.27;3.70;5.98;7.66;7.69;8.78;9.14;8.72;8.13;7.77;6.69;6.02;5.41;5.37;6.35;5.05;4.83;
Zonas Estadísticas;07;Nordeste Comunidad  ;3.62;3.42;4.03;7.09;8.34;8.40;9.31;10.02;9.50;8.61;7.59;6.46;5.97;5.43;5.74;6.51;5.24;4.77;
Zonas Estadísticas;08;Sudeste Comunidad   ;3.65;3.74;4.50;7.91;9.72;9.69;10.83;11.55;10.86;9.77;9.08;7.79;7.33;6.78;6.74;7.66;6.32;5.71;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3.86;3.58;4.20;6.63;7.75;7.92;9.04;10.00;9.22;8.37;7.65;6.68;5.97;5.32;5.32;6.29;5.04;4.49;
Zonas Estadísticas;10;Sierra Sur          ;5.07;4.62;5.66;8.31;10.33;10.60;12.26;13.13;11.66;11.19;10.70;9.27;8.74;7.61;7.67;8.75;7.31;6.58;
Zonas Estadísticas;11;Sierra Central      ;3.28;3.09;3.52;5.46;6.36;6.44;7.36;7.70;7.35;6.77;6.30;5.61;5.18;4.78;5.02;5.75;4.58;4.27;
Municipios;0014;Acebeda (La);1.69;3.45;5.26;1.64;8.47;6.45;9.23;11.94;8.96;7.69;6.06;10.61;9.23;7.14;10.29;7.27;6.45;8.96;
Municipios;0029;Ajalvir;3.10;2.61;3.01;4.95;6.52;6.18;7.49;7.53;6.98;7.23;6.04;4.96;4.43;4.50;5.06;5.65;4.48;4.33;
Municipios;0035;Alameda del Valle;5.93;2.87;3.20;4.64;7.53;6.91;7.41;6.05;5.80;5.99;6.25;5.03;4.10;5.00;4.41;5.69;4.56;6.93;
Municipios;0040;Alamo (El);3.50;3.39;4.29;7.43;8.68;9.12;10.50;11.32;10.51;9.80;9.67;8.80;8.02;6.84;6.06;7.90;5.84;5.13;
Municipios;0053;Alcalá de Henares;4.39;4.32;4.77;8.17;9.26;9.30;10.04;10.66;10.64;9.56;8.69;7.61;6.92;6.50;6.51;7.67;6.10;5.49;
Municipios;0066;Alcobendas;2.91;2.87;3.24;5.39;6.42;6.46;7.08;7.48;6.97;6.33;5.63;4.88;4.41;3.95;4.20;5.30;3.90;3.47;
Municipios;0072;Alcorcón;4.43;4.26;4.73;7.07;8.06;7.98;8.80;9.54;8.85;8.27;7.57;6.58;5.99;5.50;5.55;6.60;5.14;4.68;
Municipios;0088;Aldea del Fresno;4.80;4.54;5.57;9.36;11.80;11.66;13.44;14.80;13.69;13.33;11.15;10.32;9.49;7.58;8.01;9.08;6.88;6.51;
Municipios;0091;Algete;2.98;3.26;3.15;5.27;6.51;6.28;7.24;7.96;7.35;6.64;6.11;5.34;4.79;4.32;4.44;5.51;4.39;3.86;
Municipios;0105;Alpedrete;3.44;3.39;3.91;5.65;5.99;5.86;6.98;7.05;6.68;6.35;5.85;5.02;4.78;4.60;4.85;5.68;4.55;4.43;
Municipios;0112;Ambite;3.30;2.78;3.71;8.44;10.79;10.66;10.66;11.09;11.53;11.97;19.33;10.49;12.48;9.80;9.69;11.03;7.41;8.33;
Municipios;0127;Anchuelo;3.97;3.93;4.48;7.76;11.36;9.07;10.77;12.24;12.22;10.42;9.14;6.14;5.82;6.22;6.07;7.36;5.17;4.28;
Municipios;0133;Aranjuez;4.43;4.62;4.87;7.59;8.72;8.93;9.66;10.41;9.79;9.05;8.86;7.91;7.49;7.14;7.09;8.13;6.71;6.06;
Municipios;0148;Arganda del Rey;3.71;3.56;4.44;8.96;10.17;9.82;11.11;11.60;12.03;11.05;9.66;8.66;8.04;7.69;7.88;8.92;7.00;6.21;
Municipios;0151;Arroyomolinos;3.80;3.44;3.49;4.78;5.79;6.07;6.92;7.83;7.35;6.47;6.27;5.46;4.91;4.33;4.34;5.14;4.08;3.67;
Municipios;0164;Atazar (El);4.31;2.59;2.75;2.75;7.84;2.94;11.76;11.65;11.22;8.33;8.42;7.22;7.53;5.62;8.89;11.93;12.15;12.50;
Municipios;0170;Batres;3.11;3.71;3.42;5.80;7.59;7.44;8.89;9.82;7.96;7.21;7.46;6.46;5.98;5.05;4.74;5.33;4.99;4.11;
Municipios;0186;Becerril de la Sierra;4.22;3.50;3.86;6.57;7.58;8.22;9.65;10.32;8.86;8.25;8.13;6.96;5.73;5.55;5.46;5.84;4.66;5.13;
Municipios;0199;Belmonte de Tajo;3.00;3.54;4.49;8.20;11.09;10.93;10.25;12.95;10.69;9.35;9.10;6.39;6.52;6.55;7.19;6.85;6.56;5.87;
Municipios;0210;Berrueco (El);5.52;3.39;3.16;5.64;8.26;8.62;8.91;10.27;9.15;10.68;8.78;7.00;5.53;4.34;4.38;4.77;4.12;4.49;
Municipios;0203;Berzosa del Lozoya;8.38;4.21;3.42;3.98;4.81;6.41;6.17;8.88;6.88;11.39;10.10;5.91;7.58;3.41;3.15;6.48;2.64;3.23;
Municipios;0225;Boadilla del Monte;2.35;2.12;2.42;3.43;4.08;3.91;4.19;4.60;4.65;3.99;3.49;3.18;2.89;2.52;2.72;3.10;2.39;2.21;
Municipios;0231;Boalo (El);2.58;3.13;3.34;5.77;6.28;6.37;7.45;7.86;7.52;7.18;7.39;6.37;5.31;5.14;5.22;5.61;4.82;4.19;
Municipios;0246;Braojos;4.55;2.86;4.40;4.21;7.33;7.66;8.33;9.52;6.03;5.91;4.98;5.29;6.83;4.39;2.43;4.13;3.67;2.83;
Municipios;0259;Brea de Tajo;4.26;1.72;3.45;6.21;9.17;7.75;11.54;9.41;9.15;8.21;9.29;11.87;11.24;9.35;9.29;11.09;9.24;7.73;
Municipios;0262;Brunete;2.79;2.72;3.41;5.61;6.42;6.63;7.45;7.92;7.11;6.70;6.23;5.26;4.81;4.59;4.80;5.61;4.35;4.03;
Municipios;0278;Buitrago del Lozoya;3.82;3.82;3.34;5.05;6.29;8.28;8.12;8.86;8.45;7.72;6.93;5.83;5.12;4.83;4.70;6.75;4.31;4.68;
Municipios;0284;Bustarviejo;3.93;3.02;4.65;6.79;9.51;8.65;9.58;10.33;9.11;8.07;8.19;6.75;7.36;6.35;6.23;6.74;5.84;5.61;
Municipios;0297;Cabanillas de la Sierra;2.78;4.73;3.68;4.30;6.46;7.33;7.06;9.42;8.47;7.09;7.51;4.78;4.78;4.63;3.44;5.85;4.46;3.83;
Municipios;0301;Cabrera (La);3.29;3.20;3.39;7.70;9.32;10.19;10.68;10.10;9.92;8.97;8.20;7.28;5.93;5.81;7.24;7.66;5.92;5.83;
Municipios;0318;Cadalso de los Vidrios;6.42;5.48;6.89;10.54;12.43;13.97;16.51;16.47;15.00;14.56;14.78;11.92;11.94;9.77;9.88;10.49;9.36;7.72;
Municipios;0323;Camarma de Esteruelas;4.19;3.82;4.22;7.42;8.64;9.40;10.03;11.14;10.40;9.43;8.57;7.55;6.62;6.53;6.75;7.45;6.04;5.49;
Municipios;0339;Campo Real;3.32;2.71;4.36;7.76;10.76;10.11;11.24;11.86;11.32;10.56;9.60;8.82;7.84;7.21;6.59;7.70;6.93;5.68;
Municipios;0344;Canencia;4.22;4.65;4.22;4.21;5.56;6.99;8.68;7.45;6.93;5.60;6.87;7.37;8.27;6.04;6.26;7.16;5.27;5.00;
Municipios;0357;Carabaña;4.26;4.32;4.53;8.48;10.70;9.92;11.84;12.89;13.25;11.25;12.73;8.97;9.24;7.31;7.11;7.61;6.92;6.20;
Municipios;0360;Casarrubuelos;4.46;4.25;5.06;7.32;9.30;10.64;11.10;12.53;11.30;10.57;9.11;6.82;6.31;5.90;6.09;6.88;5.83;4.85;
Municipios;0376;Cenicientos;7.79;6.18;7.04;8.19;9.85;11.40;11.94;14.73;14.42;12.83;12.89;12.05;11.67;10.03;9.72;9.70;8.81;7.63;
Municipios;0382;Cercedilla;2.96;2.72;3.57;5.35;6.22;6.79;7.80;8.35;7.86;7.40;6.58;5.87;5.30;4.81;5.02;5.78;4.98;4.64;
Municipios;0395;Cervera de Buitrago;4.00;1.36;1.41;1.28;7.18;5.88;8.74;12.22;15.52;9.15;7.64;5.13;9.40;4.67;5.56;7.59;6.51;7.93;
Municipios;0513;Chapinería;5.37;4.23;6.76;7.86;10.64;10.73;11.10;13.99;11.50;10.89;9.98;7.51;7.95;6.74;8.08;8.02;5.77;5.65;
