Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por actividad.Total. Parados registrados en las oficinas de empleo en industria. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;38963;42582;39434;43379;46696;43058;37217;32036;26993;24129;21698;21664;24529;19784;17841;
Zonas Estadísticas;01;Municipio de Madrid ;13592;15538;14506;15572;16681;15214;13358;11536;9818;8753;7773;7619;8642;6892;6318;
Zonas Estadísticas;02;Norte Metropolitano ;1533;1900;1785;1939;2130;1863;1640;1397;1152;1067;968;957;1087;819;733;
Zonas Estadísticas;03;Este Metropolitano  ;6807;6890;6090;7032;7457;7215;6173;5222;4314;3998;3692;3742;4286;3506;3088;
Zonas Estadísticas;04;Sur Metropolitano   ;12274;12820;11939;13107;14331;13195;11154;9566;8019;6886;6082;6205;6887;5545;4954;
Zonas Estadísticas;05;Oeste Metropolitano ;1008;1123;1123;1230;1332;1188;1061;917;869;815;731;722;846;725;670;
Zonas Estadísticas;06;Sierra Norte        ;182;205;174;186;197;193;186;159;125;121;115;117;144;119;101;
Zonas Estadísticas;07;Nordeste Comunidad  ;630;644;594;661;735;667;587;498;418;383;336;351;429;338;308;
Zonas Estadísticas;08;Sudeste Comunidad   ;1448;1661;1476;1618;1643;1575;1347;1224;992;967;946;902;981;818;760;
Zonas Estadísticas;09;Sudoeste Comunidad  ;879;1039;1004;1170;1334;1186;1033;908;737;615;580;599;690;570;492;
Zonas Estadísticas;10;Sierra Sur          ;161;200;193;208;240;187;195;173;163;153;124;116;141;120;112;
Zonas Estadísticas;11;Sierra Central      ;449;562;550;656;616;575;483;436;386;371;351;334;396;332;305;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;36;31;24;34;40;35;36;27;24;29;14;29;27;16;17;
Municipios;0035;Alameda del Valle;2;0;0;0;0;1;0;0;0;0;0;1;1;0;1;
Municipios;0040;Alamo (El);94;94;85;108;119;94;86;74;57;58;43;35;45;29;32;
Municipios;0053;Alcalá de Henares;2375;2469;2225;2520;2617;2552;2139;1790;1520;1360;1256;1335;1425;1141;1043;
Municipios;0066;Alcobendas;489;692;666;752;811;677;550;472;372;317;265;269;336;250;238;
Municipios;0072;Alcorcón;1099;1147;1045;1190;1221;1112;1086;977;845;703;611;592;656;536;483;
Municipios;0088;Aldea del Fresno;15;18;20;18;25;19;22;15;15;10;11;16;17;18;11;
Municipios;0091;Algete;146;157;143;159;174;155;135;128;82;92;78;102;114;82;70;
Municipios;0105;Alpedrete;42;50;50;59;52;51;39;34;34;30;48;37;43;39;35;
Municipios;0112;Ambite;9;8;9;6;9;6;4;10;7;9;8;5;5;2;5;
Municipios;0127;Anchuelo;15;18;11;17;15;15;19;10;4;6;10;6;6;4;4;
Municipios;0133;Aranjuez;584;546;516;570;664;594;472;447;405;337;317;308;314;250;243;
Municipios;0148;Arganda del Rey;1155;1236;1086;1337;1357;1385;1154;959;834;741;656;655;752;589;495;
Municipios;0151;Arroyomolinos;79;113;122;164;200;160;142;146;108;101;87;113;130;104;92;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;
Municipios;0170;Batres;13;12;13;17;16;15;10;18;13;11;8;10;7;8;9;
Municipios;0186;Becerril de la Sierra;18;31;24;27;26;31;21;23;23;17;9;12;14;11;12;
Municipios;0199;Belmonte de Tajo;28;42;33;30;34;22;27;18;6;12;20;16;14;10;9;
Municipios;0210;Berrueco (El);0;5;3;0;1;1;3;2;2;0;0;5;3;1;1;
Municipios;0203;Berzosa del Lozoya;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;
Municipios;0225;Boadilla del Monte;78;77;87;80;97;94;76;71;78;71;63;68;70;71;71;
Municipios;0231;Boalo (El);25;27;23;41;37;28;18;24;17;18;19;15;17;19;15;
Municipios;0246;Braojos;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;3;3;3;3;3;1;3;3;4;3;2;2;4;4;4;
Municipios;0262;Brunete;47;48;38;49;51;47;40;39;38;30;27;26;29;20;18;
Municipios;0278;Buitrago del Lozoya;3;4;7;6;4;8;8;3;2;3;5;2;7;5;1;
Municipios;0284;Bustarviejo;13;14;6;3;11;7;9;5;4;7;7;7;6;4;5;
Municipios;0297;Cabanillas de la Sierra;1;2;0;2;3;1;1;2;0;2;1;1;1;1;3;
Municipios;0301;Cabrera (La);18;20;15;22;21;21;15;6;7;2;8;11;16;9;11;
Municipios;0318;Cadalso de los Vidrios;31;30;34;29;39;26;29;33;32;27;23;20;18;16;11;
Municipios;0323;Camarma de Esteruelas;91;90;91;97;105;103;87;68;67;63;57;56;61;48;46;
Municipios;0339;Campo Real;93;134;130;129;130;124;119;98;78;79;83;65;79;59;52;
Municipios;0344;Canencia;1;1;0;1;1;1;0;0;0;2;1;0;0;1;0;
Municipios;0357;Carabaña;20;25;13;21;22;26;18;25;8;15;11;10;8;9;9;
Municipios;0360;Casarrubuelos;25;39;39;42;47;49;47;29;24;24;37;31;38;33;29;
Municipios;0376;Cenicientos;13;17;25;27;25;28;29;21;19;16;15;15;15;11;5;
Municipios;0382;Cercedilla;15;16;16;22;16;22;16;18;12;6;7;6;6;12;9;
Municipios;0395;Cervera de Buitrago;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;
Municipios;0513;Chapinería;17;20;20;12;18;11;10;6;9;6;3;5;9;11;7;
Municipios;0528;Chinchón;72;79;67;52;62;49;46;48;40;42;34;25;24;27;26;
Municipios;0409;Ciempozuelos;233;245;228;283;318;311;246;210;168;155;138;122;128;120;103;
Municipios;0416;Cobeña;29;50;33;47;73;75;52;44;38;28;29;25;29;20;21;
Municipios;0468;Collado Mediano;16;27;33;28;23;27;23;17;19;17;16;20;23;17;13;
Municipios;0474;Collado Villalba;205;257;264;284;281;271;234;181;189;171;147;148;171;144;123;
Municipios;0455;Colmenar Viejo;287;302;290;293;321;273;249;201;181;181;200;173;171;145;134;
Municipios;0437;Colmenar de Oreja;115;143;130;135;129;134;118;97;88;78;76;76;83;79;74;
Municipios;0421;Colmenar del Arroyo;2;10;6;10;12;9;6;6;8;10;7;5;8;8;7;
Municipios;0442;Colmenarejo;24;27;31;31;34;25;17;19;14;28;11;19;21;14;15;
Municipios;0480;Corpa;4;5;9;7;7;8;7;7;5;3;5;5;10;10;3;
Municipios;0493;Coslada;583;565;461;539;594;557;512;434;316;316;292;298;324;296;261;
Municipios;0506;Cubas de la Sagra;35;46;58;56;64;55;46;55;41;36;42;41;38;26;18;
Municipios;0534;Daganzo de Arriba;87;115;107;108;149;123;100;84;75;71;61;61;71;71;53;
Municipios;0549;Escorial (El);42;56;52;65;52;39;48;30;27;31;36;32;35;25;25;
Municipios;0552;Estremera;5;9;8;5;6;8;5;5;8;4;4;2;6;9;10;
Municipios;0565;Fresnedillas de la Oliva;10;8;3;7;9;8;2;5;6;2;3;0;1;4;7;
Municipios;0571;Fresno de Torote;32;34;31;41;29;19;21;18;13;10;9;16;20;15;9;
Municipios;0587;Fuenlabrada;2492;2656;2412;2695;2820;2550;2097;1819;1533;1300;1114;1151;1278;998;980;
Municipios;0590;Fuente el Saz de Jarama;55;59;59;60;54;51;54;46;35;41;25;25;29;20;28;
Municipios;0604;Fuentidueña de Tajo;40;42;34;42;38;39;32;28;26;24;20;20;19;21;17;
Municipios;0611;Galapagar;72;104;116;110;120;99;80;81;67;68;61;59;69;60;55;
Municipios;0626;Garganta de los Montes;2;0;2;1;1;1;1;0;1;2;0;1;6;1;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;1;2;2;2;1;1;1;0;0;0;0;0;0;0;
Municipios;0647;Gascones;1;2;0;1;1;0;1;1;1;0;1;0;0;0;0;
Municipios;0650;Getafe;1307;1343;1257;1328;1564;1612;1405;1137;908;810;714;707;828;662;623;
Municipios;0663;Griñón;83;91;75;108;121;103;99;68;60;44;37;40;43;38;31;
