Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;329292;339376;
Zonas Estadísticas;01;Municipio de Madrid ;159728;165765;
Zonas Estadísticas;02;Norte Metropolitano ;16233;16503;
Zonas Estadísticas;03;Este Metropolitano  ;34894;36231;
Zonas Estadísticas;04;Sur Metropolitano   ;70012;69942;
Zonas Estadísticas;05;Oeste Metropolitano ;22888;23882;
Zonas Estadísticas;06;Sierra Norte        ;2213;2331;
Zonas Estadísticas;07;Nordeste Comunidad  ;2546;2702;
Zonas Estadísticas;08;Sudeste Comunidad   ;5134;5429;
Zonas Estadísticas;09;Sudoeste Comunidad  ;5677;5948;
Zonas Estadísticas;10;Sierra Sur          ;1979;2076;
Zonas Estadísticas;11;Sierra Central      ;7988;8567;
Municipios;0014;Acebeda (La);11;11;
Municipios;0029;Ajalvir;154;166;
Municipios;0035;Alameda del Valle;19;22;
Municipios;0040;Alamo (El);417;437;
Municipios;0053;Alcalá de Henares;10806;11076;
Municipios;0066;Alcobendas;5381;5336;
Municipios;0072;Alcorcón;8074;7694;
Municipios;0088;Aldea del Fresno;163;180;
Municipios;0091;Algete;995;1056;
Municipios;0105;Alpedrete;584;626;
Municipios;0112;Ambite;35;29;
Municipios;0127;Anchuelo;56;62;
Municipios;0133;Aranjuez;2840;2991;
Municipios;0148;Arganda del Rey;2424;2576;
Municipios;0151;Arroyomolinos;920;986;
Municipios;0164;Atazar (El);6;6;
Municipios;0170;Batres;101;97;
Municipios;0186;Becerril de la Sierra;273;308;
Municipios;0199;Belmonte de Tajo;92;108;
Municipios;0210;Berrueco (El);49;51;
Municipios;0203;Berzosa del Lozoya;23;20;
Municipios;0225;Boadilla del Monte;1873;1989;
Municipios;0231;Boalo (El);312;322;
Municipios;0246;Braojos;10;8;
Municipios;0259;Brea de Tajo;42;38;
Municipios;0262;Brunete;421;419;
Municipios;0278;Buitrago del Lozoya;91;87;
Municipios;0284;Bustarviejo;126;136;
Municipios;0297;Cabanillas de la Sierra;37;54;
Municipios;0301;Cabrera (La);140;137;
Municipios;0318;Cadalso de los Vidrios;177;183;
Municipios;0323;Camarma de Esteruelas;272;312;
Municipios;0339;Campo Real;264;287;
Municipios;0344;Canencia;31;33;
Municipios;0357;Carabaña;88;101;
Municipios;0360;Casarrubuelos;174;173;
Municipios;0376;Cenicientos;129;134;
Municipios;0382;Cercedilla;367;397;
Municipios;0395;Cervera de Buitrago;9;9;
Municipios;0513;Chapinería;101;113;
Municipios;0528;Chinchón;308;329;
Municipios;0409;Ciempozuelos;1095;1183;
Municipios;0416;Cobeña;249;268;
Municipios;0468;Collado Mediano;364;361;
Municipios;0474;Collado Villalba;2981;3195;
Municipios;0455;Colmenar Viejo;2242;2347;
Municipios;0437;Colmenar de Oreja;442;478;
Municipios;0421;Colmenar del Arroyo;101;105;
Municipios;0442;Colmenarejo;369;409;
Municipios;0480;Corpa;40;40;
Municipios;0493;Coslada;5999;6091;
Municipios;0506;Cubas de la Sagra;192;220;
Municipios;0534;Daganzo de Arriba;320;314;
Municipios;0549;Escorial (El);906;1002;
Municipios;0552;Estremera;77;83;
Municipios;0565;Fresnedillas de la Oliva;70;78;
Municipios;0571;Fresno de Torote;89;98;
Municipios;0587;Fuenlabrada;13637;14234;
Municipios;0590;Fuente el Saz de Jarama;318;320;
Municipios;0604;Fuentidueña de Tajo;130;140;
Municipios;0611;Galapagar;1553;1653;
Municipios;0626;Garganta de los Montes;37;34;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;27;29;
Municipios;0647;Gascones;15;17;
Municipios;0650;Getafe;8274;8266;
Municipios;0663;Griñón;575;576;
Municipios;0679;Guadalix de la Sierra;288;319;
Municipios;0685;Guadarrama;786;814;
Municipios;0698;Hiruela (La);5;7;
Municipios;0702;Horcajo de la Sierra-Aoslos;15;19;
Municipios;0719;Horcajuelo de la Sierra;6;8;
Municipios;0724;Hoyo de Manzanares;405;451;
Municipios;0730;Humanes de Madrid;797;797;
Municipios;0745;Leganés;9514;9237;
Municipios;0758;Loeches;280;281;
Municipios;0761;Lozoya;47;48;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;64;72;
Municipios;0783;Madarcos;5;6;
Municipios;0796;Madrid;159728;165765;
Municipios;0800;Majadahonda;3456;3531;
Municipios;0822;Manzanares el Real;335;375;
Municipios;0838;Meco;531;566;
Municipios;0843;Mejorada del Campo;1343;1407;
Municipios;0856;Miraflores de la Sierra;299;315;
Municipios;0869;Molar (El);352;371;
Municipios;0875;Molinos (Los);269;294;
Municipios;0881;Montejo de la Sierra;13;17;
Municipios;0894;Moraleja de Enmedio;282;286;
Municipios;0908;Moralzarzal;552;595;
Municipios;0915;Morata de Tajuña;394;406;
Municipios;0920;Móstoles;14373;13786;
Municipios;0936;Navacerrada;179;173;
Municipios;0941;Navalafuente;77;86;
Municipios;0954;Navalagamella;115;112;
Municipios;0967;Navalcarnero;1078;1120;
Municipios;0973;Navarredonda y San Mamés;19;18;
Municipios;0992;Navas del Rey;144;147;
Municipios;1006;Nuevo Baztán;375;405;
Municipios;1013;Olmeda de las Fuentes;14;16;
Municipios;1028;Orusco de Tajuña;58;66;
Municipios;1049;Paracuellos de Jarama;706;726;
Municipios;1065;Parla;6082;6108;
Municipios;1071;Patones;39;35;
Municipios;1087;Pedrezuela;201;221;
Municipios;1090;Pelayos de la Presa;154;170;
Municipios;1104;Perales de Tajuña;134;143;
Municipios;1111;Pezuela de las Torres;50;51;
Municipios;1126;Pinilla del Valle;11;15;
Municipios;1132;Pinto;2171;2214;
Municipios;1147;Piñuécar-Gandullas;8;9;
Municipios;1150;Pozuelo de Alarcón;4290;4473;
Municipios;1163;Pozuelo del Rey;45;51;
Municipios;1179;Prádena del Rincón;8;7;
Municipios;1185;Puebla de la Sierra;7;7;
Municipios;9020;Puentes Viejas;35;33;
Municipios;1198;Quijorna;117;124;
Municipios;1202;Rascafría;154;152;
Municipios;1219;Redueña;14;11;
Municipios;1224;Ribatejada;45;49;
Municipios;1230;Rivas-Vaciamadrid;3831;4314;
Municipios;1245;Robledillo de la Jara;6;7;
Municipios;1258;Robledo de Chavela;262;269;
Municipios;1261;Robregordo;3;7;
Municipios;1277;Rozas de Madrid (Las);4366;4504;
Municipios;1283;Rozas de Puerto Real;27;31;
Municipios;1296;San Agustín del Guadalix;505;520;
Municipios;1300;San Fernando de Henares;2414;2577;
Municipios;1317;San Lorenzo de El Escorial;926;1023;
Municipios;1338;San Martín de Valdeiglesias;471;482;
Municipios;1322;San Martín de la Vega;685;727;
Municipios;1343;San Sebastián de los Reyes;4293;4217;
Municipios;1356;Santa María de la Alameda;96;106;
Municipios;1369;Santorcaz;45;45;
Municipios;1375;Santos de la Humosa (Los);84;90;
Municipios;1381;Serna del Monte (La);9;9;
Municipios;1408;Serranillos del Valle;170;180;
Municipios;1415;Sevilla la Nueva;312;316;
Municipios;1436;Somosierra;6;6;
Municipios;1441;Soto del Real;436;484;
Municipios;1454;Talamanca de Jarama;149;165;
Municipios;1467;Tielmes;106;108;
Municipios;1473;Titulcia;63;62;
Municipios;1489;Torrejón de Ardoz;6731;6769;
Municipios;1505;Torrejón de Velasco;203;197;
Municipios;1492;Torrejón de la Calzada;412;442;
Municipios;1512;Torrelaguna;237;256;
Municipios;1527;Torrelodones;1091;1178;
Municipios;1533;Torremocha de Jarama;64;57;
Municipios;1548;Torres de la Alameda;374;402;
Municipios;9036;Tres Cantos;2568;2759;
Municipios;1551;Valdaracete;33;33;
Municipios;1564;Valdeavero;78;84;
Municipios;1570;Valdelaguna;37;35;
Municipios;1586;Valdemanco;52;50;
Municipios;1599;Valdemaqueda;48;54;
Municipios;1603;Valdemorillo;547;554;
Municipios;1610;Valdemoro;2470;2705;
Municipios;1625;Valdeolmos-Alalpardo;153;159;
Municipios;1631;Valdepiélagos;27;34;
Municipios;1646;Valdetorres de Jarama;212;230;
Municipios;1659;Valdilecha;131;140;
Municipios;1662;Valverde de Alcalá;22;19;
Municipios;1678;Velilla de San Antonio;486;529;
Municipios;1684;Vellón (El);83;83;
Municipios;1697;Venturada;93;96;
Municipios;1718;Villa del Prado;321;344;
Municipios;1701;Villaconejos;172;181;
Municipios;1723;Villalbilla;610;648;
Municipios;1739;Villamanrique de Tajo;34;40;
Municipios;1744;Villamanta;125;148;
Municipios;1757;Villamantilla;48;53;
Municipios;1782;Villanueva de Perales;67;69;
Municipios;1760;Villanueva de la Cañada;860;930;
Municipios;1776;Villanueva del Pardillo;484;515;
Municipios;1795;Villar del Olmo;105;109;
Municipios;1809;Villarejo de Salvanés;394;403;
Municipios;1816;Villaviciosa de Odón;1592;1559;
Municipios;1821;Villavieja del Lozoya;13;16;
Municipios;1837;Zarzalejo;84;92;
