Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;170111;172530;
Zonas Estadísticas;01;Municipio de Madrid ;107446;109313;
Zonas Estadísticas;02;Norte Metropolitano ;9579;9757;
Zonas Estadísticas;03;Este Metropolitano  ;9288;9426;
Zonas Estadísticas;04;Sur Metropolitano   ;15455;15458;
Zonas Estadísticas;05;Oeste Metropolitano ;18480;18596;
Zonas Estadísticas;06;Sierra Norte        ;690;709;
Zonas Estadísticas;07;Nordeste Comunidad  ;1058;1078;
Zonas Estadísticas;08;Sudeste Comunidad   ;1287;1293;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2154;2179;
Zonas Estadísticas;10;Sierra Sur          ;497;501;
Zonas Estadísticas;11;Sierra Central      ;4177;4220;
Municipios;0014;Acebeda (La);4;4;
Municipios;0029;Ajalvir;157;149;
Municipios;0035;Alameda del Valle;9;9;
Municipios;0040;Alamo (El);111;115;
Municipios;0053;Alcalá de Henares;2498;2526;
Municipios;0066;Alcobendas;3985;4069;
Municipios;0072;Alcorcón;2408;2452;
Municipios;0088;Aldea del Fresno;29;27;
Municipios;0091;Algete;568;566;
Municipios;0105;Alpedrete;386;368;
Municipios;0112;Ambite;8;9;
Municipios;0127;Anchuelo;13;13;
Municipios;0133;Aranjuez;835;818;
Municipios;0148;Arganda del Rey;818;836;
Municipios;0151;Arroyomolinos;579;585;
Municipios;0164;Atazar (El);1;0;
Municipios;0170;Batres;35;36;
Municipios;0186;Becerril de la Sierra;143;152;
Municipios;0199;Belmonte de Tajo;8;8;
Municipios;0210;Berrueco (El);8;9;
Municipios;0203;Berzosa del Lozoya;3;3;
Municipios;0225;Boadilla del Monte;2211;2269;
Municipios;0231;Boalo (El);170;176;
Municipios;0246;Braojos;6;6;
Municipios;0259;Brea de Tajo;4;4;
Municipios;0262;Brunete;269;263;
Municipios;0278;Buitrago del Lozoya;28;29;
Municipios;0284;Bustarviejo;61;64;
Municipios;0297;Cabanillas de la Sierra;11;17;
Municipios;0301;Cabrera (La);34;40;
Municipios;0318;Cadalso de los Vidrios;24;29;
Municipios;0323;Camarma de Esteruelas;112;108;
Municipios;0339;Campo Real;96;92;
Municipios;0344;Canencia;5;7;
Municipios;0357;Carabaña;11;14;
Municipios;0360;Casarrubuelos;41;43;
Municipios;0376;Cenicientos;10;11;
Municipios;0382;Cercedilla;143;149;
Municipios;0395;Cervera de Buitrago;2;2;
Municipios;0513;Chapinería;31;35;
Municipios;0528;Chinchón;67;70;
Municipios;0409;Ciempozuelos;277;253;
Municipios;0416;Cobeña;152;162;
Municipios;0468;Collado Mediano;190;200;
Municipios;0474;Collado Villalba;1133;1182;
Municipios;0455;Colmenar Viejo;834;874;
Municipios;0437;Colmenar de Oreja;73;68;
Municipios;0421;Colmenar del Arroyo;33;35;
Municipios;0442;Colmenarejo;208;205;
Municipios;0480;Corpa;7;6;
Municipios;0493;Coslada;1035;1050;
Municipios;0506;Cubas de la Sagra;86;85;
Municipios;0534;Daganzo de Arriba;180;185;
Municipios;0549;Escorial (El);373;368;
Municipios;0552;Estremera;14;16;
Municipios;0565;Fresnedillas de la Oliva;26;22;
Municipios;0571;Fresno de Torote;30;27;
Municipios;0587;Fuenlabrada;1930;1978;
Municipios;0590;Fuente el Saz de Jarama;162;161;
Municipios;0604;Fuentidueña de Tajo;15;14;
Municipios;0611;Galapagar;835;866;
Municipios;0626;Garganta de los Montes;7;7;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;4;
Municipios;0647;Gascones;1;1;
Municipios;0650;Getafe;2382;2392;
Municipios;0663;Griñón;214;228;
Municipios;0679;Guadalix de la Sierra;88;96;
Municipios;0685;Guadarrama;283;284;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;3;
Municipios;0719;Horcajuelo de la Sierra;0;0;
Municipios;0724;Hoyo de Manzanares;253;246;
Municipios;0730;Humanes de Madrid;331;326;
Municipios;0745;Leganés;2177;2188;
Municipios;0758;Loeches;120;127;
Municipios;0761;Lozoya;4;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;25;25;
Municipios;0783;Madarcos;1;0;
Municipios;0796;Madrid;107446;109313;
Municipios;0800;Majadahonda;2518;2504;
Municipios;0822;Manzanares el Real;169;176;
Municipios;0838;Meco;208;215;
Municipios;0843;Mejorada del Campo;256;268;
Municipios;0856;Miraflores de la Sierra;107;105;
Municipios;0869;Molar (El);109;115;
Municipios;0875;Molinos (Los);98;100;
Municipios;0881;Montejo de la Sierra;3;2;
Municipios;0894;Moraleja de Enmedio;73;70;
Municipios;0908;Moralzarzal;293;298;
Municipios;0915;Morata de Tajuña;55;62;
Municipios;0920;Móstoles;2089;2061;
Municipios;0936;Navacerrada;90;91;
Municipios;0941;Navalafuente;25;22;
Municipios;0954;Navalagamella;38;34;
Municipios;0967;Navalcarnero;382;386;
Municipios;0973;Navarredonda y San Mamés;3;2;
Municipios;0992;Navas del Rey;36;42;
Municipios;1006;Nuevo Baztán;127;132;
Municipios;1013;Olmeda de las Fuentes;9;7;
Municipios;1028;Orusco de Tajuña;17;17;
Municipios;1049;Paracuellos de Jarama;525;523;
Municipios;1065;Parla;996;981;
Municipios;1071;Patones;7;6;
Municipios;1087;Pedrezuela;94;99;
Municipios;1090;Pelayos de la Presa;54;52;
Municipios;1104;Perales de Tajuña;32;32;
Municipios;1111;Pezuela de las Torres;9;6;
Municipios;1126;Pinilla del Valle;2;1;
Municipios;1132;Pinto;766;760;
Municipios;1147;Piñuécar-Gandullas;5;4;
Municipios;1150;Pozuelo de Alarcón;4262;4278;
Municipios;1163;Pozuelo del Rey;14;14;
Municipios;1179;Prádena del Rincón;1;1;
Municipios;1185;Puebla de la Sierra;1;2;
Municipios;9020;Puentes Viejas;5;6;
Municipios;1198;Quijorna;56;54;
Municipios;1202;Rascafría;21;19;
Municipios;1219;Redueña;10;10;
Municipios;1224;Ribatejada;10;9;
Municipios;1230;Rivas-Vaciamadrid;1739;1792;
Municipios;1245;Robledillo de la Jara;0;1;
Municipios;1258;Robledo de Chavela;79;77;
Municipios;1261;Robregordo;0;0;
Municipios;1277;Rozas de Madrid (Las);4292;4349;
Municipios;1283;Rozas de Puerto Real;8;9;
Municipios;1296;San Agustín del Guadalix;361;366;
Municipios;1300;San Fernando de Henares;632;632;
Municipios;1317;San Lorenzo de El Escorial;459;464;
Municipios;1338;San Martín de Valdeiglesias;106;103;
Municipios;1322;San Martín de la Vega;247;241;
Municipios;1343;San Sebastián de los Reyes;2332;2350;
Municipios;1356;Santa María de la Alameda;17;17;
Municipios;1369;Santorcaz;6;8;
Municipios;1375;Santos de la Humosa (Los);14;18;
Municipios;1381;Serna del Monte (La);1;1;
Municipios;1408;Serranillos del Valle;60;59;
Municipios;1415;Sevilla la Nueva;187;180;
Municipios;1436;Somosierra;2;2;
Municipios;1441;Soto del Real;178;179;
Municipios;1454;Talamanca de Jarama;52;60;
Municipios;1467;Tielmes;16;17;
Municipios;1473;Titulcia;11;11;
Municipios;1489;Torrejón de Ardoz;1460;1472;
Municipios;1505;Torrejón de Velasco;37;37;
Municipios;1492;Torrejón de la Calzada;144;151;
Municipios;1512;Torrelaguna;59;62;
Municipios;1527;Torrelodones;967;942;
Municipios;1533;Torremocha de Jarama;18;20;
Municipios;1548;Torres de la Alameda;100;95;
Municipios;9036;Tres Cantos;1347;1370;
Municipios;1551;Valdaracete;1;2;
Municipios;1564;Valdeavero;22;21;
Municipios;1570;Valdelaguna;11;12;
Municipios;1586;Valdemanco;8;9;
Municipios;1599;Valdemaqueda;8;9;
Municipios;1603;Valdemorillo;454;443;
Municipios;1610;Valdemoro;1017;1008;
Municipios;1625;Valdeolmos-Alalpardo;94;95;
Municipios;1631;Valdepiélagos;11;9;
Municipios;1646;Valdetorres de Jarama;68;73;
Municipios;1659;Valdilecha;28;25;
Municipios;1662;Valverde de Alcalá;3;3;
Municipios;1678;Velilla de San Antonio;168;178;
Municipios;1684;Vellón (El);28;24;
Municipios;1697;Venturada;86;82;
Municipios;1718;Villa del Prado;45;48;
Municipios;1701;Villaconejos;24;21;
Municipios;1723;Villalbilla;254;254;
Municipios;1739;Villamanrique de Tajo;3;3;
Municipios;1744;Villamanta;27;28;
Municipios;1757;Villamantilla;26;24;
Municipios;1782;Villanueva de Perales;22;23;
Municipios;1760;Villanueva de la Cañada;778;751;
Municipios;1776;Villanueva del Pardillo;433;462;
Municipios;1795;Villar del Olmo;50;47;
Municipios;1809;Villarejo de Salvanés;67;66;
Municipios;1816;Villaviciosa de Odón;962;946;
Municipios;1821;Villavieja del Lozoya;5;3;
Municipios;1837;Zarzalejo;27;26;
