Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;194748
Zonas Estadísticas;01;Municipio de Madrid ;128906
Zonas Estadísticas;02;Norte Metropolitano ;10068
Zonas Estadísticas;03;Este Metropolitano  ;9340
Zonas Estadísticas;04;Sur Metropolitano   ;14616
Zonas Estadísticas;05;Oeste Metropolitano ;23194
Zonas Estadísticas;06;Sierra Norte        ;538
Zonas Estadísticas;07;Nordeste Comunidad  ;859
Zonas Estadísticas;08;Sudeste Comunidad   ;1141
Zonas Estadísticas;09;Sudoeste Comunidad  ;1735
Zonas Estadísticas;10;Sierra Sur          ;418
Zonas Estadísticas;11;Sierra Central      ;3933
Municipios;0014;Acebeda (La);1
Municipios;0029;Ajalvir;88
Municipios;0035;Alameda del Valle;4
Municipios;0040;Alamo (El);93
Municipios;0053;Alcalá de Henares;3062
Municipios;0066;Alcobendas;4260
Municipios;0072;Alcorcón;2855
Municipios;0088;Aldea del Fresno;39
Municipios;0091;Algete;538
Municipios;0105;Alpedrete;379
Municipios;0112;Ambite;3
Municipios;0127;Anchuelo;12
Municipios;0133;Aranjuez;760
Municipios;0148;Arganda del Rey;619
Municipios;0151;Arroyomolinos;412
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;14
Municipios;0186;Becerril de la Sierra;125
Municipios;0199;Belmonte de Tajo;18
Municipios;0210;Berrueco (El);10
Municipios;0203;Berzosa del Lozoya;5
Municipios;0225;Boadilla del Monte;2688
Municipios;0231;Boalo (El);152
Municipios;0246;Braojos;2
Municipios;0259;Brea de Tajo;2
Municipios;0262;Brunete;229
Municipios;0278;Buitrago del Lozoya;32
Municipios;0284;Bustarviejo;42
Municipios;0297;Cabanillas de la Sierra;13
Municipios;0301;Cabrera (La);35
Municipios;0318;Cadalso de los Vidrios;30
Municipios;0323;Camarma de Esteruelas;83
Municipios;0339;Campo Real;56
Municipios;0344;Canencia;6
Municipios;0357;Carabaña;15
Municipios;0360;Casarrubuelos;30
Municipios;0376;Cenicientos;9
Municipios;0382;Cercedilla;131
Municipios;0395;Cervera de Buitrago;3
Municipios;0513;Chapinería;25
Municipios;0528;Chinchón;80
Municipios;0409;Ciempozuelos;204
Municipios;0416;Cobeña;196
Municipios;0468;Collado Mediano;162
Municipios;0474;Collado Villalba;1028
Municipios;0455;Colmenar Viejo;1029
Municipios;0437;Colmenar de Oreja;78
Municipios;0421;Colmenar del Arroyo;22
Municipios;0442;Colmenarejo;154
Municipios;0480;Corpa;5
Municipios;0493;Coslada;1020
Municipios;0506;Cubas de la Sagra;65
Municipios;0534;Daganzo de Arriba;155
Municipios;0549;Escorial (El);418
Municipios;0552;Estremera;12
Municipios;0565;Fresnedillas de la Oliva;29
Municipios;0571;Fresno de Torote;15
Municipios;0587;Fuenlabrada;1610
Municipios;0590;Fuente el Saz de Jarama;126
Municipios;0604;Fuentidueña de Tajo;22
Municipios;0611;Galapagar;902
Municipios;0626;Garganta de los Montes;1
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;0
Municipios;0650;Getafe;2344
Municipios;0663;Griñón;213
Municipios;0679;Guadalix de la Sierra;76
Municipios;0685;Guadarrama;288
Municipios;0698;Hiruela (La);1
Municipios;0702;Horcajo de la Sierra-Aoslos;1
Municipios;0719;Horcajuelo de la Sierra;1
Municipios;0724;Hoyo de Manzanares;280
Municipios;0730;Humanes de Madrid;216
Municipios;0745;Leganés;2124
Municipios;0758;Loeches;102
Municipios;0761;Lozoya;11
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;10
Municipios;0783;Madarcos;2
Municipios;0796;Madrid;128906
Municipios;0800;Majadahonda;3963
Municipios;0822;Manzanares el Real;157
Municipios;0838;Meco;160
Municipios;0843;Mejorada del Campo;215
Municipios;0856;Miraflores de la Sierra;86
Municipios;0869;Molar (El);91
Municipios;0875;Molinos (Los);77
Municipios;0881;Montejo de la Sierra;0
Municipios;0894;Moraleja de Enmedio;74
Municipios;0908;Moralzarzal;270
Municipios;0915;Morata de Tajuña;81
Municipios;0920;Móstoles;2152
Municipios;0936;Navacerrada;68
Municipios;0941;Navalafuente;17
Municipios;0954;Navalagamella;28
Municipios;0967;Navalcarnero;314
Municipios;0973;Navarredonda y San Mamés;1
Municipios;0992;Navas del Rey;21
Municipios;1006;Nuevo Baztán;73
Municipios;1013;Olmeda de las Fuentes;13
Municipios;1028;Orusco de Tajuña;7
Municipios;1049;Paracuellos de Jarama;612
Municipios;1065;Parla;741
Municipios;1071;Patones;4
Municipios;1087;Pedrezuela;89
Municipios;1090;Pelayos de la Presa;44
Municipios;1104;Perales de Tajuña;26
Municipios;1111;Pezuela de las Torres;9
Municipios;1126;Pinilla del Valle;1
Municipios;1132;Pinto;610
Municipios;1147;Piñuécar-Gandullas;0
Municipios;1150;Pozuelo de Alarcón;6510
Municipios;1163;Pozuelo del Rey;14
Municipios;1179;Prádena del Rincón;0
Municipios;1185;Puebla de la Sierra;0
Municipios;9020;Puentes Viejas;4
Municipios;1198;Quijorna;61
Municipios;1202;Rascafría;35
Municipios;1219;Redueña;4
Municipios;1224;Ribatejada;6
Municipios;1230;Rivas-Vaciamadrid;1786
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;62
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);4618
Municipios;1283;Rozas de Puerto Real;4
Municipios;1296;San Agustín del Guadalix;355
Municipios;1300;San Fernando de Henares;425
Municipios;1317;San Lorenzo de El Escorial;445
Municipios;1338;San Martín de Valdeiglesias;107
Municipios;1322;San Martín de la Vega;158
Municipios;1343;San Sebastián de los Reyes;2000
Municipios;1356;Santa María de la Alameda;10
Municipios;1369;Santorcaz;4
Municipios;1375;Santos de la Humosa (Los);21
Municipios;1381;Serna del Monte (La);4
Municipios;1408;Serranillos del Valle;47
Municipios;1415;Sevilla la Nueva;108
Municipios;1436;Somosierra;1
Municipios;1441;Soto del Real;274
Municipios;1454;Talamanca de Jarama;49
Municipios;1467;Tielmes;23
Municipios;1473;Titulcia;7
Municipios;1489;Torrejón de Ardoz;1348
Municipios;1505;Torrejón de Velasco;46
Municipios;1492;Torrejón de la Calzada;100
Municipios;1512;Torrelaguna;39
Municipios;1527;Torrelodones;1182
Municipios;1533;Torremocha de Jarama;18
Municipios;1548;Torres de la Alameda;59
Municipios;9036;Tres Cantos;1690
Municipios;1551;Valdaracete;4
Municipios;1564;Valdeavero;19
Municipios;1570;Valdelaguna;4
Municipios;1586;Valdemanco;9
Municipios;1599;Valdemaqueda;10
Municipios;1603;Valdemorillo;298
Municipios;1610;Valdemoro;842
Municipios;1625;Valdeolmos-Alalpardo;88
Municipios;1631;Valdepiélagos;11
Municipios;1646;Valdetorres de Jarama;56
Municipios;1659;Valdilecha;20
Municipios;1662;Valverde de Alcalá;1
Municipios;1678;Velilla de San Antonio;165
Municipios;1684;Vellón (El);10
Municipios;1697;Venturada;43
Municipios;1718;Villa del Prado;68
Municipios;1701;Villaconejos;30
Municipios;1723;Villalbilla;223
Municipios;1739;Villamanrique de Tajo;4
Municipios;1744;Villamanta;27
Municipios;1757;Villamantilla;10
Municipios;1782;Villanueva de Perales;14
Municipios;1760;Villanueva de la Cañada;774
Municipios;1776;Villanueva del Pardillo;449
Municipios;1795;Villar del Olmo;36
Municipios;1809;Villarejo de Salvanés;77
Municipios;1816;Villaviciosa de Odón;1020
Municipios;1821;Villavieja del Lozoya;3
Municipios;1837;Zarzalejo;17
