Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de la industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;5045;5136;5388;5754;5815;5369;5265;5176;5156;
Zonas Estadísticas;01;Municipio de Madrid ;2123;2113;2206;2315;2407;2376;2314;2316;2331;
Zonas Estadísticas;02;Norte Metropolitano ;279;281;349;409;421;352;348;359;354;
Zonas Estadísticas;03;Este Metropolitano  ;664;683;699;726;732;477;479;493;493;
Zonas Estadísticas;04;Sur Metropolitano   ;1057;1084;1110;1220;1211;1170;1127;1009;984;
Zonas Estadísticas;05;Oeste Metropolitano ;241;260;274;295;298;280;286;296;306;
Zonas Estadísticas;06;Sierra Norte        ;47;44;47;59;56;49;53;50;50;
Zonas Estadísticas;07;Nordeste Comunidad  ;52;55;57;63;59;64;63;67;67;
Zonas Estadísticas;08;Sudeste Comunidad   ;248;257;274;279;283;265;258;237;230;
Zonas Estadísticas;09;Sudoeste Comunidad  ;158;187;201;206;155;144;143;146;144;
Zonas Estadísticas;10;Sierra Sur          ;49;43;49;54;55;57;56;59;57;
Zonas Estadísticas;11;Sierra Central      ;127;129;122;128;138;135;138;144;140;
Municipios;0014;Acebeda (La);0;0;0;0;1;1;0;0;0;
Municipios;0029;Ajalvir;14;15;16;16;17;19;22;21;24;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);8;10;8;6;5;7;8;8;9;
Municipios;0053;Alcalá de Henares;97;102;101;108;118;107;117;113;112;
Municipios;0066;Alcobendas;115;109;119;123;111;88;94;98;100;
Municipios;0072;Alcorcón;146;146;148;161;161;157;151;146;141;
Municipios;0088;Aldea del Fresno;0;0;0;1;1;0;0;0;1;
Municipios;0091;Algete;13;17;20;18;16;17;16;17;18;
Municipios;0105;Alpedrete;19;21;13;10;16;9;9;10;11;
Municipios;0112;Ambite;0;0;0;0;0;0;0;0;0;
Municipios;0127;Anchuelo;1;1;0;0;1;0;0;0;0;
Municipios;0133;Aranjuez;46;39;38;38;39;35;38;36;33;
Municipios;0148;Arganda del Rey;111;113;113;120;118;118;109;119;116;
Municipios;0151;Arroyomolinos;18;21;23;21;18;16;17;23;22;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;0;0;0;0;0;0;0;0;0;
Municipios;0186;Becerril de la Sierra;2;3;2;1;1;2;3;3;2;
Municipios;0199;Belmonte de Tajo;47;46;57;56;47;39;39;30;31;
Municipios;0210;Berrueco (El);1;1;1;1;1;1;1;2;2;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;22;26;23;22;24;25;24;25;27;
Municipios;0231;Boalo (El);4;3;3;4;5;5;5;6;4;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;2;2;2;2;2;2;2;2;
Municipios;0262;Brunete;9;12;18;13;11;13;12;13;9;
Municipios;0278;Buitrago del Lozoya;2;2;2;2;1;1;0;0;1;
Municipios;0284;Bustarviejo;3;3;3;7;7;7;9;8;8;
Municipios;0297;Cabanillas de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0301;Cabrera (La);2;4;5;5;4;2;3;2;2;
Municipios;0318;Cadalso de los Vidrios;11;9;9;11;12;14;9;11;10;
Municipios;0323;Camarma de Esteruelas;4;5;6;8;9;11;10;13;12;
Municipios;0339;Campo Real;31;31;30;27;28;28;28;27;27;
Municipios;0344;Canencia;0;0;0;0;0;0;0;0;0;
Municipios;0357;Carabaña;2;4;4;4;2;1;1;1;1;
Municipios;0360;Casarrubuelos;3;1;1;1;1;1;1;0;0;
Municipios;0376;Cenicientos;4;3;4;4;3;3;2;3;3;
Municipios;0382;Cercedilla;6;7;9;8;8;8;9;10;9;
Municipios;0395;Cervera de Buitrago;0;0;0;0;0;0;0;0;0;
Municipios;0513;Chapinería;2;1;2;2;2;1;1;1;3;
Municipios;0528;Chinchón;18;15;19;20;24;24;23;20;19;
Municipios;0409;Ciempozuelos;19;20;19;20;20;21;26;24;24;
Municipios;0416;Cobeña;6;5;6;5;4;2;2;2;3;
Municipios;0468;Collado Mediano;3;3;3;4;5;3;2;2;3;
Municipios;0474;Collado Villalba;29;33;33;39;41;31;26;24;30;
Municipios;0455;Colmenar Viejo;51;50;63;63;75;64;62;66;63;
Municipios;0437;Colmenar de Oreja;23;21;24;29;33;33;32;28;23;
Municipios;0421;Colmenar del Arroyo;0;0;0;1;1;1;2;2;1;
Municipios;0442;Colmenarejo;4;5;5;4;5;3;2;1;1;
Municipios;0480;Corpa;1;1;1;1;1;1;1;1;1;
Municipios;0493;Coslada;52;56;52;55;46;41;44;40;39;
Municipios;0506;Cubas de la Sagra;3;3;5;5;6;6;7;9;8;
Municipios;0534;Daganzo de Arriba;11;11;11;11;12;12;16;14;10;
Municipios;0549;Escorial (El);18;16;14;14;15;15;16;18;16;
Municipios;0552;Estremera;0;0;0;0;0;0;0;0;0;
Municipios;0565;Fresnedillas de la Oliva;4;3;3;3;4;5;4;5;5;
Municipios;0571;Fresno de Torote;0;0;0;0;0;1;0;0;0;
Municipios;0587;Fuenlabrada;178;176;169;182;179;168;164;157;154;
