Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de servicios a empresas y financieros. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;828078;833261;836050;814913;813919;842467;887201;920090;961954;1010643;1038766;1026115;1049836;1102825;1147760;
Zonas Estadísticas;01;Municipio de Madrid ;610127;606921;608091;587840;581172;590177;634897;652896;681628;714897;742547;733789;750915;798210;831835;
Zonas Estadísticas;02;Norte Metropolitano ;57736;62374;62015;62011;59707;59124;61480;64146;69859;80238;81295;81176;82840;88260;91580;
Zonas Estadísticas;03;Este Metropolitano  ;28685;28594;27702;26959;27958;28704;27830;30200;32247;32642;32864;34462;33235;35555;36950;
Zonas Estadísticas;04;Sur Metropolitano   ;38239;38424;39906;37051;37507;53069;42571;44775;46723;48297;48952;48592;48615;49410;49995;
Zonas Estadísticas;05;Oeste Metropolitano ;78373;82086;83118;85631;91612;94470;102668;109208;108002;109848;107953;102906;102635;107645;112965;
Zonas Estadísticas;06;Sierra Norte        ;-;-;-;-;-;-;-;-;-;-;-;-;915;930;985;
Zonas Estadísticas;07;Nordeste Comunidad  ;1470;-;-;1724;1749;2091;2135;2133;2098;1960;1957;2128;2175;2225;2335;
Zonas Estadísticas;08;Sudeste Comunidad   ;-;-;-;-;-;-;-;-;-;-;-;-;2210;2330;2365;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3553;3542;3849;3995;4029;4121;4411;4966;9008;9664;9908;9658;16145;7475;7400;
Zonas Estadísticas;10;Sierra Sur          ;-;-;-;-;-;-;532;579;658;663;653;701;710;740;705;
Zonas Estadísticas;11;Sierra Central      ;4790;4796;4927;4777;4936;5067;5405;5510;5732;6070;6082;6101;6040;6160;6270;
Zonas Estadísticas;99;Sin Zona asignada   ;2125;2168;2218;2321;2476;2675;2680;2954;3131;3425;3470;3567;3430;3930;4415;
Municipios;0014;Acebeda (La);-;6;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0029;Ajalvir;359;343;473;409;449;529;552;545;483;627;741;838;815;950;1055;
Municipios;0035;Alameda del Valle;9;5;7;6;11;11;12;13;14;12;14;10;10;10;10;
Municipios;0040;Alamo (El);106;106;108;110;127;160;190;201;174;168;126;139;145;145;140;
Municipios;0053;Alcalá de Henares;6380;6027;5771;5530;5349;5628;5908;6253;6952;7154;7057;8120;8495;9245;9125;
Municipios;0066;Alcobendas;27497;30288;31178;30862;30209;28500;29438;34383;36501;45596;45386;45220;45890;49165;50810;
Municipios;0072;Alcorcón;6223;6374;8404;6689;7001;7563;8642;9462;9546;9964;10216;10561;11170;10285;10035;
Municipios;0088;Aldea del Fresno;38;42;34;29;22;26;33;34;36;43;39;40;35;35;35;
Municipios;0091;Algete;1040;1003;1010;971;1025;986;1019;1050;1231;1284;1280;1130;1090;1095;1150;
Municipios;0105;Alpedrete;374;431;423;407;414;423;453;476;464;516;530;526;540;595;555;
Municipios;0112;Ambite;-;-;-;8;9;-;-;-;-;-;8;8;5;10;10;
Municipios;0127;Anchuelo;16;15;17;18;16;19;16;14;17;17;22;22;25;20;15;
