Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de otros servicios. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;707330;707365;722398;725483;734742;763597;789940;817393;846400;888192;917382;916352;960760;992048;1032223;
Zonas Estadísticas;01;Municipio de Madrid ;483658;479025;489378;491812;499087;519592;547320;563253;587263;619548;639917;639696;665070;690475;724825;
Zonas Estadísticas;02;Norte Metropolitano ;27105;27925;28225;29404;30483;32267;31792;32873;33267;34477;35137;32635;34770;35410;36355;
Zonas Estadísticas;03;Este Metropolitano  ;36045;36138;37244;36668;36279;37747;37323;38534;39775;41171;41545;41002;43255;45005;45280;
Zonas Estadísticas;04;Sur Metropolitano   ;79451;78220;80297;76677;74793;77335;75612;79018;83576;86836;92450;96046;104615;102170;104195;
Zonas Estadísticas;05;Oeste Metropolitano ;49028;53561;55092;59755;61609;62114;62132;66016;63946;65887;66975;66606;69660;73255;75395;
Zonas Estadísticas;06;Sierra Norte        ;-;2411;2296;-;-;-;-;-;-;2581;-;2725;3340;3380;3380;
Zonas Estadísticas;07;Nordeste Comunidad  ;2585;2632;2569;2427;2543;2633;2870;3108;3063;3193;3242;3082;3230;3485;3435;
Zonas Estadísticas;08;Sudeste Comunidad   ;4888;5073;4868;4634;4741;5029;5304;5417;5347;5389;5612;5612;5985;6265;6225;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7616;7819;7720;7213;7542;8347;8604;9103;9601;10067;10231;9716;10610;11455;11335;
Zonas Estadísticas;10;Sierra Sur          ;1791;1819;1818;1505;1583;1714;1767;1941;2016;2192;2272;2210;2365;2480;2265;
Zonas Estadísticas;11;Sierra Central      ;11264;11296;11403;11535;11641;12001;12348;12900;13153;13726;14053;13801;14560;15080;15590;
Zonas Estadísticas;99;Sin Zona asignada   ;1498;1446;1488;1964;2440;2628;2625;2776;2929;3125;3247;3221;3300;3625;3960;
Municipios;0014;Acebeda (La);8;9;8;-;5;-;6;5;6;9;6;12;10;10;10;
Municipios;0029;Ajalvir;522;529;530;540;609;674;740;624;696;786;792;793;1190;1340;1375;
Municipios;0035;Alameda del Valle;12;11;11;7;10;8;11;7;10;9;9;13;15;10;15;
Municipios;0040;Alamo (El);534;529;539;501;522;672;646;669;681;690;719;678;740;790;760;
Municipios;0053;Alcalá de Henares;17385;17179;17549;16904;16316;17188;14715;15325;15658;16075;16205;16156;16165;16505;16715;
Municipios;0066;Alcobendas;11408;12248;11969;12417;12872;13503;13924;14432;14075;15109;15512;14531;15030;15440;15530;
Municipios;0072;Alcorcón;10348;10375;10361;10049;10090;10368;10714;10994;11299;11142;11361;15946;17575;12220;12640;
Municipios;0088;Aldea del Fresno;157;170;167;152;160;161;153;193;183;208;216;207;220;205;230;
Municipios;0091;Algete;1088;1115;1133;1169;1061;1112;1184;1278;1298;1326;1297;1191;1355;1410;1480;
Municipios;0105;Alpedrete;781;824;803;856;849;885;911;1010;1062;1100;1088;1082;1145;1085;1105;
Municipios;0112;Ambite;17;21;25;23;24;24;26;18;18;23;18;32;45;50;50;
Municipios;0127;Anchuelo;26;36;30;25;24;24;28;29;28;25;32;33;35;35;40;
Municipios;0133;Aranjuez;4019;4085;4027;3821;4193;4166;4251;4180;4258;4384;4381;4311;4330;4260;4365;
Municipios;0148;Arganda del Rey;2456;2415;2440;2344;2421;2589;2811;2933;3111;3398;3468;3510;3585;3545;3525;
Municipios;0151;Arroyomolinos;921;1002;1101;1147;1379;1640;1651;1726;1742;1883;1879;1769;1975;2220;2260;
Municipios;0164;Atazar (El);14;13;11;6;-;-;7;6;-;8;6;9;10;10;10;
Municipios;0170;Batres;67;64;60;53;54;48;48;58;60;66;60;72;75;90;75;
Municipios;0186;Becerril de la Sierra;152;147;152;184;176;206;194;293;294;277;271;282;295;310;295;
Municipios;0199;Belmonte de Tajo;78;73;81;64;53;43;54;59;64;64;68;76;70;75;70;
Municipios;0210;Berrueco (El);37;36;35;23;25;35;25;51;48;54;62;51;65;55;65;
Municipios;0203;Berzosa del Lozoya;21;20;39;15;16;17;17;41;43;45;40;36;45;55;60;
Municipios;0225;Boadilla del Monte;3673;3949;4184;4749;5014;5221;5423;5675;5912;6168;6483;6386;6980;6990;7300;
Municipios;0231;Boalo (El);348;350;360;384;428;427;457;496;492;527;551;538;620;635;620;
Municipios;0246;Braojos;13;15;11;7;7;8;7;7;9;9;7;9;15;15;10;
Municipios;0259;Brea de Tajo;288;336;302;298;335;337;357;341;362;351;339;338;385;410;410;
Municipios;0262;Brunete;818;879;874;844;829;897;930;966;1021;1045;1048;940;1110;1225;1255;
Municipios;0278;Buitrago del Lozoya;256;246;223;136;181;201;208;225;192;227;217;230;610;690;655;
Municipios;0284;Bustarviejo;88;103;109;113;129;183;184;163;168;155;160;161;160;180;175;
Municipios;0297;Cabanillas de la Sierra;48;50;50;41;40;55;51;45;46;47;54;55;60;65;80;
Municipios;0301;Cabrera (La);140;146;152;133;133;127;163;165;173;174;167;167;180;200;215;
Municipios;0318;Cadalso de los Vidrios;114;107;98;119;112;148;158;176;180;223;251;228;240;245;185;
Municipios;0323;Camarma de Esteruelas;308;286;317;319;325;315;346;365;346;382;331;313;350;350;345;
Municipios;0339;Campo Real;183;184;195;141;140;165;184;199;206;218;217;223;240;260;240;
Municipios;0344;Canencia;20;21;18;13;27;25;31;29;39;34;36;34;40;45;45;
Municipios;0357;Carabaña;68;74;60;59;38;40;51;59;69;90;167;162;170;180;100;
Municipios;0360;Casarrubuelos;146;152;143;126;146;181;197;195;198;199;210;212;235;265;205;
Municipios;0376;Cenicientos;10;13;12;13;15;19;13;13;15;70;99;85;90;95;60;
Municipios;0382;Cercedilla;915;900;902;865;854;861;829;866;891;889;934;928;940;945;960;
Municipios;0395;Cervera de Buitrago;19;18;16;10;8;15;9;9;9;15;14;17;20;20;20;
Municipios;0513;Chapinería;117;122;128;88;100;120;114;138;150;137;133;152;200;200;185;
Municipios;0528;Chinchón;243;311;312;276;245;264;266;271;279;285;304;284;280;295;315;
Municipios;0409;Ciempozuelos;1823;1803;1916;1934;1988;2098;2353;1912;1970;2073;2242;2168;2310;2390;2540;
Municipios;0416;Cobeña;428;443;452;489;476;473;531;547;547;562;544;510;570;570;575;
Municipios;0468;Collado Mediano;330;347;360;326;330;332;350;370;377;391;388;352;395;410;455;
Municipios;0474;Collado Villalba;4625;4431;4647;4414;4530;4829;3638;3479;3708;3926;4125;4046;4120;4290;4410;
Municipios;0455;Colmenar Viejo;2142;2221;2460;2595;2534;2589;2750;2886;2955;3077;3208;2839;3165;3245;3095;
Municipios;0437;Colmenar de Oreja;237;220;233;171;195;166;199;197;198;197;180;176;160;165;190;
Municipios;0421;Colmenar del Arroyo;43;89;87;40;52;58;47;59;65;62;67;77;85;100;70;
Municipios;0442;Colmenarejo;343;378;388;371;407;417;443;410;435;455;449;429;435;445;405;
Municipios;0480;Corpa;32;28;23;19;15;17;19;17;18;20;23;28;25;30;30;
Municipios;0493;Coslada;4323;4311;4390;3974;3851;4042;4119;4158;4389;4757;4664;4501;4690;4935;4840;
Municipios;0506;Cubas de la Sagra;236;218;234;190;188;199;203;222;256;273;269;236;385;395;405;
Municipios;0534;Daganzo de Arriba;472;492;441;420;408;425;428;454;440;458;508;455;475;500;495;
Municipios;0549;Escorial (El);723;731;767;800;751;775;881;888;941;1029;1032;1116;1215;1245;1430;
Municipios;0552;Estremera;545;477;448;458;481;499;520;460;476;481;591;608;680;760;825;
Municipios;0565;Fresnedillas de la Oliva;70;72;93;52;52;58;52;57;51;66;77;87;90;100;85;
Municipios;0571;Fresno de Torote;78;84;70;60;105;67;94;91;71;79;76;80;85;95;95;
Municipios;0587;Fuenlabrada;8759;9025;9215;8352;8327;9124;8696;8811;9065;9401;9785;9811;9945;10325;10470;
Municipios;0590;Fuente el Saz de Jarama;418;439;419;393;396;404;414;447;462;472;545;522;530;565;575;
Municipios;0604;Fuentidueña de Tajo;52;46;44;42;43;53;60;68;73;71;66;74;75;70;80;
Municipios;0611;Galapagar;1803;1847;1835;2009;1987;2134;2178;4939;1983;1986;2047;1914;1950;2130;2195;
Municipios;0626;Garganta de los Montes;19;18;18;10;12;9;8;11;13;15;12;17;20;15;20;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;26;25;20;12;10;14;18;24;25;21;23;23;20;30;25;
Municipios;0647;Gascones;12;12;10;6;5;5;-;5;6;5;5;11;15;10;15;
Municipios;0650;Getafe;13486;13456;14518;13793;12662;12575;13354;14460;14943;15785;16595;16091;16795;16620;16785;
Municipios;0663;Griñón;839;811;814;743;719;715;783;777;822;795;781;742;765;785;765;
Municipios;0679;Guadalix de la Sierra;245;226;180;188;185;181;161;198;176;174;188;220;255;245;235;
Municipios;0685;Guadarrama;1431;1478;1499;1403;1436;1485;1434;1442;1494;1472;1496;1457;1455;1510;1420;
Municipios;0698;Hiruela (La);7;9;9;5;5;5;7;7;8;7;13;12;10;15;10;
Municipios;0702;Horcajo de la Sierra-Aoslos;14;13;14;8;7;7;12;11;10;9;10;12;15;15;15;
Municipios;0719;Horcajuelo de la Sierra;57;42;33;13;5;5;5;5;9;8;9;15;15;20;10;
Municipios;0724;Hoyo de Manzanares;741;754;806;863;900;960;1014;1087;1280;1361;1502;1570;1650;1785;1815;
Municipios;0730;Humanes de Madrid;700;674;679;599;624;710;697;732;745;789;804;738;875;945;960;
Municipios;0745;Leganés;16587;15681;16041;15254;14594;15443;10898;10813;11587;11814;11950;11705;12175;12340;13030;
Municipios;0758;Loeches;334;296;287;288;303;325;335;355;356;349;361;344;345;340;345;
Municipios;0761;Lozoya;35;31;30;26;33;29;35;36;47;64;48;61;80;70;80;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;85;90;93;80;83;91;93;105;110;107;129;107;130;85;85;
Municipios;0783;Madarcos;10;11;11;-;-;-;-;-;6;6;-;9;10;10;10;
Municipios;0796;Madrid;483658;479025;489378;491812;499087;519592;547320;563253;587263;619548;639917;639696;665070;690475;724825;
Municipios;0800;Majadahonda;7685;11245;11342;11768;10203;10705;11091;11350;11608;11863;11841;12005;12215;12425;12400;
Municipios;0822;Manzanares el Real;382;388;396;415;427;505;436;489;516;543;574;552;615;590;590;
Municipios;0838;Meco;318;297;376;393;428;453;488;589;597;629;651;649;655;700;725;
Municipios;0843;Mejorada del Campo;1055;1105;1105;1039;596;647;668;692;704;756;762;781;840;885;905;
Municipios;0856;Miraflores de la Sierra;327;296;316;280;293;334;304;301;288;352;360;376;355;380;365;
Municipios;0869;Molar (El);279;313;261;223;250;257;281;305;308;300;316;307;340;375;380;
