Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de agricultura y ganadería. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;10883;10483;10211;7883;6694;6864;6555;6795;6842;7118;6997;7197;7617;7282;7456;
Zonas Estadísticas;01;Municipio de Madrid ;3948;3783;3637;2276;1751;1754;1509;1545;1613;1832;1903;1991;2255;1945;1970;
Zonas Estadísticas;02;Norte Metropolitano ;473;469;522;482;449;433;412;436;441;465;454;465;445;435;445;
Zonas Estadísticas;03;Este Metropolitano  ;815;834;750;445;277;257;277;303;290;291;255;250;305;285;290;
Zonas Estadísticas;04;Sur Metropolitano   ;1695;1680;1620;1081;861;877;786;853;861;814;817;848;840;1165;1130;
Zonas Estadísticas;05;Oeste Metropolitano ;740;717;729;-;-;-;623;-;635;670;675;684;735;545;535;
Zonas Estadísticas;06;Sierra Norte        ;-;-;-;-;-;-;-;-;-;-;-;-;335;335;340;
Zonas Estadísticas;07;Nordeste Comunidad  ;-;-;-;-;-;-;-;-;193;194;-;-;215;220;230;
Zonas Estadísticas;08;Sudeste Comunidad   ;-;-;-;-;-;-;-;-;-;-;-;-;805;775;815;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-;-;-;-;-;-;-;-;-;-;-;-;540;525;555;
Zonas Estadísticas;10;Sierra Sur          ;-;-;-;-;-;-;-;-;-;253;-;-;260;260;280;
Zonas Estadísticas;11;Sierra Central      ;-;-;-;-;-;-;-;-;-;-;-;-;325;320;310;
Zonas Estadísticas;99;Sin Zona asignada   ;309;147;162;487;381;469;420;488;480;494;416;498;590;540;630;
Municipios;0014;Acebeda (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0029;Ajalvir;12;9;10;9;10;11;12;13;13;12;12;14;10;10;10;
Municipios;0035;Alameda del Valle;9;8;7;8;8;7;6;5;-;-;5;5;5;5;5;
Municipios;0040;Alamo (El);27;27;27;23;23;23;20;20;39;32;19;20;25;25;20;
Municipios;0053;Alcalá de Henares;223;242;227;106;53;49;55;62;69;67;59;59;70;65;60;
Municipios;0066;Alcobendas;114;98;111;82;66;67;59;64;72;72;65;78;80;85;85;
Municipios;0072;Alcorcón;217;180;174;127;92;91;27;26;27;32;30;23;30;25;30;
Municipios;0088;Aldea del Fresno;43;34;35;29;28;31;28;29;28;28;28;26;35;30;25;
Municipios;0091;Algete;35;40;72;66;60;56;34;35;37;35;36;36;35;35;35;
Municipios;0105;Alpedrete;15;12;11;12;10;11;9;9;11;12;12;10;10;15;10;
Municipios;0112;Ambite;7;10;8;10;7;10;10;10;9;10;9;9;10;10;10;
Municipios;0127;Anchuelo;10;9;8;9;7;7;8;9;9;9;9;9;10;10;10;
Municipios;0133;Aranjuez;233;266;250;186;177;181;166;186;192;186;158;174;195;165;170;
Municipios;0148;Arganda del Rey;159;159;145;72;69;50;49;63;46;51;45;55;45;40;40;
Municipios;0151;Arroyomolinos;14;9;31;-;-;-;-;7;7;11;12;9;15;10;15;
Municipios;0164;Atazar (El);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0170;Batres;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0186;Becerril de la Sierra;17;17;17;15;14;12;12;13;11;13;12;11;10;10;10;
Municipios;0199;Belmonte de Tajo;14;15;12;11;16;16;12;15;12;15;17;15;15;15;15;
Municipios;0210;Berrueco (El);-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
