Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de inmobiliarias. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;20491;21023;20937;21247;22284;24266;26473;27559;29170;32028;33564;33119;35459;37015;38474;
Zonas Estadísticas;01;Municipio de Madrid ;14601;15054;15352;15490;16042;17600;19086;19280;20215;22233;23515;23055;24355;25490;26440;
Zonas Estadísticas;02;Norte Metropolitano ;1176;1140;1121;1163;1131;1229;1304;1350;1435;1609;1582;1550;1810;1945;2005;
Zonas Estadísticas;03;Este Metropolitano  ;732;746;743;763;795;899;1022;1103;1200;1326;1345;1342;1455;1495;1535;
Zonas Estadísticas;04;Sur Metropolitano   ;1291;1385;-;1437;1529;1671;1822;2064;2236;2439;2464;2394;2570;2595;2645;
Zonas Estadísticas;05;Oeste Metropolitano ;1810;1898;1577;1609;1979;1960;2231;2621;2851;3071;3287;3359;3735;3810;4040;
Zonas Estadísticas;06;Sierra Norte        ;-;-;-;-;-;-;-;-;-;-;-;-;110;110;105;
Zonas Estadísticas;07;Nordeste Comunidad  ;-;-;-;-;-;-;-;-;-;-;-;-;150;150;180;
Zonas Estadísticas;08;Sudeste Comunidad   ;-;-;-;-;-;-;-;-;-;-;-;-;170;190;195;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-;-;-;-;-;-;-;-;-;-;-;-;400;420;450;
Zonas Estadísticas;10;Sierra Sur          ;-;-;-;-;-;-;-;-;-;-;-;-;70;70;85;
Zonas Estadísticas;11;Sierra Central      ;-;-;-;-;-;-;-;-;-;-;-;385;415;455;465;
Zonas Estadísticas;99;Sin Zona asignada   ;141;144;150;156;175;193;217;250;270;309;329;319;345;390;455;
Municipios;0014;Acebeda (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0029;Ajalvir;8;8;9;8;10;9;18;17;23;20;17;15;15;15;15;
Municipios;0035;Alameda del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;0;0;
Municipios;0040;Alamo (El);7;9;10;8;8;10;12;19;16;18;19;24;25;30;25;
Municipios;0053;Alcalá de Henares;277;259;237;218;236;251;329;345;361;382;404;402;435;440;460;
Municipios;0066;Alcobendas;700;741;729;739;706;700;765;790;814;839;835;820;950;1050;1245;
Municipios;0072;Alcorcón;179;198;214;231;238;234;261;297;331;365;363;354;365;385;390;
Municipios;0088;Aldea del Fresno;-;-;7;5;5;10;13;10;11;6;8;11;10;15;15;
Municipios;0091;Algete;47;47;41;32;31;34;38;44;54;56;67;67;75;75;75;
Municipios;0105;Alpedrete;24;44;41;39;39;41;43;49;54;56;49;45;55;55;55;
Municipios;0112;Ambite;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0127;Anchuelo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0133;Aranjuez;62;78;64;70;73;66;71;89;125;112;132;114;115;125;125;
Municipios;0148;Arganda del Rey;66;70;69;71;80;90;95;109;125;128;131;137;140;135;135;
Municipios;0151;Arroyomolinos;26;36;38;44;42;53;58;67;83;80;89;88;110;115;120;
Municipios;0164;Atazar (El);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0170;Batres;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0186;Becerril de la Sierra;-;-;-;-;-;-;-;-;5;8;8;12;15;15;15;
Municipios;0199;Belmonte de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0210;Berrueco (El);-;-;-;-;-;-;-;-;-;-;-;-;5;5;0;
Municipios;0203;Berzosa del Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0225;Boadilla del Monte;489;522;223;237;484;390;261;268;280;276;316;311;325;370;400;
Municipios;0231;Boalo (El);6;-;-;-;-;-;5;-;-;-;6;7;5;5;5;
Municipios;0246;Braojos;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0259;Brea de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0262;Brunete;18;16;17;20;24;23;24;25;22;25;24;27;30;30;30;
Municipios;0278;Buitrago del Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0284;Bustarviejo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0297;Cabanillas de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0301;Cabrera (La);-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0318;Cadalso de los Vidrios;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0323;Camarma de Esteruelas;32;23;8;7;9;5;-;-;-;6;5;6;10;5;10;
Municipios;0339;Campo Real;10;8;8;9;8;8;6;8;13;17;14;18;20;20;20;
Municipios;0344;Canencia;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0357;Carabaña;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0360;Casarrubuelos;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0376;Cenicientos;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0382;Cercedilla;8;8;8;6;7;5;-;-;-;-;-;5;5;5;10;
Municipios;0395;Cervera de Buitrago;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0513;Chapinería;-;-;-;-;-;-;-;-;-;-;6;5;5;5;5;
Municipios;0528;Chinchón;15;6;8;8;8;8;9;6;6;-;6;5;5;5;5;
Municipios;0409;Ciempozuelos;8;8;-;7;14;16;13;13;19;21;18;23;30;25;25;
Municipios;0416;Cobeña;12;15;12;12;11;18;13;12;6;8;12;12;10;15;20;
Municipios;0468;Collado Mediano;11;11;12;14;14;12;12;14;13;15;17;17;20;20;20;
Municipios;0474;Collado Villalba;92;93;83;94;104;105;125;129;134;132;147;146;155;145;175;
Municipios;0455;Colmenar Viejo;50;59;61;70;64;62;62;68;74;75;75;72;80;90;105;
Municipios;0437;Colmenar de Oreja;-;-;-;-;-;-;-;-;-;5;5;7;10;5;10;
Municipios;0421;Colmenar del Arroyo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0442;Colmenarejo;9;9;10;10;8;12;9;10;9;15;18;20;20;25;25;
Municipios;0480;Corpa;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0493;Coslada;91;102;111;118;116;129;141;147;169;179;174;184;190;205;195;
Municipios;0506;Cubas de la Sagra;7;5;5;9;9;9;11;12;12;13;15;14;15;15;15;
Municipios;0534;Daganzo de Arriba;6;7;7;7;8;8;14;20;20;18;18;20;15;15;25;
Municipios;0549;Escorial (El);19;25;23;25;23;29;27;33;30;32;37;40;35;40;45;
Municipios;0552;Estremera;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0565;Fresnedillas de la Oliva;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0571;Fresno de Torote;-;-;-;-;-;-;-;-;-;-;-;-;5;0;5;
Municipios;0587;Fuenlabrada;166;158;161;174;185;196;229;275;289;314;308;292;305;325;335;
Municipios;0590;Fuente el Saz de Jarama;109;14;17;21;17;18;16;20;25;21;24;19;20;25;25;
Municipios;0604;Fuentidueña de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0611;Galapagar;42;52;47;47;43;46;52;57;76;86;89;103;110;115;130;
Municipios;0626;Garganta de los Montes;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0647;Gascones;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5;
Municipios;0650;Getafe;223;242;230;238;233;278;294;326;342;375;384;363;400;415;430;
Municipios;0663;Griñón;26;25;26;24;23;17;18;40;58;61;60;59;60;45;45;
Municipios;0679;Guadalix de la Sierra;-;-;-;-;-;-;-;-;-;-;5;-;5;5;5;
Municipios;0685;Guadarrama;21;19;21;26;22;23;25;25;27;32;33;27;30;40;45;
Municipios;0698;Hiruela (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0724;Hoyo de Manzanares;7;9;9;7;7;9;10;13;12;15;16;17;20;20;20;
Municipios;0730;Humanes de Madrid;39;53;39;44;42;43;46;49;51;74;77;82;100;80;80;
Municipios;0745;Leganés;205;224;209;217;244;272;283;310;345;401;378;361;370;365;405;
Municipios;0758;Loeches;7;5;8;9;8;11;13;18;17;18;14;14;20;30;25;
Municipios;0761;Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0783;Madarcos;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0796;Madrid;14601;15054;15352;15490;16042;17600;19086;19280;20215;22233;23515;23055;24355;25490;26440;
Municipios;0800;Majadahonda;194;188;190;208;226;259;271;294;334;340;357;374;350;375;410;
Municipios;0822;Manzanares el Real;6;8;7;7;11;13;15;15;15;19;18;15;15;10;10;
Municipios;0838;Meco;10;6;-;7;6;10;15;19;23;22;23;27;35;35;35;
Municipios;0843;Mejorada del Campo;18;18;19;19;24;29;26;26;26;49;61;25;30;30;35;
Municipios;0856;Miraflores de la Sierra;11;10;9;6;8;8;9;8;7;8;13;13;15;10;10;
Municipios;0869;Molar (El);11;10;10;11;11;12;23;26;25;22;26;23;20;15;20;
Municipios;0875;Molinos (Los);5;6;5;5;5;5;5;7;6;7;8;5;5;10;10;
Municipios;0881;Montejo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0894;Moraleja de Enmedio;-;-;5;5;-;5;7;6;6;6;6;7;10;10;10;
Municipios;0908;Moralzarzal;9;10;8;9;8;8;8;10;8;10;13;15;20;20;20;
Municipios;0915;Morata de Tajuña;6;6;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0920;Móstoles;200;199;207;211;226;246;271;316;330;354;362;349;370;385;335;
Municipios;0936;Navacerrada;5;5;-;-;-;-;6;9;10;10;13;15;15;15;15;
Municipios;0941;Navalafuente;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0954;Navalagamella;5;5;-;-;-;-;-;-;-;5;5;-;5;5;5;
Municipios;0967;Navalcarnero;33;35;41;44;40;43;45;45;43;51;59;69;65;60;75;
Municipios;0973;Navarredonda y San Mamés;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0;
Municipios;0992;Navas del Rey;-;-;-;-;-;-;-;-;-;-;6;5;5;5;10;
Municipios;1006;Nuevo Baztán;8;5;6;8;10;12;14;13;15;17;17;18;15;15;15;
Municipios;1013;Olmeda de las Fuentes;-;-;-;-;-;-;-;-;-;-;-;-;5;0;0;
Municipios;1028;Orusco de Tajuña;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;1049;Paracuellos de Jarama;14;16;16;19;22;26;33;35;45;49;52;56;60;65;65;
Municipios;1065;Parla;68;70;74;89;90;115;125;137;147;159;172;185;215;190;195;
Municipios;1071;Patones;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1087;Pedrezuela;9;11;10;8;10;10;9;9;10;10;11;13;15;15;20;
Municipios;1090;Pelayos de la Presa;6;-;-;-;-;-;6;6;7;7;8;7;10;10;10;
Municipios;1104;Perales de Tajuña;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1111;Pezuela de las Torres;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1126;Pinilla del Valle;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1132;Pinto;62;69;77;88;103;126;137;140;123;131;137;137;160;155;170;
Municipios;1147;Piñuécar-Gandullas;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1150;Pozuelo de Alarcón;469;499;472;466;561;586;617;648;679;887;905;926;995;1065;1105;
Municipios;1163;Pozuelo del Rey;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5;
Municipios;1179;Prádena del Rincón;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1185;Puebla de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;9020;Puentes Viejas;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1198;Quijorna;6;6;7;6;6;5;6;6;5;7;6;5;10;10;10;
Municipios;1202;Rascafría;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1219;Redueña;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1224;Ribatejada;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;1230;Rivas-Vaciamadrid;82;96;104;124;131;152;166;179;192;222;240;252;280;260;285;
Municipios;1245;Robledillo de la Jara;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1258;Robledo de Chavela;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
