Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Porcentaje de contratos temporales registrados en las oficinas de empleo. Unidad: Porcentaje. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;86.52;82.31;80.68;80.86;84.20;85.31;86.41;80.41;84.56;84.22;84.11;83.77;83.25;82.07;83.19;82.28;81.27;56.10;51.60;
Zonas Estadísticas;01;Municipio de Madrid ;85.93;81.97;80.19;80.71;84.04;84.89;86.04;79.90;84.08;83.89;83.54;83.17;82.85;81.76;82.82;80.70;79.40;54.76;50.93;
Zonas Estadísticas;02;Norte Metropolitano ;86.16;80.98;79.09;79.46;83.55;85.18;85.88;79.96;84.49;82.95;83.07;82.15;81.50;79.15;79.78;81.05;80.19;57.32;51.52;
Zonas Estadísticas;03;Este Metropolitano  ;89.31;84.97;83.49;82.79;85.27;87.19;87.94;84.62;87.40;86.70;86.71;87.44;86.30;84.96;85.89;86.56;86.22;60.93;52.56;
Zonas Estadísticas;04;Sur Metropolitano   ;88.34;84.42;83.72;82.66;85.28;86.58;87.48;84.20;85.57;85.44;85.76;85.03;84.53;83.44;85.38;86.95;87.43;61.89;55.28;
Zonas Estadísticas;05;Oeste Metropolitano ;82.39;76.44;73.75;74.71;80.30;82.82;84.26;71.51;81.91;81.87;82.96;82.01;80.44;79.81;81.10;78.17;75.78;48.46;47.21;
Zonas Estadísticas;06;Sierra Norte        ;91.04;85.17;87.33;85.35;87.05;87.05;91.84;90.07;89.31;86.82;87.21;87.70;86.52;83.41;79.91;80.82;82.31;62.85;57.69;
Zonas Estadísticas;07;Nordeste Comunidad  ;89.81;84.96;82.45;84.98;89.42;90.25;90.74;89.76;91.14;89.36;88.11;87.84;87.91;86.44;87.98;89.22;90.44;71.95;70.54;
Zonas Estadísticas;08;Sudeste Comunidad   ;87.93;84.31;81.78;82.99;88.59;89.45;90.75;88.93;90.06;89.94;90.16;90.03;88.66;86.18;87.40;88.59;86.09;57.35;52.99;
Zonas Estadísticas;09;Sudoeste Comunidad  ;85.89;80.70;81.35;80.75;84.42;84.74;86.51;83.80;85.75;84.52;84.14;86.92;85.46;83.85;85.12;85.62;79.37;47.55;43.91;
Zonas Estadísticas;10;Sierra Sur          ;87.41;82.11;86.91;88.23;87.59;89.92;90.88;86.69;90.40;88.35;90.08;88.50;89.11;85.81;88.27;86.62;83.74;55.08;52.51;
Zonas Estadísticas;11;Sierra Central      ;87.30;81.23;78.93;81.64;84.41;86.45;88.65;78.20;85.63;85.06;85.34;83.82;84.18;83.88;83.97;81.27;80.86;53.40;51.02;
Municipios;0014;Acebeda (La);92.24;73.96;77.11;71.52;81.53;75.29;77.04;80.95;82.31;86.22;76.76;82.98;73.66;83.19;83.66;83.05;86.88;75.16;68.77;
Municipios;0029;Ajalvir;85.40;82.04;79.22;74.80;80.16;80.47;85.96;77.00;82.47;83.33;85.02;82.51;84.88;79.91;79.92;78.91;77.83;50.76;46.88;
Municipios;0035;Alameda del Valle;91.61;89.87;88.73;87.37;81.29;85.23;98.78;98.73;94.43;91.25;80.00;87.02;82.61;74.19;83.94;82.53;80.78;52.21;30.92;
Municipios;0040;Alamo (El);85.46;78.41;77.16;78.68;81.20;86.23;94.84;84.07;92.24;85.92;92.72;94.66;90.32;85.00;88.89;83.89;85.28;60.25;45.39;
Municipios;0053;Alcalá de Henares;91.11;87.03;86.38;85.65;87.46;89.13;89.42;86.66;89.51;89.63;90.10;89.42;88.70;87.54;88.95;89.98;89.30;65.26;61.12;
Municipios;0066;Alcobendas;83.37;77.98;75.98;76.08;81.64;82.00;82.86;77.40;81.36;81.11;81.66;79.95;78.53;75.49;74.58;75.37;72.89;49.51;45.84;
Municipios;0072;Alcorcón;86.22;81.12;81.06;81.14;84.88;85.51;87.43;82.92;86.21;86.95;87.28;86.37;85.78;85.39;86.32;88.17;83.84;57.52;53.28;
Municipios;0088;Aldea del Fresno;90.34;82.19;75.13;77.46;85.37;78.05;89.07;86.82;82.21;86.76;83.54;83.94;77.06;92.10;83.41;84.60;81.41;42.50;38.96;
Municipios;0091;Algete;87.55;81.33;80.49;77.40;80.06;86.06;86.60;80.88;78.48;79.00;82.31;82.71;86.01;85.71;80.72;82.26;82.71;52.86;39.41;
Municipios;0105;Alpedrete;87.48;75.81;73.56;77.55;80.23;81.30;82.44;69.11;76.71;72.65;73.40;74.84;77.62;73.03;78.53;80.14;79.56;51.08;50.84;
Municipios;0112;Ambite;96.46;79.49;78.05;89.41;93.40;94.30;67.97;69.15;93.33;82.35;94.12;87.29;80.00;77.08;85.71;79.75;76.12;75.70;49.26;
Municipios;0127;Anchuelo;81.06;88.02;83.15;77.78;89.02;90.91;82.24;85.61;93.09;93.53;87.38;93.53;90.95;90.93;91.18;84.84;71.62;45.40;71.95;
Municipios;0133;Aranjuez;91.69;88.66;88.85;85.62;89.34;91.04;92.52;89.59;90.97;90.05;91.33;90.64;91.36;89.38;91.56;93.36;95.66;80.10;62.29;
Municipios;0148;Arganda del Rey;89.09;83.77;84.01;83.05;84.53;86.64;86.89;85.71;88.22;87.64;87.19;84.98;83.73;80.52;82.75;84.56;82.69;52.48;42.77;
Municipios;0151;Arroyomolinos;85.59;85.35;85.24;78.99;83.96;82.46;81.05;79.80;81.30;80.82;74.48;80.03;80.44;78.24;81.77;84.01;78.97;43.77;35.61;
Municipios;0164;Atazar (El);89.12;83.09;81.31;89.22;87.30;90.54;90.24;91.36;91.92;86.36;79.79;90.60;80.00;79.47;74.80;45.11;54.55;30.23;44.77;
Municipios;0170;Batres;86.76;73.52;77.96;82.14;78.91;87.76;84.82;80.52;85.61;96.26;92.71;89.40;90.69;93.20;96.04;97.85;95.25;74.16;55.41;
Municipios;0186;Becerril de la Sierra;85.75;83.28;85.79;83.25;81.88;84.02;88.17;76.01;88.07;84.66;87.42;81.44;83.08;78.10;77.76;74.94;82.73;54.73;52.09;
Municipios;0199;Belmonte de Tajo;97.80;97.58;90.65;96.54;98.62;96.31;92.63;96.09;94.60;87.89;84.31;89.17;89.78;84.47;81.61;95.95;87.28;66.76;68.44;
Municipios;0210;Berrueco (El);92.11;88.14;72.29;93.65;95.36;90.80;90.34;79.29;75.00;88.06;86.61;84.82;85.82;81.72;88.53;86.73;76.92;54.05;60.43;
Municipios;0203;Berzosa del Lozoya;92.87;85.15;91.72;80.56;77.14;91.31;90.20;92.95;80.65;55.52;79.78;92.20;92.44;74.06;61.08;69.44;50.00;67.60;70.38;
Municipios;0225;Boadilla del Monte;81.85;75.36;71.82;71.92;73.89;82.32;86.16;72.39;85.49;86.92;84.91;83.12;84.65;78.52;83.50;73.46;72.57;45.86;49.56;
Municipios;0231;Boalo (El);79.95;78.90;65.80;84.44;84.20;74.58;84.99;71.04;85.28;76.90;77.75;80.16;83.64;76.68;84.83;77.34;76.12;39.81;51.01;
Municipios;0246;Braojos;82.22;88.37;83.02;87.50;94.87;85.29;87.50;90.74;96.05;82.69;58.64;49.17;72.03;52.48;57.69;61.99;78.26;43.56;32.08;
Municipios;0259;Brea de Tajo;82.64;87.10;94.67;55.29;80.62;91.89;87.90;89.01;85.95;45.29;85.71;93.80;89.35;74.69;90.17;90.61;77.84;49.67;69.34;
Municipios;0262;Brunete;86.77;82.51;86.36;89.79;90.76;92.75;90.17;79.55;88.54;88.24;86.57;81.92;85.41;79.59;80.33;80.87;84.86;45.40;45.61;
Municipios;0278;Buitrago del Lozoya;88.72;82.93;83.83;85.05;89.58;86.73;91.19;89.11;83.60;89.61;95.14;93.73;92.67;93.81;94.69;92.73;90.82;73.21;73.72;
Municipios;0284;Bustarviejo;98.17;93.99;98.38;97.92;92.66;83.46;92.24;90.51;92.91;93.32;92.67;90.71;93.60;85.06;83.09;60.74;75.97;36.25;30.57;
