Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;distancia_capital;Cluster estadistico
Acebeda (La);Sierra Norte;6;3.06;88.477;2
Ajalvir;Este Metropolitano;3;246.21;34.911;0
Alameda del Valle;Sierra Norte;6;10.68;92.242;2
Alamo (El);Sudoeste Comunidad;9;467.88;42.104;1
Alcalá de Henares;Este Metropolitano;3;2254.21;32.76;0
Alcobendas;Norte Metropolitano;2;2639.08;18.193;0
Alcorcón;Sur Metropolitano;4;5144.2;18.087;3
Aldea del Fresno;Sudoeste Comunidad;9;65.93;56.001;1
Algete;Norte Metropolitano;2;551.67;32.758;0
Alpedrete;Sierra Central;11;1219.57;43.979;1
Ambite;Sudeste Comunidad;8;26.72;54.784;1
Anchuelo;Sudeste Comunidad;8;63.81;42.201;1
Aranjuez;Sur Metropolitano;4;322.45;48.903;0
Arganda del Rey;Este Metropolitano;3;729.87;28.644;0
Arroyomolinos;Sudoeste Comunidad;9;1734.84;31.45;1
Atazar (El);Sierra Norte;6;3.66;84.846;2
Batres;Sudoeste Comunidad;9;87.98;37.802;1
Becerril de la Sierra;Sierra Central;11;211.29;50.448;1
Belmonte de Tajo;Sudeste Comunidad;8;76.46;57.499;1
Berrueco (El);Sierra Norte;6;28.88;66.347;2
Berzosa del Lozoya;Sierra Norte;6;14.97;82.228;2
Boadilla del Monte;Oeste Metropolitano;5;1361.02;24.652;0
Boalo (El);Sierra Central;11;210.04;55.387;1
Braojos;Sierra Norte;6;8.5;83.276;2
Brea de Tajo;Sudeste Comunidad;8;12.27;65.168;1
Brunete;Oeste Metropolitano;5;223.37;38.308;0
Buitrago del Lozoya;Sierra Norte;6;75.24;76.377;2
Bustarviejo;Sierra Norte;6;48.97;64.721;2
Cabanillas de la Sierra;Sierra Norte;6;67.8;55.486;1
Cabrera (La);Sierra Norte;6;130.78;60.42;2
Cadalso de los Vidrios;Sierra Sur;10;67.22;89.965;2
Camarma de Esteruelas;Nordeste Comunidad;7;221.02;37.479;1
Campo Real;Sudeste Comunidad;8;108.57;34.635;1
Canencia;Sierra Norte;6;8.56;82.184;2
Carabaña;Sudeste Comunidad;8;47.95;53.449;1
Casarrubuelos;Sudoeste Comunidad;9;767.6;33.936;1
Cenicientos;Sierra Sur;10;30.58;95.124;2
Cercedilla;Sierra Central;11;213.98;57.007;1
Cervera de Buitrago;Sierra Norte;6;14.2;82.105;2
Chapinería;Sierra Sur;10;101.64;57.258;1
Chinchón;Sudeste Comunidad;8;48.93;45.592;1
Ciempozuelos;Sur Metropolitano;4;519.78;35.54;0
Cobeña;Norte Metropolitano;2;370.11;34.59;0
Collado Mediano;Sierra Central;11;336.02;47.487;1
Collado Villalba;Oeste Metropolitano;5;2627.28;42.565;0
Colmenar Viejo;Norte Metropolitano;2;301.13;32.965;0
Colmenar de Oreja;Sudeste Comunidad;8;69.21;57.211;1
Colmenar del Arroyo;Sierra Sur;10;39.63;61.175;1
Colmenarejo;Sierra Central;11;306.51;37.111;1
Corpa;Sudeste Comunidad;8;30.66;46.516;1
Coslada;Este Metropolitano;3;6662.18;12.887;3
Cubas de la Sagra;Sudoeste Comunidad;9;527.67;36.177;1
Daganzo de Arriba;Nordeste Comunidad;7;244.04;36.597;1
Escorial (El);Sierra Central;11;246.7;51.323;1
Estremera;Sudeste Comunidad;8;18.3;72.696;2
Fresnedillas de la Oliva;Sierra Sur;10;63.3;69.753;1
Fresno de Torote;Nordeste Comunidad;7;78.92;46.99;1
Fuenlabrada;Sur Metropolitano;4;4827.52;25.824;3
Fuente el Saz de Jarama;Nordeste Comunidad;7;218.87;36.187;1
Fuentidueña de Tajo;Sudeste Comunidad;8;37.52;63.685;1
Galapagar;Oeste Metropolitano;5;541.05;35.516;0
Garganta de los Montes;Sierra Norte;6;10.38;79.318;2
Gargantilla del Lozoya y Pinilla de Buitrago;Sierra Norte;6;16.03;81.426;2
Gascones;Sierra Norte;6;11.32;80.024;2
Getafe;Sur Metropolitano;4;2383.09;17.416;0
Griñón;Sudoeste Comunidad;9;619.82;33.337;1
Guadalix de la Sierra;Sierra Norte;6;112.97;58.847;2
Guadarrama;Sierra Central;11;298.02;50.794;1
Hiruela (La);Sierra Norte;6;4.31;97.734;2
Horcajo de la Sierra-Aoslos;Sierra Norte;6;11.03;89.479;2
Horcajuelo de la Sierra;Sierra Norte;6;4.53;94.536;2
Hoyo de Manzanares;Oeste Metropolitano;5;198.3;36.584;0
Humanes de Madrid;Sur Metropolitano;4;1007.31;31.246;0
Leganés;Sur Metropolitano;4;4415.58;16.847;3
