Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1798795;1830562;
Zonas Estadísticas;01;Municipio de Madrid ;751546;758224;
Zonas Estadísticas;02;Norte Metropolitano ;81659;82555;
Zonas Estadísticas;03;Este Metropolitano  ;157571;157943;
Zonas Estadísticas;04;Sur Metropolitano   ;312450;311559;
Zonas Estadísticas;05;Oeste Metropolitano ;103819;103948;
Zonas Estadísticas;06;Sierra Norte        ;8063;8049;
Zonas Estadísticas;07;Nordeste Comunidad  ;13622;13591;
Zonas Estadísticas;08;Sudeste Comunidad   ;22761;22774;
Zonas Estadísticas;09;Sudoeste Comunidad  ;30584;31228;
Zonas Estadísticas;10;Sierra Sur          ;6236;6287;
Zonas Estadísticas;11;Sierra Central      ;34801;34628;
Municipios;0014;Acebeda (La);14;10;
Municipios;0029;Ajalvir;1001;1017;
Municipios;0035;Alameda del Valle;36;33;
Municipios;0040;Alamo (El);1750;1778;
Municipios;0053;Alcalá de Henares;42983;42786;
Municipios;0066;Alcobendas;28603;28702;
Municipios;0072;Alcorcón;40287;39400;
Municipios;0088;Aldea del Fresno;504;500;
Municipios;0091;Algete;4468;4460;
Municipios;0105;Alpedrete;2833;2764;
Municipios;0112;Ambite;99;93;
Municipios;0127;Anchuelo;264;258;
Municipios;0133;Aranjuez;10865;10929;
Municipios;0148;Arganda del Rey;13934;13833;
Municipios;0151;Arroyomolinos;7491;7687;
Municipios;0164;Atazar (El);16;11;
Municipios;0170;Batres;278;265;
Municipios;0186;Becerril de la Sierra;1142;1136;
Municipios;0199;Belmonte de Tajo;355;367;
Municipios;0210;Berrueco (El);118;110;
Municipios;0203;Berzosa del Lozoya;21;25;
Municipios;0225;Boadilla del Monte;11141;11264;
Municipios;0231;Boalo (El);1647;1606;
Municipios;0246;Braojos;35;37;
Municipios;0259;Brea de Tajo;73;75;
Municipios;0262;Brunete;2358;2287;
Municipios;0278;Buitrago del Lozoya;399;398;
Municipios;0284;Bustarviejo;530;527;
Municipios;0297;Cabanillas de la Sierra;156;165;
Municipios;0301;Cabrera (La);538;532;
Municipios;0318;Cadalso de los Vidrios;530;524;
Municipios;0323;Camarma de Esteruelas;1502;1523;
Municipios;0339;Campo Real;1497;1487;
Municipios;0344;Canencia;45;42;
Municipios;0357;Carabaña;455;428;
Municipios;0360;Casarrubuelos;773;794;
Municipios;0376;Cenicientos;319;321;
Municipios;0382;Cercedilla;1355;1377;
Municipios;0395;Cervera de Buitrago;17;12;
Municipios;0513;Chapinería;426;431;
Municipios;0528;Chinchón;1019;998;
Municipios;0409;Ciempozuelos;4975;4959;
Municipios;0416;Cobeña;1482;1503;
Municipios;0468;Collado Mediano;1343;1334;
Municipios;0474;Collado Villalba;14510;14555;
Municipios;0455;Colmenar Viejo;11834;12193;
Municipios;0437;Colmenar de Oreja;1615;1603;
Municipios;0421;Colmenar del Arroyo;302;319;
Municipios;0442;Colmenarejo;1821;1780;
Municipios;0480;Corpa;156;171;
Municipios;0493;Coslada;21918;21717;
Municipios;0506;Cubas de la Sagra;1304;1356;
Municipios;0534;Daganzo de Arriba;2142;2082;
Municipios;0549;Escorial (El);3037;3103;
Municipios;0552;Estremera;224;229;
Municipios;0565;Fresnedillas de la Oliva;309;314;
Municipios;0571;Fresno de Torote;434;417;
Municipios;0587;Fuenlabrada;47091;46792;
Municipios;0590;Fuente el Saz de Jarama;1459;1470;
Municipios;0604;Fuentidueña de Tajo;345;350;
Municipios;0611;Galapagar;7177;7214;
Municipios;0626;Garganta de los Montes;65;67;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;45;51;
Municipios;0647;Gascones;39;42;
Municipios;0650;Getafe;44044;44084;
Municipios;0663;Griñón;2057;2061;
Municipios;0679;Guadalix de la Sierra;1274;1268;
Municipios;0685;Guadarrama;3224;3215;
Municipios;0698;Hiruela (La);3;3;
Municipios;0702;Horcajo de la Sierra0Aoslos;25;27;
Municipios;0719;Horcajuelo de la Sierra;21;15;
Municipios;0724;Hoyo de Manzanares;1512;1543;
Municipios;0730;Humanes de Madrid;5015;5065;
Municipios;0745;Leganés;44332;43953;
Municipios;0758;Loeches;2083;2047;
Municipios;0761;Lozoya;113;109;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;228;210;
Municipios;0783;Madarcos;10;11;
Municipios;0796;Madrid;751546;758224;
Municipios;0800;Majadahonda;15689;15543;
Municipios;0822;Manzanares el Real;1820;1775;
Municipios;0838;Meco;2834;2817;
Municipios;0843;Mejorada del Campo;5820;5824;
Municipios;0856;Miraflores de la Sierra;1256;1262;
Municipios;0869;Molar (El);1958;1970;
Municipios;0875;Molinos (Los);852;889;
Municipios;0881;Montejo de la Sierra;38;35;
Municipios;0894;Moraleja de Enmedio;1154;1163;
Municipios;0908;Moralzarzal;2419;2384;
Municipios;0915;Morata de Tajuña;1739;1717;
Municipios;0920;Móstoles;51592;51724;
Municipios;0936;Navacerrada;568;579;
Municipios;0941;Navalafuente;303;307;
Municipios;0954;Navalagamella;494;500;
Municipios;0967;Navalcarnero;6468;6678;
Municipios;0973;Navarredonda y San Mamés;14;14;
Municipios;0992;Navas del Rey;556;558;
Municipios;1006;Nuevo Baztán;1060;1072;
Municipios;1013;Olmeda de las Fuentes;78;71;
Municipios;1028;Orusco de Tajuña;234;234;
Municipios;1049;Paracuellos de Jarama;5942;5821;
Municipios;1065;Parla;31290;31614;
Municipios;1071;Patones;83;83;
Municipios;1087;Pedrezuela;1281;1304;
Municipios;1090;Pelayos de la Presa;423;453;
Municipios;1104;Perales de Tajuña;590;566;
Municipios;1111;Pezuela de las Torres;163;152;
Municipios;1126;Pinilla del Valle;17;22;
Municipios;1132;Pinto;12164;12236;
Municipios;1147;Piñuécar0Gandullas;29;32;
Municipios;1150;Pozuelo de Alarcón;17018;16995;
Municipios;1163;Pozuelo del Rey;285;292;
Municipios;1179;Prádena del Rincón;29;32;
Municipios;1185;Puebla de la Sierra;14;12;
Municipios;9020;Puentes Viejas;101;101;
Municipios;1198;Quijorna;711;726;
Municipios;1202;Rascafría;291;289;
Municipios;1219;Redueña;55;53;
Municipios;1224;Ribatejada;128;136;
Municipios;1230;Rivas0Vaciamadrid;20220;20816;
Municipios;1245;Robledillo de la Jara;14;12;
Municipios;1258;Robledo de Chavela;695;697;
Municipios;1261;Robregordo;9;14;
Municipios;1277;Rozas de Madrid (Las);20308;20425;
Municipios;1283;Rozas de Puerto Real;61;66;
Municipios;1296;San Agustín del Guadalix;2847;2782;
Municipios;1300;San Fernando de Henares;9563;9654;
Municipios;1317;San Lorenzo de El Escorial;3458;3487;
Municipios;1338;San Martín de Valdeiglesias;1462;1475;
Municipios;1322;San Martín de la Vega;4155;4204;
Municipios;1343;San Sebastián de los Reyes;22235;22409;
Municipios;1356;Santa María de la Alameda;226;221;
Municipios;1369;Santorcaz;151;160;
Municipios;1375;Santos de la Humosa (Los);538;525;
Municipios;1381;Serna del Monte (La);15;13;
Municipios;1408;Serranillos del Valle;832;854;
Municipios;1415;Sevilla la Nueva;2068;2026;
Municipios;1436;Somosierra;8;10;
Municipios;1441;Soto del Real;1569;1613;
Municipios;1454;Talamanca de Jarama;901;878;
Municipios;1467;Tielmes;566;558;
Municipios;1473;Titulcia;248;271;
Municipios;1489;Torrejón de Ardoz;33340;33552;
Municipios;1505;Torrejón de Velasco;915;936;
Municipios;1492;Torrejón de la Calzada;1883;1955;
Municipios;1512;Torrelaguna;969;975;
Municipios;1527;Torrelodones;4252;4298;
Municipios;1533;Torremocha de Jarama;135;139;
Municipios;1548;Torres de la Alameda;1683;1660;
Municipios;9036;Tres Cantos;10190;10506;
Municipios;1551;Valdaracete;117;118;
Municipios;1564;Valdeavero;320;319;
Municipios;1570;Valdelaguna;129;132;
Municipios;1586;Valdemanco;167;163;
Municipios;1599;Valdemaqueda;141;128;
Municipios;1603;Valdemorillo;2601;2574;
Municipios;1610;Valdemoro;16640;16599;
Municipios;1625;Valdeolmos0Alalpardo;850;888;
Municipios;1631;Valdepiélagos;132;135;
Municipios;1646;Valdetorres de Jarama;962;956;
Municipios;1659;Valdilecha;645;638;
Municipios;1662;Valverde de Alcalá;87;84;
Municipios;1678;Velilla de San Antonio;2850;2923;
Municipios;1684;Vellón (El);377;373;
Municipios;1697;Venturada;335;330;
Municipios;1718;Villa del Prado;1318;1361;
Municipios;1701;Villaconejos;716;675;
Municipios;1723;Villalbilla;3306;3474;
Municipios;1739;Villamanrique de Tajo;130;124;
Municipios;1744;Villamanta;479;492;
Municipios;1757;Villamantilla;302;291;
Municipios;1782;Villanueva de Perales;297;305;
Municipios;1760;Villanueva de la Cañada;4270;4284;
Municipios;1776;Villanueva del Pardillo;3856;3750;
Municipios;1795;Villar del Olmo;516;530;
Municipios;1809;Villarejo de Salvanés;1595;1615;
Municipios;1816;Villaviciosa de Odón;5584;5540;
Municipios;1821;Villavieja del Lozoya;31;31;
Municipios;1837;Zarzalejo;292;280;
