Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;0.25;1.91;
Zonas Estadísticas;01;Municipio de Madrid ;-0.32;2.24;
Zonas Estadísticas;02;Norte Metropolitano ;0.71;2.09;
Zonas Estadísticas;03;Este Metropolitano  ;0.99;1.59;
Zonas Estadísticas;04;Sur Metropolitano   ;0.00;1.16;
Zonas Estadísticas;05;Oeste Metropolitano ;1.48;1.85;
Zonas Estadísticas;06;Sierra Norte        ;1.64;2.34;
Zonas Estadísticas;07;Nordeste Comunidad  ;1.63;2.35;
Zonas Estadísticas;08;Sudeste Comunidad   ;1.94;2.28;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.40;2.36;
Zonas Estadísticas;10;Sierra Sur          ;1.76;2.26;
Zonas Estadísticas;11;Sierra Central      ;1.20;1.48;
Municipios;0014;Acebeda (La);12.73;8.06;
Municipios;0029;Ajalvir;0.67;1.04;
Municipios;0035;Alameda del Valle;-2.42;13.64;
Municipios;0040;Alamo (El);1.55;1.96;
Municipios;0053;Alcalá de Henares;0.22;1.19;
Municipios;0066;Alcobendas;0.03;2.17;
Municipios;0072;Alcorcón;-0.08;0.82;
Municipios;0088;Aldea del Fresno;4.97;5.48;
Municipios;0091;Algete;0.00;1.12;
Municipios;0105;Alpedrete;0.05;1.76;
Municipios;0112;Ambite;-0.45;4.55;
Municipios;0127;Anchuelo;-0.59;1.62;
Municipios;0133;Aranjuez;-0.03;1.43;
Municipios;0148;Arganda del Rey;1.79;2.27;
Municipios;0151;Arroyomolinos;3.54;3.29;
Municipios;0164;Atazar (El);-1.83;-2.80;
Municipios;0170;Batres;1.10;2.34;
Municipios;0186;Becerril de la Sierra;1.44;1.34;
Municipios;0199;Belmonte de Tajo;1.54;3.72;
Municipios;0210;Berrueco (El);0.62;0.74;
Municipios;0203;Berzosa del Lozoya;6.57;-3.52;
Municipios;0225;Boadilla del Monte;6.14;3.21;
Municipios;0231;Boalo (El);2.72;2.49;
Municipios;0246;Braojos;0.00;-2.75;
Municipios;0259;Brea de Tajo;2.65;1.10;
Municipios;0262;Brunete;1.06;1.66;
Municipios;0278;Buitrago del Lozoya;0.46;0.10;
Municipios;0284;Bustarviejo;0.04;1.66;
Municipios;0297;Cabanillas de la Sierra;3.92;7.21;
Municipios;0301;Cabrera (La);1.77;2.58;
Municipios;0318;Cadalso de los Vidrios;-0.37;0.09;
Municipios;0323;Camarma de Esteruelas;0.65;2.60;
Municipios;0339;Campo Real;3.53;0.74;
Municipios;0344;Canencia;0.00;1.53;
Municipios;0357;Carabaña;3.04;2.33;
Municipios;0360;Casarrubuelos;0.94;2.81;
Municipios;0376;Cenicientos;0.10;0.38;
Municipios;0382;Cercedilla;2.90;1.66;
Municipios;0395;Cervera de Buitrago;5.06;-1.20;
Municipios;0513;Chapinería;0.60;3.59;
Municipios;0528;Chinchón;2.33;-0.05;
Municipios;0409;Ciempozuelos;0.53;1.86;
Municipios;0416;Cobeña;1.35;2.37;
Municipios;0468;Collado Mediano;1.46;0.11;
Municipios;0474;Collado Villalba;0.85;2.19;
Municipios;0455;Colmenar Viejo;1.62;3.35;
Municipios;0437;Colmenar de Oreja;1.65;2.21;
Municipios;0421;Colmenar del Arroyo;3.19;0.77;
Municipios;0442;Colmenarejo;1.38;1.16;
Municipios;0480;Corpa;4.04;3.11;
Municipios;0493;Coslada;-1.00;-0.54;
Municipios;0506;Cubas de la Sagra;1.29;1.72;
Municipios;0534;Daganzo de Arriba;1.00;-0.30;
Municipios;0549;Escorial (El);0.31;1.46;
Municipios;0552;Estremera;2.10;2.91;
Municipios;0565;Fresnedillas de la Oliva;2.77;1.01;
Municipios;0571;Fresno de Torote;1.08;2.87;
Municipios;0587;Fuenlabrada;-1.24;-0.49;
Municipios;0590;Fuente el Saz de Jarama;2.42;3.21;
Municipios;0604;Fuentidueña de Tajo;1.17;0.49;
Municipios;0611;Galapagar;0.60;1.26;
Municipios;0626;Garganta de los Montes;-3.65;5.81;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10.06;1.31;
Municipios;0647;Gascones;10.99;7.08;
Municipios;0650;Getafe;0.68;1.30;
Municipios;0663;Griñón;0.16;0.89;
Municipios;0679;Guadalix de la Sierra;1.26;1.99;
Municipios;0685;Guadarrama;1.73;1.03;
Municipios;0698;Hiruela (La);4.11;-2.63;
Municipios;0702;Horcajo de la Sierra-Aoslos;17.75;17.59;
Municipios;0719;Horcajuelo de la Sierra;2.83;-0.92;
Municipios;0724;Hoyo de Manzanares;1.72;1.74;
Municipios;0730;Humanes de Madrid;0.39;0.36;
Municipios;0745;Leganés;-0.30;1.52;
Municipios;0758;Loeches;0.89;1.76;
Municipios;0761;Lozoya;0.17;3.50;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3.26;1.03;
Municipios;0783;Madarcos;10.53;14.29;
Municipios;0796;Madrid;-0.32;2.24;
Municipios;0800;Majadahonda;0.31;0.61;
Municipios;0822;Manzanares el Real;0.61;1.26;
Municipios;0838;Meco;1.60;1.66;
Municipios;0843;Mejorada del Campo;0.44;1.50;
Municipios;0856;Miraflores de la Sierra;1.81;4.22;
Municipios;0869;Molar (El);1.42;3.65;
Municipios;0875;Molinos (Los);3.41;1.81;
Municipios;0881;Montejo de la Sierra;4.78;1.61;
Municipios;0894;Moraleja de Enmedio;1.63;1.53;
Municipios;0908;Moralzarzal;2.23;1.46;
Municipios;0915;Morata de Tajuña;0.63;1.60;
Municipios;0920;Móstoles;-0.05;0.99;
Municipios;0936;Navacerrada;0.06;1.82;
Municipios;0941;Navalafuente;1.20;4.17;
Municipios;0954;Navalagamella;4.91;5.87;
Municipios;0967;Navalcarnero;2.16;1.90;
Municipios;0973;Navarredonda y San Mamés;1.42;6.99;
Municipios;0992;Navas del Rey;2.22;3.77;
Municipios;1006;Nuevo Baztán;3.17;3.43;
Municipios;1013;Olmeda de las Fuentes;4.11;6.58;
Municipios;1028;Orusco de Tajuña;3.95;5.96;
Municipios;1049;Paracuellos de Jarama;1.31;1.49;
Municipios;1065;Parla;-0.25;2.02;
Municipios;1071;Patones;1.91;6.19;
Municipios;1087;Pedrezuela;2.06;1.53;
Municipios;1090;Pelayos de la Presa;2.10;3.10;
Municipios;1104;Perales de Tajuña;2.30;1.83;
Municipios;1111;Pezuela de las Torres;0.86;5.25;
Municipios;1126;Pinilla del Valle;1.02;3.03;
Municipios;1132;Pinto;0.98;1.90;
Municipios;1147;Piñuécar-Gandullas;0.00;-3.26;
Municipios;1150;Pozuelo de Alarcón;0.64;0.99;
Municipios;1163;Pozuelo del Rey;0.16;4.93;
Municipios;1179;Prádena del Rincón;-1.35;2.74;
Municipios;1185;Puebla de la Sierra;13.33;20.00;
Municipios;9020;Puentes Viejas;-2.37;8.44;
Municipios;1198;Quijorna;2.62;4.70;
Municipios;1202;Rascafría;-0.68;-0.63;
Municipios;1219;Redueña;1.02;2.35;
Municipios;1224;Ribatejada;1.27;5.15;
Municipios;1230;Rivas-Vaciamadrid;3.63;3.51;
Municipios;1245;Robledillo de la Jara;17.53;17.54;
Municipios;1258;Robledo de Chavela;2.99;2.68;
Municipios;1261;Robregordo;0.00;12.86;
Municipios;1277;Rozas de Madrid (Las);0.96;2.51;
Municipios;1283;Rozas de Puerto Real;1.38;-1.70;
Municipios;1296;San Agustín del Guadalix;0.64;-0.04;
Municipios;1300;San Fernando de Henares;-0.88;0.12;
Municipios;1317;San Lorenzo de El Escorial;0.21;0.28;
Municipios;1338;San Martín de Valdeiglesias;0.81;1.96;
Municipios;1322;San Martín de la Vega;0.51;1.92;
Municipios;1343;San Sebastián de los Reyes;0.02;1.58;
Municipios;1356;Santa María de la Alameda;5.56;1.07;
Municipios;1369;Santorcaz;2.27;0.00;
Municipios;1375;Santos de la Humosa (Los);1.09;0.40;
Municipios;1381;Serna del Monte (La);13.68;-1.85;
Municipios;1408;Serranillos del Valle;2.39;1.59;
Municipios;1415;Sevilla la Nueva;0.16;1.71;
Municipios;1436;Somosierra;1.15;-3.41;
Municipios;1441;Soto del Real;1.47;2.12;
Municipios;1454;Talamanca de Jarama;2.48;3.72;
Municipios;1467;Tielmes;0.07;-1.37;
Municipios;1473;Titulcia;-1.32;1.26;
Municipios;1489;Torrejón de Ardoz;1.62;1.96;
Municipios;1505;Torrejón de Velasco;2.09;1.28;
Municipios;1492;Torrejón de la Calzada;4.13;2.71;
Municipios;1512;Torrelaguna;0.61;0.24;
Municipios;1527;Torrelodones;2.74;1.52;
Municipios;1533;Torremocha de Jarama;3.19;4.09;
Municipios;1548;Torres de la Alameda;-0.21;0.27;
Municipios;9036;Tres Cantos;2.86;2.46;
Municipios;1551;Valdaracete;4.23;0.47;
Municipios;1564;Valdeavero;1.80;4.35;
Municipios;1570;Valdelaguna;-0.98;2.57;
Municipios;1586;Valdemanco;3.13;1.80;
Municipios;1599;Valdemaqueda;1.01;2.37;
Municipios;1603;Valdemorillo;1.33;1.55;
