Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Industria. Contratos indefinidos registrados en las oficinas de empleo en industria. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;17785;15245;14526;13645;13426;15354;16274;18284;20191;23920;23305;17002;22384;48284;47301;
Zonas Estadísticas;01;Municipio de Madrid ;8202;6897;6156;5929;5931;6394;6602;7065;7469;8523;8382;5984;8382;17904;17648;
Zonas Estadísticas;02;Norte Metropolitano ;1295;1192;1456;1456;1638;2056;1922;2064;2169;2565;2574;1885;2493;4295;3916;
Zonas Estadísticas;03;Este Metropolitano  ;2469;2373;2086;1977;1915;2275;2474;3090;3489;4520;4412;3070;3826;8300;9485;
Zonas Estadísticas;04;Sur Metropolitano   ;3903;3328;3442;2865;2687;3134;3524;3957;4688;5408;4998;4030;4975;11594;10367;
Zonas Estadísticas;05;Oeste Metropolitano ;725;491;451;497;411;460;549;643;721;874;941;673;841;1800;1656;
Zonas Estadísticas;06;Sierra Norte        ;73;42;43;42;54;42;42;63;76;77;119;71;144;262;342;
Zonas Estadísticas;07;Nordeste Comunidad  ;269;232;222;257;201;202;213;310;373;474;480;331;437;954;1117;
Zonas Estadísticas;08;Sudeste Comunidad   ;365;295;265;237;261;346;371;454;574;653;622;425;579;1500;1145;
Zonas Estadísticas;09;Sudoeste Comunidad  ;337;275;306;298;263;335;456;467;456;563;549;355;524;1180;1162;
Zonas Estadísticas;10;Sierra Sur          ;34;43;26;16;20;37;23;29;51;64;56;37;41;156;150;
Zonas Estadísticas;11;Sierra Central      ;113;77;73;71;45;73;98;142;125;199;172;141;142;339;313;
Municipios;0014;Acebeda (La);6;5;4;0;2;7;3;5;5;11;3;5;1;25;54;
Municipios;0029;Ajalvir;116;94;73;119;95;123;123;163;107;185;173;112;130;313;297;
Municipios;0035;Alameda del Valle;2;0;0;0;0;0;2;0;1;0;5;2;2;3;8;
Municipios;0040;Alamo (El);10;19;13;8;6;11;10;15;10;16;18;7;13;21;22;
Municipios;0053;Alcalá de Henares;415;408;450;485;483;603;700;780;1004;1075;1007;771;1004;2097;2862;
Municipios;0066;Alcobendas;656;568;820;721;849;1240;992;969;1072;1215;1037;677;1018;1550;1373;
Municipios;0072;Alcorcón;269;227;212;250;158;186;203;302;350;419;439;338;369;728;750;
Municipios;0088;Aldea del Fresno;1;0;0;1;0;0;3;1;7;7;2;0;2;1;4;
Municipios;0091;Algete;89;77;82;103;124;121;116;157;144;187;174;136;190;436;424;
Municipios;0105;Alpedrete;7;8;9;13;3;7;12;12;15;27;24;16;14;32;23;
Municipios;0112;Ambite;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;
Municipios;0127;Anchuelo;0;1;0;2;3;0;2;0;3;0;1;1;3;15;10;
Municipios;0133;Aranjuez;95;141;101;82;50;59;82;101;150;204;110;98;140;373;307;
Municipios;0148;Arganda del Rey;543;585;526;416;488;482;607;795;833;923;932;462;676;1361;1437;
Municipios;0151;Arroyomolinos;33;25;22;26;21;24;32;35;47;29;42;31;51;85;56;
Municipios;0164;Atazar (El);0;0;1;0;0;2;0;2;1;0;2;1;1;5;1;
Municipios;0170;Batres;3;1;3;0;1;0;1;0;2;3;1;2;4;4;0;
Municipios;0186;Becerril de la Sierra;7;2;2;2;0;2;2;5;3;1;1;3;3;8;29;
Municipios;0199;Belmonte de Tajo;2;1;2;1;1;2;2;2;12;5;4;3;6;17;17;
Municipios;0210;Berrueco (El);2;2;0;9;3;2;1;1;0;0;3;1;1;0;10;
Municipios;0203;Berzosa del Lozoya;3;0;1;0;1;4;0;0;0;1;0;0;2;2;1;
Municipios;0225;Boadilla del Monte;30;43;35;39;47;63;25;42;52;64;48;48;72;195;140;
Municipios;0231;Boalo (El);7;5;4;5;5;10;1;7;10;21;6;7;12;14;18;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Municipios;0259;Brea de Tajo;1;2;0;0;0;0;0;0;3;2;0;0;0;1;1;
Municipios;0262;Brunete;7;2;5;18;3;9;10;31;8;15;7;7;7;18;2;
Municipios;0278;Buitrago del Lozoya;2;6;2;2;2;1;2;3;12;1;4;4;8;11;2;
Municipios;0284;Bustarviejo;3;0;2;4;3;3;7;0;7;2;6;11;6;5;6;
Municipios;0297;Cabanillas de la Sierra;0;1;0;1;0;0;0;1;1;1;1;0;0;2;3;
Municipios;0301;Cabrera (La);2;2;0;0;2;1;0;0;2;3;4;0;0;3;9;
Municipios;0318;Cadalso de los Vidrios;7;3;3;1;6;6;12;6;4;5;6;4;7;11;12;
Municipios;0323;Camarma de Esteruelas;72;92;41;14;19;21;30;24;50;45;55;42;95;151;111;
Municipios;0339;Campo Real;55;41;39;31;27;45;31;42;69;57;55;60;59;168;100;
Municipios;0344;Canencia;14;3;4;1;0;3;1;1;0;0;0;5;15;2;2;
Municipios;0357;Carabaña;4;0;1;1;0;0;0;0;0;0;0;3;2;7;4;
Municipios;0360;Casarrubuelos;19;10;5;11;2;21;11;22;26;14;21;22;23;56;54;
Municipios;0376;Cenicientos;0;1;5;0;0;0;0;1;2;0;0;0;0;9;12;
Municipios;0382;Cercedilla;4;3;1;3;1;1;5;1;2;5;0;3;3;6;9;
Municipios;0395;Cervera de Buitrago;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;
Municipios;0513;Chapinería;1;1;0;2;3;3;2;3;5;8;3;2;3;9;6;
Municipios;0528;Chinchón;8;8;8;10;7;10;2;17;20;17;27;8;17;75;72;
Municipios;0409;Ciempozuelos;55;30;36;44;30;111;52;64;74;96;91;69;83;220;318;
Municipios;0416;Cobeña;14;6;9;14;11;12;13;21;17;14;31;30;29;25;62;
Municipios;0468;Collado Mediano;14;13;6;6;2;5;1;5;1;13;5;4;4;5;18;
Municipios;0474;Collado Villalba;75;65;41;60;41;84;86;111;121;158;136;79;106;212;160;
Municipios;0455;Colmenar Viejo;136;115;121;92;71;108;140;176;169;174;167;89;153;276;234;
Municipios;0437;Colmenar de Oreja;22;11;9;6;7;17;11;9;13;37;11;11;17;51;29;
Municipios;0421;Colmenar del Arroyo;9;2;2;5;1;1;1;6;23;25;13;13;7;67;70;
Municipios;0442;Colmenarejo;8;8;3;0;1;2;0;4;1;0;19;6;2;21;3;
Municipios;0480;Corpa;4;3;2;0;1;1;0;0;1;0;1;0;0;0;2;
Municipios;0493;Coslada;207;240;169;153;149;158;191;217;206;221;259;198;235;594;557;
Municipios;0506;Cubas de la Sagra;16;19;28;12;19;13;43;22;27;38;20;22;27;81;49;
Municipios;0534;Daganzo de Arriba;53;54;69;69;45;64;75;92;102;148;122;91;95;218;165;
Municipios;0549;Escorial (El);4;2;4;6;4;3;5;1;4;4;6;2;12;13;17;
Municipios;0552;Estremera;0;0;0;3;1;1;3;2;6;4;3;5;9;2;2;
Municipios;0565;Fresnedillas de la Oliva;0;1;1;1;0;5;1;1;0;3;0;1;1;5;0;
Municipios;0571;Fresno de Torote;2;1;0;1;0;0;1;2;4;7;3;1;1;5;11;
Municipios;0587;Fuenlabrada;836;685;644;509;449;545;680;731;944;950;896;701;861;1718;1623;
Municipios;0590;Fuente el Saz de Jarama;38;21;13;17;26;24;23;46;31;51;58;48;57;126;101;
Municipios;0604;Fuentidueña de Tajo;5;2;6;5;8;10;4;4;4;6;6;6;10;13;20;
Municipios;0611;Galapagar;5;4;6;3;6;1;6;5;9;11;22;3;7;26;20;
Municipios;0626;Garganta de los Montes;2;1;0;0;4;4;0;1;3;4;4;1;4;7;3;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0647;Gascones;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;
Municipios;0650;Getafe;771;700;821;602;556;624;659;626;732;1031;1003;1071;943;3464;2749;
Municipios;0663;Griñón;103;62;104;88;97;99;127;131;117;149;189;107;149;402;367;
Municipios;0679;Guadalix de la Sierra;5;3;3;1;2;4;0;1;3;4;5;5;11;8;14;
Municipios;0685;Guadarrama;6;8;2;3;1;4;4;10;5;13;9;15;15;26;17;
Municipios;0698;Hiruela (La);0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;3;2;0;0;0;0;0;0;0;0;1;2;1;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;1;0;1;0;5;36;86;0;
Municipios;0724;Hoyo de Manzanares;2;3;0;2;0;1;2;7;1;1;1;2;0;1;4;
Municipios;0730;Humanes de Madrid;317;214;225;276;297;349;410;519;557;632;553;415;528;1066;1039;
Municipios;0745;Leganés;354;307;317;223;287;338;355;390;445;545;485;378;650;1180;1004;
Municipios;0758;Loeches;61;62;86;75;87;128;158;159;207;219;240;135;196;512;419;
Municipios;0761;Lozoya;1;1;1;0;4;1;1;1;3;0;4;1;1;2;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1;0;0;1;1;2;2;4;0;6;1;3;3;8;3;
Municipios;0783;Madarcos;2;2;6;7;5;1;1;2;1;3;5;2;15;16;15;
Municipios;0796;Madrid;8202;6897;6156;5929;5931;6394;6602;7065;7469;8523;8382;5984;8382;17904;17648;
Municipios;0800;Majadahonda;65;36;46;55;31;57;62;71;60;61;131;91;117;195;145;
Municipios;0822;Manzanares el Real;2;1;1;1;2;9;5;5;10;8;9;11;3;13;15;
Municipios;0838;Meco;55;41;48;43;44;69;53;91;142;189;185;104;109;230;572;
Municipios;0843;Mejorada del Campo;115;109;79;81;60;98;103;118;140;203;224;123;173;306;366;
Municipios;0856;Miraflores de la Sierra;0;0;5;3;5;4;2;2;2;3;2;1;6;6;1;
Municipios;0869;Molar (El);3;3;2;0;3;6;4;11;3;4;8;9;12;16;11;
Municipios;0875;Molinos (Los);0;0;1;0;2;2;0;3;0;1;1;3;1;0;4;
Municipios;0881;Montejo de la Sierra;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;
Municipios;0894;Moraleja de Enmedio;33;44;35;42;30;56;59;78;90;94;76;42;91;154;207;
Municipios;0908;Moralzarzal;1;6;7;4;7;7;7;9;6;8;11;5;7;30;39;
Municipios;0915;Morata de Tajuña;3;6;6;4;4;6;6;5;8;17;11;4;23;69;54;
Municipios;0920;Móstoles;475;399;559;343;361;374;426;490;503;488;505;351;437;922;837;
Municipios;0936;Navacerrada;5;1;1;3;0;2;4;3;1;0;8;2;1;0;10;
Municipios;0941;Navalafuente;0;0;4;0;5;0;0;0;0;0;3;0;2;1;1;
Municipios;0954;Navalagamella;1;1;1;0;1;1;0;0;0;1;0;3;1;3;7;
Municipios;0967;Navalcarnero;51;32;45;42;37;38;56;60;38;68;70;33;59;128;144;
Municipios;0973;Navarredonda y San Mamés;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;
Municipios;0992;Navas del Rey;6;5;1;0;0;2;0;2;6;6;5;1;5;1;1;
Municipios;1006;Nuevo Baztán;60;32;10;2;3;4;5;3;4;5;9;1;2;21;23;
Municipios;1013;Olmeda de las Fuentes;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3;
Municipios;1028;Orusco de Tajuña;1;0;0;0;0;1;0;0;1;1;1;0;0;3;3;
Municipios;1049;Paracuellos de Jarama;75;53;33;48;51;60;81;79;110;121;153;73;109;258;267;
Municipios;1065;Parla;156;114;106;71;72;80;71;78;98;177;187;66;123;243;263;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;11;4;1;2;8;3;9;24;26;23;41;11;10;40;44;
Municipios;1090;Pelayos de la Presa;1;2;1;2;1;2;0;2;0;3;5;1;6;17;20;
Municipios;1104;Perales de Tajuña;0;3;4;1;0;1;2;3;12;15;3;5;3;8;4;
Municipios;1111;Pezuela de las Torres;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
Municipios;1132;Pinto;353;309;232;252;236;235;331;301;429;413;331;307;402;859;791;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;180;129;97;90;97;54;115;120;146;163;202;137;167;318;373;
Municipios;1163;Pozuelo del Rey;8;1;1;0;2;1;2;0;0;1;1;0;2;1;1;
Municipios;1179;Prádena del Rincón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;2;0;1;0;0;0;0;1;0;0;4;0;0;0;0;
Municipios;1198;Quijorna;0;1;0;2;1;2;1;0;5;3;0;4;0;0;0;
Municipios;1202;Rascafría;3;1;2;2;1;0;4;7;2;4;12;6;6;9;7;
Municipios;1219;Redueña;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;
Municipios;1224;Ribatejada;0;0;0;1;1;0;0;0;0;1;0;1;0;3;0;
Municipios;1230;Rivas-Vaciamadrid;86;83;79;100;129;132;133;177;185;268;237;156;252;360;486;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Municipios;1258;Robledo de Chavela;0;5;1;1;0;0;0;3;5;1;3;4;2;2;8;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);315;167;185;196;138;121;175;193;259;313;306;229;261;537;658;
Municipios;1283;Rozas de Puerto Real;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;
Municipios;1296;San Agustín del Guadalix;31;50;50;21;113;61;68;88;115;132;162;148;188;401;371;
Municipios;1300;San Fernando de Henares;229;191;175;162;144;204;142;318;278;514;619;321;501;859;1208;
Municipios;1317;San Lorenzo de El Escorial;8;5;1;7;3;3;11;14;11;10;14;8;19;25;17;
Municipios;1338;San Martín de Valdeiglesias;6;1;6;3;4;6;2;2;2;2;5;4;4;15;11;
Municipios;1322;San Martín de la Vega;55;65;55;44;30;44;87;76;106;89;109;67;146;225;175;
