Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;716644;734444;
Zonas Estadísticas;01;Municipio de Madrid ;373742;386774;
Zonas Estadísticas;02;Norte Metropolitano ;54658;55695;
Zonas Estadísticas;03;Este Metropolitano  ;70626;70402;
Zonas Estadísticas;04;Sur Metropolitano   ;128585;130269;
Zonas Estadísticas;05;Oeste Metropolitano ;51143;52281;
Zonas Estadísticas;06;Sierra Norte        ;3167;3131;
Zonas Estadísticas;07;Nordeste Comunidad  ;4538;4850;
Zonas Estadísticas;08;Sudeste Comunidad   ;6343;6353;
Zonas Estadísticas;09;Sudoeste Comunidad  ;12024;12734;
Zonas Estadísticas;10;Sierra Sur          ;1909;1865;
Zonas Estadísticas;11;Sierra Central      ;9909;10090;
Municipios;0014;Acebeda (La);14;13;
Municipios;0029;Ajalvir;857;850;
Municipios;0035;Alameda del Valle;21;23;
Municipios;0040;Alamo (El);457;484;
Municipios;0053;Alcalá de Henares;20313;21052;
Municipios;0066;Alcobendas;26193;26594;
Municipios;0072;Alcorcón;18403;18673;
Municipios;0088;Aldea del Fresno;158;158;
Municipios;0091;Algete;2395;2422;
Municipios;0105;Alpedrete;773;787;
Municipios;0112;Ambite;29;25;
Municipios;0127;Anchuelo;98;105;
Municipios;0133;Aranjuez;5564;5351;
Municipios;0148;Arganda del Rey;7031;6778;
Municipios;0151;Arroyomolinos;4189;4468;
Municipios;0164;Atazar (El);39;36;
Municipios;0170;Batres;38;36;
Municipios;0186;Becerril de la Sierra;351;339;
Municipios;0199;Belmonte de Tajo;39;40;
Municipios;0210;Berrueco (El);54;54;
Municipios;0203;Berzosa del Lozoya;8;8;
Municipios;0225;Boadilla del Monte;4222;4325;
Municipios;0231;Boalo (El);312;328;
Municipios;0246;Braojos;8;10;
Municipios;0259;Brea de Tajo;57;56;
Municipios;0262;Brunete;604;588;
Municipios;0278;Buitrago del Lozoya;199;197;
Municipios;0284;Bustarviejo;149;156;
Municipios;0297;Cabanillas de la Sierra;37;39;
Municipios;0301;Cabrera (La);281;265;
Municipios;0318;Cadalso de los Vidrios;117;114;
Municipios;0323;Camarma de Esteruelas;366;351;
Municipios;0339;Campo Real;405;424;
Municipios;0344;Canencia;26;27;
Municipios;0357;Carabaña;69;63;
Municipios;0360;Casarrubuelos;186;175;
Municipios;0376;Cenicientos;64;60;
Municipios;0382;Cercedilla;560;500;
Municipios;0395;Cervera de Buitrago;11;8;
Municipios;0513;Chapinería;93;79;
Municipios;0528;Chinchón;535;551;
Municipios;0409;Ciempozuelos;1721;1694;
Municipios;0416;Cobeña;307;341;
Municipios;0468;Collado Mediano;288;324;
Municipios;0474;Collado Villalba;5547;5591;
Municipios;0455;Colmenar Viejo;4351;4485;
Municipios;0437;Colmenar de Oreja;364;371;
Municipios;0421;Colmenar del Arroyo;86;81;
Municipios;0442;Colmenarejo;272;272;
Municipios;0480;Corpa;9;7;
Municipios;0493;Coslada;8499;8363;
Municipios;0506;Cubas de la Sagra;202;208;
Municipios;0534;Daganzo de Arriba;1049;1242;
Municipios;0549;Escorial (El);753;783;
Municipios;0552;Estremera;58;60;
Municipios;0565;Fresnedillas de la Oliva;35;35;
Municipios;0571;Fresno de Torote;37;53;
Municipios;0587;Fuenlabrada;17742;18046;
Municipios;0590;Fuente el Saz de Jarama;629;637;
Municipios;0604;Fuentidueña de Tajo;110;103;
Municipios;0611;Galapagar;1278;1284;
Municipios;0626;Garganta de los Montes;21;23;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;68;62;
Municipios;0647;Gascones;26;21;
Municipios;0650;Getafe;22113;22500;
Municipios;0663;Griñón;1947;2209;
Municipios;0679;Guadalix de la Sierra;290;284;
Municipios;0685;Guadarrama;1222;1281;
Municipios;0698;Hiruela (La);19;19;
Municipios;0702;Horcajo de la Sierra-Aoslos;23;20;
Municipios;0719;Horcajuelo de la Sierra;15;8;
Municipios;0724;Hoyo de Manzanares;372;413;
Municipios;0730;Humanes de Madrid;3198;3250;
Municipios;0745;Leganés;25073;25430;
Municipios;0758;Loeches;827;817;
Municipios;0761;Lozoya;63;59;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;135;140;
Municipios;0783;Madarcos;0;3;
Municipios;0796;Madrid;373742;386774;
Municipios;0800;Majadahonda;7937;8167;
Municipios;0822;Manzanares el Real;332;309;
Municipios;0838;Meco;1409;1506;
Municipios;0843;Mejorada del Campo;1831;1857;
Municipios;0856;Miraflores de la Sierra;366;351;
Municipios;0869;Molar (El);463;473;
Municipios;0875;Molinos (Los);219;261;
Municipios;0881;Montejo de la Sierra;19;16;
Municipios;0894;Moraleja de Enmedio;534;514;
Municipios;0908;Moralzarzal;751;746;
Municipios;0915;Morata de Tajuña;277;317;
Municipios;0920;Móstoles;13712;13693;
Municipios;0936;Navacerrada;327;311;
Municipios;0941;Navalafuente;38;39;
Municipios;0954;Navalagamella;63;63;
Municipios;0967;Navalcarnero;1565;1618;
Municipios;0973;Navarredonda y San Mamés;6;4;
Municipios;0992;Navas del Rey;204;206;
Municipios;1006;Nuevo Baztán;241;210;
Municipios;1013;Olmeda de las Fuentes;13;14;
Municipios;1028;Orusco de Tajuña;27;24;
Municipios;1049;Paracuellos de Jarama;1641;1639;
Municipios;1065;Parla;5943;5886;
